,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,,-0.013038940888427572,,,,,0.1160483415482688,
BMP1,0.06837420036530317,0.047701174697919006,-0.007024598711577535,-0.013057084401761794,0.09530052914871591,-0.020590754034699742,0.007489785985401421,0.10702853365052821,0.07239195501293368,0.0465554483042006,0.06884267590905598
NDP,-0.01780676508279513,0.029805047043931797,-0.053789318941058956,-0.03200860271272714,-0.020795594302390513,0.020783705213229677,-0.011010313253723003,0.032211923708969345,0.172439459110061,0.10461677935661304,0.12053836921449093
TNFSF18,0.05990882329212187,-0.021538340313348336,,,0.16149727637870137,-0.011674763932192451,,0.032534269514972444,,0.08389315876282358,-0.00244423017662261
RTN4,0.011604765039866809,0.06145660464433518,-0.001859272158331299,-0.03703288420869032,-0.05982764931737737,-0.009857726170063856,-0.02309157343292281,-0.0884946894094016,-0.00045888211412833745,-0.030416343963085513,-0.11605313682581267
HEBP1,-0.009884013649026064,0.031367439606392024,0.020021987671996245,-0.03845869994809986,0.014856508391045098,0.003936108867216219,0.014745231599919854,0.0030779419359703427,-0.015289926235427574,0.07192397123392666,-0.011220397170575429
WNT7B,-0.008947102721891823,0.05582009171800796,0.0008968455924784188,-0.05541229360052953,-0.05396777363263061,-0.0334646240351288,-0.011407975865612567,-0.028210857510453845,-0.059085885956075064,-0.027426096168169264,0.027267195982381608
PTMA,-0.024684494838377927,0.008354282230216493,0.012289361489204741,0.06381860779253538,-0.06713159293998182,-0.005517786482645589,0.08057824532913548,-0.006917385461453043,-0.06565742795859407,-0.04059214704097294,0.016142625760854363
FASLG,,,,,,,,,,0.021957089448809627,
CEACAM1,,-0.024834732720354653,0.09403233874019219,0.013701044913978633,-0.025479862684048487,0.01185267201196388,,,0.03447648354338436,-0.035864990777544535,
PDAP1,-0.036116721671522654,0.008765616188156048,-0.051080915241163406,0.08724590316556434,0.07008538649210458,-0.00018193290909497312,-0.030017188973330017,0.006209619872166503,-0.004431381040675311,0.007469275471047326,-0.05489864360540069
QDPR,0.04833222516694802,-0.013576578605171152,-0.022917427652696606,-0.010021616854733559,-0.09351525794955177,0.03193410262752722,0.06702073420401392,-0.1097304099903292,0.021290739497838537,0.10181400179581941,-0.07375827518143102
POMC,-0.02527438247579471,0.06433186675469416,0.033993547562357146,-0.027505145630791813,-0.009559127461920974,-0.013546472848331409,0.03069384929910575,-0.057423358947833555,-0.04513077505435222,0.058547711531960075,0.0334622304562917
CCL18,0.05802410959297034,-0.03099139994944154,,,,,,,-0.03815055329778557,,
CCL17,,,-0.00890384794518717,,,-0.014560703630163823,0.06574726510670095,,,-0.014011800072578618,
VEGFD,-0.032145907926952676,-0.008349716755370563,0.03273940525740065,-0.013077670747578074,-0.021843723602707237,0.09000357682287219,-0.010357099911531262,,-0.04298086281091891,,
TNFSF13,,-0.02338711233654055,0.023184233672525947,,,,,,,0.01620394962869126,0.1457502842420599
WNT5A,0.026367555855130634,0.03421076619484549,0.007837826098206404,0.028089936562014462,0.10517273392439457,0.0375678396264659,-0.008318868549690866,0.04393366611650006,0.07250982086133832,0.053424392240595246,-0.0030412364724591505
CXCL8,-0.07552666199092442,-0.049709485822171134,0.05941099244214738,0.07121466036852095,-0.013785237269421708,0.052427198233721925,-0.009644981779293798,,-0.032151906841835415,0.026562754363163472,0.05430410012796279
GRN,0.04794613003362478,0.02775534348938733,-0.053532654670809206,-0.011932437582280525,0.027139690792775496,0.033867011890646996,0.04198584376112337,0.09365388792546706,-0.02920796494830314,0.09077757018560466,-0.013720200913595422
MIA,0.0012207227270497705,0.03608541450974395,0.09433139982674625,0.0004788109344937584,0.029487743322319116,0.048437005504168434,-0.011779019964435047,-0.005173093013835624,-0.0009262888908410539,0.028752637722504103,0.036474991101126134
COL4A4,0.0035481927262391534,0.002299433612861479,-0.014738095957985435,-0.035830576700103284,-0.012848908427978714,-0.015201825078717418,-0.019787816785867975,,,-0.038031043488089354,0.10218471044010566
TAC1,-0.0258128189719195,0.04233701314139994,-0.06362322556322927,-0.03660923552701435,-0.05363909326743924,-0.06550551051785497,-0.0017893407009347037,,,-0.03861220933929218,-0.07261843007604364
RARRES2,0.04160343513583046,-0.01126288781099233,-0.049289099817516085,0.049371908751632596,0.09166259615133042,0.010127630205704513,0.04723088716603682,0.0014028163642734123,0.10553066720026975,0.02488986421861621,-0.0008648769886361397
FGF7,-0.05188889223004179,,-0.039468925075758436,-0.02503993612913548,0.04325710472561958,0.00655503864137124,0.04390970701096164,0.03810438895999862,0.11328883532748403,0.07901919677357942,0.03174641207514781
HBEGF,0.06626001631425846,0.057879356426302236,0.03586086955621677,0.0549201248581479,-0.0013439425820398598,0.04335986374852086,0.007987746679399688,0.0774753482957777,0.010707758895030573,-0.044862321009679094,0.04190781297249222
CSF3,-0.03236044084343219,,0.062203487369175144,0.11550380216748979,0.18238228948828328,,,,,-0.0015582922863767773,0.008749519511240873
PI3,-0.0383357677998047,-0.032604259398599546,0.020359312689878045,0.05229680419436995,0.034418341602111116,,,,0.05786057552211919,-0.01572268234746145,-0.05163936700604749
PCSK1N,0.08180008933213895,-0.04821913036047805,0.014378355333704455,0.041447459627337396,-0.023750866879595264,0.03887882814795014,-0.01712844464663743,0.03742037140481468,-0.03810493394227142,0.08502628605193362,-0.05229263683349849
NTS,,,,-0.04380860077461802,-0.016708535632124218,0.06107126044021585,0.024919849753259334,,,-0.045794179080237085,
SFRP1,0.009846146934642362,0.06332028379221111,-0.019428129843113852,-0.014919357573449872,0.03306078427980291,-0.022827294418014062,-0.014119876289247695,0.00032523953756480263,-0.02137547401920918,-0.04473003837530342,0.010429956664041581
CXCL13,,,,-0.01478527388418852,,,,,,,0.0876560380353021
MICA,0.006731647524858646,0.0669672717618076,0.027017986687196474,-0.027413320434306214,0.10720022022046373,-0.007556696583573053,-0.017034752771144208,0.1171717325262285,0.03933070110969772,0.13292416501702756,0.15575940695315596
TG,-0.025796436459839627,0.020179995798877196,0.03611156004684064,-0.03164338488102195,-0.0164066184333576,0.059875758270882824,-0.010218493050346831,0.05891261156211196,0.17359146461635275,0.09865651745096791,-0.021962936472772688
ADA,-0.03814871526078322,0.043626068410075054,0.03011044894530449,-0.026050233935963358,0.025429820793136246,9.731428307699461e-05,-0.016595654485521322,-0.0010381675700030272,0.13583578539572944,0.07147663628910976,0.05394189550297353
LAMC3,0.03284721172014233,0.03762332758504675,-0.045043760810340075,-0.05474296960253397,0.024404071085727855,0.032000571225809196,-0.014206699453003645,0.05869961956215552,0.04929522616043739,0.075828400118203,0.10133804881834169
CCL7,,-0.019713148452053714,0.003676815801454135,-0.01960254340808857,,,,,,-0.03240532036492986,-0.06740037274786846
NGF,-0.018643769863923448,0.0598104984205199,0.09386031936198311,-0.020923674829412202,,,,,,0.044149233344329145,0.09717598719270713
TNFSF15,-0.023064670127658938,,0.0001075363700660774,0.16029831043129344,,,,-0.030270080173135757,,-0.028764689270702803,0.11069279222567553
HMGB1,0.07945906689694186,0.019125647642108334,-0.05087143484775612,-0.035825530505399,0.04806172022195115,-0.04159742211239441,-0.00875047982598246,0.008256660534971602,-0.022238771496037948,-0.06629184846092326,-0.006701580771788628
ITGB3BP,-0.029283240538621476,0.02530616057959593,-0.007966113695380752,-0.029801556049787774,0.02516972280060644,-0.040940967589517416,-0.019447784135222995,0.08422116614335017,-0.02726795728334639,0.024876669507990848,0.01374890639556882
AANAT,-0.03341600953499396,0.021282740566023414,-0.015358735715056327,-0.013077672614489274,-0.012262063698016787,0.007232512823193821,-0.011779020619614214,,0.030083091142819953,0.019125208199789658,-0.03121051487589201
RELN,0.04113496557398333,-0.03200215541923745,0.006413937304826108,0.006255307138172496,-0.03598074223565361,-0.02904505240144142,0.017585145825585832,,,,0.01283852161282598
IL15,-0.01526400935239287,0.06409189713796234,-0.04126328368658434,-0.024943557213334286,0.015544171585453128,0.011013644123266265,-0.0030127343886664363,0.009752862143611681,-0.023531718805233134,0.07878445323105929,0.042202583471950064
UTS2,,,,,0.002784359631837098,,,-5.5782192030803784e-05,-0.017107234239275022,,
BSG,-0.029148551626408215,0.06443939315093711,0.06254460182307911,0.06695546559619352,0.010353385601206778,-0.057598221790629754,0.04799055190636505,0.16833012269776684,0.012853455887428646,0.040860295620674135,0.042443577160115376
ADAMTS3,0.026522404696566592,0.00399977046259965,-0.029134938652440906,-0.03905363228854567,0.056185098075251516,0.0541056376137856,0.05004299746128259,0.08271372356113847,0.05991714598717948,0.05281858988238461,0.031175571089718555
CD34,-0.026680314820503922,0.07269685715639093,0.025126841778952917,-0.03645062900333225,0.14471051495781748,-0.005876379570419861,-0.022038227754240754,0.051710146324270685,0.06537156248446606,0.05262390372888769,0.06713843597457851
CCL23,,,,,-0.01395228201384633,,,0.08087787870190728,,,
PLAT,-0.006251409075090369,0.11177587064086397,0.0011427529355498396,0.015513828709782717,0.03914993084169162,0.04841400903752297,0.03680574150632934,0.01285068381424384,0.08399836446205934,0.044271363197918454,0.08795460344029242
NTF3,,,,,,,-0.004294640018209561,,,,
LTA,,,0.04275102190160508,,,-0.012705501262420763,,,,0.03246167524582418,
CKLF,0.024192460027979482,-0.01078806942028328,-0.009309640443029682,-0.0012604120608617462,0.06190885728729376,0.01854077151202949,-0.01598391981543099,0.03670437490327596,0.004357407016978148,0.049682959761860865,0.02179997347177569
CD24,-0.015295231129937477,0.003818295904194118,0.036345355416216724,-0.07267997464812967,0.04053383189293985,0.07187178140373826,-0.016378882122181623,-0.07720684423684172,0.020908074953704666,0.06373912754549309,-0.03929159644234764
HSP90AA1,-0.03312805165003642,-0.0738388511942584,-0.013314696348702786,-0.04758607814498334,-0.10044696168762779,0.1136085221386421,0.051261907193523304,0.017559348872169832,-0.1010680124077124,-0.1333042329485287,-0.126881671637644
BMP4,0.022816613313912944,-0.026701182279937157,0.07329373349790404,-0.02537933625529302,-0.016693138923311448,0.02365642472475916,0.02589883127102967,0.06479262342605852,0.07097767952377608,0.08760792273874102,-0.033229526265404645
