,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.020044162886595693,,,,,,,-0.015224979710705432,,
BMP1,0.0011193749520868324,-0.02295644569850426,-0.0610565624237568,-0.10803009235971171,-0.0875889993641796,0.04729443003048254,-0.1201370754549338,-0.12113831343803896,-0.08796875343010864,-0.09108741734696467,0.07326671863047383,-0.004624321081939094,0.04997660029108395
NDP,0.01327992343022673,0.060788324650638596,-0.057945591693317554,0.017018399796846568,0.05460726109991886,0.013719664327034297,-0.11973477106102459,-0.002689876294059974,0.05124883766833051,-0.04700475493167048,-0.027954772962084627,0.0050011703685483,-0.09154025839729107
TNFSF18,0.04987333308203285,,0.0009943759125147721,-0.029764980144335186,0.01622306200990053,,,,,-0.017243150339094734,0.005734010663964744,0.002773870820449816,
IL36G,,,,,,,,-0.022507983303485347,,,,,
RTN4,0.02799018975019671,0.10611030920052798,0.10338115274287904,0.12311299713115335,0.008170464898409353,0.037868785493995395,0.2005611504877684,0.17608998381626895,0.03220729295710123,-0.016403371195825182,-0.014875654510128367,0.13408102531277113,0.07334112998831538
HEBP1,0.04924544548330992,0.0011555869745200214,-0.019873187884054903,0.02546057034982629,-0.019690292610175072,0.02220501838956,-0.07847045587097616,-0.017168149880589,-0.06125508585420026,0.02229281988550887,-0.002822202942685481,0.08543338762126118,-0.06118365057415267
WNT7B,-0.04533309568612037,-0.0020834287608475716,0.030007172184865944,0.08060848560383943,-0.02883518185069698,-0.024390764680758847,,0.07255797998975033,-0.022067360898412016,-0.013472616705899478,-0.007015490586681086,0.02403903174579261,0.02412982617327219
PTMA,0.07576064912938826,-0.07320772063577247,-0.08389502921745808,0.05218800741540299,0.02881765283172136,-0.01403758075361303,-0.2345338592461444,-0.21555742849649412,0.0027557779719396976,-0.13474280892749818,0.025204383794226497,-0.10748686019571287,-0.26192313590375726
FASLG,,,,,,,,,,,-0.013204619709017939,,
CEACAM1,-0.011687093137167918,0.048739839201073686,,-0.039169018583437236,-0.026273430536765386,,,,-0.014646428369362618,,0.07181617276818243,,
PDAP1,0.04775239770583267,-0.01048463220821274,-0.004450207134405555,-0.0937301602204921,0.009977674591892591,0.02002182059936938,-0.019175333292586874,-0.10471724916925819,-0.033188332552223414,-0.05796856533107437,0.010156495363111908,0.013575206675383844,0.08829414469822576
QDPR,0.012585492593223817,0.04832555742597377,0.05513394413568333,0.041902743792454095,0.044461475816463286,0.07391717492102888,-0.17458711043462627,-0.014872484378810495,0.0014786264467055272,0.02848344924930414,-0.020953384079692113,0.1611177323081976,-0.0021217654335704034
POMC,0.056724206875138815,0.030239030358026782,0.04538955134160416,0.019421805545434795,-0.019383489477351395,-0.012205871766592867,-0.04496365895250869,0.03528218496526607,-0.00858710803008801,,0.05868885584255914,0.08260890880468282,0.013660472984287499
CCL18,-0.008497897736450153,,,,,,-0.02979939518494653,,-0.033636201002782994,,,,
CCL17,,,,,0.033871887296905046,-0.011475214282374614,,-0.003447445702216332,,,-0.011968504628371035,,
VEGFD,0.05905143680352597,-0.024426847810628836,,-0.03357934955675989,0.02824760868327009,-0.022143944700894817,0.016048261425536607,0.055288317385018895,,,,,
