,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.06407690500393219,,,,,-0.0166030641641797,,,
BMP1,-0.028915311416181932,0.010599581729153795,-0.05157294206396206,-0.09691579667653788,-0.03226995833356461,-0.027819562129632807,-0.42694011847752444,-0.05754301213106228,-0.020069121743352257,-0.14827073075723715,-0.10651290656129955,0.052841569227758976,0.06884828295645957,-0.029935797763703267,0.10095200620335999
NDP,-0.05759299038586052,-0.026768927591685816,0.015115757018959992,0.014773925914573292,0.11429836954031813,-0.005041308996239932,-0.09625739784739029,0.03745753912336679,0.019767535125924357,-0.049653117880430205,-0.06836224942278361,-0.05398707169147995,0.06245811274741599,0.007139944100815245,0.04283168944821772
TNFSF18,-0.03403077548969559,0.0003438199222895457,0.04739892711319017,,,-0.03988253575060074,-0.04321966610170436,0.00203042071054011,,,,-0.017122447011225988,0.09199390022676146,-0.03858435068250139,
IL36G,,,,,,,,,,,-0.01334979325762176,,,,
RTN4,0.2317489908924677,0.06605369506338268,0.04590249371405747,-0.03776007609630315,0.17838428606861276,0.10816380128850545,0.5661161144679895,0.1278001940783125,0.043615957044080084,0.3658562739720481,0.14033756622105792,0.035603721212461116,-0.02310029239660324,0.10727085149632498,0.034452521812542124
HEBP1,-0.060256566498640196,-0.02609075135087723,0.06539032290723332,0.006283226741800137,-0.005124387045494317,-0.05753209083003384,-0.16956314077943663,-0.021855261415818675,-0.018822841692848445,-0.06753066612655846,0.0024248617551386477,-0.001984622762222942,-0.12211867061941764,-0.010267575422370176,-0.0865612647634673
WNT7B,0.23216639843477382,0.01897722691010597,-0.015013793671402716,0.013547276427275478,0.002999483712101887,0.10370835565036965,0.4305038300534796,0.031177199620602947,-0.03079389223437533,,-0.014672961238984159,0.025935527153297715,0.20344846234574362,0.07553388486515711,0.005650739151619987
PTMA,0.04699390799203809,0.017815842276490485,0.03828202901459743,0.055333712996926784,-0.11650568172220097,-0.09241971682705274,0.09518954560961168,0.058659001984358757,0.04190401210608712,-0.39152221974745716,-0.14460657504090915,-0.01619450735816686,-0.09195564886307897,-0.025075737178992738,-0.1613009499400558
CEACAM1,,0.014280184034790942,-0.011522183623918587,-0.026181231671838754,-0.028380809537797105,,-0.10436259818356923,-0.02719818658118762,,,,-0.02460316874746859,,,
