,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.027396510563870245,,,,,,,,,,,-0.018219043330381456,,0.09493596167843898,,
BMP1,0.04940966427043878,0.12909054163209524,-0.03813534551793913,0.004504456888547286,-0.058410416341938366,0.14541492335758263,-0.11327367705295857,-0.03269683822897118,-0.004703592957891305,-0.04441212045642388,0.07053209052029359,-0.09864366966615834,0.11621295864237512,0.11293770570252172,0.09423525549783725,0.13551068859682108,0.015586699399839136,0.06703705228903573,0.012612255289216941,0.16272525561455087,0.05594119255838867,0.1207556838284832
NDP,0.05079555076739117,-0.05197838522982951,0.0709127407162889,0.040857232430990244,0.06746934794895514,0.018243599705457882,-0.03200205896907542,-0.005536734489098158,0.04370568459185924,0.04890790386927632,0.037256777123072626,-0.013131664149928703,0.09050145088322384,0.05724142112094539,-0.0123479712336158,0.0036593132255645752,0.0011071791872700814,0.022190605509306904,0.07403343629971083,0.016016014012008563,-0.02005118226748914,-0.04633763202090098
TNFSF18,-0.022596679619200463,-0.0007492493868862214,-0.01078928536838561,,,0.03107735247170023,-0.012737124744509451,-0.014222981148063937,,,,,0.1340227069611354,,,,,-0.018788977801622524,,0.015905906772629295,-0.02451818387367587,
IL36G,,,,,,,,,,,,-0.015263918039388792,,,,,,,,,,
RTN4,0.0558802965274362,0.01387600115907578,0.03531779930834456,-0.0012673310231262657,0.04083919577956378,-0.07788962942471285,0.11022981548535167,-0.025895702590834825,0.03230934095597677,0.08283960099163942,-0.008785384774597841,0.13653373915962203,-0.029735680173513336,-0.14948038155641952,0.03392848556232984,-0.057094587644234356,0.041020466706540575,-0.013826115656897184,-0.009151377191199177,0.015310873241100432,-0.1123923722151598,-0.0036826362867315617
HEBP1,-0.00813020191241623,-0.014628125404567023,0.003826995284578659,0.0457593043475332,0.004366688872223761,0.01304342639157917,-0.1129987911922974,-0.022169021427111177,-0.0380750827652357,0.044874207390203286,0.031661112809941855,-0.05321808256672818,0.061043887468071115,0.02548565645546469,0.0038150549444499484,0.04271658207668416,0.015423997895742564,0.043471402250615264,-0.044263111592758454,0.03694533551689537,0.08555265990132035,0.023341902888902706
WNT7B,0.06879699298611326,-0.002715622273639747,-0.015248984915597506,-0.03656260553630848,-0.012663412150283857,0.056068646526432155,0.06703943342027263,-0.002191350145011881,-0.015025370044080411,,0.054017545943076756,0.08610648450460624,0.16177474699716543,-0.019296841477361677,-0.02950957449211772,0.03876106611987949,-0.030854032295428623,-0.025329280636488274,0.08569011458592614,0.04687407769327331,0.06501104449426992,-0.04128133468326895
PTMA,-0.07302487893143605,0.06432895400991198,0.0482862017697922,-0.0459358760146027,-0.04375147699285689,0.19310457524151706,0.07794478156754538,0.02810950931342908,-0.0316343659684575,-0.11631589687173312,0.041490567007920164,-0.1376127947221516,0.15417605861633518,-0.055469599396386196,-0.07569058683292139,-0.005560002420258547,0.025502089853195596,0.001690533073004124,-0.02742552933912416,0.047277908178944145,-0.019340944984106354,0.004966462866387089
FASLG,,,,,,,,,,,,,,,,,,,,0.039607673901784234,,
