,UKF243,UKF260,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1
IGFL3,,,,,,,,-0.019085633459648622,-0.019802426686559106
BMP1,0.02606695107137127,-0.025373122224081564,0.055111876789235244,0.09189208315416268,0.03237112122830653,0.08252887410862488,-0.001121096862016959,-0.014631924322574095,-0.029522958238253818
NDP,0.08596204242140672,0.0321092192072612,-0.02006315850702411,0.025985087002680603,0.017245642426143938,-0.11625930838066101,-0.0409387302122058,0.022868116759076948,0.024477041491799523
TNFSF18,0.025432528209362187,,,,,0.06564318578673918,,0.11221726824334907,-0.033403153509738354
IL36G,,,,-0.019418564401417704,,,,,
RTN4,-0.04136960707752218,-0.0035907360092726367,-0.0923430568934706,-0.09394743548993764,-0.036774891774705776,-0.07358826450857925,-0.05039594473201386,-0.03077402724504455,0.0032580263655167456
HEBP1,0.09082143452244398,0.02554465416903788,0.03612375908227506,-0.03271077422324129,0.026870843618819525,-0.02919452987488734,0.03872861007052764,0.09490059498330553,-0.01997411411770794
WNT7B,-0.03324726397611911,-0.019503857665108277,-0.01732798079205399,0.042020564935812806,-0.050682779850732905,,-0.041101230154344325,0.020628112430055894,-0.009069551576453332
PTMA,-0.097860400447481,0.043180465283915434,0.006015339482617273,0.05397821811445005,0.0380364610368768,0.1241155377832338,-0.0008406675830736416,0.0213234295770622,-0.07844685088836034
FASLG,,,,,,,,,0.0303700494444805
CEACAM1,,0.009682695978951364,,,-0.0381654041917137,0.27761635716478117,-0.03686024153513207,-0.01072146742445452,0.01118282643504585
PDAP1,0.050792793453381946,0.00823997529118007,0.0092108232611963,0.06047267969201549,-0.07137499282036207,0.04627982856846934,0.06596544294502708,-0.023186745319052925,-0.002499897220147577
QDPR,0.055001250304440065,-0.05563883491163506,-0.025361829343995685,-0.02926249851718429,0.04210232517098976,-0.049088894179733486,0.02307123904562746,0.025784966512646744,0.04037679278958396
POMC,0.05695473816930704,0.01016551764036862,0.010774500376359346,-0.01655646757432293,0.011281858374932969,-0.043979768925298285,-0.034538329852278275,-0.001905687924743581,-0.018533691442599278
CCL18,0.039771403162192735,,,,-0.03272483881197542,,-0.02613451728891463,,
CCL17,,,-0.007635293850141233,-0.017739409873551513,,,,-0.0055231444680617124,0.08985431722376891
VEGFD,-0.03566901576069591,0.04417112362414496,-0.015731767882624377,-0.019011875010201098,-0.03686818894887671,-0.03854424346070163,,-0.02653952038544699,
TNFSF13,,,,,,,,-0.026984390667171697,-0.0253649319976465
WNT5A,0.012656173562985281,0.00021751180463675098,0.020791066763117965,0.03219233593921785,-0.010373993711058134,-0.04182963420923662,0.026024592552079322,-0.02327249496250675,-0.08139433631333573
CXCL8,-0.017787035697635456,0.06369780929989767,-0.014650106292308456,0.07732200758012146,0.06960640640636995,-0.049618281064308635,0.07057785510515781,-0.020117378465083637,0.05955318721793259
GRN,0.07653279097270517,-0.007485809366884392,-0.01576655661657874,-0.005800401226465438,0.07668277086194873,0.05697310533878518,-0.03751828653305735,0.0712788363780305,-0.03504398578587659
MIA,0.013350582024249531,0.1441133306324017,-0.017891572887018134,0.02901511621554099,-0.06521838077106171,0.07333930133113742,-0.02105117632269199,0.16239166144497202,-0.03362667809270893
COL4A4,0.1076196047970139,-0.013961930549573514,-0.010340888830682377,0.014783967708573167,,-0.04389815020358689,0.031810149620773685,0.06441034316324104,-0.018032467295354182
