,UKF259,UKF260,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.023153202347399194,,-0.020566578776658694,,
BMP1,-0.012834894854966177,-0.0005308878130048944,0.05847129341929247,-0.023067772901801634,-0.01959723811946034,0.032586061175900585,-0.03790629207504997,0.0016240697035110458,-0.0033238920687504183,-0.08250060851732925
NDP,0.05069046233545238,-0.008517018534608053,0.09776464450427219,0.013892076880166635,0.0034626920786031963,-0.03547685438485569,-0.0014799075584628503,0.011256973753068488,0.08328462819607566,0.023457070085599965
TNFSF18,,,,,,-0.023877488902851726,,0.04998931556079488,-0.026674489673715173,
IL36G,,,-0.01631018824689685,,,,,,,
RTN4,-0.0006128386154697892,-0.0369948935987422,-0.07274842709737352,-0.045214933349000994,-0.0068982043581461375,0.040566359139931646,-0.02195399472022075,0.07797196395397955,0.04056144566916268,0.04719218234820869
HEBP1,-0.016205846500947755,-0.022504699153864088,0.04149623703623075,0.006676428377691622,0.03141302609556505,0.05496223518074426,0.002434523125520243,0.005811433950669099,0.024207202010715925,0.12693057021654647
WNT7B,-0.02495040085018759,0.03526243416570308,-0.017926776492259076,0.01987708384400421,-0.03178787493373702,0.015076776605776462,-0.020366673885378588,-0.04389762875596805,0.015032008421780057,0.0299473942502557
PTMA,0.06959489708517078,0.026227638614906842,0.04163583577999615,-0.014554806860955966,-0.06229312425017499,-0.00910924280429973,-0.01843766467098901,-0.08815373155672752,-0.06194719620361264,0.049790798095810634
FASLG,,,,,,,,0.1489650591641775,,
CEACAM1,-0.008475415690747497,0.04535532830666192,,-0.018489885881588904,-0.015399745481237674,0.10294535967057583,-0.01351765766452986,-0.02481810383657108,,
PDAP1,-0.027492782399875196,-0.018399599584698573,0.01402220095989982,-0.07917724104617106,-0.046269310301712586,-0.04306025497171356,0.051174211050658065,0.03252663851995918,-0.0422073709828153,-0.018130919878900344
QDPR,0.020145977743555064,-0.015497281409006861,-0.031936090296811666,-0.048891001424746665,-0.024409571481773862,0.029462019972061455,0.01648308357377056,0.02298511454916986,0.0634163184634525,-0.037663557314167366
POMC,0.02021191933071051,-0.0057542566044504395,0.004970906593980978,-0.04439548176157034,-0.025015234323135113,0.012445014890520155,0.04693963733419897,0.026934974177028812,0.0013337784088221123,-0.029017664893718275
CCL18,,,,0.0688630986291206,-0.004377110946249132,,-0.046551375588747355,,,
CCL17,0.018063075341508077,,-0.014899820009627604,-0.01311767909735465,-0.022230499389469985,-0.013319729879999943,,-0.016167587606380592,,
VEGFD,0.12411183293480459,-0.025403205622278244,-0.015968598601460732,,-0.015399745481237674,-0.0015625908181136777,,,,
TNFSF13,-0.011518566672560836,,,-0.025170855882194903,0.009284065521752784,-0.017461371935637064,-0.015179423569579693,-0.02634373455089072,-0.011123393130083108,
WNT5A,-0.05838487093924181,0.020356833221626996,-0.011850217231986754,-0.008275304187378608,-0.043874842965960524,0.08733669041709691,-0.01778274459438107,-0.008259703027939878,-0.07146440848507216,0.022938305925794544
