,UKF259,UKF275,ZH1007nec,ZH8811Abulk
DCN,-0.06691487186278548,-0.07235494565957454,-0.10081570616151346,-0.08175795487813259
RARRES2,-0.014361931080351092,-0.08891988090150839,0.03125446902773397,0.06138752336612399
SEMA4A,-0.0074646528226193,-0.02529127725630958,0.09121899112837313,-0.01828521161791481
GDF11,-0.011899091189127227,0.005528485476892999,0.057287642145538484,-0.005489149791586328
GPC3,-0.016908652194520705,-0.014777277700354644,,-0.06640484465047028
OSTN,-0.021890899395912804,-0.022835834927591767,,
GRN,-0.037554360545524273,-0.05988271312431938,0.007363742288046329,-0.05199505886067332
CALM1,-0.11159511433718519,-0.16279137172220406,-0.1372067196751186,0.0018883719526850942
ANGPTL4,0.12073394357187163,0.07095086109937328,0.06270918068249025,0.07672668413703956
BMP8B,-0.01669895649084065,-0.03202056814782401,-0.002037381473793158,-0.04201725180107463
TNFSF4,-0.02597574706931589,0.04499521837459558,0.040386724852882666,0.1191620732642276
RBP4,0.05801518098725709,-0.045227507015452646,0.11504958746622523,-0.019581908354549725
DKK3,-0.07065955702709523,-0.07554024759280309,-0.10168208056528527,-0.06859633319146387
COL11A1,0.04714065524531818,-0.023054442067485182,0.0053383503152363634,0.002788825838782541
COL5A1,-0.01794186308602486,0.006768511529501891,0.04650548983621191,0.014384226656021732
KISS1,-0.017012620757632577,,0.05483625120452721,-0.02215527219251682
MEGF10,-0.0531260538860831,-0.08927852585501644,-0.071084449860168,-0.050818739041627176
CEACAM1,0.08669545956852474,-0.01836162348633581,-0.031992936149266356,-0.018763782485373456
EFEMP2,-0.020114014481508517,0.032676616985026934,0.10386311759537846,0.07107334340756011
IGF1,-0.030430359450851447,-0.0262831041784948,0.002176792113276102,-0.060340718240438726
COL6A3,0.015360859134811295,-0.021562285953319868,0.08440257518114543,-0.0019025471718054658
RLN2,-0.013835777150606453,-0.013192237973248939,-0.059163189876279804,-0.014467014951211315
WIF1,,-0.011403271087897229,,
IL13,,,-0.044317033517531204,
PLAU,-0.015152685725373006,0.025209802664795854,-0.006002957761794248,-0.06260395052503515
CXCL12,-0.010584768420005655,-0.0276119213306861,-0.067898445232343,-0.02550446018857182
MMP9,-0.018191875323554072,0.04563583614045889,-0.09449380245713253,0.04023918105011118
TNFSF14,-0.01219069903944412,-0.0104810167799618,-0.05362898753225555,0.06936815473935844
HBEGF,0.031228063943312137,0.10024110576168661,0.045904858373212794,0.00018622993809130428
NUCB2,-0.01786080779231537,-0.006980165893077074,0.017780967186440455,0.06717452694312871
VCAN,-0.10902380029806802,-0.030813326467907274,-0.04290343143000772,-0.06849536178060675
VEGFC,0.007965456323148372,-0.02718516137679779,-0.0494658331153633,-0.025676579505581845
LMAN1,0.07791565648340666,0.1330417986171061,-0.011550496552682976,0.050362243060038725
IRAK4,-0.00835948774848422,0.04249251347026157,0.14010027284301915,0.022804455254665373
MICB,0.016775242074514165,0.012996430617577439,-0.038180806968929476,0.00883534245846029
COL1A2,-0.0760163935422253,-0.030094202473842778,-0.007363847863205506,-0.07184929193917082
ICOSLG,0.012279183292681392,0.00043385104912916023,0.05402274276121955,0.06399245106827993
GNAS,-0.10290444499538706,-0.029917649678903566,0.0007183029416927478,0.10081568827811141
C4B,-0.018604481112050722,-0.013662635140422371,-0.04565026770051423,
COL2A1,,,,-0.0330540016624272
GSTM2,-0.01617388222052192,0.03646214617457774,0.0009974043932555136,-0.03817822786388598
NLGN1,-0.05436877648207634,-0.041537441271097056,-0.047444091627234765,-0.023763142778895123
SCGB3A2,,,,0.07847309106330146
LEFTY2,-0.0038994421961225842,-0.013416596579145299,-0.0366270983850636,0.033541985001675656
ACE,-0.029452139547129313,-0.0442104174616675,-0.1859992775482664,-0.06288884408910098
RPH3A,-0.01888491154988716,-0.059444182513883934,-0.1594535723880465,-0.03918726679909117
NCAM1,-0.08525073917233007,-0.12361076304698376,-0.07578112778812249,-0.04309158235428997
EFNB2,0.015083776723111016,0.013576627598069156,0.04972448438209408,-0.050954814389456364
ICAM5,-0.018412272195109405,-0.015047956694011717,,-0.030551904072030418
CCL5,0.08336269830299393,-8.350158471140836e-05,-0.086361054217924,0.008717949383828586
PSPN,0.04942699922412742,-0.03868001034152797,0.038348191387186994,-0.06824395194386247
PENK,-0.013564547028075235,-0.05733760061341177,,
EGF,-0.02886126101963941,0.03153993006247803,0.05042441620708778,-0.01768831179261991
SERPINC1,,0.09957152223818005,,
UTS2B,0.028139725669834872,-0.011403271087897229,,
F10,,-0.011403271364949723,,
FN1,-0.012526743473989646,0.02737479415760976,-0.04096239723343141,0.026799029562989074
FGF2,-0.007066137041256132,-0.03326288696114576,-1.9753102922114718e-05,-0.003180210844333171
GDF9,0.03872018203811872,0.020190453619193097,0.06604493793491252,-0.029666476033852113
CSF1,-0.0071116710385754935,-0.04029359374658775,0.031726827299542494,0.11569180697617683
GZMB,-0.013454364733713815,-0.014566239233450897,,-0.022602686406312276
WNT11,0.04243688906316624,,,-0.04226418269576316
GDNF,-0.01358261955275618,,,-0.005964126335767248
SHBG,0.02997272448526442,-0.02094043459090816,-0.016757926051203766,-0.02390107589653579
EFNA5,-0.02633416715715732,-0.011014726390609584,0.01358721418749782,-0.03383839666757449
THBS1,-0.00976655130739025,-0.0236187088353326,-0.021349133054700882,-0.053910045371017894
PODXL,-0.042272613218089436,-0.060258444188974705,-0.11962311279079817,-0.04751076728568547
LCN2,0.10743242923753688,,,0.09547228341432862
C5,-0.02979735813614994,-0.01855395150675266,0.03985365548218373,0.017899270059501902
DLK1,-0.023028134189900525,-0.03518657304579587,0.08121096903065451,
CXCL5,0.0432025410409531,-0.013892230315744093,0.0062144319181608385,0.030780608399454373
BCAN,-0.13052375711478229,-0.13223165352955812,-0.14556050567880893,-0.11576883842808543
RELN,-0.01999365435155693,-0.029045054216034576,,
COL4A3,-0.023336415494180616,-0.020463462288368053,,
GNB3,0.07901758282180125,-0.033401195800625935,0.13076420052630286,-0.045824888972003895
PYY,,0.06419379755296574,,-0.021079025298130587
MSTN,-0.0022412049016247893,-0.02667260431995959,-0.001156459783618716,-0.020441594415285848
COL18A1,-0.085184429544903,0.06809663912848632,-0.08941608405004016,-0.04879674479575443
FABP5,0.020882222854800396,-0.07579322259747721,-0.10732679190892498,-0.026064415926170537
TGFB3,0.007402174804251545,-0.026756377252782616,-0.09266684881898987,-0.01945314939605691
BSG,0.052397115713461485,0.12105654623391496,0.16669041067406856,0.04603884299804925
TDGF1,,-0.011403270890002603,,
S100A10,0.09614527978753074,0.1351026534269502,0.20003799706239023,0.13559747898339866
PLAT,-0.05094240764561074,-0.011538740367173105,-0.04537432337408331,-0.052707475277372275
SFTPD,,-0.020940434602259392,-0.053629127450492406,-0.02581845078924237
EPO,-0.016698956958429014,-0.010399905283067617,,0.17535334610548656
FGF7,0.03709850307061712,-0.009732716923608725,-0.043132526769471054,-0.02150913970170834
CGN,0.0014684612860291157,0.025603140000534815,-0.039775248082387804,-0.00381503212973036
FGF13,0.00839017089458341,-0.06379875747199011,,0.004832460811981268
CXCL13,,,,-0.029901471191302282
ACTR2,-0.0229835815543302,-0.07886573413692329,-0.13014573150063977,0.002087156196691563
SLIT2,0.03168514871207965,-0.03081801699832774,-0.04462121583423024,-0.03725204739537392
LAMA5,-0.024018351207003307,0.004390994589037835,-0.016384970638539206,0.0731510796700725
TIMP1,0.029961965526984564,0.11923524953978436,0.12980308593323248,0.08777330593567828
PLTP,-0.08689412817171173,-0.0641983898329067,-0.08984835599424344,-0.07973980046832932
TNFSF15,-0.012659188321147246,,,0.07237328675174291
NPW,0.0030467433147070675,-0.014005707199027929,0.3226441250000957,0.038033602547178864
SHANK1,-0.02254668074869824,-0.014777270754764054,,0.003495109324789986
PTHLH,0.09624097673968059,-0.007360538473381074,0.05888268590867509,-0.035055677152326166
SYK,-0.029485374375048442,-0.05214573045835485,-0.08481130638828993,0.047553160343866564
FARP2,-0.002537120217017899,-0.0021088219125029294,0.0567971410493725,-0.04452369827767272
P4HB,0.050106875170300144,0.12272611934379803,0.0685681636536887,0.07764984628336476
TAC3,-0.022546679299265966,-0.03892931036297145,,-0.023885500267697646
C1QA,-0.1234530678915465,-0.10397556636567466,-0.0022232103304112992,-0.10004450533498047
EDN3,0.03376340274514925,-0.01611934026711853,,-0.012122514947085182
AANAT,0.038113056198771415,-0.013192240093214668,0.1348436080892607,-0.017503194073114455
GDF15,0.10726876068094506,0.15923956768918626,0.07520314346127899,0.16870993731733913
LRPAP1,-0.031273318589810806,0.005055176698118961,-0.028656113782193512,-0.020945642547180968
LAMA3,0.06357053947928841,0.06926645393203541,,
VCL,-0.004248008368466477,-0.005548852601439092,0.06758477609391693,0.03354425070139006
COL5A2,-0.07324820936894536,0.023147536864992057,-0.0590608849243089,-0.02635389718321962
DKK1,,0.05513821397286544,0.16010219721069835,-0.007447234702911003
POMC,-0.026829562242784637,-0.013546473694648937,-0.07384832584672023,-0.03574059137110264
CCL13,,,,-0.014687669858495745
CD34,-0.014422147988678101,-0.04505785975636078,-0.053991762560580706,-0.01961965590214879
SPON2,-0.010840818326385095,-0.05531187385552795,0.0003786632267334643,-0.03911878573249949
THPO,0.023335443804951353,-0.023126930138368626,0.032261691853565096,
