,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.0723658501393604,,,,,,,,,,,-0.038557541120885434,0.035993485524992444,
BMP1,-0.05330278981600265,0.013686384092348673,0.03081164813077715,-0.0333213984571844,0.023497332497894877,0.026654513603064305,0.11288772718943149,-0.019093588234019875,0.012080340908935507,-0.0711210147015955,0.021943845669314187,0.031651272179820875,0.11276358074733527,0.034851297796390915,0.040061645259661605,0.03330633269727277,-0.010716146319383585,0.08384359480080653,-0.047053055712463904,0.0783445948584286
NDP,-0.004716535145322475,0.07970841159153082,0.011481796552956527,-9.180864472252431e-05,-0.026375418122098957,0.024237009456611697,-0.0020903172637870048,0.00314488703882586,0.02488728294532378,-0.006159689819108096,0.06610556917784714,0.03148513138310662,-0.05879967359994924,0.018246270866564943,0.028589498029646665,0.0640354367002566,-0.004583437802743312,0.0891217272500176,0.20299450751236991,0.027083399630660743
TNFSF18,-0.020102978653779833,0.08542174259307012,-0.040413530573743216,0.017718003324840543,,,0.07316428044426053,0.08688074070505922,,,,,0.0592528534906771,0.20502364837766823,,,,0.1648560623952722,-0.036904965316233766,-0.028976284692292915
IL36G,,,,,,,,,,,,-0.026816439341636827,,,,,,,,
RTN4,0.0363943224317933,-0.12207204413390127,0.0001386182974607305,0.00010488618095838575,0.0201632461615802,0.03544653254353287,-0.16294136747732457,-0.018260190205322383,-0.057323948762486386,0.060837880670841296,0.009194579198295605,-0.11813043576678042,-0.04089443788081297,0.006677867663011586,0.03290271057908244,0.026042460666852285,-0.040979539906273184,-0.07327102433112825,-0.05788301771956092,-0.12941700569327366
HEBP1,-0.02041127586015189,-0.04222396260012673,0.016117784128832083,0.038584246496281706,0.016818773270112972,0.03436696046532241,0.06490498531191648,-0.019942521653522054,0.061333823919614346,-0.048346079133356305,-0.02205007774868626,0.0565853114336762,0.059329704849178884,0.004972312485897808,-0.0376570780795537,0.07996380197141237,0.026243239562112934,-0.03814473293872709,0.14955682147825425,0.020435317724844613
WNT7B,-0.017710094551179535,-0.03986559756126452,0.020294009763718472,-0.01501379399946957,-0.01234892295970282,0.005567082377325128,-0.016994009477488747,0.0011739954870348462,-0.010749566008366242,,0.013873180331567817,-0.029474357200457817,0.07691627624327489,,-0.03274975490221592,-0.008101526072346477,0.012109015066678084,0.016115237761403788,-0.051852780677544126,0.18607571342739992
PTMA,-0.01149678410425271,-0.009265234921726555,0.035222465978050885,0.017937791358360593,0.0318902962065904,-0.032722403267504835,-0.05788856556283995,-0.009565805449250344,0.08134034480976886,-0.05349078030768415,0.046120755293608186,0.047852447073648455,0.0939403097644505,0.01533052172672274,-0.06850878176298482,-0.06958528271450799,-0.009850529741954732,-0.1577491061751636,-0.2006725357876356,-0.0247107662994594
FASLG,-0.017710099557777897,,,,,,,,,,,,,,,,,,0.02344471940004801,
CEACAM1,-0.024590628229226353,,-0.011920220461900796,-0.011522183875690166,0.002282719213486784,0.037216595131890115,0.043680636375443456,-0.001049023862944684,,,,,,-0.0429675865039762,-0.029370504760535963,0.0022103291390785256,0.08148095374313792,0.12732226937257954,0.016941351137067972,
