,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,ZH1007nec
IGFL3,,,,-0.00817040944393174,,,
BMP1,0.04710071048829383,0.04157131610755698,0.044161535845819624,0.096720454723116,0.05809604302771751,-0.01985282196043325,-0.034893586499061886
NDP,0.08044391856902379,-0.004648786153231477,-0.0038244437080642794,0.05856868693407417,0.033601235481423124,-0.007354539769656709,0.04625782589279427
TNFSF18,-0.024102610928542118,0.03021872645661645,,0.1147769620863634,-0.010540214425541575,,
RTN4,-0.0016993588188887875,0.05501410900760655,0.052742670940837004,-0.1407682759625825,0.0453002740299658,-0.053031663679760845,-0.11959672840450766
HEBP1,-0.024163936312844074,-0.017963585967691088,0.028526678797492416,0.06061563866258699,0.012501028149942838,0.028245577537752635,0.006651620584328143
WNT7B,-0.025820774175597815,0.002399132756953489,0.006091826148449079,-0.07201663886083438,-0.015025598666491367,-0.02518147403199703,-0.04314860827278293
PTMA,-0.04023774649888524,0.04079997172016282,-0.02208704569269602,-0.036611092079000415,-0.030302694577121474,0.023026991786847438,-0.059767533596677
CEACAM1,-0.01534065130716381,-0.01859094495704216,-0.00011160821751642088,0.1307286495934904,-0.0045150412743131104,,-0.04706676553922046
PDAP1,0.040694708433175554,-0.026068587478848618,0.007042762926121578,0.10092193920980881,0.03941444659115941,0.044388207560506966,0.005760797370719166
QDPR,0.044823214887390356,-0.0444883992446918,-0.010956362429193605,-0.14121463080863988,-0.020826096903041116,0.00398259203900929,-0.09285127489974089
POMC,-0.025405324024530777,0.04562145754582862,0.04552178099893893,-0.05846255483751355,0.02937117350478566,0.005133857643856411,0.1691308618981356
CCL18,-0.019143683384825548,,,,,,-0.04035729080543686
CCL17,,,0.016914277700425667,,0.009210943083432937,-0.0311676057804173,
VEGFD,-0.001605571398344058,0.10795843141295347,0.030613078087544196,0.044971810584207995,-0.01899146531594904,0.11709748302416902,-0.04546699928542121
TNFSF13,-0.014446442386806334,,-0.0019427556685675965,,,,
WNT5A,0.014349638601345643,0.11185512646953875,0.03334602286518623,0.14105461681914416,0.042768067617046074,0.025468887333286023,0.09862042449438949
CXCL8,-0.02481762754657635,-0.02493269248026496,-0.03488703355632523,0.07199416384964483,-0.012159241035574695,0.03330038387953487,-0.02778566076604417
GRN,-0.06605201271715423,-0.04973958759782049,-0.04102134610584439,0.12898151571262,0.02435986463965119,-0.01727847053630219,0.06308812650471586
MIA,-0.0188940259728091,-0.02368090206129273,0.019263549518108936,-0.03423499765957823,0.0316073973024649,-0.026000500776906986,-0.00804646184090374
COL4A4,0.06904701165653888,0.04555600947952513,-0.004343575158415453,-0.009080334576859417,0.027090794285431246,-0.022702993812670356,
TAC1,0.05681907154971908,-0.016455978015014174,-0.0005807471118581337,-0.06140826554966114,0.00038956334248979406,-0.01736741972971624,
RARRES2,0.05590156038471776,0.033779538914826636,0.022940697466196956,0.09934133061889161,-0.02294425629560179,-0.032026591771447184,0.019724480440898348
FGF7,,-0.030054394593514586,-0.019744987443224594,-0.0027989715462173824,-0.030719614287645528,0.02234399332508317,-0.028048376604183932
HBEGF,-0.01873350546776828,0.03187468953129584,-0.0037212287166207554,0.04035428817168431,-0.02040707191395617,0.0033575659953872386,-0.020290430102002988
CSF3,,,0.005143849059211867,0.0579272763491798,,,
PI3,-0.020139962052109876,,0.037550775478349514,0.02548202047444688,,,-0.0464435923649271
PCSK1N,0.007717330569097646,-0.01533333505481286,-0.010784806137204249,-0.02810863221518895,0.015224617850540531,-0.027826915645072673,0.0007106466865466854
NTS,,,,0.011084426512009346,0.013068803517151034,0.022981568936630423,
SFRP1,-0.025252612060671857,0.022386621079060122,-0.02301549628048073,0.03216672493163216,-0.012190795128320922,-0.031167606094300693,-0.0648987236576377
CXCL13,,0.0429631390911589,,,,,
MICA,-0.021529436590094146,-0.04069657776643125,0.004555988390490362,0.03987322524011981,0.025548947111699628,0.04702054192518015,0.012744164446513781
TG,-0.01779964017539454,0.001187304014885961,-0.024837366929381932,-0.04183038627316456,-0.008016232110877259,-0.009794940784556372,-0.030711676884599762
ADA,-0.04908423480812608,0.02499787626055739,-0.04294860758677421,0.0630131551458423,0.02079408173578936,-0.028668434495761282,-0.014646627915358009
LAMC3,-0.02824771314500213,0.0210171130387708,-0.024989652189567106,0.09611548062906064,0.03144018904836663,-0.019166752174120723,0.0036261104676948235
CCL7,-0.012176999848339557,,-0.017957376606554113,,,,
NGF,-0.02090730404091348,,-0.005585836421529846,,,,
TNFSF15,,,-0.019996417135437157,,,,
HMGB1,0.012781468365023807,0.047126473327794814,0.018498598018012832,0.12470898637912778,0.001365233733413048,0.032804605309172744,-0.029327408523842132
ITGB3BP,-0.0024129378842976308,-0.002264760091571697,-0.0101826948532344,0.11115721547220872,-0.026230552849796345,0.06620227833821668,0.1579052937793229
AANAT,-0.017666974178758357,,-0.018194696431270595,-0.031263411353025586,-0.0345026333915614,-0.003581999454403157,0.15536154339222016
RELN,-0.038140824081011285,-0.020327775744512586,-0.02227072405084518,0.008104536258405454,0.01922255462256647,-0.039922414873549694,
IL15,-0.02804091138553514,-0.032206255981501786,-0.0034065835116246857,0.025340769786023055,0.05135477092847515,0.057930216049818864,0.17853043813091563
UTS2,,,,0.05926738587869095,,,0.02867445541980185
BSG,0.01389749911178995,0.02988461197751951,0.019594461807503773,0.07325420891308601,0.04293073429681393,-0.021166848213783028,-0.0466808375912466
ADAMTS3,-0.05128712268406791,0.07002794123299644,0.02743382563804215,0.11024595659550439,-0.0007535751871620767,0.06478894011370766,-0.050332115392994314
CD34,0.001120623723307775,-0.04020838749767919,0.0042276292513890555,0.07697976170058704,-0.0055229486557325045,-0.029716199932599274,0.00978632384785121
CCL23,,,,-0.0033680645912929534,,,
PLAT,0.01624520184118796,0.06663304520645909,0.026918288113278375,0.13252101355942306,0.01635170315853741,0.011681503855777266,-0.020505101256844387
NTF3,,,,,,0.029586726685025787,
LTA,,-0.01859094686480611,-0.023015495203779636,,0.03040189480958373,,
CKLF,0.026732242783373394,0.04357603438565147,0.029944293841557803,0.12838274973865138,-0.025907663699130182,0.012370339605090687,0.08781163967899486
CD24,0.011834099437026513,0.07659900412672793,0.03321014484072958,0.014656579265810907,-0.013036124496084704,0.0546026706106733,-0.08446667937479117
HSP90AA1,0.011943436983761208,0.058461115409679375,-0.02728081014467698,-0.08020240969056289,-0.0023025921654788563,0.028735991031610904,-0.11743884926396346
BMP4,-0.009856841701203085,-0.019707493478105534,-0.024870398631788963,-0.030680369946706885,0.0566013801461778,0.12487749358577305,0.00937008976222669
SCGB3A1,-0.012176998630655843,,,,,-0.021931677928040967,0.05485785714965102
IGFBP4,-0.049054140269474834,0.012190196379642542,0.045174698069431043,0.12628397512317477,-0.0056459423552693766,-0.0259943841893329,0.005255512538168853
RSPO4,,-0.008598994487734476,0.017863061450344945,,0.014694371499147298,0.00487629565963423,
