,UKF266,UKF296,ZH8811Abulk,ZH881T1,ZH916bulk
BMP1,0.006152543767556513,-0.04549912128668783,-0.03437979879201757,0.041642255801674,0.09130265621289049
NDP,0.038749662992916226,-0.025926988632931948,0.003952103273451639,-0.03465299774708353,-0.03372564007911394
TNFSF18,-0.015830093190547376,,,,-0.026674489673715173
RTN4,0.03981456345387115,0.03942451011492727,0.01617956587738434,0.10481333567402931,0.019426271738940536
HEBP1,-0.06591546229228973,-0.02837501378539084,0.04790103681157101,0.0270061537710709,0.021554914921990614
WNT7B,0.023038229735489732,0.04454751502717161,-0.01102353715592164,-0.0007899429261806938,-0.057998622080430544
PTMA,-0.027022264469367528,-0.011527413389498286,-0.02256618265044799,-0.030202623333269975,0.012754726466764385
CEACAM1,,,-0.024697625657003088,0.06274117034334263,
PDAP1,-0.022905668671557317,-0.06128765470947983,-0.03592123468165618,0.04282363257845514,0.00178299981071289
QDPR,-0.002014008092781738,-0.01370906937921741,-0.019597298142876633,-0.008734081090697595,-0.06789788662874602
POMC,-0.01315467213095462,0.003515845555791063,-0.02495305341671078,0.07178123288857174,0.09400827172102164
CCL18,,,-0.0451963519965652,-0.06328127562049478,
CCL17,,-0.012878878926243566,-0.01752177000496008,,
VEGFD,,0.020625726422154794,,,
TNFSF13,-0.015351888051106164,,0.018498874480927498,-0.020634691768356722,-0.02901803992416568
WNT5A,-0.051210806670263245,-0.010926708196335814,-0.02791289706029112,0.044618228752227915,-0.002358045850950408
CXCL8,0.029846702642400476,-0.008797283438446544,-0.020820740671051066,-0.010052765265646663,-0.09065026238980753
GRN,-0.038124998632287195,-0.048610266760348596,-0.057270802210264704,-0.0007848989475826271,0.04737239488972828
MIA,0.05695176067287311,-0.010743760810074119,-0.020099605850593637,-0.024207367618611027,0.06963448139804536
COL4A4,0.08546693430366824,0.014272218866287564,0.0025379956859301086,-0.005260764960308236,-0.03243205346439306
TAC1,0.035127320489305135,0.0031553128582325124,,0.017436224056172143,-0.03770197965595691
RARRES2,-0.04097336279869945,0.071385825299886,-0.007748074962042631,-0.06371369836550486,-0.07329925314714272
FGF7,-0.02414843337929001,0.00033558185377011103,0.022569055681089526,-0.03276134288262726,-0.011647712099658853
HBEGF,-0.03417311194388971,-0.024260322704577838,0.03399820158280678,-0.02704845845661203,-0.023887257171517927
CSF3,,,-0.01877907742749413,-0.026344091691113045,-0.03411480950242348
PI3,,,0.02652102709706123,-0.02949522370685017,-0.04281880038309799
PCSK1N,0.06524828159463643,0.050380159727951415,0.0015119031404058586,0.08557439493597266,0.03407896482516815
NTS,-0.017831392632388532,0.001079581625961477,-0.006612633499927775,-0.040966118869000284,
SFRP1,0.0033933624791903532,0.009641887846217733,-0.017973725120962146,-0.013871468827509207,-0.030885208347746926
CXCL13,,,-0.03935748789734212,-0.015467161776169054,-0.027671744625435486
MICA,-0.03784771574221929,-0.01204373989752678,0.007267512503750429,0.020666690113462373,0.011857300617228643
TG,-0.020582127689583785,-0.009320388750830732,-0.023282051643025176,-0.021681592280400105,-0.030494405776821196
ADA,-0.0004560176936181055,-0.015137060877511335,0.020607940245909884,-0.011975412180021208,-0.026235435274811387
LAMC3,-0.021654408429014393,-0.010899466106824454,0.04767816229546958,0.017005354348298456,0.044256517934641484
CCL7,,,0.00673781056583093,,-0.057767487766648126
NGF,0.03809829512787829,,-0.030329461740059058,0.010137249332990823,0.025627441464182683
TNFSF15,-0.02384832246362169,,-0.02560161823051283,-0.016359228667930707,-0.037756424867611584
HMGB1,0.009761939652581488,-0.02141282936324357,-0.033475069509677394,-0.06944164847354528,0.020772105402892503
ITGB3BP,-0.03504838456924079,0.051218599578750086,0.012099301921034252,0.02659299532393616,-0.03886441276355189
AANAT,,-0.010743761407669526,-0.02303838979995787,,0.003141944686430328
RELN,0.032266581785232167,0.01083712800250313,,0.017337317171097082,0.04473169178188759
IL15,-0.0169694991992549,0.029393600035015274,0.004466580540417144,-0.02054218626787825,-0.0768247352300738
UTS2,,,-0.01961887503885191,,
BSG,-0.017234947068728353,-0.034672893308900624,-0.06144091713960655,-0.04288080013033091,-0.027974639763957223
ADAMTS3,0.0013068003835718916,0.030999260996952816,-0.035875949719117776,0.03211378985771483,0.046126633624305885
CD34,-0.015574057361729052,-0.0050783227495881725,0.0019306664679627928,0.0073462529411468195,-0.047096628706455264
PLAT,-0.03678288131658167,0.01084910493635374,0.0005777124669108012,0.051435191325460414,0.07589512042106121
NTF3,,0.051465197198804484,-0.04878862715446944,0.09386517949831441,
