,UKF248,UKF251,UKF275,UKF334,ZH1007inf,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.02148681568960655
BMP1,0.020545207349726775,0.032870088687877476,0.03514404638709635,0.03867554755963048,-0.05553693369886054,0.005125074939826407,0.021132585958221393,-0.017717577722679633
NDP,0.014383711986270076,0.0008399206471270083,0.0014155413440440176,0.06893546698187691,-0.06995507770598873,0.04476913160003519,-0.011317389326099993,0.01105794886466635
TNFSF18,0.004371653415930977,0.07201769600380335,-0.015670681980767615,,-0.024124895318364783,,,-0.036244416620036746
IL36G,,,,-0.013143812135581525,,,,
RTN4,0.03247783462169723,0.020735947523145885,0.023802771510071635,-0.09041920433808175,-0.019148417041517228,-0.09462145703398175,-0.0322220738044618,0.030077606619319255
HEBP1,-0.027392942278358912,0.02492107281486496,0.01593043738503124,-0.009673198329679946,-0.01466500459514319,0.0005818271524003824,-0.04416464043135555,0.008291168121201448
WNT7B,-0.013694612933967728,-0.02184516318992818,-0.026001279008685086,-0.014446564248309172,-0.02655915502522416,0.055854740619076276,-0.0038752408246521338,0.032839326962356426
PTMA,-0.0014363033123708166,0.014405699570397347,-0.09121445440925322,0.04260234643679835,0.013266133788700058,0.00048350397059832066,-0.022491231514978564,-0.002215648908592946
FASLG,,,,,,,,0.003147386464797547
CEACAM1,-0.02837026463581358,-0.0167648488501776,-0.0018158412990433232,,,-0.01808102030776464,-0.014092733637167842,-0.025928572208962948
PDAP1,0.04337830474564519,-0.018652775520505645,-0.05164467325771862,0.031669182721496776,-0.01942055270178401,-0.10813140618670848,0.0025450735772475246,0.056746261189925165
QDPR,0.0031357565723057657,-0.030482055650767826,-0.01777202294522116,0.07643058225118739,-0.11360848998055506,0.018981610453002416,0.0027576775072206713,0.05102583497716864
POMC,-0.007486612254723446,0.015559680882646577,-0.0025957297188931162,-0.015287898225188251,-0.012589018980914251,-0.04235737505639533,0.09450956754922368,-0.061220837063229554
CCL18,-0.035403409728640735,,,,,-0.044152654273135125,-0.032611070915054906,
CCL17,,,-0.019544391418084606,-0.012007245538553733,,-0.02610108793047738,,-0.01689099479385092
VEGFD,-0.016352017823403567,-0.024012282456881574,0.10066578381480708,0.09227068599570194,,0.026657092019718484,,
TNFSF13,-0.02671655755374205,,,,,0.0004561583828266857,-0.015825195343802497,-0.01226301922502168
WNT5A,0.05645875090086357,0.039745873413836924,-0.008559147449882567,0.015684567788424867,-0.010259621985016003,-0.0036905632101033865,-0.028771077585470334,-0.021972422617604185
CXCL8,1.0024274064497644e-05,0.03665251597854119,0.010809972704954986,-0.03869076663705419,,-0.014196920073462897,0.03600298771785498,0.035491034529147314
GRN,0.006661024971931344,0.031163119681384067,0.0042633638888841955,-0.026443954983222863,-0.06458831959492116,-0.028895444699777503,0.03676956541149826,-0.02889130621030093
MIA,-0.029546676486667794,-0.02135484477044012,0.022613211709720797,0.11824110575284744,0.02138719227738402,0.08747645653163148,0.08407052854753858,-0.006464711107177317
COL4A4,-0.007714496918931093,0.0027354959749329145,0.021242004531843998,0.022030739136347913,,0.026740949668138152,-0.028401729178466176,-0.03254426690549479
TAC1,-0.033618750460407285,-0.056100549547444103,-0.03813119185780173,-0.030297660449474323,,,-0.02431398029719745,-0.02220493020515944
RARRES2,0.018409150101055493,-0.0017359921738554541,-0.008519405351467725,0.04724779145476007,-0.08826643549894986,-0.017388707546272076,-0.010632543062168301,-0.010760636069270501
FGF7,,-0.00348607164914709,0.037710863945771486,-0.009374206089462123,-0.02477814397488688,0.10667669264588146,-0.030838304171310987,0.07165320337295351
EFNA2,,,,,,-0.017184799765012786,,
HBEGF,0.0029792620433768827,0.0005070978331576095,0.013337630155721304,0.07550652715262594,0.0002426765371864613,0.005058108856489104,-0.01060740409562752,0.039610117941566256
CSF3,,,,,,-0.07030040557289759,-0.02020385871749364,0.029313214938246117
PI3,-0.007821106626735111,,,,,-0.06823627845788727,0.038636466966411105,-0.005023374519838588
PCSK1N,-0.023037617702140585,-0.03327165302195312,-0.0033636051179220506,-0.03934792877620058,-0.02650214702826229,-0.02587291650317681,0.038967246284676356,-0.01222186923291578
NTS,,,0.047588037680880726,,,-0.02093641746722687,0.011625118794718123,-0.010419138113381363
SFRP1,0.018017579484655533,-0.05027327160503561,0.12784164283199725,0.03289590055434743,-0.032560793389360326,0.028844663059171168,-0.011066714428619112,-0.02572314294346782
CXCL13,,0.05532625837414999,,,,-0.044152649468090006,0.0448676352092637,
MICA,0.0240283917703646,-0.01096772032591028,-0.009003811620264899,0.03238476218406191,-0.019750202299760298,-0.03127569692187493,0.0439177085219017,-0.029549134869917112
TG,0.05984805760203699,0.005442777586366107,0.007989728435443278,-0.01803657705653998,-0.030917179842863417,0.0365758453893979,0.006086205317530648,-0.022404356310924127
