,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.05344979589973512,,,,,,,,0.012111321168525865,,,0.0167831085547002,,
BMP1,-0.0016765063312314554,-0.050407268563516586,-0.015707651244965183,0.012415301397450557,-0.08433620292352248,-0.05424110944082679,-0.3249553679503779,0.08016681210283015,0.0114034719861263,-0.11955963077902562,-0.17331534012267694,0.023908516960880196,-0.028162151346005217,-0.010159903952173283,0.03837912386867438,-0.04880818520878809,-0.01933533895213305,0.008460369775593207,0.021936220652822924,0.03999533226200041
NDP,-0.03812149671771487,0.008285428975916833,0.019432451867076327,0.006963710513581174,0.16198477544930165,0.060942923513324254,-0.10976949512772971,0.0037160026066531695,-0.040693188790374965,-0.06951007579148813,-0.017744321040413562,0.023469676997386512,0.05834455991194598,0.07600303312656405,0.038395391518165574,-0.02144426894173259,-0.010884138045274473,0.01818473459193216,0.07804143295463717,-0.05465299452980147
TNFSF18,0.0025025556522107846,0.017500267408402853,-0.031125123708637986,,,-0.06222329300251186,-0.03549651556398931,-0.008123115461327435,,,,,,,-0.02252850549316615,,-0.0307912835075126,0.015472957900448104,-0.026883894432646344,
IL36G,,,,,,,,,,,-0.03539133079952784,,,,,,,,,
RTN4,0.2394594943988576,0.07571281264375535,0.057703373829862785,-0.01770433241274086,0.2370948381556162,0.23033898888070017,0.4277501020327307,-0.01487599811168619,0.07585635626575427,0.35876296578935024,0.289204633102962,0.03560770817390142,0.05189417124303883,0.11430644955863364,-0.06622776747273852,0.09116559410372893,0.0033398435960050065,0.05401224363308358,0.027943912891829365,0.02407233459159935
HEBP1,-0.07438635944261972,0.011769207575804857,0.011203231969057207,-0.02870005494386636,-0.007563620266055797,-0.09159843418877617,-0.16103679734614004,-0.03312517456608282,0.0110106689398876,-0.1340216128160029,-0.032550380971261055,0.03445718151686899,0.05061518151981175,0.0671802832750479,0.008475305253018732,0.023089287625443596,-0.04626700950713051,0.04854659856098332,0.0667970338812671,-0.006995660948856989
WNT7B,0.35574857177316055,0.01292710480546117,-0.014750385653562308,-0.028158093095923414,0.0925109812509719,0.037683077898788366,0.2963470783638471,0.08551051295542689,0.060302397504879895,,0.08148273870080788,-0.005351033121100816,-0.01554095828006851,-0.01982109700233222,-0.05071032703289835,-0.001339497881918646,0.0007328350284865856,0.06347269758233218,0.004352695390323709,0.06800614713800768
PTMA,-0.011602778880009403,0.014832807630522428,-0.049462401503651096,0.019850388037943548,-0.2032061316928518,-0.274818154961211,0.10656804066033958,-0.021444107515116696,-0.07180786105303054,-0.43505991725670096,-0.2432360733790118,-0.09175951792419837,-0.039867579733906436,-0.04609721985770704,-0.15381887009903003,0.007698350570726076,-0.11718902378876288,-0.09207054011176267,-0.014446082320384749,-0.23576604813247823
FASLG,,,,,,,,,,,,,,,,,,-0.0076298273712949475,,
CEACAM1,,0.023010320754888836,0.05525010055390795,-0.02176532277535265,-0.01923445611604552,,-0.10444816581877348,0.010606947050293443,,,,0.026789056875687188,0.029441447408056445,0.016099523372631236,0.05311695076331102,-0.017973995299358735,,0.016799115491735635,,
PDAP1,-0.05484106435382236,0.05437342496952315,-0.07251893019198168,0.026943780747677715,-0.11094326004155163,-0.06914046057369584,-0.23203485837078983,-0.042358459303699296,0.01747328517031553,0.0026290476607487927,-0.1325948798206537,-0.045576979677002416,-0.004523871308246022,-0.010195585599891034,-0.024196993973268573,0.019154394586179478,-0.014009949988847586,0.08821913941226621,-0.02891598089889918,0.1036388529375334
QDPR,0.1285728155071104,0.065515546660433,0.04062626888578125,0.012161173267455081,0.26243412802758315,0.10415875709778,0.14570833885162188,-0.029794685084153682,0.05423976430943733,-0.339390302711528,0.10838954905405859,0.012318093229053601,0.07919347273189056,0.012725520807709419,-0.10536265024153185,0.021180001204502103,-0.054195159806758084,0.07646210862027598,0.10546355095044715,-0.11010375430475548
POMC,0.13777401192661265,0.002717396946702706,-0.01954524643377292,0.05338861810030301,0.13545991159040752,0.036762829469992125,0.008776790415263538,-0.04493736774715577,0.017661560153745197,0.0195463808885628,0.15791397678194252,-0.05138249093998318,-0.022783898094598045,-0.04360052078099485,0.05722930461091342,-0.002748366046433837,,0.061650738133438805,0.10143430989436575,-0.05062942696139644
CCL18,0.014409956609301134,-0.06994624331072581,,,,,,,,-0.14873253733696953,,-0.01876387868294766,0.029604865701026023,-0.03187941983981857,,-0.05926475892476695,,,,
CCL17,,,,-0.031371288692366266,,,,-0.006640005426203576,-0.037442313397894986,,-0.009606166623067574,,-0.05124938563458428,0.044215853195204685,-0.04762114795097817,,,-0.031037639050243912,,
VEGFD,0.028082043943872047,0.0569407508187548,-0.02973156499754195,0.032875453890718165,0.08575148952150141,,-0.08954274570652862,0.0019304512979977859,0.08227667901630666,0.058354108487974614,0.022832460583479357,,,0.03470010682920947,0.0030483396413563267,,,,,
TNFSF13,,0.06844589858002915,,-0.021639212829821113,,0.0017506013184917762,,,,,,,0.016354832929008262,0.06518714218113793,0.008500572429520003,0.09918252526477388,,0.01896564703786512,0.013456401384849503,
WNT5A,-0.03469857032261492,-0.006927305634076101,-0.016936807477759754,0.039953082751897497,-0.043129189023002,-0.14252899713603684,-0.24232476946195045,-0.006614052448437965,-0.03184716216784678,0.043883671552211664,-0.056451563053276116,-0.01935803012617312,0.09156345314589938,0.06227383487612378,0.12805499771972442,0.08885658226623477,0.03702743798863669,0.03238745740713393,0.029772904067441788,0.05192485773734287
CXCL8,-0.10317473889991245,-0.05655387269835664,-0.018023881268090167,-0.0015663209614909142,-0.14524653576004132,-0.047564864708534355,-0.08208552197619624,0.055917414608632046,0.01818221704943146,-0.11906568722476175,-0.045724658141447876,-0.033036762667057025,-0.03485677635216637,-0.06262446903738204,0.11629941392737221,-0.08771850651972238,0.005262687998407215,-0.02851371715730207,-0.07413496758880604,0.1073689660320945
GRN,-0.07058849872764424,-0.09985397526106005,-0.1105481163563417,-0.0332272096588305,-0.09150789866116849,-0.03554699565459424,-0.3146870388996444,-0.026134316341049114,0.03594325921437456,-0.25874776048838455,0.04835445090875726,-0.023222913441657375,-0.01713932835299441,0.008359237806854693,0.10444138028257595,0.008753952807567807,0.05621080797352888,-0.04980351254800365,0.09801766559260904,-0.058251722605047206
MIA,0.003587361608227245,0.0055218518397826735,-0.0036917723756360716,-0.03942385908398007,-0.09491108262066061,-0.026406345893115152,-0.1356468202228713,0.014347957565313449,-0.013345593400279146,,-0.01950649421741518,0.11047169431309843,0.04542689382607241,0.012288630234389789,0.09047862784537158,0.02556750043278426,,0.11317247445326052,-0.041187287108151095,
COL4A4,-0.02207905836854681,-0.005151612452674376,-0.023396004608133222,0.027598614422514937,-0.10575510980735485,-0.0052177467415791415,-0.018727269427738686,0.03748249615583143,0.01548103092481292,,-0.05300777747609452,-0.023723405490525998,0.05131147538962632,0.06659269254922656,-0.015785765887882084,0.10468138371050857,,-0.004065712562365007,-0.03061623625782846,
TAC1,0.26110683506188104,0.13714185420117325,0.09579312191128761,0.1087661023841839,0.3241547752227912,0.22824200091477614,0.3928972601154106,-0.0023586012762254,0.04494148360819412,0.2599384090974545,0.24331391818217699,,,,,0.020903661613328534,-0.04146433639545316,0.08120382928414846,0.014492116642263055,0.1952409808695998
RARRES2,0.07365687334157028,0.002114200868744857,-0.06374666458794019,0.05417228310894925,-0.30357636276065814,-0.1328736479541165,-0.37924929366356647,-0.10019106191517406,0.004819057189661082,-0.10426956824634113,-0.09055943314860687,0.09007885614128026,0.021537931965021063,-0.0101039121059789,0.03931339162973612,0.020481034351273634,-0.011638843991423854,0.08098201653506422,-0.0641738752229574,0.01644015205227516
FGF7,-0.050153125032047774,,-0.012472510457138139,0.05274949820606497,0.1429120204795838,0.00549578021053282,-0.07434112412991183,0.02442034857914387,0.0583220461682889,0.02568933120048925,0.02405477318272394,0.06309281829288045,0.0516278122331259,0.04750701522850954,0.016349617168285202,0.0561894045887575,0.007788920861039512,0.04756042667767236,0.09086128474053606,0.021077224644613736
EFNA2,,,,,,,,,,,,,,-0.034966107519859776,,,,,,
HBEGF,-0.04094966774703601,-0.002775089591928555,0.00549300409169923,-0.021425313898978365,-0.18837795350777653,-0.021770095028449652,-0.15438037074796196,0.021245324844114892,0.04508887151392156,-0.12869624675487953,-0.050573556427109416,-0.03825285282239612,-0.03776928832121096,0.0011820143205649113,-0.06397062223033168,-0.013995833425999426,-0.005109668827121903,0.052571025782104736,-0.05144247867981339,0.0070305966280997225
CSF3,-0.04922929829180205,,,0.0017461226521371747,-0.04614218720664786,,-0.03953553914305448,,,,,,-0.011215655771021724,-0.014980923201306047,,0.010946429498033034,-0.05460643729479666,-0.01903131149306582,-0.026545127015412288,
PI3,-0.058319444948008996,-0.04836979089943586,,-0.02377832891898977,-0.08652970475257957,,-0.06274674715865636,,,,,,-0.006595901116946382,-0.0460137976002271,0.04753394719121213,-0.0270826507557037,,-0.04360092085643179,-0.06682575761011411,
PCSK1N,0.2380941912114952,0.07799948394125167,0.13020363438075405,0.07139870774655625,0.07557604473391581,0.144539591403843,0.1582427669832793,0.014979971850119973,0.07028061853691102,0.4248760660969414,0.27454904710676675,0.056259633782143825,0.035841857063008714,0.017471459689276166,0.07365119923453117,0.1902814873767701,0.10963749432387507,0.08980192860766908,0.07080320024082958,0.20817746657746397
NTS,,,,,-0.10971639652252625,0.02600710069294835,-0.06282349399431872,-0.013672951258370408,-0.017649962929736508,-0.06276491236481677,,,0.04270557516244647,0.07578153529008243,,0.046080248767430616,,-0.0012665414683769886,,
SFRP1,0.14482079822419164,0.009075188186638331,0.00441646769958138,0.005906746845798903,0.13357445326996056,-0.0752412368519146,-0.04973348814320309,-0.0110663997581194,0.008644798103116604,-0.13291355624365092,0.03830373707511766,-0.065977435171553,0.07601708854667458,0.10845557057650945,-0.04838834459242881,-0.03726947932596544,-0.0564349422777497,-0.030176127977678168,-0.01203372804408232,-0.003784473172564605
CXCL13,,,-0.004468474257002542,,0.013008311148524871,,,,,,,,-0.05812451053907369,0.03657041992698402,,-0.05765410789410477,,,0.07797290089709698,
MICA,-0.04937813692649351,-0.050983943579222604,-0.0403155104802116,-0.03013126124906153,-0.016444925071107484,-0.04514889871819186,-0.14463551676293288,-0.01228933269299947,-0.02913738104282241,0.004013023346691917,-0.1002105101352923,-0.026431898818410612,0.03661589353532035,0.03913447988155741,0.0370513651709752,0.015945969064075978,0.0342871581276772,0.08622098263984962,-0.051984148397407094,-0.008775942980241168
TG,-0.03924360831458536,0.031831348160851446,0.04680394182082744,-0.010291950533845948,0.018288987254880627,-0.017487742426828167,0.00026533874277294515,0.07680458464868364,0.05859895600840377,,0.08882226336789593,-0.030551981450449656,0.0697269127009644,0.004772753464028116,,-0.03566426959709773,,0.07488027028481785,0.018122501255236335,
