,MGH258,UKF243,UKF248,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH8811Abulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.01855793115157696,,,,,,-0.037474082829087825,,0.024651729810000498,,
BMP1,-0.023059753320313795,-0.05738311517089281,0.04652878574591042,-0.006228324585142515,-0.006695767066339616,0.031218065699426256,-0.06995373151462893,0.038098040807348715,-0.029765431515850475,0.04548355633244286,0.0013952204317847635,0.044224026786261646,0.03505826295543855,0.08719738435082017,0.12988642017565533,0.0850100073162942
NDP,-0.024614957059689465,-0.01608104501165959,-0.00839286526340411,-0.02830665711970222,0.08493337313201585,-0.020997017900973,0.005953868369390328,0.04179740051905671,0.019151426848483186,-0.053711353084023625,-0.0005438111296548537,-0.07934628864403703,0.060626452661664734,0.07060711677683332,-0.0026197446376864126,-0.03685323567496663
TNFSF18,-0.019279987219288242,0.011274781019032478,0.031216796042432236,-0.05104437983002071,-0.022289546548602813,-0.027557970635731715,-0.010647509681371023,,,-0.024124878788281814,,0.01574770261363441,0.030746948976973186,0.07128703523446354,0.05476535732354657,
RTN4,-0.02326384890383811,0.059024134661554144,-0.0385972323839936,0.08620896020212775,0.009832412736666577,0.00422338065065121,0.0645292028751522,-0.06541783304582018,-0.04399625962527299,-0.017289413730368266,-0.06154712839518212,-0.0022750191067892247,-0.08874515401515917,-0.07636909590480935,-0.13665413027272366,0.04244058949560174
HEBP1,-0.04908178967797179,0.04169805897059156,-0.015293614273289962,0.01438470009840621,0.005006174362376793,-0.014127235523310548,-0.04675826535274665,0.040861771343842966,0.07004062402004818,-0.025429389476575585,0.033585888776590675,0.03417230414862448,-0.01627946147927362,0.08671127830674,0.01660745530892072,-0.024536585402700154
WNT7B,0.09250563903818891,0.06373169757054045,-0.0054287315804345355,0.0109204888132483,0.04103316606042703,0.09590833516522707,0.00017509792275335838,-0.020336290819638465,,-0.026559136827216237,0.044364603645984435,-0.020051186844440322,0.13133784103671112,0.007620456944940147,-0.05797289225884494,-0.0406277283890891
PTMA,-0.06942250273891809,0.01368368214825042,0.02426522215005611,-0.049387482737462525,-0.016092188164825414,-0.03602423621086066,0.06127814366723136,-0.023780235560989876,0.09011402715233129,0.048080162724281617,0.03079829664137176,0.0223777187611706,-0.054812424444280174,0.021361980809638092,0.11695173765376453,-0.09137173356508799
FASLG,0.011114679294063318,,,,,,,,,,,,,0.039605371063533394,,
CEACAM1,0.01689129969959934,,-0.004326554919386023,-0.024333358532398822,,-0.036264719771977615,-0.016745996129576765,,,,-0.023400517094763644,0.04276574181282091,,-0.042289161654535744,,
