,UKF259,UKF296,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.016603067037719556,,0.06552398174434948,
BMP1,-0.001385526755911349,0.05158558452713356,0.04200034840138066,-0.00923226055934717,-0.016275855964542257,0.08601552648780877,-0.028701309766906886,0.0664503716313224,-0.011665846461470956,-0.02258323435922484
NDP,-0.032042259776842934,-0.016427015261042722,0.09656368904218343,-0.000774567010104032,0.00962970629436281,0.0746831184888723,-0.024386020624022845,-0.014032986158959922,0.13324326678799348,-0.06963516002177182
TNFSF18,,,0.018124730262338892,,,,-0.017122449974656923,,0.015392908763169028,-0.028558123873589046
RTN4,0.019361851240709837,-0.0634890172045609,0.08472943861478095,-0.04056621317656169,-0.06837094053250266,-0.09917201517232943,0.015350500909494249,0.010893911500950182,0.0024342554115908102,0.09733492769996453
HEBP1,0.036002113414321815,-0.034789422974861886,0.014118745084255155,-0.0770495217791952,-0.03767695212065819,0.05034373854246694,0.02787406663652609,-0.02047116710060827,0.0539895977185311,0.043566562853992616
WNT7B,-0.0017467961100671055,0.05829969597623604,,0.12178237685691837,0.044620871250158574,0.015308147461045968,0.007731153795548248,0.09085536017579376,-0.0434595382081943,0.05853719982292599
PTMA,0.04338661138025996,-0.013526491528860233,-0.10211570865996562,0.013672782393404404,-0.030605344821611872,-0.07023687774262743,0.011835210133823826,-0.00025940589579460244,-0.09595672449556186,0.03066980880111585
FASLG,,,,,,,,,-0.023544806032076364,
CEACAM1,0.0458239204938031,,-0.04330696600603353,-0.03053902932250817,-0.006509304916016691,-0.016893067347217235,-0.024603173005609456,-0.016688751140017884,-0.006370053267165496,
PDAP1,0.032547640071203185,0.025217015908754102,-0.013455600041510566,-0.011210123645633788,-0.04920283805524797,-0.030382768310636472,-0.05605906571660084,0.006208537236847251,0.025281760609985476,0.008683559796353437
QDPR,0.013131377861224331,-0.04703640718642144,0.04632004162999107,-0.05617841095198095,0.08357334022893438,0.005255405851855994,0.05373264438710116,0.00227100802906817,0.1272187028800628,0.01666422533591382
POMC,-0.026829562242784637,0.0030317084729248743,0.01015925353771288,0.06793942531846531,0.10008368299212492,0.015410465196341495,-0.043053292477788975,0.040419378348858094,0.0023892635748604917,-0.021581508795321044
CCL18,,,,-0.021652673899465832,0.07981451548374283,0.14290145893493328,,-0.03231190724793636,,
