,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF313,UKF334,ZH8811Bbulk,ZH881T1
IGFL3,,,,,-0.018973585397212223,,,,,
BMP1,0.020344668954677732,0.13811213734317124,-0.015393547423248412,0.04366945911015253,0.004234406706392023,-0.07582147299079611,0.04480652873282115,-0.07358831427010896,0.031664909463600524,-0.08726379582107378
NDP,-0.014666912015192326,0.05684812790599457,0.03185641068452032,-0.007590695866564828,0.058461920267625686,0.020187704572879606,0.013710493749060158,0.0008908160800382836,0.0030323079333720816,-0.06589682485648228
TNFSF18,0.03211067958424851,,,0.0857369317479493,-0.028175204712217686,-0.014222980996764277,,,,
IL36G,,,,,,,,0.05204566927514416,,
RTN4,0.010478438159693113,-0.04610295386374963,0.02056187161493978,-0.00785984891895952,-0.07876969128172216,-0.02455313112982117,-0.011618191697200091,0.09643869966998209,-0.07913673301188573,0.07464353513353583
HEBP1,-0.014380393146036969,0.025839981901728946,0.0738651628270984,-0.034348659167588114,0.06936481627924881,0.024413366643910715,0.08459633801442197,0.005801984664554482,0.024031274234630695,0.043473892021705325
WNT7B,-0.015248986300786933,-0.00723094296177768,0.017089444824951262,0.000588017721272626,-0.05065755394406234,0.034759787728596475,0.06642675526842906,0.10742369860605067,0.02653224683298358,0.11113636817038282
PTMA,-0.02316799691602214,0.11036162412824918,-0.01698671124967527,0.018223619700526942,0.012351465067966033,-0.012931974957125844,0.02575958397550298,-0.04189311997200647,-0.07751016122736898,0.06991975205639701
CEACAM1,-0.01170267982108685,,-0.011760770410749877,,0.028308346170742026,0.0021385799155591865,,,0.06767674595921722,-0.013517655880337041
PDAP1,-0.004515162480267339,0.022874300016442185,-0.006347217364587776,-0.008367647875518388,0.05457299763234816,-0.018466651947396016,0.029834540261421294,-0.04517794378568272,-0.06076689275345218,0.006320712977177831
QDPR,-0.03196552636951212,0.074704421544726,-0.023135689425817337,0.028151839934728196,-0.07062651820174741,0.04264760774125998,0.02086498932316913,0.07231851422507486,0.07615710355995657,-0.03417645750840663
