,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.015533297858930007,,,,,,,,,,0.0477090023761753,
BMP1,0.07399417667523785,0.03667725293212581,-0.013361057102473525,0.0411637132605118,0.00020188100370263266,0.041996264170442936,-0.030637150804748672,0.08696873837518862,0.051373137999667334,-0.00679052103606878,-0.05995809070563417,0.07973049851768194,0.014754379402050285,0.13442679420622386,0.046144677495094925,0.015478642765700854,-0.004185310397027621,-0.024602843288022147,-0.018530030695922604
NDP,0.05126824950157071,0.04739656359033264,0.013849868237379909,0.002182701388516163,-0.006511178727378972,-0.01541562310526072,-0.032448060789103055,-0.03071346285595797,-0.058017261296057276,-0.010399468215105246,-0.03105862413909505,0.10258310084323097,0.007370098712755201,0.006949771493802329,0.01969133151226099,0.062375535638687904,0.012143372637623877,0.03603776116633836,0.07720737746482002
TNFSF18,-0.021153801817755953,0.12801883340663797,-0.002436156417290272,0.010107645963516829,,,-0.01476970545785859,0.07827033268320491,-0.008918625096358473,,,0.04954530863659541,,,,,,-0.03835260821594244,0.026243889677794622
RTN4,-0.019823773780498204,-0.01610585739394595,0.040985345387258905,-0.018673283928098357,-0.08773090973873689,-0.04237290123696953,-0.01702377092211853,-0.10287468933518452,0.028545603840693573,-0.020076531123580658,-0.0041443238879243114,-0.04138859230550316,0.04338185339690544,-0.048786507695462264,-0.05934761325407465,-0.06057956014202356,0.06310235533948622,-0.0006410989374954422,-0.08597094168301117
HEBP1,0.059682301248038964,0.04231651618641257,0.037434065688179724,-0.010894824126302277,0.046472089254121655,-0.005769204216114347,-0.01896864096077245,0.04793489132097714,0.024296501891936394,-0.008314416566396561,0.01676178196416478,0.11087670582223248,0.053160490213021085,0.011146903738471133,-0.009174739725792113,0.07549476336085889,0.014565674190294533,0.03505346435121958,-0.00655049232834895
WNT7B,0.03177802376390383,-0.08311539980336964,-0.02877100007388847,0.04312634987071936,0.03704302923479135,0.008215104606515092,0.01180227756052454,-0.046292729716161364,0.033841257763801036,-0.013874671449995405,,0.007969496754627185,0.12783651979266383,0.06902218714105285,-0.018441473586033708,0.11023360574505128,-0.03504769067958726,0.025624529256252936,0.03786924264400615
PTMA,-0.060863494937684684,-0.03837406861994328,-0.032175763373097396,-0.024492407259463802,0.06023972647416323,0.05440692989676214,0.024067948208270455,-0.07418487094350171,0.07278623322060258,0.03956314610574347,-0.010006300862876514,0.004100042440158472,-0.05450955403058183,-0.03571005403909297,-0.06181240804076736,0.018131286892977064,0.08018626402420279,0.0028262738210235337,0.02152151349918686
FASLG,-0.0186358421142491,,,,,,,,,,,,,,,,,-0.02814352787673334,
CEACAM1,-0.025876029870695913,,-0.00544941520258452,-0.019051065574638027,0.013267056279969875,-0.022083517298264393,,0.009842699686563485,6.978112861473272e-05,,,,-0.013891185611396717,-0.03452188772329613,-0.041013505303837454,0.0697986020952194,-0.0288780583138554,0.029443654527075605,
PDAP1,0.05593730520865616,0.04808505662222053,-0.0007318351184126402,0.04746559191841607,-0.0014013109364949235,0.013707178943228818,0.04438035941829693,0.03098175960506558,-0.0454665892678693,-0.0018673795204328623,-0.051421089505560645,0.05771926878907609,-0.13013678234167927,-0.012956041975358192,-0.02354764698930686,0.011954260467376819,0.026974165144634746,-0.022538755571847202,0.04862431301323366
QDPR,-0.052629306393678695,-0.05863104077403366,-0.06471595310646758,-0.02975884537734639,0.014827951314497944,-0.036932996326477625,-0.04029833013970285,-0.14447976885170447,-0.06274584308860799,0.023988263581064453,-0.015585732518062277,0.031118208951534568,0.003310694243679687,-0.15715880716101507,0.016224924940513002,0.034518066656145444,-0.004085825529976367,0.01730499935920191,-0.04441422225920442
POMC,0.013526058267080232,-0.046913973196143946,-0.03607888710416666,-0.015030632962306738,0.05816786595742304,0.008033276528170763,-0.018593045528695805,-0.03912821469276225,-0.0025249502208103207,0.10378952307146093,0.028160099643771416,-0.0025554837993077436,0.021969129340011412,0.014755177034878783,0.050717793749277845,-0.02280129158652899,0.07099249382164137,-0.04710318368961518,-0.0029430892635823524
CCL18,,0.0703230000766193,0.05998833883995944,,,,,,,,-0.030525058040803146,,-0.08697691964331533,-0.02447658599009828,0.1356130274929542,0.0609840489535929,0.02643186670413323,,
CCL17,,,,,-0.014944462049354151,,,,-0.02713809207356187,-0.0171729537967787,,,,,0.032038726200349504,0.04598932293290017,,-0.00891394381151959,
VEGFD,,0.0734263707398263,-0.013875883623828614,-0.003442917917963244,0.0967512686138719,-0.00321624188699015,,-0.026022440624002986,0.010306605396309305,-0.012596569289775272,-0.023483942250856694,,0.07194464388730348,,,0.032433577130866,,,
TNFSF13,,,-0.020383275191214637,,0.02880688313467219,,0.06322522253009136,,,,,,,,-0.03596532347868743,0.002807547629008823,0.03625142988424209,0.010380551758947754,-0.013676683930112316
WNT5A,0.02639682052734108,0.02041459969288101,0.05793570669034673,0.04130185176316872,0.0015472067149233432,-0.03222881239796663,0.06482460341399414,0.07587397430188794,-0.0437295631463005,-0.00213502464796587,-0.017494869257151723,0.102962393512161,-0.028346550697085224,0.04111858630424933,0.041770024310871234,-0.02327300985972789,0.03313006213162784,0.07175521869056724,0.020823148016132408
CXCL8,,0.0992348769895108,0.09448464508091615,0.025646859504924593,0.16031915139157218,0.0998811081328116,0.016387143883356076,0.04267512388204354,0.036986633085214805,0.059357274501819886,-0.053512052057609366,,0.21863519739109255,0.20279964013501894,0.03424511460594446,-0.0514052272597173,-0.008836363656420572,0.002141318784758528,0.0392286807142984
GRN,-0.06353332392078018,0.030053686663675142,0.023969456856749415,0.017234422353943474,-0.03955617930369351,0.03941747383403254,0.06107711273644478,0.1388128211140243,-0.11335902607229993,0.008875562450272125,-0.029174221205745286,0.041067934869308584,-0.022144821778873638,0.06034873449892377,0.030375923522943143,-0.022082516214310708,0.012117198243970517,0.03036510070104459,-0.08173956294218948
MIA,0.014577471706223508,0.08111196944203095,0.046243138040034264,0.057335072164204436,0.05001088856220145,-0.008316984861146029,0.0033731508596730538,0.07734197262741452,0.033288587169755704,-0.014325944754328005,,0.016131075571661716,-0.00852772436033301,-0.05094881047777383,0.0962514838217806,0.15299866122303293,0.04184770194011817,0.007980895696767477,0.026614038069271692
COL4A4,-0.02158257593356657,0.054372050206269534,-0.03243983452628235,0.0010948711427842595,-0.030530874014890658,-0.05940656257367024,-0.013628208981857732,-0.015306912078345843,-0.02833300774131433,0.0007053906784338684,,,,0.06279255187115579,0.0566530606244052,0.02095520883943297,0.022757761676768892,0.019475800149180805,0.008567839057545538
TAC1,0.08062959821183498,-0.10234652801114222,0.01869815704322963,-0.03212774903313475,-0.06538672664625084,-0.022836754778823548,0.02282178110363164,-0.07907355284976256,0.015121097471937503,0.01818257724001466,-0.04628714871823768,,,,,,-0.02758626509936015,0.09674003582607439,-0.04325786552059252
RARRES2,-0.009706494343512274,-0.0738944787803882,0.05522076352668022,0.023072753700471852,-0.04061529786366538,0.07604960487527156,0.08656920740942944,0.09061710163076579,-0.0048594583254250295,0.0198031262227628,-0.09565560612710193,-0.015261905958205039,0.06966863388041773,0.02944888508700152,0.010678840486054582,0.020201129184287146,0.03906237482004437,-0.010235818811707022,0.07499044847364372
FGF7,0.002982955718489238,0.07852576406354238,,0.0666739697567798,-0.012986169130648918,0.008133867704734921,0.030909554082371477,0.046697042940108,-0.009853332465454499,0.008118458861990262,-0.007725304631514302,0.008754506885623596,0.14015189274603915,0.042557754760831006,-0.03414456286886034,0.03549098223197827,0.038825922492130883,0.04950999913087255,0.10360879968058403
EFNA2,,,,,,,,,,,,,,,,0.02108739544560846,,,
