,MGH258,UKF248,UKF259,UKF269,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.020432761496790415,,,,,,,0.025946868774383236,
BMP1,0.03369410480205906,0.17629678074583952,0.03938168453941269,0.10440910144991682,0.048321564789584305,0.12165899957311643,-0.00027527289265386556,0.14342122974901686,0.07361048484126989,0.04140419887892371,0.35502270523765916,0.16169027550502443
NDP,0.0289753132806531,0.0621513424159694,-0.004252675583675214,0.002760296041121952,-0.03863188735408471,0.03261340374351582,0.002017310207011363,-0.004066888851614965,-0.02006193281016251,0.03271721721509178,-0.009569524065505368,0.07672012157699691
TNFSF18,-0.019279978640602328,0.07007228143664626,,0.023141849496140038,,0.1134574631936767,-0.04602617065239121,,,,0.07993101709327013,-0.03564991210946914
RTN4,0.0482140447351626,-0.011372948566659836,0.021992015280250972,-0.1407918597463566,0.0181883606323752,0.0624611484221124,0.13341736814068195,-0.058009719137810646,-0.025723059096606427,-0.06235675788776115,-0.06009949647196397,-0.001067782017896775
HEBP1,0.05767531076995144,0.044417912802054656,-0.03735836996633256,0.054336543170160276,0.037718293599059635,0.019355567637982397,0.07478554845920306,0.02120518817091568,0.009386045427760016,0.04140159742819362,0.11057914363751199,0.07388885702437019
WNT7B,0.09606900707663661,0.001895345938074714,-0.018612681387000132,-0.045913675410619366,0.0048668808159969225,0.04249149715213543,,0.03434657328033956,-0.008222707432623136,-0.026792598516252847,0.1053878238462903,0.049567134582172226
PTMA,0.029552711930991016,0.04409606380592963,0.033194422046501304,-0.0788896608140104,0.0812638157846616,0.09666970816192318,0.04583500662173627,-0.062237925588737274,0.0070969398425298705,-0.018367957927231837,0.2413507507849487,-0.021286455932187864
FASLG,-0.016985062118279565,,,,,,,,,,0.08696815044320973,
CEACAM1,-0.0034537571721984907,-0.029293385451175817,0.004630405794891714,0.06162263914737479,,,-0.03236420927128682,-0.034864178735620394,-0.031479764564944994,-0.018461208557814524,0.028972603332170138,
PDAP1,-0.0013751823142711822,0.07211595531378046,0.019528268113146965,0.11600201263931902,-0.012610589562064616,0.013897325214258986,-0.09104157527053253,-0.010333323825560915,0.030725385424041924,-0.08219233608673007,-0.024807035742736818,-0.028994133471924234
QDPR,0.023567055777898957,-0.11074487588915295,0.0108703131038179,-0.11621474842296123,0.017187167762674115,0.017510942734400833,-0.0014245663569951363,-0.0739212650869067,0.017944172288234507,0.020358419280572956,-0.08027570107915961,-0.04398560061762962
POMC,-0.035837732539293274,-0.013265352854297394,0.02533585149244046,-0.006949544126209196,-0.04219270561852947,0.02613787879418301,-0.0011674030817167944,0.08819062017887909,0.10680923043045668,-0.024349692170434603,0.12403631854619393,0.0815795242851474
CCL18,,-0.0365553772860406,,,0.06510645538423482,,,-0.024719275945640277,0.03415960854300564,0.0516667623847586,,
CCL17,,,0.041893580893241814,,,,,,-0.022333369295394433,-0.026649913537427503,0.046579717407422117,
VEGFD,,0.0014526813279788838,-0.021525153209252034,0.06139961806739504,0.09264622175515329,,0.042763163136941576,,,0.025740540152962038,,
TNFSF13,,0.08475674425602728,0.030670975876969875,,,,,,0.022729846272876778,-0.028967544883627606,0.0848158875454284,0.04614651199771041
WNT5A,0.034922826168457134,0.04475263337236843,0.02373240339942297,0.08673955230392344,0.048052535390003814,-0.019867138872198806,-0.04707966788847935,-0.011074960655399953,-0.0028715494204049627,0.02322100803457246,0.10480526311009779,0.10231224390534743
CXCL8,,-0.06154956411275841,-0.021796607924031576,0.04743036471052878,-0.009155991792129982,,0.09641670071054911,0.006568137673289847,-0.08587607792679734,-0.07835365662692746,-0.08187376002371408,-0.09184155035917961
GRN,7.585149421735996e-05,0.18657953175262904,-0.0032832171630928567,0.10645974963947816,0.022776428698492533,0.07813915305768754,-0.02498298438597386,0.11978788745874398,0.09801699417589087,-0.029570251010083978,0.19494155715362443,0.09630112805921648
MIA,-0.02223198131464506,-0.010491485132250343,0.017102680733423244,0.11393219769181008,0.053676403496062876,-0.00910912394995781,0.0723578626437592,-0.046606392107679834,0.005367079473990523,0.08179887554721656,0.10349679595576289,0.10142268626584144
COL4A4,0.07848328264051721,-0.02695065995064089,0.050151722606475935,-0.020134969829949903,,,-0.03445163977404114,0.03949768088018252,0.0964744367526277,0.027713287420756173,0.0014473597230585142,0.042665564531389095
TAC1,-0.01698505287740613,-0.07123606350224373,-0.018900710885207835,-0.06896405753760036,,,,,,,-0.010444354764213033,0.06597598485940417
RARRES2,-0.028611536690112235,-0.062486664996163184,0.021243502817345855,0.11138029369597291,-0.06891797958236592,0.01469523483208628,-0.024447286036266974,-0.00818073796021367,-0.031020002814044673,-0.0342477135736426,-0.06318406202978019,-0.1880079329221394
FGF7,0.007347506810607191,,-0.025488243682379088,0.020815911072816825,-0.0034593422146221527,0.07750060828729935,-0.014224188572859802,0.007083193120646573,0.036881210777627585,0.01171703630736064,-0.006049892164315245,0.056837492691400156
EFNA2,,,,,,,,,,-0.017546143253317603,,
HBEGF,0.08031231430134961,0.19724097244944142,0.012538314439841894,0.037416712193448394,0.06215403104089039,0.13350509305570726,0.02884033365124845,0.06864926631102633,-0.042679921713732416,0.04828285034476646,0.12871497507719362,0.07806043043543572
CSF3,,,-0.010584332229556194,-0.02130241053004265,0.07011878343640555,,,,-0.04177234162280689,-0.03378875965202842,-0.028118176914821182,-0.002566941029375858
PI3,,-0.03845779814374661,-0.03163849105659431,-0.023986795418213948,,,,,-0.07374381861195585,-0.07912008801622422,-0.13088404864095746,-0.1229466504470452
PCSK1N,0.005575290313424828,-0.013585037818802022,0.032888810999386675,-0.022879444359887823,0.0629666278039513,0.03562086223599686,-0.01928380406690709,-0.1265619251126823,-0.05250380291488134,0.006776470838129111,-0.08249021674754388,0.007161385558802647
NTS,,,,-0.026183225037458523,,,,,-0.05210142574809081,-0.021376645937948774,-0.01684723328727018,
SFRP1,-0.02471368097544286,0.026106817190869963,0.05408260068039497,0.04339175931652209,0.07333211348402431,-0.05181212721635877,0.06135057154693202,-0.029905118012995755,-0.0029057279798520258,-0.006744649352470299,0.048146529707416084,0.051273008260359416
CXCL13,,,,,0.02361151084800116,,,,-0.03202559748249913,-0.04508104389775229,,0.07523534913869472
