,MGH258,UKF259,UKF269,UKF275,UKF296,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.019246214589483675,,,-0.020521710482826826,,-0.015471715563324768,
BMP1,0.0853089302024073,0.009614453651691146,0.0937190117314856,-0.0014932458115815015,0.09850637459306248,0.016210712644353656,-0.05377336587794696,0.005011551585611098,0.012358827378420522
NDP,-0.028204028080089098,-0.04376712930136089,-0.0031861761759146004,-0.00799009092756804,0.11765289273158268,-0.002831471557972307,0.06910754127776197,0.03357330999296075,0.058451522548773935
TNFSF18,-0.018128364738033354,,-0.0021207607027084554,-0.017201223706494576,,-0.021163677791477344,,0.15228532454017144,0.10570742792569207
RTN4,-0.028107855255713233,-0.02953429925313556,-0.10826820813548108,0.02335805065959876,-0.03307871896457472,-0.03411447454871532,0.13138131813739845,-0.045648034338837434,-0.00502926238380981
HEBP1,0.05434472867052001,0.02910034776402304,0.04340427484361871,0.017064584090335302,0.06781741822545757,0.07693465165357917,-0.013463885526665938,0.0614137700044961,-0.06051328184814631
WNT7B,-0.015970521538034552,0.01271146601139712,-0.0029766779998533456,-0.037386619843957754,-0.015148169397298348,0.013676584838940688,0.03206637683621082,0.020681722052314035,-0.04836535803652908
PTMA,-0.04965608865621478,0.003037729882473187,-0.03437715344660094,0.004449007380909759,0.05108324600172503,-0.02988101700909006,-0.000407656394959903,-0.004444434773354808,-0.03349320055021793
FASLG,-0.015970526052860076,,,,,,,-0.013418613629819538,
CEACAM1,0.06235406849786884,-0.0392249954208818,0.04750107189847093,-0.027053426973343814,,-0.030409995468485797,0.07188987089432672,0.0032159217531904727,
PDAP1,0.03668109161960167,0.03902485711060455,0.043110057384973005,0.026988260622838524,-0.038389013531719335,-0.04812444407554552,0.05562235034785973,-0.04187651403918767,0.0038058194483205827
QDPR,-0.11332532004695081,0.006611464881325931,-0.08686523545427341,0.022974476144530083,-0.02693165020774893,-0.02720122130243046,0.016392897558172415,-0.0147004245191152,-0.028845135871327164
POMC,0.03620304752274447,-0.02847136464942204,-0.013094250185745985,-0.005757823272078409,0.015485843340447206,-0.048096580293619885,-0.014020116177854137,0.09323687677160732,-0.06516611936507435
CCL18,,,,,,,-0.018551938990552307,,
CCL17,,0.0293288413358462,,-0.021453274937387138,-0.01874918725846065,0.0513328689897952,,-0.012162466081862047,
VEGFD,,-0.019424369705587342,0.06571415469597379,0.02465137272686514,-0.013752755595980987,-0.02853645674662615,,,
TNFSF13,,0.013547856835435555,,,,-0.011626385353998847,-0.018919752309164265,0.0009684943281381188,-0.017340934958128128
WNT5A,-0.03110372417181945,0.06685718620335585,0.12421985042741537,-0.032424345034895524,0.030463798819225164,0.040454397575127414,-0.03298601911453622,0.0236792575964074,-0.007158167081929741
CXCL8,,0.007559398170871959,0.04469515308617973,0.06627733854090383,0.03179306080205087,-0.03841460162296224,-0.016121304094634036,0.010398956878489416,-0.0011689687682486817
GRN,-0.13011851379520648,-0.02177667226998515,0.07373558458918264,-0.03849079370853394,-0.02531963621122362,0.04834687679455724,-0.07591481302335563,-0.025468005824405632,-0.024429895671217533
MIA,-0.020904041110931273,0.020675799526750114,0.041349711444508074,-0.042166695671397816,-0.01564086318706813,0.08505176831339435,-0.10067826717469332,0.015475698280658532,-0.023193713941597145
COL4A4,0.006529481126384914,0.027644379303200375,0.021671330510768923,-0.022397882770458004,-0.026275406277688193,0.03315739230595447,0.044699886700351854,0.06980877602512725,-0.03688268666844057
TAC1,0.16025686339820513,-0.06404427754503149,-0.08730326293630439,0.020395528610045694,0.02161700524803291,,0.06062808882394646,0.036622509343369865,-0.017455226143865805
RARRES2,0.09260327600738393,0.007753804199847301,0.06889414852087392,0.04402410931950378,0.021100093219198795,-0.008498852466477217,-0.06273286826870351,0.06266415786148403,0.03465745699481743
