,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.012656242796109904,,,,,,,,,,,0.021780773602280406,,-0.01386966110365452,,
BMP1,0.012017778895713871,0.0993381888837092,0.028498573271616055,-0.02454906498346227,0.02534349963896671,-0.04328530482763348,0.04298697081992539,-0.03550021702720701,0.021971187014700203,0.023723647942704283,0.18782044632031464,0.01599217216462072,0.03459966422815147,0.0030236624700217016,-0.017803513539894313,0.07996320194382144,0.052016412465699824,0.06711258937930513,0.013413851612501472,0.13391442378624444,0.0789093792592711,-0.021667574214582937
NDP,-0.01773256655616602,-0.013576198197988994,0.012057915096061241,0.03171315406836631,0.051537398820578485,0.05482869336598922,0.06256776722515368,-0.032001820537690864,-0.00923783697614036,-0.02240846561476457,0.11625838198793624,-0.00870849977053369,0.14614903795777853,0.028614300336231736,0.019518603591800177,-0.06787508662905566,-0.02110529862724751,-0.0023091300518559964,-0.02867439292974539,0.07138391484646835,0.056847397772456204,0.0013355366438740364
TNFSF18,-0.03166763378139672,0.028032896504544196,-0.04341211649074439,,,-0.014769707854899219,0.09299247634361527,-0.01852584436030155,,,,,0.1854264384545775,,0.08522548859413523,,,-0.015696121225249104,,0.051285564815486344,0.11485195495488254,
IL36G,,,,,,,,,,,,-0.01614024145987865,,,,,,,,,,
RTN4,-0.022472038727544153,0.02277842800368741,0.014457633685146305,-0.035918932079358645,-0.014475943629178159,-0.039693642396416755,-0.04658365940700916,0.021748265004296552,-0.024677583022515718,-0.0037512919365734055,-0.056474517348728,-0.020901621192412644,-0.04584418785085875,0.017041399412381933,0.07452339223784472,-0.027944688453116658,0.021617941913817124,-0.1284797179322438,-0.002076476377803201,-0.027976893340731494,-0.07332679332863565,-0.028032098832983434
HEBP1,-0.01492094297626517,-0.016748544457805194,-0.020761337543716066,-0.003042408076003531,0.006326941689239363,-0.043333985697237294,0.028428215902147246,-0.04830275586422775,0.043458307674081174,0.028404754777244183,0.10964870893656294,0.014662751278385667,0.038851486012806,0.03939339564378257,-0.02954933699177264,0.0029765632833987873,0.021844272106220496,-0.016716487744172153,0.017037905498725026,0.07172442390003884,0.05893055781476456,0.029700845846004374
WNT7B,-0.027898193503538955,0.012435805140084308,0.06874575243017628,0.0015501743755268163,0.11105767096759617,0.02480593366154381,-0.00886853250234681,0.003084096017970546,-0.02374252611906797,,0.06823564142446895,-0.0177399853884205,-0.034101561815349624,-0.038074699897464336,,-0.004865913273242302,-0.016442592517349062,-0.0655854500338489,-0.021233129225695327,-0.003904590773292021,0.044736896215504064,0.0038754440097202246
PTMA,-0.04331730903393121,0.09337858981954861,0.06516225822299415,-0.03706278034032523,-0.034690085843981165,0.048463558582794046,-0.01810234146458325,0.0024150236172448677,-0.013082988248152828,-0.029612437559954265,0.2703428923258095,-0.006069408134710673,0.05881619300593216,0.04014563491910873,0.0281497669115501,-0.06188081782793819,0.021795527057353464,-0.02993321223675455,0.02879397661944853,0.028183888462551255,-0.08861714603694205,-0.07324203622489082
FASLG,0.07922534145259821,,,,,,,,,,,,,,,,,,,0.04486489749043073,,
CEACAM1,-0.012438834409354758,-0.025576102514428187,-0.020694983438671703,0.02873375480451546,-0.021456791661140465,,0.051808748563574945,0.010087242496180296,,,,,,-0.06606026601104101,-0.03404549681517638,-0.04519230293022658,-0.02203426164613315,-0.04506733554873318,-0.014092736675365003,0.06354264658910168,,
PDAP1,0.06638500596302097,-0.019947516271732503,0.07369947114643254,0.017743552214893286,-0.00938174361753518,-0.05947223955002578,0.04151078024147516,0.016641360230960803,-0.008764041104643558,0.02636867405490898,0.16642968620880605,0.025959463254102158,-0.01359435883492401,-0.10288873490172833,0.02847791838806191,0.03696581645136646,0.04052682145369035,0.02099553782719442,-0.0568187369854873,-0.023229561751648267,-0.003654621597538842,0.10522060771272496
QDPR,-0.0004419750806247922,-0.029459622284808102,-0.0053910995451022185,-0.07332443948572026,0.024757850213153132,-0.023133676313127616,-0.04980820200410978,0.030284337644131885,-0.023094821243379485,-0.015236946281928692,0.17183179016117012,-0.030872561694794323,-0.014516908442988082,-0.04123100052697844,0.029608978830773274,-0.040857187703757576,-0.06867402802176051,0.016738035415360335,-0.010614119214993854,-0.06670776657853103,0.03923893845958947,0.01580459612588236
POMC,0.0020316173291957474,0.023909605238041177,0.026114668751026034,0.05254955199101328,-0.0014667915754653393,0.04723487363553315,0.07044437365384082,-0.021495924806430734,0.01914972789112021,0.09283174348731472,0.04501975031786629,0.026900312201816722,0.09959306798939406,-0.06442233732397268,0.02511582860165395,0.07135602591773998,-0.01616076362622439,-0.032315560697711763,0.041003961317151574,-0.03828567149965672,0.07630099819217431,0.015648289142701763
CCL18,,-0.031916559404841546,,,,,,,,0.018446460497559172,0.15640676731226735,,,-0.03587784797584937,,0.06203087723385773,0.02365900747058791,,-0.015302242355717137,,,
CCL17,,,,0.0446418673922717,,,,0.0014409802828770505,0.0983367987457594,,,0.07534548903378006,,,,,-0.015632242149689567,-0.04009776722518682,,0.029136416372956827,,
VEGFD,,-0.031916569539844036,-0.007102519880147961,0.09598526216792043,0.016048642336414298,,-0.006558336068965233,-0.024616779940940692,-0.021555420353628476,-0.027148967771969075,0.044549744092411685,0.00530924271239336,,-0.02657792667906061,-0.046284106853077246,,,-0.030713096986900775,,,,
TNFSF13,,0.03189764299185821,,-0.01773498376103251,,-0.014323535484386857,,,,,,,,,,,0.12981723474967843,0.0768520067170982,-0.01582519875549428,0.08098956620086072,0.0676864218158505,
WNT5A,-0.02252893216190273,0.03476501989512084,0.03209673071451244,-0.02574225522320932,0.04149108515600266,0.03015207320784909,0.043257864609970616,0.01585745324543941,-0.0321839562530229,0.020781282130956345,0.03745935183560813,0.014543027212365986,0.11804707005051657,0.033054709241331984,0.06445416142498299,0.0501636959148147,-0.007762964694364516,0.029900521294074632,0.049488277368602604,0.048438627249320534,-0.005494883632602223,0.0671631986679037
