,MGH258,UKF243,UKF248,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01841750871445281,,,,,,,,,,0.002047912257782441,,-0.034552122154803806,
BMP1,0.0660686468797183,0.047972804334452446,0.052533577560458844,0.01694832680573333,0.03634771295130185,-0.006407149033976923,-0.052275348105632835,-0.007095640342758835,0.0024518595731007325,-0.007007638496392237,-0.042466315072969205,-0.007768151867462797,-0.01189591414416578,-0.019616931069464095,0.09905438422403781,0.07949363199425737,0.07423255031640778
NDP,-0.0031747319912970445,0.10564254758446043,-0.011393400987018848,-0.027648420345989383,0.022067203147104322,-0.0230144927090906,0.03277630042094773,-0.00048041921485529745,-0.006334976102915134,0.024881230111141617,0.02737943822777568,-0.03326588728487497,0.07937282892595045,-0.01658388675276207,0.02475714642253086,0.040210932975591814,-0.07108146917362132
TNFSF18,0.12859925394324875,0.07264299498625716,0.020907144448339337,0.05784989670724408,-0.014222980458809965,,,-0.01317601306857754,,0.027338255504602577,,,,-0.031656461885691094,,0.018316466631736188,-0.03453073038342074
RTN4,0.044566660002605694,-0.04457436627483968,0.006152988682415027,-0.04593318496625828,0.01461549127925731,0.0097719765961853,0.003250506667344333,-0.16837324111878374,0.002065534655260785,0.09788551668195343,-0.050984053449723975,-0.048356530188505574,-0.03277220026435506,-0.04847922396457142,-0.011799327178341115,0.026186367162799082,-0.04769874828472388
HEBP1,-0.004776942575439286,0.009820530226745144,0.004145470122397505,0.055022879164839535,-0.057053735643804046,-0.03854173577882927,0.05329319121163857,-0.06159424851721915,-0.08621713574338602,-0.026964078327033035,0.008126633863671002,0.050909820055357706,0.008175993583209237,0.0524045769239201,0.024446715679393292,0.010224956412745043,-0.01732475112808794
WNT7B,0.05408509888702443,0.021325177772803527,0.0009520381794817189,0.05901166789714255,0.010893576877895871,0.06559139992231564,,-0.0010179943112344273,-0.07509788340281498,,-0.041820664297194235,0.05385917447378277,-0.05815069600946735,-0.0413082743172807,-0.028825412806334005,0.08734553567460368,-0.009202783790321243
PTMA,0.0572251248035582,-0.11440297709818428,-0.00575889115841612,0.04027819423665777,0.012927912566313135,0.01595357339595677,0.06251089212856928,-0.07995939707141014,0.11928814335809822,-0.019266473755026384,-0.06367612315116121,-0.05448750523585034,-0.022672161079687864,0.026740185793983462,0.08788843351711914,-0.024151849857345847,-0.03638533380044969
FASLG,-0.019083065134261695,,,,,,,,,,,,,,,-0.029967043757234534,
CEACAM1,0.0781883708962657,,-0.018743059875998593,-0.024963480444178694,0.026705742328707587,,,,-0.04998124626150865,0.0019113692513641138,-0.01715162579831489,-0.03952262097957746,0.04864838288169679,0.033169280195072724,0.04466675179425985,-0.0022620326721666945,
PDAP1,-0.05730771072930984,0.016700915857921054,0.02875437415386615,0.020204724863460942,-0.029557501357047173,0.04777057613665641,0.034479764259638876,0.03029167261929463,-0.015642752801468564,0.055683453449456785,0.0651095848006185,0.003278936502239159,-0.0031907331627299223,-0.03635215507078953,0.05449814925020538,0.0077879755139431215,-0.0090409886743339
QDPR,0.04610551725552367,0.06745667031905514,-0.06466442846901582,-0.06704516123107315,0.006400622737681229,0.012477774822747286,0.024361012819640773,0.0305931801465544,0.027762832007547495,-0.017785425455387426,0.010781235459789491,0.0052005483509723815,-0.01747911164710172,-0.011648699605581155,-0.05003734932636991,0.041853658121738864,-0.08832700806056488
POMC,0.021665883601299556,0.016990727373405623,0.016915687085828617,0.05481836968064941,-0.016503221797602115,0.045810999472003185,0.031090683572507376,-0.031912316274852734,0.0059022844103147,-0.07766963999284628,-0.08133440293104918,0.010384501365755774,0.08096512777246231,0.05543114852284801,0.018943686299487936,0.06025341900486143,-0.042299117858673185
CCL18,,-0.0377790262742126,-0.023389567805467703,,,,0.0531662553321383,,-0.05705537062547665,,-0.026591974741500365,0.03738822034466336,-0.02818409178378911,,-0.01589911158593873,,
CCL17,,,,,-0.01773882576137468,-0.017498845322751814,,,,,,0.0036287036036162334,-0.026061490165847793,0.06380279840861178,,-0.02716175927899808,
VEGFD,,-0.04256592037764115,-0.008597648628121344,0.023150724179161128,0.03877884357946879,-0.012835614665221456,-0.02158411963617844,,-0.06427925273686885,-0.04036222639384923,,,-0.005541447579104154,-0.016766281421024223,,,
TNFSF13,,,0.020852669819741286,,,,,,,,,-0.004030319255237583,0.07184690614668406,-0.04340010958649618,-0.0233112000714481,-0.005114917019342431,0.0734722151046072
WNT5A,0.04898932247195016,-0.09073450580015147,0.00543876282677113,0.010470292424081934,-0.029673725115098182,0.012784975936907755,0.00969332895403201,0.07667401470464107,-0.015541327663737227,-0.13195332439313254,0.02641469987071045,0.04775782986897658,0.014829331252555627,0.006532254974587825,0.05765007840535945,0.0866385191094296,0.05788417594805265
CXCL8,,-0.12833744916083026,0.005944342060573112,0.06799698839909554,-0.03628260390946871,-0.011953082487334418,-0.0022406921409434694,,-0.09151702665017768,-0.06132533234423392,-0.016113129964024968,-0.08508927694562597,-0.06742439819523068,0.04898994185840195,-0.04387099841564073,-0.0384121982485156,0.08086465096753681
GRN,0.017839430787362383,0.02920054271696103,0.0398542934809446,0.03278346921242656,0.0017324599870833569,-0.01216415709496878,0.007741638827181552,-0.021794199128714907,-0.03516556784441782,0.06139835580140729,0.08381346686522947,-0.028727756619568296,-0.06711279203067531,0.03405903997460469,0.06657864554338357,0.00951448795642325,-0.04964825020059728
MIA,0.12694145709524618,-0.05051016509275535,-0.024112454983795214,-0.03037531506160698,-0.02613942666465466,-0.014597808526410724,,-0.0034727822374898934,-0.0629684924317476,0.0006097783533944569,0.006531398400689529,0.08295366522086346,0.06993311953801336,0.009924853275439493,0.014552022088241674,0.03655121744719012,0.047457416800629794
COL4A4,0.10346734259397201,-0.04285002750554337,-0.015598952397649272,-0.01814908779543077,-0.018519882910578146,0.023213633573110824,,,,-0.031604418169411355,-0.033620564822759574,0.03700407393224011,0.004125987262977403,0.003324952169737177,-0.007330370324943511,0.04978218738675584,-0.00926702817079294
TAC1,0.055178066778538086,0.056536564921443044,-0.0386466156877721,-0.035182063494181355,0.036112538001405056,-0.005391348037371626,-0.06490083129098281,,,,,,,,-0.0393241608832819,-0.011617245555565661,-0.04655340478206049
RARRES2,-0.026221520307131742,-0.05978074449407598,-0.0006616952370480081,0.06329907380810318,-0.00021223298527332934,-0.06763652261887569,-0.04927879220080762,0.09093660074093311,-0.06485385114588677,0.026603861547617676,-0.026915433468756432,-0.06050072605665375,-0.026694168104318645,0.026585421423030327,0.04091707857847949,0.0935917209484324,-0.01988535702636129
