,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.0342728365363935,,,,,,,,,,-0.009958201752466523,,-0.03644450724290763,
BMP1,-0.011046482308819189,0.03869528434387218,0.0848065519535421,0.013817826063756615,0.06389852504008475,0.008110511969509852,0.04014715793577005,0.0021228344190024426,-0.008358364962652144,-0.030425244616549108,0.06586755226722116,-0.011209396855772177,0.08408531673381678,0.020571566308370107,-0.02811483155236091,-0.043461895608962534,0.12032251342711171,0.03230742106052073,0.01611215624598632,0.06703113503437497
NDP,0.024168556215749554,-0.0024183326613301135,0.011438743279038427,-0.016433617713888665,0.017105200776404303,0.04868488572348881,-0.015210291941202657,0.019180136105153563,0.004187080181646123,-0.03497221606167726,0.032644017123601536,0.03795856019840768,-0.06401614899925016,-0.03893476568703738,0.029573269926217643,0.07990115874399546,0.09843616789519022,-0.02791674746372356,0.03859135934829542,-0.014262210606924156
TNFSF18,0.06840603438286229,-0.03140816048732366,-0.016252489781120264,-0.0277342187591086,,,-0.01185656301308465,-0.0294256792017518,,,,0.19178345746133083,,0.13506378271099423,,,0.05870982508620089,,-0.017169733154797764,-0.0019423879144979952
IL36G,,,,,,,,,,,-0.012899377881917772,,,,,,,,,
RTN4,-0.04907961803364379,-0.05529638645360002,0.03941374724419406,-0.012915903202500923,-0.05743798900044727,-0.005234732450690088,-0.08404502642096616,-0.04814605876246955,-0.050379266262285956,0.09120284602119523,-0.0274852843132119,0.005121179078519723,0.00997422960674983,-0.007205489700628757,-0.06142247241683619,-0.04867760295953135,-0.20035140895185646,0.026827344432275965,0.01904142321148053,-0.08559740877476262
HEBP1,0.007335395082570865,-0.00036309321998915535,0.0428563671240843,7.451366408758703e-05,0.03774218843819584,-0.022572635219889073,0.0492307330305625,0.014848931971015446,-0.013420598971768989,-0.05609597181728086,0.02909152681883681,0.04009253643797653,0.052884695955408165,0.02979529627478926,0.017330536462039775,0.022993376126707446,0.04583369646927313,-0.01807206926240045,-0.01638187288632509,0.001134447245987944
WNT7B,0.05154585240973982,-0.022231542798145702,-0.05258501982411947,0.0017537544651666183,-0.009478782086556364,0.01986503606526506,0.016223599804811396,-0.02649581174996786,-0.017435751858734434,,-0.036739013318309886,-0.02939456451297533,0.010432522131820903,,0.053185147987786355,0.07012933360563742,0.09162851082915667,-0.03782509980941666,0.027710708600201982,-0.03538998955041293
PTMA,0.0043529321362812,-0.022570169686429897,0.01240766078146273,0.07628647748476546,0.06330543036432168,-0.025676360616784865,-0.017827897391882837,-0.08013121497981594,0.033532961302443966,-0.15944175760983775,0.04844961229771398,-0.02089653154120192,0.03410486893866908,0.02045833100914442,-0.06937994883874753,-0.02148112585278957,-0.20134645532456683,-0.011368113655374367,-0.09214101369267697,0.017840923085442995
FASLG,0.04847612878882975,,,,,,,,,,,,,,,,,,-0.018787656389719517,
CEACAM1,0.02378197419258709,,0.01630422601222614,0.010773646414896334,0.031205564459977096,-0.021935720058116014,-0.023970112367423784,-0.004935932269871924,,,,,-0.08212871903279002,-0.029222894900890917,0.08947784516587863,0.025563924397680106,0.062263727036975504,-0.028793340634510542,-0.015004140029957078,
PDAP1,0.07436979469760752,-0.03773326250565595,0.010595529057383818,0.002022222890779511,-0.03882066964784457,-0.04080860739333748,0.06945199398488607,0.04216361962354949,-0.020152799170756387,-0.07811317284430498,0.02875718256862541,0.05515953667002011,-0.12461811839017281,-0.0006961055648917367,-0.05977534243913992,-0.04770356472334026,0.11737588602357116,0.07251585684872379,-0.03270161176277624,0.05481069916926642
QDPR,-0.06809699984609976,0.056626649172342135,-0.0310267880439889,-0.054755758238855215,0.0005395713365485246,0.04680769838662296,-0.0735470238979381,-0.04174364499708377,0.01337834276526121,-0.10945975723070984,0.01355191700007733,-0.015329059816713538,0.028274972940145738,0.06454571627650486,0.022040330611110045,0.13231581250084473,-0.13917090524114567,-0.051758106701053345,0.05688527216223103,-0.12300433942322647
POMC,-0.0349991007872901,-0.008833784425778157,-0.009741605527073626,0.003944084888179034,-0.03242054581315427,0.03314334421608624,0.10448572788764691,-0.016986541270223702,-0.027246316877299795,-0.046181317602176614,0.0012911577589884828,0.03215912235455418,0.01223097837831141,0.018892019747769925,0.03380222248230903,0.1281930408210201,0.018704293010505184,0.0013801887361887275,0.010149757691877582,0.08077578653465144
CCL18,,-0.042120925725205,0.02669141445840175,,,,,,,-0.04405439668203209,,,0.0810165431101817,,0.02669082004103755,-0.018762263647991117,,-0.059407844280633,,
CCL17,,,,,-0.020178834426400297,,,-0.02840316969461304,0.07067088553546322,,0.05780479688313427,,,,-0.026780573574963558,-0.018149886236699508,0.06714430005641435,,-0.028649381602048225,
VEGFD,,0.0022148552164785672,0.04023462518752658,-0.018936680917251696,-0.02248144989405508,0.0507909108231267,0.05243546793767507,0.0257985533713761,-0.015829611331657802,-0.03692796935421801,-0.01216462345101184,,-0.03795098187454613,0.055966012224674705,,0.033451399842657055,-0.04027603434427282,,,
TNFSF13,,,0.07274818238180238,,-0.013918908371680966,,,,,,,,,,0.004822505448543016,0.08552984771797235,0.08787166396689126,-0.04348079020795345,0.0435737675307594,-0.01950021908463757
WNT5A,0.05317669460035842,-0.021257207187714306,-0.05051700253495669,-0.017019430194448047,0.013292334198449109,-0.0021081964593414127,0.010871137610741622,-0.03503134928359948,0.031795409801784684,0.02273013019979075,0.05976491380191359,0.02123812155023087,-0.0699099356189939,-0.08147057312066092,0.00025828438031710193,0.06503420927732037,0.03679133343269455,-0.029420361121513586,0.03927016904082905,0.012056684555999946
CXCL8,,-0.012270406605404014,-0.07223369856086714,-0.01773118559804074,0.031662357236542225,-0.003963674655098189,0.009244908158666833,0.0019679584835966433,0.0648788417789802,-0.08414649454320769,-0.007910762760548867,,-0.0016051593925521864,0.12316725213932384,-0.03065484749928585,-0.2436615337617582,-0.018037964192813494,-0.02650827525590954,-0.008823056510271425,-0.002507134400415632
GRN,-0.026228745679357214,0.047984694417314434,0.07040530720477138,-0.02404959803907219,-0.04075258426046688,0.003294597273904111,0.04131252230199395,-0.020015804173542543,0.0056244333872435,-0.08446123882480726,-0.05394063244556576,0.045481087222155075,0.004038009346461489,-0.0491354257229378,-0.002876448592991474,-0.027464930978035478,0.182748558336668,0.02411064159894267,0.01924948229353805,-0.00936189920871591
MIA,0.022752110275233495,0.05290543606194155,0.04086566461780743,-0.016840959712239822,0.01807719614082526,0.019945695200104988,0.02988770880060625,0.043117388703059124,-0.018002849204655155,,-0.03728046025032894,-0.010685644470741041,0.004607447609267692,-0.05701759187408106,0.06497895839085917,0.20697739227028847,0.18299999323246424,0.03793449963551812,0.004749416591510414,0.12675861388713272
COL4A4,0.005167137973573197,0.0002453992283190784,-0.012336155201479026,-0.02832147821449923,0.009734639155719609,-0.06358771597875305,0.1525039937380005,0.013741742898389751,-0.0302433549447177,,0.011412044564483564,,,-0.0008314892674880912,0.05990283751873786,0.10874077483191187,-0.04156781591986735,0.056037942857463316,-0.05497829586074088,0.02470788435476542
TAC1,0.049922834564583136,-0.009610939093732224,0.013970278617661388,-0.02085910343934448,-0.08306179958391577,0.056443488237582,-0.026873587028108364,-0.027249072898059588,-0.02455606899480929,0.04566535889598907,-0.05602152032472078,,,,,,,-0.0026520658150803334,0.029929929155737847,-0.05185130294791125
RARRES2,0.02180311880009338,-0.06915263950973716,0.005653337762742876,-0.012015118054557935,-0.05435797844482657,-0.05828203870972832,0.07586766823680555,-0.01647448260151633,-0.04781139528045598,-0.02969846838731074,0.07828750325286798,0.037568593615226714,-0.11099114008606985,-0.08312718078880106,-0.0028466977477279755,-0.0957481969987275,-0.03553982982971009,-0.02288401152230232,0.004797108893484007,-0.004571561672961359
FGF7,0.01436791334017363,0.0316440274601035,,0.07130898821533299,-0.00404904767852798,0.025036279876422804,0.09356927609985506,-0.05575852935117088,0.014337251045313866,0.09226316364128735,0.007641250219340052,0.0035179653905619123,-0.012689609297673862,-0.002443698783449262,0.07258517841035574,0.055369551957319386,-0.030368724351013673,-0.043433988119157586,0.05342695252851556,0.005541536125235601
EFNA2,,,,,,,,,,,,,,,,-0.04949870267265395,,,,
HBEGF,-0.010581821579841997,0.06523417619836824,0.04325076550714509,0.024903274166460116,0.009637768040174187,-0.021884371220346102,0.022930504558355887,0.08778422172252753,-0.032971937112016195,-0.05941708812139092,0.11107988290918137,-0.015960391449224363,0.10832343490300567,0.04926219774694376,-0.012441686487998226,0.04760512192168715,-0.040720617516011616,-0.00010986770418517515,-0.007936756404891198,0.0676448168651834
CSF3,,0.04205669941637654,,,0.06015783203356519,-0.009722229228834738,-0.035731539960566897,,,,,,,,-0.05788358899168647,-0.14895033209595865,,-0.019326744871058604,-0.001112013977444945,-0.0007271612049824149
PI3,,-0.05659624853377499,-0.03896733131141693,,0.010021696839677574,0.013595445141805225,-0.001269211967310492,,,,,,0.10036653860321276,,-0.0772312520171984,-0.22379607132824536,0.07348366381410151,-0.018544976777502015,-0.06553500206695796,0.049562666535995496
PCSK1N,0.04122966528352298,-0.05644414554390874,0.04729354767330195,-0.055341014872378205,-0.013207595161648154,0.0012342782292834832,0.03426090220654854,0.01083065643432175,0.019853605210690177,0.17207015646669435,0.007799601961765134,0.015636929221027128,0.03516976323099569,-0.017371361443240283,0.007437640168949367,0.018811907075925286,0.012276572671176662,-0.018708648675591563,0.08044442828000473,-0.09395442219632137
NTS,,,,,,-0.01913330713346028,-0.017056341604546,-0.030231087087819398,-0.033370146294383535,-0.03324703468319179,,,,,0.024221015344716268,0.062448061148777975,,-0.023402924338492392,-0.0249061871471264,
SFRP1,-0.036508442093482724,0.058096211191562885,0.03186136162735091,0.049256317270307784,-0.01760681302143672,0.08346931583083907,0.07761255550498468,-0.029881329505978667,-0.02158057328973243,-0.02253930367554345,0.038641553423618046,-0.029440294383939716,-0.12743383757658433,-0.01084364894881274,0.05398869063116756,0.15090566421635726,-0.04001571783103351,0.058124476581520625,-0.04362988368569785,-0.01924167646591611
CXCL13,,,,-0.011973897888725025,,0.08157006758258734,,,,,,,,,-0.014312197991494668,-0.06374200408145458,,-0.059203710207437255,,-0.04704572072308286
MICA,0.07973403343757553,-0.044653457274295504,0.01539983092500878,-0.04046222914627166,0.03416003521444417,0.018028405004952622,0.12957516500708569,0.00048667090418667267,0.016993546366524455,0.016347027324308334,0.04223012333129367,-0.007842284799122691,0.03728176022803039,-0.00456401102298885,-0.0008203510870273508,0.04869056253926013,0.10169042138111803,-0.008135003808856787,0.07274661440412804,0.03534017966493973
TG,0.004574892838802321,-0.004496619342991434,0.018208164497404238,0.05306995236287483,-0.019000540772232677,0.027920071462942953,-0.04312477190386711,-0.004910082474982846,0.07492352959226303,,0.006540095842928759,-0.011177145539288964,0.05027772100133148,-0.0330309011898019,0.0024043788540740836,0.04336713391894371,,-0.003136660444828096,0.017667882380704197,0.0291185321915006
ADA,-0.016506802459677054,-0.034494109037345386,0.05051059813846143,0.017403184932258738,0.023450776211285478,0.028836282946419874,0.047308091119943836,0.013088548152803579,-0.00318337453095037,-0.02134833100553173,0.018968347573539972,0.001066712027082507,-0.09186833489072033,0.09032993956992852,0.004915558373907927,0.15188940005804713,0.09597063986209624,0.06872114279999131,0.03247160227698172,0.0055679916960692626
LAMC3,0.010907840903781895,0.10788331754656626,0.09146852543381732,-0.03196993603971898,0.017259268167958513,0.019655385696614614,0.03989056322893811,0.04288250740945108,-0.017128305510652024,-0.06195463674461634,-0.0369411946503157,0.04554883797983904,0.12516334508404864,-0.007046234342493019,0.027806282612171225,0.11670388178530415,0.1087266523950202,-0.012936689349976426,-0.06339833812518288,-0.006063413642689383
CCL7,,,-0.02356038140695562,,-0.013737360620603404,-0.00834202500968019,,,,,,,,,0.019153874828714782,,,,0.03859938963813723,0.03299044443549491
NGF,,-0.02752435893120397,0.058492486726327064,,-0.03147580186844282,-0.03357800773628685,,,,0.05296433057382428,,,,0.08050690261576555,0.0736028761483123,0.02334786020816597,,-0.02659602781652522,-0.052215934339375,-0.009527530674192883
TNFSF15,,0.03485727377296318,,,-0.0152972229367431,-0.023291304143709588,,,,,,-0.03154019065646828,,0.11280267303211616,-0.030518091777506574,,,-0.022163543935906267,0.04239104479688039,0.056192696874085526
HMGB1,-0.04443460539304718,0.07978862056041755,0.017854994107958818,0.028814253096281828,-0.017859447953911013,0.03230309598945255,0.09938118709369147,-0.028662911341101063,-0.006837497988376433,-0.13333314447435682,0.05078526543437654,-0.024583348461455927,-0.13755089309540275,-0.0015749943868176902,-0.05498082054359365,-0.026176072539337607,-0.04555102158987907,-0.005621403585078342,-0.05071195441619578,0.06254966368097237
ITGB3BP,-0.05103659231752483,0.021890403152240764,-0.07936555726292918,0.0157641738400637,-0.07234697410106741,-0.04673557999325541,0.10515466895850839,0.022637731348264682,-0.006606511693344904,-0.023660924629124815,0.07510308673732582,-0.0040045454675337,-0.042228495854574555,-0.040896477258812985,0.011248811995572152,-0.028957816125454377,0.020734318751392502,-0.02186689333425235,0.045582544845393876,0.06339338169928667
AANAT,,0.02565875936985627,0.00822060774650247,,-0.013918909857219563,0.013548078328946235,0.07906662463462459,-0.033250402572402894,0.09389868183101206,-0.03125712269786542,0.06465056756075356,,0.05833290892515358,,0.016210763521526214,0.016729711044371157,0.1095498048788395,,0.017560278705974354,-0.007644097679368107
RELN,-0.024090487083272546,-0.022499397275002567,-0.056472128719021616,-0.03457540068056813,0.02452542932882723,0.045644114554331004,-0.003128336212671999,0.004003147415422389,-0.027341596046047408,0.07893880225710377,-0.03762483446629696,,,-0.04147587860950023,,,-0.000947762899718356,0.024783850403024645,,-0.044807554245699814
IL15,-0.020832121876350713,0.024374983109359497,-0.008153503375036602,0.062261511623857256,-0.001221102552718468,-0.016115752576097486,0.0850238677596571,-0.026371173043010974,-0.008930175446783968,-0.05553603816842326,-0.028187122855936036,0.023604836478665826,0.11001817654502999,0.12478187425739953,0.0353063463722744,0.10367839056932389,-0.02474889657720188,0.025986035964712217,0.08175510628350657,0.06603768876404645
