,UKF259,UKF266,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.017996417338518606,,0.021907210904334916
BMP1,-0.00042574639049230447,0.05762920486888819,0.08274427347148396,-0.00022614978855809697,0.027778992114611246,0.07767162197391231,-0.11751698742308228,0.02956588520725008,0.046542870241288344,0.06634795022418107
NDP,0.050873608499897915,0.017072599232032352,-0.05892779849794516,0.04097822074778231,0.0062300628786666114,0.03986136022408445,-0.07591685037915866,-0.06048308803290192,-0.016177586586451555,0.037443072747581164
TNFSF18,,-0.012213188126481068,0.15518247228429424,,,0.014776149703297001,,-0.018559387545793886,,0.11837662090073597
IL36G,,,,,0.07348803356987917,,,,,
RTN4,-0.016947495157095795,0.056191724411366356,-0.01923211598980717,-0.02463096999464725,-0.005299515705346141,0.04152474346717266,-0.01925094311484302,0.09793705085852514,0.005349637224433369,-0.026955420979617777
HEBP1,-0.012569274127274639,0.004796462600108945,0.00772243610273459,0.00901483371119519,0.019853875791490824,0.03291745892971997,0.06423755735198296,0.06187336923925017,-0.03524399680362537,0.018046736019182462
WNT7B,-0.02495040085018759,-0.02505510393829767,0.07507256211248135,-0.0227184980435717,-0.0165778518336162,0.0076153794049999895,0.08630934701937938,-0.03880918077364013,-0.019769039206917804,0.028768160945121135
PTMA,-0.016012707167294096,-0.012414871953900775,0.021112083896373743,-0.006146286447826601,0.036059872806842266,0.13613727679365492,-0.0632396483080053,0.05836014922864196,-0.00014556734816516484,-0.04339254700671136
FASLG,,,,,,,,,,-0.0173424976327701
CEACAM1,0.023738701273247502,,-0.018361622339191235,,,,-0.04643475001490747,0.08973080343907353,-0.0131209988366157,-0.024129538306734772
PDAP1,0.03751659355001575,0.03413292468393179,-0.049326966537680546,0.03155802249044956,-0.013110408989281104,-0.022986356455922653,-0.04916989439778361,0.095849065009781,-0.021740405687193234,0.011619817348499368
QDPR,-0.015351353650786988,0.01562573615317972,-0.09431288034801535,-0.03083753481792422,0.014948947451561532,0.016974478709602777,-0.06350414787005608,-0.03251640243994688,-0.02992811503211286,-0.021470268682685062
POMC,-0.026829562242784637,-0.032220853560603537,0.027827948485947294,-0.027201858780110163,0.0506820818096895,0.059882841104763676,0.021420976860082274,0.0633702115434422,-0.0042180329164201915,0.0460248508720634
CCL18,,,,0.010423223432977356,,,-0.03981537053502873,,0.005588555296198968,
CCL17,-0.01669895680813275,,-0.014560703630163823,,-0.013778662804984257,,,-0.023727236697445496,,0.03615449930289782
VEGFD,0.12187973632027975,,-0.015513198156682288,-0.018378675384902402,-0.014767019699264793,,0.22852913144006906,0.01714818276112291,,
TNFSF13,-0.011518566672560836,-0.011844244667921193,,,,,,-0.02544439287796052,0.11078670103954,0.08706694759928615
WNT5A,-0.00846793766122596,-0.03516177616063196,-0.06945810359684335,-0.015331569872892569,0.06231055354765433,0.09818792194794443,-0.05934238478394076,-0.03620038425750672,-0.024839324621384138,-0.0023735972632630553
CXCL8,-0.023713599023859906,-0.01684766983241009,0.0656392463070723,0.056996788166033846,0.06350046371158596,,0.12945704835746533,0.09433505975734666,-0.002772667530148989,-0.045895725084356444
GRN,0.0007001659411937198,0.035817048350327986,-0.0022554159281513585,0.02791935263688398,0.052373876419424856,0.04031971755024973,0.007494121241896876,0.031073858588311812,0.020467268069096396,0.07758344365257765
MIA,0.05473853964682834,-0.021416678654990678,-0.02861925559274604,0.02314899694606035,-0.02022411021462814,0.027520155448699346,0.043794229191112914,0.007235469058790611,-0.06268545770315917,0.003872312310109754
COL4A4,0.011628384322970064,-0.011269275517872086,0.003105125712355158,,0.04874480925154187,,,-0.006345098004758849,0.058008981594057187,-0.002037270849968923
TAC1,0.02483303456403971,-0.006528115824724998,-0.036156575277646874,,-0.03476744485425901,,,,0.07858577668019681,-0.020664258319575107
RARRES2,-0.02142022849146698,0.027270963450748694,-0.04096669727708556,0.00931123630989636,0.09805600240794408,-0.05705889870258451,0.10734221450490998,0.008311602795556634,0.033141497552776955,0.008872794427314515
FGF7,-0.0007337543976826835,-0.032299638790350325,0.07779413407617473,-0.040043633071474675,0.039959234392740586,-0.009242616086217346,0.03456905495336568,0.01271793935374174,0.0506146859162216,0.08235152505939293
HBEGF,0.06471184385359016,0.02318835544657285,0.025105619964419113,0.030324682983431994,-0.015422944967850892,0.04642730506311573,-0.007118413837672882,0.0808253301781099,-0.0069677517680745,0.04624938457339391
CSF3,-0.019903700482529502,,,-0.02761076627333038,,,,,-0.01881074414322479,0.008559408073815403
PI3,0.04222167991456758,,,,,,-0.0637339995558046,-0.02016015739935837,-0.0681052546516338,0.010087120928503657
PCSK1N,-0.019992034351979947,0.06720360570687836,0.018291873080574297,0.04140016067392131,-0.00217667092004327,0.05451150881861989,-0.13439369970127651,0.0215392521253502,-0.012354654451276623,0.012877645479005388
NTS,,-0.013757224935766739,-0.017366318053476184,,,,,,-0.017226776608236283,0.04174193001525848
