,MGH258,UKF248,UKF259,UKF269,UKF275,UKF296,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,0.05278116261125691,,,,,,-0.02297410164155116,,-0.02018780954656779
BMP1,0.05756369482555789,0.07656523637809254,0.018173188463377947,0.22243487502987672,0.05162322946680655,-0.014463422642973059,0.056822251657505846,0.030396584995697733,0.03315005459138842,0.08629080885399071,-0.0027712747794632203,0.11067598950788576
NDP,-0.022412091765115407,-0.007682205681359688,-0.006352468229315115,0.10722786056425276,0.02758862942367741,-0.005363895305064917,-0.04727619727344052,0.08347336774660613,0.09002782212276274,0.0842702749788752,-0.040070112542904546,0.012714162504771755
TNFSF18,-0.009215343259834755,-0.04018414306942082,,0.1493903006923796,0.04152740414239492,,-0.0466338726115327,,,0.05990976529735257,,0.01595349451535285
RTN4,-0.07659274440538165,0.02923659529869191,0.03034265377590296,-0.2509861578572855,-0.0362834650440718,-0.01518067347648036,-0.021071332495915748,-0.10754898063003403,-0.07468240344618328,-0.15187828549384327,-0.10166113622058272,-0.024970728629358598
HEBP1,0.015443887551071922,0.004210057815680322,0.011327178243252377,0.07204727684017365,0.001761325788104458,0.016840352648192586,-0.05221398255828688,0.015738417809098296,0.08244703193824195,-0.011990117908439854,0.03446365636022483,0.005840500505343953
WNT7B,0.028759964083147876,-0.025336461971696016,-0.022753993461543644,-0.08723581331006644,0.07434404581223844,0.1038099466059835,,0.11468480295784568,0.0009088505421181739,-0.049543531189988235,-0.008927396057906217,-0.04308917776237914
PTMA,-0.07163265426459213,0.019348311552664577,-0.03309135743033126,-0.13991916003094323,-0.06047645351543656,-0.018089073807916297,0.021611722589001583,-0.02120371987672415,-0.036467463920298544,-0.0967980956642991,-0.037790483528486504,-0.0025224034402389225
FASLG,-0.0020671207744977463,,,,,,,,,,,-0.0175088803325675
CEACAM1,0.03570259344713056,-0.025576105789235134,-0.015305521695983308,0.05612023881957681,0.015960151100081657,,0.025174762640603084,-0.03704856965983679,0.027111117558884127,0.04033608441123557,-0.022019698517386384,0.045770921155663405
PDAP1,0.09739516977236308,-0.03811149969548832,0.029987100158051866,0.17805032547528218,0.027866729925432945,0.002777639214444445,0.020080227162979743,-0.0423434822470154,-0.059478540462945435,0.028430123986319146,-0.030610102648468945,0.04194261998691345
QDPR,-0.0996130427443058,0.05645576967087258,0.004466340374478585,-0.20915651626241136,0.005528693391614018,-0.063793800240865,0.04035493858256365,0.01053031180105531,0.06289695056357002,-0.1372515662071696,0.11756175189511615,-0.024333315426389984
POMC,0.06495684120415884,0.01837457293629227,-0.024467730499159894,0.011053904899991394,-0.012354526168960623,-0.027029724606377346,0.03771098442145042,0.004435095152137148,0.05248521086458088,-0.03544718650802558,-0.036021334142842316,0.008700114678701661
CCL18,,-0.0319165634914912,,,,,,0.01927688616364362,0.0002662556745013795,,-0.015500970647936905,
CCL17,,,0.02196914200398428,,-0.013279515343323995,-0.012438720189528327,,-0.026284166972477055,0.0934392317074188,0.03786176881759397,,0.035217975666154845
VEGFD,,-0.009447013316250061,-0.01696671180085197,0.022972557100035828,-0.014148200401450664,-0.00912395168575549,-0.04457936221135881,,0.06160078848324238,-0.0008709262409038211,,
TNFSF13,,-0.024085270655393034,-0.0105045763524009,,,,,0.028751641698534846,-0.04574787536666206,0.01536381388581655,-0.024726645619004804,-0.02585856897415977
WNT5A,0.010724764230791516,0.0002663524651334228,0.013861581447915947,0.19474858789627686,0.08371020115700503,-0.04673232160166272,-0.03064006212151277,0.026658895220983927,0.07541839407337203,0.02914734226538024,0.016867867713084368,0.08267912595554172
CXCL8,,-0.009125743193537544,-0.034030913438011214,0.05428310074676694,-0.006481055299133765,-0.008496620532383961,0.11307109081211847,-0.012845468097310603,-0.09948919333676816,0.049362852786829184,-0.03641919317926195,-0.05675017784854975
GRN,-0.15857429590448827,0.08273443684648528,0.006390829436272694,0.17058680743654178,0.021660225843994838,-0.011286928156700017,0.09644031494940133,0.04312422634472455,-0.03402537365013356,0.13691936956504688,0.07492313190185569,0.054955942648787566
MIA,-0.030328811839346385,0.05216909286413345,-0.03206702137891211,0.13725284987961817,-0.026101063067520604,-0.010376573556213332,0.07904229851641545,0.14586519806410106,0.14787364706145967,0.09940999000329047,0.12233970233780818,0.035736084600534936
COL4A4,0.1026128941906043,0.005527560127508044,0.07042288394893624,0.01932194546338426,-0.013864224868993105,-0.017431818352918467,-0.034906518567770085,0.09476616201380117,-0.04743799020780517,0.02142111760118305,0.018648980872384178,0.03718374516171863
TAC1,0.17273157726384605,0.02640624898029834,-0.037866395633822846,-0.13134225776095665,-0.0678701325071132,-0.004874420932517074,,,,,0.020923089899806263,-0.0007515925649643905
RARRES2,0.06399612210748114,0.024964319130252117,0.02035971351552707,0.20542749044123504,-0.0692393633086924,-0.03682261244940775,-0.05803175038961045,-0.013020488627329067,-0.0036692090446642307,-0.025899130082425705,0.0575322755202013,-0.004279792479228281
FGF7,-0.036260712396022535,,0.05375076933406446,-0.019372020984874908,0.044334146394325306,-0.011795986421734286,0.047182997538091916,0.026673150005345883,0.06237538437014031,-0.05430243616283343,-0.057369531085046506,-0.019911799288040644
EFNA2,,,,,,,,,0.021787772292637436,,,
HBEGF,0.024525974446635023,0.045449436982745145,-0.050885903428434784,0.051044176458594374,-0.000400272277532489,-0.023431182757296286,0.05391478567223436,-0.00986725034640976,0.019423441113813996,0.004065318717775891,0.03364227628689772,-0.019509448678515565
CSF3,,,-0.018151558901170695,-0.01106521867918095,,,,-0.0030483166805416358,-0.02944928299237187,,-0.006282524020992739,-0.016708486391767093
