,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
DCN,-0.024058054062158246,0.10441833509915217,0.007766906547187268,0.046904756379314565,0.06216290406763439,0.03026479689737273,0.15420522929278124,-0.004760726734286207,-0.004355309370255741,-0.07592492731188956,0.014345378074475038,0.08209520327478642,-0.10587720798533522,-0.05932836914056983,0.10400091226740865,0.0482148879048342,0.08446509247604948,0.11526657316847709,0.030031325830740644,0.08160489514478647,0.12191759194179529,0.011544276129350967
RARRES2,0.06365230370449332,0.049828738302905635,-0.0005898194876253868,0.031546835161421094,0.006515311886501127,0.057426743193166936,0.24744504442968207,-0.06963535139646004,0.006642752822407192,0.013030300043616435,0.06384729268388556,-0.0020517915021014215,0.11520438740337717,0.01450616203674234,0.006460914038045854,-0.012234789966663176,-0.043717405924757265,-0.06493655930992821,0.017141233563842517,0.027385806498288073,0.07695096004294825,-0.09440287513285668
SEMA4A,-0.001415367264262754,0.07471714249424281,0.06278046471905926,0.057659042951906325,-0.03168481953297121,0.016449866829924928,-0.09273912137424616,-0.0340528040407432,-0.06435569488410049,0.11032894485417262,-0.039763741952220086,-0.06191182986102445,0.10358531318316935,-0.02543176234857648,-0.02635479294546687,0.04235722330371253,0.02699680684621957,-0.01811007297148198,0.022769733616717653,0.018809766447626903,0.06418390701738703,-0.08678029334580183
GDF11,0.016661670026320893,0.007285645702059027,0.01890054628740416,0.023082953764323094,0.07142054899207786,0.07131984567690984,0.13766114545541983,0.0438045076201293,-0.04226664603204251,0.007574878977574997,0.13621733005808606,0.11285707799533416,0.013191823694177493,0.010150017217674067,-0.0051483344726638075,0.030164640038298832,-0.004971926982874219,0.02256971310532288,0.06956079065986265,-0.03638808883693893,0.12394195206766068,-0.0007998690285596051
GPC3,-0.03803960415348693,-0.03165633269114542,-0.015046830404991125,-0.03377877008027643,-0.011343140608991935,0.10967619422450635,0.07135405968107118,0.043652283697633805,-0.03563591818504796,-0.017349982323030342,,-0.013551843561139644,,0.003131652774716902,0.06406752490684983,0.10628365934839995,0.1077987881250751,0.15407886126585107,0.0839919877075625,,0.10725523395087935,0.10182676089698377
OSTN,,,,-0.0038780046451840815,-0.03281197778457412,,-0.045760152361126516,-0.025606860991379262,,,,,,,,,,-0.03368184653234121,,,,0.16220295970122384
GRN,0.0017269219121098763,0.013619515837061922,0.0656636579778951,-0.021812206651298762,0.044453701578757734,0.02985914885465985,0.12008301661420014,-0.0245993004857803,0.031012118250799962,0.0343463744929362,-0.01620756625173102,0.11645815614378602,0.007201292195298236,-0.07216256705230437,0.07254748570632664,0.051887396761457996,0.038083149441430014,0.15456336234220713,0.01309506895573793,-0.03502173087151686,0.14445196206396083,0.030032549307364414
CALM1,-0.018574653657975466,0.0761121476819575,0.03516698290305512,-0.01345946869980571,-0.009156829279665862,-0.0965371891216583,-0.2214790021702606,-0.015251839853382902,-0.13843777875985167,0.021966199665195214,0.008448106388818934,-0.007930671142777276,-0.13962346261017627,-0.03086838684230954,-0.0600906936828652,0.015329625377170758,0.01082241255647543,-0.13254860898590107,-0.03526360312928886,0.080409049264091,-0.03818218820301544,-0.10975538276926375
ANGPTL4,0.0006906794275901471,-0.11857773326169678,-0.033072203819188566,0.021604942029831396,-0.033255410580763034,0.025159185629053893,0.030943600612948107,-0.02392970698736365,0.022120927961543448,-0.03557284609078471,-0.0513392120134053,0.10373627129233308,0.07737562098196023,-0.0014828979867887065,0.0060275821227085856,-0.029199945606315485,-0.07162794327376099,0.0031306461647635595,0.007932338652713576,0.04895663335084879,0.06048006322520617,0.022873402095700816
BMP8B,0.12362755733675566,0.03617383618188829,0.027801185113206228,-0.024690622235464796,0.0008333275936378825,0.09529561770022149,-0.022859672670661912,-0.02800821528158023,0.08972236938088052,-0.011503380982896463,0.06574865298561158,0.07402458498296184,0.04089843388779724,-0.0022949684622475424,0.002551958592050643,0.03674831183842914,-0.021165951629432585,0.05306503227349686,0.011698506207733377,-0.047904244075688614,0.10065375091680126,-0.01598094108143635
