,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.025267684763870604,,,,,,,,,,,,,0.025121366905346484,,
BMP1,-0.02839167140021169,-0.009564203315325912,0.0035047226025508096,-0.017159239001944642,-0.027988773900707017,-0.046985230151686284,-0.008496855346730765,-0.0790147434016273,-0.032738976457030056,0.04587588758604895,-0.07633027364223373,-0.009439846242952432,-0.08028257362496596,-0.04706176949682848,-0.12568895132640603,0.02064946155889389,0.09640942063005489,0.030798789982709275,-0.012146800936451816,0.022058812883454695,-0.00722603855008735,0.07913706995518101,0.020370229162078334
NDP,-0.05178635125898626,-0.0007271105462279229,0.02899152660327755,0.0461246263038395,-0.023378998019377716,0.05810144543635129,0.010266933614504807,-0.0440776651970847,0.027440057276041506,0.03527200390682031,-0.02524032412024704,-0.041803456601479584,-0.02668615213703723,0.11199573250869234,-0.07861256369088505,-0.026614267783489652,0.05638450716354737,0.11383953669435846,-0.059759291168032753,-0.0731816916468368,0.006998485928853368,-0.012188289171021697,0.04451372550781105
TNFSF18,0.0463483915011223,0.0552967676500216,0.014511678877773293,,,,0.04571549836179268,-0.040772099225726624,-0.02406766612944099,,,,,0.011477969827102894,,-0.06013120637949936,,,,0.003107907865599319,0.04416040320856397,-0.0017057351547459824,
IL36G,,,,,,,,,,,,,-0.035120197838647275,,,,,,,,,,
RTN4,-0.04459215337023506,0.011242477815447535,0.055589338589617336,-0.0311105998352826,-0.004801151064472541,0.11949749062110918,0.159022121188169,0.10655585884709445,0.014663920306829075,-0.13295955787067282,0.2704382968641114,0.0037158291538394684,0.10595989582784408,0.008154782501158203,0.17417420345531556,0.08640757775958921,0.020033328490825213,-0.021471299580187547,0.06999014554920421,-0.06985491787621695,0.05110987595550359,0.056355758910305406,-0.07190681737152317
HEBP1,-0.019238598408497024,-0.021732671393551325,0.07056438272192166,0.030258604436552573,-0.029487416388422217,0.045177543435975694,-0.055569037203347715,-0.04170507597719972,0.06950172261430826,0.046939330474762876,-0.06548425628634726,-0.05761728058993862,0.014531183939331454,0.034428641769725564,-0.016758011444575806,0.00458862084131631,0.04091810622127452,0.038659590410754265,-0.024899950045379884,0.017185671287986225,0.01659424892761023,0.06426948882941508,-0.04581672998163295
WNT7B,-0.03814711602821378,-0.002274236826721491,-0.015709239525174813,-0.007969202193479023,0.03967217925520175,0.05072529006957495,0.040562851784506575,0.09711344075790952,0.005190164267726554,-0.06614215297054916,,-0.04474181285509989,0.03427833199144528,-0.01846750373119027,0.06151344122901423,,-0.0579185278593927,-0.0295195840355023,0.003585043784851874,0.07478778864803866,0.08778632048926172,0.03140869606300875,0.04660119188098107
PTMA,0.11545948683106977,0.04469923789065288,-0.02255859307573388,0.052645318544942796,0.019323227268476476,-0.09188010928572583,-0.12921474885089992,-0.01365444454780843,0.008785742092910304,0.0898530412227384,-0.30561212089414785,0.03709717847312189,-0.09293792575880575,-0.032765061953135735,-0.05523879785807796,-0.05652204642722376,-0.13144704440825544,0.019856078813500544,0.005840500474641322,-0.04306625575728139,-0.02278248935875728,0.02886208238888628,-0.07075263853051161
FASLG,,,,,,,,,,,,,,,,,,,,,0.02351975077649009,,
