,UKF255,UKF259,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.020753585766486556
BMP1,0.0764366603033204,-0.016403715973979098,0.11309706271202659,-0.0032189087538632187,-0.018134325723214363,0.0602839609906641,0.037705002946012534
NDP,0.11611817448265495,-0.007938712133832234,-0.09999071877196074,0.04232306976910593,-0.003312954477257999,0.008767913110876812,-0.009996723631899735
TNFSF18,,,-0.024507766031691948,,,,0.011081743465960926
RTN4,0.02749220571452193,0.046553807998479135,-0.08895372069813838,0.024175503340852837,-0.042764308437635776,-0.015835969460569244,-0.036925103455999156
HEBP1,0.003016632881073119,0.031834183778879754,0.02145820513772605,0.01005633951305911,-0.02757358231679396,0.022590025484678627,0.01044169381138712
WNT7B,0.04665430041341906,0.07551802703503081,0.0011753294374818256,-0.03348586905714431,0.018568595861225837,0.004239780448842834,0.04083363444820144
PTMA,0.10488616411389899,0.01493025123144161,0.036219341763483195,0.02469532810245535,-0.021454437412550036,0.04594064688055012,0.04089344353131205
FASLG,,,,,,,-0.0179995778550857
CEACAM1,,-0.030498793573277647,,-0.0187637840182935,-0.01788812390717716,-0.017163928396483053,-0.02504376892856877
PDAP1,-0.0034657148648180756,0.023187360791935636,-0.08005735316309544,0.019754637623045416,0.03732846970631821,-0.039505174692835786,-0.0004165935022862106
QDPR,0.09494240204623135,0.0003854504279117079,0.03083936166353145,0.046471292569756004,-0.011934794023625447,0.008001302005162862,-0.0158634046719396
POMC,,-0.028401714018955818,0.06312476316301327,-0.011518459179472307,0.029282528734395005,-0.028077932106352958,0.0453864790148971
CCL18,,,,-0.034337494585753796,0.016217426609133227,0.059775147685572315,
CCL17,,-0.01767747797700393,,0.019287477498105,0.006107874229900069,,0.11264334674193582
VEGFD,,-0.019694662585334023,,,0.07356302550304365,,
TNFSF13,,-0.01219352867489775,,0.04539425493689787,0.0015430115270809728,-0.01927394121925446,0.17832879426473638
WNT5A,-0.015989416875063403,0.013733782679696244,0.0003741982974608361,0.04416858290422976,-0.026686739725265907,0.03664389678027506,0.01576310218713845
