,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.06502905893937451,,,,,,,,,,,0.005782157004444422,,,0.058659488477344195,
BMP1,0.05119420329897544,0.05058494418058571,-0.04361989434003226,-0.020586415305011648,0.03825668356321045,-0.052995328769915875,-0.02455699110630086,-0.025174750809585755,0.20857583527726628,0.03456309113343593,-0.027181128289475616,-0.04007674114462842,-0.0168573514913774,0.04385775444098896,0.07807105399703122,0.13623324513344545,-0.09180761151931727,-0.05063423869161354,0.015110185428187824,0.055337666977880895,0.04251897660028275,-0.015886530703932426,0.04159077868893287,0.05184477179857449
NDP,0.08117378085969086,-0.019629965361105027,-0.0008093679234380356,0.06951877309370141,0.07119730668893635,-0.02326028411846067,0.014007807311162072,0.02388441315583439,0.033360790714590915,0.08227572675758857,0.06761226855273446,-0.04701485499847915,0.04618493149178967,0.013158259240453565,0.09793285350817135,0.035037235620917886,0.08030408148599132,0.10511241852523114,0.04757626172406142,0.11198991891904216,-0.022337702451998186,-0.02345893639991674,0.0319801132927645,0.018820252996737404
TNFSF18,-0.028086317157639696,0.09633488949362454,-0.03532089798124369,-0.01618688004149369,,,,-0.01612118568126663,0.08439914213359263,0.050806951384347925,,,,,0.13167845991808783,,0.12570997896133557,,,-0.031070137773550742,,-0.03458147815439905,0.03592263780652445,-0.04514484204577785
IL36G,,,,,,,,,,,,,,-0.026707861509121595,,,,,,,,,,
RTN4,0.006436837132481278,-0.0917142126257473,0.01128254575107962,0.06253622554098329,-0.0406646108182156,0.027813807152461588,0.04454898989864435,0.01412049495737357,-0.15181045088222184,-0.026782890543701,0.00665108323630298,0.09684811143136592,0.022016105374434724,-0.023209538563178776,-0.033280354038607775,-0.05445748852485597,-0.05220447665486655,-0.010616702695785641,0.0146024105358844,-0.09511942375739549,0.049875107425146385,0.036904170794341835,-0.00479631029538062,0.029133608113871536
HEBP1,0.08876544206861256,-0.007903074185456164,-0.014629275282916266,-0.0021863318640407805,0.05075290974478395,0.0009951527466025448,-0.031094830678372914,0.00887631303784224,0.0643094851037,-0.00989596771327837,-0.012829192675228402,-0.05515738538214805,-0.06603898943003664,0.004256425549450584,0.04505255798417532,0.0020019703586642867,-0.12040737002397436,-0.023742999355798346,0.08562596456912211,0.02271504023173658,0.02943488134106142,-0.0186353724005834,0.09585459161772603,-0.015743409608671727
WNT7B,0.19106819831130128,-0.05509694350993811,-0.045487521804961774,0.009672670003781948,-0.0140628788906851,0.006125495525616293,0.059693462022844423,-0.054406395035262296,-0.05946312102405128,-0.000746154460140052,-0.018583735618611506,,-0.001176725518412962,-0.029355017649862206,-0.013396253892978953,0.03186800440241937,,0.007424327727882554,-0.017652755276984095,-0.041205205718936995,0.024166854214149828,-0.03458144229600396,-0.027663748755086984,-0.02845469511671518
PTMA,-0.04130794191152537,-0.0008469076364176391,-0.03637267579890627,0.037031347960152415,0.09898531387152064,-0.015879103400708028,-0.06989552095405842,-0.04397917882154013,-0.07334818259435344,-0.03305281867718033,-0.04142232002844685,-0.14051395670958014,0.020578363769688964,0.06596557293417848,-0.013890442290485874,-0.08319806664223849,0.0008240907674608136,-0.0009210050372097959,-0.00931599092398648,-0.11243159190805561,0.0012673055614442759,0.045499883222912915,-0.012108394441678801,-0.01070894672272733
FASLG,-0.024743172722794457,,,,,,,,,,,,,,,,,,,,,,-0.025394904490787497,
