,UKF243,UKF248,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.02315319562755888,,,-0.001499649327074688,
BMP1,0.041926038407720634,0.09239151904772717,0.02198563140867566,-0.006342713116201927,-0.029219497612361808,0.0031696467016442778,0.036433169135275036,0.13222978877513258,-0.06090963344215991,0.06946150553303268,0.00945978868108413,0.07933964842913023,0.062374573460597715,0.21392891884541776,0.0346779879446283,0.15040887710691828,0.199627205040856
NDP,0.15305127952552186,-0.06531639601853591,0.014518464050053517,-0.052492084294352453,0.03289204733290966,0.009671656474398035,0.022401851685141045,-0.13826550636004628,0.1142395299729272,-0.0938685667145871,0.027182745867454977,0.04780967046968849,0.0670660657858222,-0.13463348987257687,0.088447447027381,-0.02530085069135943,0.06497282257378544
TNFSF18,0.019796587963269732,-0.009873325251254474,,0.004345738955681888,-0.01768454266115439,,,,-0.04539628977641067,,,,0.06339990994535274,,-0.0009393955652579397,0.0689515910089786,0.030722769697706858
RTN4,-0.08849190698791573,-0.09754904660745439,-0.008123009720541039,-0.0823380803085,0.08033293587912523,-0.03855771087159042,-0.07515614861972555,0.08996156689233718,-0.09649019332729887,0.033508941535572906,-0.0944208729275515,-0.1169498407746979,-0.1153041731365031,-0.06472401301537338,-0.01787078148738921,-0.07069350300436497,-0.27255254603141704
HEBP1,0.028633368804860365,0.06920906063779164,0.018964188611943877,-0.040082820013651314,-0.0266934295544339,0.0409549710026173,-0.027288172797143104,0.0937935032524752,0.02276000968601133,-0.03492926926813776,0.03753835596731647,0.02771226819820418,-0.002013091320810173,0.086335618189178,-0.001553459233278378,0.005328151592374263,0.02265117833501637
WNT7B,-0.03973487172682427,0.013356540837929419,-0.0422367387054282,0.016453310010917748,-0.009951075763195285,-0.03367475046312855,,0.12689558681374566,,0.08426439719932309,0.06003368184052023,0.009468297915389128,0.021486726749771864,-0.07968103260042765,0.16245903332422829,-0.09092212207612942,-0.032371190945263466
PTMA,-0.133657211306035,0.03809547888721151,-0.029263935163012005,0.002819193005430485,-0.03135061602010846,-0.062296693667003265,0.08098078837146448,0.018918209407515173,-0.06956907102811147,0.08808590856743614,-0.03320431768162941,-0.06283393472974351,-0.1106926535287592,0.02430432219846439,-0.013951686777291805,0.13240827771047814,0.1249368497440953
FASLG,,,,,,,,,,,,,,,,0.016540115557702018,
CEACAM1,,-0.02422714893084668,-0.020405109873852828,,0.01386103280521837,,,,-0.04364421723451431,-0.03652338659486864,-0.04557133313949114,-0.033760937593367624,0.025202622378196603,0.002069400177659122,,0.00037016355920337947,
PDAP1,0.10218479461721426,-0.05258763086757626,-0.06800118116818125,-0.009097356065660582,0.012193723089956036,0.007630208959346985,-0.02938042407653426,-0.11250567208305386,0.07939840015008438,-0.0914231489032629,-0.015051287622876537,0.013049344581779983,0.0457347620978104,-0.043798063482638386,-0.0019536694345782092,-0.012665246819266422,-0.08921450403284627
QDPR,0.009148230228353668,-0.033517768448980655,0.05407059194887666,-0.025940493088497826,0.014687788451351281,-0.035080428469397754,0.020168218236031227,0.0516003139309473,0.05967313710680342,0.03554037780439797,0.006278265465663039,0.10453327606741311,-0.13967964434186675,-0.11784442686852058,-0.07796139675772451,0.0147175422688966,-0.12068182531266902
POMC,-0.0033746634809773872,-0.0023432716762446294,0.01486641061568225,0.012278696788399629,0.033238745826492985,0.05501946435051955,0.02657149343042751,-0.06334272189971248,-0.06392992486471938,0.0023181812705952527,0.09324295215053677,-0.04502208946719,0.08347084025577127,-0.00809998123462235,,0.08948919452258795,0.042295619188780983
CCL18,-0.026861276708694645,0.04934202764374402,,,,,0.16412629686161115,0.0444510350977051,,0.4548508015287874,0.1000130493732651,-0.0216327053861252,,0.023827011136696143,,,
CCL17,,,,,0.029322585884715553,0.0009146077096817019,,,,,-0.03233065514794394,-0.04037424811991274,0.002466720594641114,,,-0.014709794062004294,
VEGFD,-0.04921897553151761,-0.006922949673008721,0.05631865266635098,,-0.02349887468442109,0.009106866723646962,0.02116499537641776,-0.037687042641353995,0.0035254612658035004,,,-0.033760937593367624,0.030177057856007654,,,,
TNFSF13,,-0.007349187149433079,,-0.024118940896173193,,,,,,,0.06013837162794224,0.06067520079469418,0.04567706305597963,0.0302236756654211,,0.03615828478859821,0.01518282120121217
WNT5A,0.09584042739301989,-0.004601236642825363,-0.06370952065889053,-0.0337311563616501,0.04624882225927628,0.06476010806524031,-0.05003566559552164,0.01302316941286908,-0.04545835646732984,-0.022794256718329027,-0.057741070806545086,0.0010899361091812768,0.0466640878960021,0.09287473539064454,-0.0134108008831584,0.21782696012738237,0.22972623037898196
CXCL8,-0.17065705700295353,-0.02088986388216849,-0.05022367778655799,-0.0012434829688928368,-0.018056006256859783,-0.014940525290692218,0.0020441515816010418,-0.15973741915918083,-0.0864588281603453,-0.06299760474600002,-0.16334138807990656,-0.16438793762584933,0.039946028898508526,0.06626697963160415,0.03550692301853281,0.0028299589270625617,0.14254757483357047
