,MGH258,UKF248,UKF259,UKF296
BMP1,0.04715111094925191,-0.015592127908268161,0.008117466000498692,-0.038402831851864515
NDP,0.0031903568907115866,-0.010027876481824979,-0.053571211869428516,0.020015398391008677
TNFSF18,-0.019279987219288242,0.0021675329223753317,,
RTN4,-0.05953089202365477,-0.029522693163647497,0.009259914322621162,-0.06331819566230339
HEBP1,0.03933981101873625,0.009133057222128408,0.023441907916089275,0.06443638324077408
WNT7B,-0.01698506487420097,0.02394142875042587,0.015341668300227021,-0.01514816821307688
PTMA,-0.03530659151376212,0.021634654518807393,0.047949507037709636,0.03569636277404347
FASLG,-0.0169850696758353,,,
CEACAM1,-0.02358391789291431,-0.01580393288264822,0.05783890580827576,
PDAP1,-0.0020583074026310536,0.03411081504442459,0.007663052922215531,-0.03558042141895285
QDPR,-0.10131184619314866,0.004426072309675767,-0.019653668869348502,-0.021473313561630916
POMC,0.040454987410051504,-0.03745708625909485,0.01271289334530372,0.015583466123776077
CCL18,,0.014807336224359521,,
CCL17,,,-0.018054782359879236,-0.018749185792726445
VEGFD,,-0.019721821280921113,0.03626833084981046,-0.013752754520847222
TNFSF13,,-0.01488271920811568,-0.012453784793883699,
WNT5A,0.005409272094305388,-0.027502552528038578,-0.05852127031722188,0.018908647099686517
CXCL8,,-0.015427182475711827,0.036830114880690795,-0.012807162999459831
GRN,-0.1150611845364459,0.010803597815064993,-0.025439676542976665,0.033319237537694474
MIA,-0.02223199120683366,0.004481441951104244,0.04092709505654748,-0.015640861964329893
COL4A4,0.028596372925384084,-0.023685739601871456,-0.02831547759809342,-0.004083216126731358
TAC1,-0.016985060434957754,-0.009023054107971055,-0.002797869881966172,-0.027056787378373557
RARRES2,0.09881769701656758,0.01085386774141459,-0.02868099993441746,0.05217618111202127
FGF7,0.051193132665297854,,-0.004281599735688675,0.0068532442840561186
HBEGF,-0.008836967324233594,0.05812087177110473,0.023162130236012032,0.015106991372312951
CSF3,,,0.07455610303844701,
PI3,,0.09846497521654732,0.0028607769417932413,
PCSK1N,0.0880121426793749,-0.058439325799618844,-0.05845458147279822,-0.036012370467994534
NTS,,,,-0.015016064387148273
SFRP1,-0.02471369197187137,0.026955229302712175,-0.01575349549115834,-0.018749185981546145
MICA,0.014529994218672642,-0.03593788158742568,0.06273413509166043,0.05172090379738367
TG,-0.01967077587144711,-0.03105707413984612,-0.017000517528101326,-0.01356870433758576
ADA,-0.0005998086806032116,0.07274209917395659,0.007249306912615605,0.03018177303193292
LAMC3,-0.011031412563848281,0.016264878467725268,0.023712978836926465,0.053810787357010684
CCL7,,-0.012544740406511153,-0.012291347010592188,
