,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.027496693189420288,,,,,,,,0.007774103192618357,,
BMP1,-0.04306144796128738,-0.04710146948965033,-0.013639810991771134,0.012580479569690758,-0.04889265804585915,0.0032359979445062623,-0.12866994780550547,-0.041727370670425847,-0.0171073979647964,-0.11080450824416807,-0.18467410259228706,0.016208676797561966,-0.020694291158454683,0.005618259603181307,0.06623315504089466,-0.024605454142886684,-0.03807784228089651
NDP,-0.044531949821592955,0.044865390227639496,0.014495121008567131,0.05173291233071334,0.1265301924810268,-0.006576735951764977,-0.014972198722598341,0.03656354802598309,0.08412678584708007,-0.06794921962367649,-0.03736278880541886,0.014086456151462997,0.08330081863947712,0.018247391041013788,-0.03747178028923518,-0.03364547350351181,-0.11277576606120385
TNFSF18,-0.027310994275472716,0.09400248259604285,,,,-0.009299604664995792,-0.040831763912939106,-0.019068247909353055,,,,,,-0.04072954893552859,0.08000845370839062,-0.02575887457255982,
IL36G,,,,,,,,,,,-0.032414786125466305,,,,,,
RTN4,0.17381155413134025,-0.01002560811667883,0.01214445627436687,0.07934727538078998,0.1896509734111959,0.09341142518834356,0.20145604452146212,0.03736379548955223,0.08075172828421263,0.2826518125347571,0.2787239924193164,-0.03420997720661104,0.041189139962774755,-0.030340964530026115,-0.004131094001504477,0.14562604596402404,0.016957515932853467
HEBP1,-0.07755443834699702,-0.03946703528600238,0.047925951804585726,0.029592963453065616,-0.03089823981271538,0.003549048722707454,-0.10520771041972397,0.06117491914741566,-0.005211539474624829,-0.14403631188420218,0.009627547358477815,-0.021557073836173536,-0.0020124478923194467,0.01862784683395033,0.023121179456684095,-0.07376038420597537,-0.1199236843966752
WNT7B,0.17238789828633477,0.015234120447122582,0.03494723051144605,0.1024249074878687,0.00885422540063939,0.01974279409161731,0.08233908734199319,-0.04277895330589534,0.031924768998728245,,0.07190548046573943,-0.04735575569116438,0.013307990642470714,-0.04072950670204594,0.05035403765644689,-0.01622756866257806,0.19628606309995186
PTMA,0.003950883754467234,0.0031186868032855703,0.011823757428770412,-0.0006104161427987905,-0.15208208148606803,-0.09662851023170513,0.03735501803500383,0.1045251716475789,-0.07180569107472856,-0.3637513398442854,-0.3016713063913209,-0.005821705443442149,-0.0049140129978911965,-0.18838758471694317,0.09601696287517365,0.003624579106957242,-0.20960383899803942
FASLG,,,,,,,,,,,,,,,-0.014640303534764091,,
