,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,0.07074017193835105,
BMP1,0.07547471215292387,-0.055237669490542166,0.020358970867338275
NDP,0.04555516422967515,0.06676500907721666,0.005822088342612084
TNFSF18,,0.0673058982058694,0.023822874401231316
RTN4,-0.018966043413195573,0.04178915168026538,-0.05935900720681309
HEBP1,0.13363859650174,0.04961381228726438,-0.004865673411064438
WNT7B,0.009484274788206019,-0.03926338985541814,0.0348817073975786
PTMA,-0.05776276569137465,-0.08813838308117551,-0.09674178640081849
FASLG,,0.13946934733033173,
CEACAM1,0.04619851030628524,0.016220215955229576,
PDAP1,-0.017958425718090386,0.002925680429676972,0.009289703039138111
QDPR,0.04851345337019686,0.07956733641308257,-0.06255688384780837
POMC,0.0724498911877056,-0.013632313134743682,0.01056151813622157
CCL18,-0.040893187060396616,,
CCL17,,-0.0144607878193112,
VEGFD,0.0712701676245946,,
TNFSF13,,-0.005568280916120793,-0.03204682579162058
WNT5A,-0.0054672827212676215,-0.04536809197174928,0.007719904250201902
CXCL8,0.026519727830731473,-0.029280033833417565,0.03957337809617492
GRN,-0.018201257461393144,-0.0891218429517511,-0.03204923917824939
MIA,0.09679650813247784,0.038909279238673274,0.09120599099323151
COL4A4,,-0.031734137156401124,-0.03581718028350986
TAC1,,-0.019010176023280763,-0.03103957689660803
RARRES2,0.045973984198991374,0.06751842584586899,0.04970874824740981
FGF7,0.10718655963662242,0.06312262435605596,0.014245254345496157
HBEGF,-0.10448643890085114,0.008031638474869197,0.13196349759359838
CSF3,,-0.015224978733910237,0.04330062464950762
PI3,0.005832284674917333,0.016980155701072832,-0.003300603334148916
PCSK1N,-0.08656901977881455,0.04947334085234869,-0.05929483906010217
NTS,,0.10919008501587613,
SFRP1,-0.10529352066207133,-0.02202220275899419,-0.014468532152565728
CXCL13,,,-0.03056000962432478
MICA,-0.002519235727095809,0.03998808083109112,0.07996185532193789
TG,0.04238570034756932,-0.02969161257979645,-0.018514606797901297
ADA,-0.013728324224245527,-0.03476102526484971,-0.043516117711905875
LAMC3,-0.04080086849117795,-0.09648272023656435,0.017105062164225682
CCL7,,-0.015954301884539987,-0.0031033360879316827
NGF,,-0.047766698987285854,0.005143107487351783
TNFSF15,,0.05324162647497316,-0.041697288080409456
HMGB1,-0.1058847630707847,0.0348476519563912,-0.023148241187847026
ITGB3BP,0.03004254094488616,0.07539703389414203,0.07693590414964496
AANAT,-0.03299833939425994,0.03190208307635285,-0.02300466006063957
RELN,,,0.01857859192596741
IL15,-0.044708165008342224,-0.01039496587755628,0.07848630376884982
UTS2,0.06302029312036846,,
BSG,0.02408221495793477,-0.007344042088553478,0.10296988016375383
ADAMTS3,-0.043217532623050975,-0.02387223784073604,0.024934072745701863
CD34,-0.054756567552268626,-0.09701533355575906,-0.00297208135721204
PLAT,-0.07518548752226772,-0.06153870193149922,-0.009501177502178893
LTA,,-0.02271836238435122,
CKLF,-0.04890380836116393,0.028117649922651495,0.018571324342401635
CD24,0.057235295699414504,0.03193477120444209,0.04783510954023594
HSP90AA1,-0.06914492848876067,0.003512671376346361,-0.0933342365060408
BMP4,0.011864269578197131,-0.03798546117664449,0.07602281242644368
SCGB3A1,0.0019701967013715234,-0.03345190554879359,-0.03440445884130915
IGFBP4,-0.0927656440858246,-0.10561803060906766,-0.035316574629162906
RSPO4,,0.12765781693656322,0.04190517619255643
LEFTY2,0.06019823084943644,0.013409123869591116,-0.024510299011986172
PF4,,-0.022718357127153654,-0.022723580470383184
ANGPTL2,0.03128809770863966,-0.03618000413299178,-0.033287807731876416
LRIG2,-0.005012489079154225,0.03427467694366637,0.019439680735873564
