,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.015733232224802274,,,,,,,,,-0.01684270385235841,,0.021809022516808184,
BMP1,0.11059046470389682,0.049946558423034575,-0.013692507682733134,0.013919792102329413,-0.07111448186403527,0.017269532112435083,0.08099401044337623,0.1433270038559778,-0.009834224324578983,0.04840274643959182,-0.012378242080159262,0.08375463946971727,-0.12943436733343244,0.07036116260146247,-0.02859240741931474,-0.009445195553564888,-0.04926595323137109,-0.010891562759086666,-0.006531980392825023,0.054845033946955106
NDP,0.013829003720784053,-0.02038640730215219,0.05606784394187411,-0.01623986865953563,0.013441218129444309,0.01944398833979077,-0.020030184181857372,0.04390609520662157,0.018904033450308097,0.04616299795376775,-0.04502911821129237,-0.008945366315714992,0.007011939179320508,-0.12488171847617074,0.06126238977505534,0.059769669584818545,0.00082279222903334,-0.06126985491327939,0.1567239197077632,0.07569317712381732
TNFSF18,0.044046462201120434,-0.05110474693321539,-0.02528979954525549,,,,-0.015533975935764131,0.041810531999350156,0.09109194139406879,,,,,0.008914826310059642,,,-0.017369583191755796,,0.026417686608421635,0.038539212124600826
IL36G,,,,,,,,,,,,0.10293120629370549,,,,,,,,
RTN4,0.007939653129754773,-0.014584021544506899,0.03776778837893504,0.007331350457155655,0.00948926784490884,0.004553089524042898,-0.04847161490794514,-0.1532436694375478,-0.0016244979232583159,-0.04374148615948483,0.03436258605817032,-0.06887138538390272,-0.06049305670862741,0.11685827207031582,-0.006872034068609599,-0.00822083788631554,-0.05187364659542196,0.06928927082394586,-0.03083463553051303,-0.011833393045016061
HEBP1,0.026674140572767575,0.022140855186712716,0.06338376199678171,0.06564809503468919,-0.007338169108024075,0.04170965610585659,-0.02354987445021584,0.05976066328082954,-0.009300001534974003,-0.011096689563461201,0.01418001662450685,0.003456530955092959,0.012929278353260885,0.08636232401390563,0.031194383296523083,-0.0343714311751434,0.003575599026956142,-0.01158321532906338,0.07554048454030637,-0.020386477120673985
WNT7B,-0.0014958182163205924,0.003035758585819233,-0.015709239525174813,0.046551201328178686,-0.006657085797483588,-0.03798787986639528,0.024032221747402795,-0.01795741093707783,0.011016383570967337,-0.027071118370472783,0.03861422104943201,-0.02360757119505689,-0.007576291430903707,,0.01220257601370162,-0.03412332331101489,-0.036321203616678774,0.0057055680785669536,-0.021880975423410835,0.012418079117168005
PTMA,-0.07317432393207646,-0.013275657197300625,0.042792764090260824,0.03928589074275377,0.0029385020822600347,-0.011831393005706776,0.056454988516135535,-0.08914190861673826,-0.0002757263547590301,0.013519261314318454,-0.12440341583380807,0.0942992738755041,-0.017679831510354342,-0.1004230837809307,-0.012600269512043159,-0.018887457980977487,-0.04152892902782614,0.019864390283007745,-0.11205529810280966,0.03775306245874253
FASLG,,,,,,,,,,,,,,,,,,,-0.028905295031567666,
CEACAM1,,-0.011691976309021341,-0.012055896488437145,,0.0030079486620594805,-0.017951118300890342,,-0.026686075320712786,-0.01303946702665117,,,,-0.027187672996305663,-0.009113521921441818,-0.04401801589430053,0.0811679844033195,0.05683027606170091,0.08633475997239196,0.0495455687683702,
PDAP1,-0.011549183637808604,0.024878654030907735,0.0370750144127163,0.032707110778709754,0.0027908434057156884,0.04971522105175945,-0.012397883378402334,0.0785459179685396,0.05514841627458069,0.009426509404189607,0.00024844408955266016,0.02015089996471951,-0.053539494341125524,-0.024992042328219978,0.03452796147720823,-0.0038524599440624553,-5.2351356086104614e-05,0.031035159417105267,0.0400474476318147,0.015160014866337905
QDPR,0.03741952697215978,-0.0589822110135732,-0.026017881131080063,0.014929230976245324,0.01755655738523053,-0.006435514899193858,-0.019988900336188484,-0.16619682116503726,-0.06471304081409437,0.001647304523949657,-0.03331489001953415,-0.07393581161728767,-0.003650972275383934,0.0024329733509290984,0.030642757760058644,0.11908340049420033,-0.04083235030599028,-0.054956734940208626,0.05152915221863101,-0.0037760884421434463
POMC,-0.037366563224091626,0.0013119224500033413,-0.021421404630910947,,0.033595809764814084,-0.002314317416468307,-0.04098176157255405,-0.007003018776629072,0.01822819982488172,0.06762723764928658,-0.022929641800446765,-0.022861523754717478,-0.08162837861785616,0.09438658116170229,0.04764194171891574,0.1251811483173925,-0.010670331809683133,-0.018289358858482988,-0.0018119416348725504,-0.00478400172567443
CCL18,0.15143691776000043,0.012627935098027185,,,,,,,,,-0.054161191807917196,,0.00790989802505832,,0.10326001067997659,0.05815406426226381,,-0.012732608552562518,,
CCL17,,,,,-0.03647377252238673,,,,0.0633158285768084,0.025249896476400396,,0.04870561401548713,,,-0.031228651745149206,-0.050653305824879966,0.0013033846061590527,,-0.02619940331439332,
VEGFD,0.016518734239679842,-0.014344179556981276,-0.01726765295281577,,-0.010407544175048258,0.04679714149624704,,0.00898302558267483,0.057493717529308465,-0.04163032228795234,-0.015492192895679519,-0.021028868660913625,0.01332126191756178,0.06468448900574669,,0.13818299231634232,0.08137593771365298,,,
TNFSF13,,-0.030630780393535985,,,0.010007125994085441,,0.08163959305333081,,,,,,,,0.09005441162904865,-0.032004704195908354,-0.023813204922142756,-0.033423547211709356,-0.004533757654591965,-0.024586799974304303
