,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.027396509277501663,,,,,0.004022645230448252,,,
BMP1,0.00979763926104635,-0.041882921558332786,-0.04895527974883722,-0.015790290963107422,-0.0408755408855222,-0.07599348176238138,-0.032111072017300665,-0.17594180934244794,-0.05231947802432783,-0.07627718564486179,-0.00041153982054530986,-0.24740727930855264,0.019163367409109858,0.06376368656383047,0.011037869042971892,0.04022572482820595
NDP,0.04520924118989314,-0.035535219835734794,0.04912731876388126,-0.07623951085617037,0.03553619078603468,0.2134894280536956,0.06561988629921736,-0.08154634332671788,0.06309339255958513,0.01631315300478829,-0.0875658579701857,-0.011417008525412563,-0.02469486572151354,-0.00016407007572773584,-0.03786978666783308,0.023540986036383337
TNFSF18,-0.019279978068690338,-0.02154481082359145,-0.003299321446845851,-0.009975293327134918,,,0.0299692360584203,-0.04068299381134341,-0.02061958304693764,,,,0.0029760809930667585,-0.03164201838150653,-0.028908140257136918,
IL36G,,,,,,,,,,,,-0.03213477763623318,,,,
RTN4,-0.01216601851387607,0.15356000074774304,0.08161877908547797,-0.011852594474999307,-0.015825050882104293,0.24026053848530476,0.22339498323971002,0.2548406643657878,0.11508441565855583,0.16368442127883884,0.1755572171294686,0.3434258027918102,-0.06776168219746372,0.018922194234836407,0.21165528072250495,-0.0017562135740878404
HEBP1,0.027044573855249655,-0.09890053138308116,-0.0179592492911286,0.012377953087744835,-0.03085139989806415,-0.02073243774532488,-0.0646217298188056,-0.07820266590887492,-0.025148928846915043,-0.07219150599806531,-0.055469693649654365,0.06274003866117436,0.015871846907179153,0.019755362175658698,-0.054251729227518565,-0.007486081764581288
WNT7B,-0.016985056812810824,0.08540359822354426,0.05717941173392339,-0.015013791984202083,-0.021747767071133222,0.03621482998957619,0.13878703376384144,0.20418130715983224,0.02536777690497973,0.06989671853737058,,0.12702295493851987,-0.043824662278828544,-0.031641985571110406,-0.007259711751679326,0.12757651110249657
PTMA,-0.05211423675530589,-0.011231253665638652,0.0637686517366468,0.02589748231993172,-0.04607664322409024,-0.17986236626897686,-0.20117705818471374,0.07011032140224334,0.03467833546376457,-0.15071097984442156,-0.21938021365812924,-0.3658726180927112,-0.044877749871154345,-0.052222981935266026,-0.058594140034661756,-0.08528065277603719
FASLG,0.037962837346421904,,,,,,,,,,,,,,,
CEACAM1,-0.02358390669960038,,-0.025643971726013258,-0.01152218232909358,0.010729407253610353,-0.02753993200276887,,-0.0535365027256585,0.020715093695896282,,,,-0.030114312842414576,,,
PDAP1,0.05833537778546228,-0.0295437733811164,-0.014388774211933714,-0.026154311520959653,0.04556873160174765,-0.06622912556845172,0.010047728954649737,-0.12491707838590127,0.023866730219340597,-0.05521405164327337,-0.008800946576743249,-0.1704087659130327,-0.018442628631271062,-0.04308272356994224,-0.014877952466997524,-0.06666609323998733
QDPR,-0.0362776246645168,0.09124820626399675,0.010475552626335757,-0.007812522469695373,-0.00290757926090357,0.1968980351133535,-0.07760384475236748,0.008800329089163077,0.026712516771193778,0.016888781606373367,-0.16821016832811236,0.03263274544029732,-0.07274394277010776,0.03251804346874145,0.09706474386956533,-0.05096650231657351
POMC,0.018108849658824235,0.11078314314436113,-0.01716163445116055,0.04381946992871782,-0.02338571928282924,0.18780909527407427,0.03101348587438544,0.009017774348698014,-0.02392533360944801,0.012610200578699318,-0.020198748170133184,0.1374828469040582,0.032119226087874514,,-0.03175914969714959,0.025470345040333242
CCL18,,0.05539337911644159,0.013016033791400271,,,,,,,,-0.12237497376185014,,,,,
CCL17,,,,,-0.01455547849410423,,,,-0.025716634569040654,-0.03396430817843721,,-0.029356031676726787,-0.026793612087314452,,,
VEGFD,,0.004956197716673268,0.031106152626391693,0.003100515475415688,0.019500863751093018,0.0013375064555957601,,-0.04589650198260234,0.00410238988494603,-0.024913230793715768,0.010028006240738588,-0.03146176840220316,-0.028258990921997726,,,
TNFSF13,,,0.05567101157022717,,-0.010040043304005186,,0.034579672313517426,,,,,,-0.028732683930392054,,-0.014187517501164742,
WNT5A,-0.0077352593871235125,-0.0236664191109492,-0.02799888162373438,0.0584004803660095,0.007704357391394911,-0.16359202348233887,-0.057084898899981855,-0.1258972890048521,-0.02508928515002322,-0.08155569521603759,0.004922494630166714,-0.06857086705810828,-0.0062338449238089925,0.08148754619359866,-0.02943124205605192,0.001647006672074167
CXCL8,,-0.0910831283375026,-0.07005930150707576,-0.015452631879479227,-0.03184963928263811,-0.06699052407616406,-0.027869644012876116,-0.08083384136716723,-0.08072647286088351,-0.023200283778396422,-0.09420720559736313,-0.07517520236731942,0.04035949831844024,-0.07193906457034478,-0.148511158797347,0.00944486444656877
GRN,-0.048688476397236266,-0.04664909262176737,-0.037949698080318554,-0.034809733415291616,-0.018498609974985303,-0.09464621960504474,-0.09240883360947726,-0.19582364038026143,-0.004855115757954205,-0.10060042488871801,-0.14719212352477815,0.029645001938314104,0.06480255929107046,-0.03128286585598349,-0.007733702996024872,-0.03591914678211629
