,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.03922271017574966,,,,,,0.05267320175720123,,,,
BMP1,0.007242766011029746,0.08637098198799968,0.030871295807632995,-0.13224205708966255,-0.021717357468238076,-0.36358716363788757,0.040553865776214615,-0.06937310227563881,-0.22755115442831214,0.008425877794552675,-0.005896179771554032,0.035180014859577474,-0.012151458736147105,0.07338808863236385,0.06805339548238956,-0.09056665660845578
NDP,-0.010340833890824918,0.00287640945489868,-0.015812860094468504,0.169127825995444,-0.0017386740393752014,-0.10671333081772003,0.019800820696384547,-0.10145028247808491,-0.08646745317688498,0.03002398591098326,0.12224907102594425,-0.00779503886078646,-0.04930901373354394,0.03114712247079747,-0.0005214152006852539,0.03438530346649955
TNFSF18,0.038502752977489924,0.028806178223061273,0.013590758193640686,,-0.02042660790434748,-0.06337545914747632,-0.005775204249865543,,,,,-0.03136438425775474,,0.04144564448739597,-0.029268860053278323,
IL36G,,,,,,,,,-0.0298214974544799,,,,,,,
RTN4,0.19993542266837414,0.03892278065591629,0.06127245962657429,0.25689212798409444,0.14253021987973744,0.4741895825781199,-0.06726325767727066,0.1901232211065607,0.2982033722841001,-0.016330567083724837,-0.06144072095040808,0.05503060665910518,0.05589948867899325,-0.1589818166624757,0.19147013307081004,-0.06951968219212228
HEBP1,-0.08252478477731179,0.01125171909335352,-0.021650528124645133,-0.06651476287802231,-0.08865209881804148,-0.12196635174281215,-0.05443600189166854,-0.06462937916081787,0.012236792222573099,0.014986588862656176,0.09709553743358283,0.00883857216549683,-0.016589226938909546,-0.00012603417678766068,-0.021978312934257935,-0.08416652113564027
WNT7B,0.24674675637941915,-0.0012171029451516666,0.009701671089534418,0.02556601086368952,0.04721224486145326,0.4737220295339217,0.0080925961506397,,0.08396395585012818,-0.021518076465680144,0.08694309469955147,-0.047833408649237824,0.00875106989412533,-0.02899466876158041,-0.014239424760152778,0.02029320694133608
PTMA,-0.02491325521493388,0.037360012022281196,-0.10242162357675752,-0.21450175120528714,-0.11825839012806942,0.05543498607778557,-0.06649629237639229,-0.24833884536761808,-0.31925807683030805,-0.034852874700743004,-0.0005117101785480524,0.11390803463829001,0.014536767559180404,-0.027442105096061434,-0.06900960161450463,-0.2327114066056096
CEACAM1,,-0.030945376605879593,-0.016246412350760287,0.00885289462626462,,-0.09643630956100828,-0.030821916080089714,,,-0.012535820652867182,-0.006772429129919005,0.023506906789939153,-0.02417864184949869,,,
PDAP1,-0.06211349932513898,0.045546090296341296,0.05637959181416025,-0.10188811666648946,0.07319267850085738,-0.2189486113823237,0.012278569614171363,-0.003285263076641024,-0.1432041403632395,0.03333436033626208,-0.036677108147003035,0.03728379042677656,-0.003708388334242202,0.06991617782850687,0.044596816228015417,-0.020271082833721036
QDPR,0.11761152991807303,-0.03040187449888485,0.010486897758586177,0.21488707899597587,0.08068473611968166,-0.00762768351003538,-0.01615388012042089,-0.2242438497412697,-0.01897851326044596,0.01092395562171784,0.046628813773412596,0.10025913745749666,0.00631300896825027,-0.11955866506324404,0.0007420737480888532,-0.18520349164418726
POMC,0.13233928388193983,0.04308964105007088,-0.01727018465501333,0.22537204614496956,-0.046428525811389766,0.0674603561945191,-0.02273918075426853,-0.025796695895139818,0.018399580739218626,-0.0022938040330435913,-0.053866025575597255,0.05079729258111927,0.01088705035396921,,0.060230727910688994,-0.05606684213114545
CCL18,-0.04314937245520459,0.036318103964239415,,,,,,-0.0873223093202339,,0.06243336391937869,0.04628882386015059,,-0.04481553768897783,,,
CCL17,,,,,,,-0.0016787916621333909,,-0.027242784556693066,-0.025534073888936314,-0.01984318208016716,0.015868521057785478,,,,
VEGFD,-0.023293927872601664,0.034734811903991636,-0.02326972618505252,0.016462070764075642,,-0.08170911381943918,-0.026040536227482636,-0.034183034377935996,0.03368803172229609,,0.01767387311215213,-0.016833213878359135,,,,
TNFSF13,,0.043212185260225855,,,0.0734207795496896,,,,,0.04028430194691858,0.02639412744383773,-0.01789340654714447,-0.012609119381431076,,0.0252266418454432,
WNT5A,-0.0352325927985218,0.024634740384108594,-0.014782120477484088,-0.21818904435968572,-0.1209310330438917,-0.28333664824922605,-0.03397246873528396,-0.008452921548061976,-0.04074838911810277,-0.004001305587448456,0.012173230558631041,-0.08200503647652273,0.01095517621841418,0.09741249014715683,-0.030124662786885067,0.10027340274592884
CXCL8,-0.11536193363710168,-0.0687067665904567,0.03748892123004356,-0.08457192843846666,0.0241268772664727,-0.11578785608317177,-0.014483073725078371,-0.07789170555690804,-0.06286137050665817,-0.07682706429208011,-0.12341917441461822,0.013106478949603644,-0.06593445240144954,-0.01585705152863455,-0.12823767952080448,0.10986700617730429
GRN,-0.11880223545213253,0.042785629852317916,0.023190548364453195,-0.10152914424322779,-0.09953157127952439,-0.3559503230184749,-0.01910557106528369,-0.1383195944602108,0.015193104877232839,-0.009953950004707154,-0.08157332426032905,-0.024316841089331635,0.012388850712708269,0.03652509585084206,0.1667990256965305,-0.046886757810479227
MIA,0.0667467315616905,0.04274199197951555,-0.020694467151332042,-0.05286453113562885,0.006744765566226158,-0.10530961833384882,-0.01264238848149298,,-0.03998654188914666,0.19775017182866197,0.17281735949801816,0.028946314472551214,0.02333071623482475,,0.03773593537630311,
COL4A4,-0.04894122424257711,-0.04637859054523445,-0.015359474115862047,-0.1324500444003413,-0.033615142363944375,-0.014085784264154409,-0.025517863736928884,,-0.03878842909712478,0.07535313876761064,-0.044005951421488235,-0.05248161413481049,-0.0009207969572820223,,-0.07500580210318925,
