,UKF243,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.01971269560732238,,,0.025550410560747944,
BMP1,-0.01995414728502977,0.0111686993086706,-0.0296794366904377,-0.036060353165008954,0.12088555906989822,0.017396931715028895,-0.0025687342269336833,0.07005360817315989,0.023369113104527463,0.05719590679896232,-0.03485219682150507,0.09542650917895106,0.05733060739926867,0.008777401541146574,0.13325345513691614,0.054783894716117054,0.005524037619238413
NDP,0.04195958755459097,-0.023256100676095844,-0.014026656190370017,-0.02058159484242436,-0.014983616531886805,-0.015654727357886904,0.036311898837626685,-0.024997983200045204,0.006799798916606965,0.02805241150796202,-0.021181433164159137,0.004912620287248105,-0.020264521458314807,0.03988814958467729,-0.0049766092965386486,0.0669749921387025,0.05675008992485258
TNFSF18,0.04114796945465227,,,,-0.01346331939394054,-0.01796889873957333,,,-0.04891328147338117,,,,0.028584196326150446,,-0.033140078564238486,-0.0076441569371241535,0.08430885050581072
IL36G,,,,,,,,-0.0163101874847858,,,,,,,,,
RTN4,-0.08161854686123875,0.05175812239880224,-0.029539219394329297,-0.0008475737647911372,-0.09455190024686588,-0.018378099634734732,-0.01430293979908812,-0.027683297088372277,0.09267497408626624,-0.0511560349279142,-0.011645966058340012,-0.028736003213717824,-0.07612229140005891,-0.024228449544172057,0.010479718145990757,-0.009987068035383764,-0.03228659670755996
HEBP1,-0.004636820811998455,0.10935016237698428,0.03752806383565424,0.0013373030099523193,0.0050207055924859694,-0.0648692960907449,0.026146521301160866,-0.0021019854660281356,0.014340138552041616,-0.022295110916559103,0.09250905098115764,0.01861722249078666,0.01206563868248636,0.023518469245248124,0.016446621097379925,0.09735236240361896,0.046551105327031266
WNT7B,-0.060628434100022464,0.05358039850321919,-0.00028534512495924873,0.07220252479288401,0.004742383182973428,-0.006596310373115601,-0.016779665496138175,-0.017926775654611204,,-0.03447726677583056,-0.004562171161820642,0.03474754817964309,-0.029106085620512475,0.04513083815127995,-0.03314004420046649,0.03378240789512185,-0.005550683253883248
PTMA,-0.10866658353057924,0.006200160369911255,0.040533579150868894,-0.03985075909687115,0.11505422237926659,0.00206279557248771,-0.03686835537745494,-0.002703768343782694,-0.001046475420106466,-0.10521925049441724,-0.06577216506807032,0.00451073746463137,-0.0427867028361407,0.02047750154047455,-0.05983183895917135,-0.023408147227753827,-0.03251604514142447
FASLG,,,,,,,,,,,,,,,,0.055094436980083934,
CEACAM1,,,-0.020916772767002184,-0.026801684515694268,,-0.007475686519579463,,,-0.04464455172231273,-0.030919765078952832,0.08009778126608874,-0.020263575807918516,0.07526698238149508,-0.001351049399772554,,0.02854643471728569,
PDAP1,-0.03497683687951389,0.02740814727498548,0.046544050078807436,0.002362637021541382,0.049039082578351635,0.03283857960736858,-0.009762242941411797,0.09902454440392972,0.017464954656532753,0.01692727682174885,0.021945353796446083,0.006685100125024851,0.03897380298040101,-0.031021885785978837,0.07515249874528139,0.08132097402727338,0.08186414994247414
QDPR,0.0655251114904215,-0.01297767228578257,-0.0026918231775866497,-0.016560040120432384,-0.03779920958216435,-0.0249239062313578,0.007629063113689516,-0.06089132540463949,0.018266764471108938,-0.1284251869024289,0.006637675975012757,0.02479406788432267,-0.04553247368865611,-0.04789431552447546,-0.001243046669451644,0.021280306280929025,-0.050045314552834175
POMC,0.0756002080385094,,-0.050479849821768494,0.050961830879076936,-0.03551895198365216,-0.020849689150359955,-0.04513064234995642,-0.034944751500919136,0.001174048616276088,-0.011340447455000135,0.014442317296300083,-0.019985141213539125,-0.03172167459242946,0.05214006707548478,,0.07448344514057148,0.0029443315547161087
CCL18,0.06669797212486157,,,,,,,,,-0.021922621810681418,0.024379237831690662,0.07454556525064339,,-0.029815201378714087,,,
CCL17,,,-0.032449174002545114,,,0.06609048949362614,0.035589194846570596,-0.014899819313417523,,,-0.017965878734142626,0.07321991685797044,-0.025990050454016294,,,0.05325474316594257,
VEGFD,0.03614015104173702,,0.03368556458768549,-0.010691542029203825,,0.021949248437676816,-0.015233962104481105,-0.015968597855310823,-0.04515446281793461,,,-0.020263575807918516,-0.027411481417618896,,,,
TNFSF13,,,-0.016017385251655004,,-0.013056611205263205,,,,,,0.0032348592624631208,0.021953384222196167,0.11797933969549207,0.031084611263119854,,0.04494957867649672,0.02622064673295318
