,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.05890330077178606,,,,,,,,,,-0.019505713615123797,,,-0.02667288722388593,,
BMP1,0.004155369546657606,0.02924007772969032,-0.017015747688820426,0.027840308459126193,0.04791241857444013,-0.13193830627881808,-0.13669779291121242,-0.37809377586086484,-0.0877072124060798,0.03697226232713097,-0.15818361363920452,-0.0743505688650732,-0.23492266808152804,0.14530351538062564,0.06493845375505682,-0.031325035274325265,-0.03348053540276826,0.006628129084094815,-0.1207179172718421,-0.095748218822616,0.07727917740434803,0.013385131927478752,-0.038165566064402405
NDP,-0.07510210341012476,0.011416122635566095,0.03141809653639017,0.021222380130533666,0.02877508343306913,0.18136382182020272,0.09377906644476511,-0.10241531452763533,0.058278277087979946,-0.0334504848452762,-0.08050371052739881,0.00071517719971294,-0.0425498962593318,0.0999232516386869,0.10135853822179156,0.055667093348271086,0.07800654311004591,0.026974496257630383,0.009534106628439206,-0.0354626677776491,0.006729712800761583,-0.025600366773495573,-0.11153208391906222
TNFSF18,0.02763314634543734,0.03149113230995849,-0.006231399926065747,,,,-0.0320562670189413,-0.05294382930513507,-0.041247896015611525,,,,,0.07043618576664197,,,,-0.02011589815521306,,0.02342065890154979,0.08778510358496346,0.008349170858205057,
IL36G,,,,,,,,,,,,,-0.045401600476391434,,,,,,,,,,
RTN4,0.02850022542805575,0.03430023825287611,0.03483246932096956,-0.08992394872023879,0.05646027747995814,0.2588067973040275,0.3624655692670286,0.4781916391668107,0.13946743360983851,0.15479684557591472,0.44683876979162623,0.08216886496270777,0.34896307945318084,-0.0861532900081927,-0.11224936822672964,0.06222416403956495,0.04963599465897455,-0.004725649878771606,0.21766106638772037,-0.02149358506846679,-0.04227522750605869,0.36944758138378964,0.09389618192724676
HEBP1,-0.08179261009481456,0.029166965732393756,0.01670856026732553,0.06375482919166121,0.0015998480973696378,-0.045984927849495975,-0.15297965854265091,-0.19411829886682053,0.008112861288036614,-0.004341302259246765,-0.19922067933657273,-0.07334860381543598,-0.0360527768582319,0.04403861179583664,-0.0322317360719267,0.09997686280614071,0.10702427475007878,-0.0432515971758907,0.014669483365687727,-0.06072023311130896,0.06903067155216941,-2.5012207981223542e-05,-0.03651349466098977
WNT7B,0.07632004994556435,0.026652706472532386,0.0853517064385836,0.12606631521600692,0.04028089527803715,0.08856836300138052,0.07582659640002774,0.2694740104954188,0.017291629042233803,0.057388835918367534,,-0.038061900609916786,0.14750588126518305,0.04366187845353203,-0.06247694638023445,0.004841037273298981,0.09680045750473916,-0.04206397037636749,0.039462797235492716,0.01810572871067685,-0.02720556758079109,0.026725264426222212,0.04054812445976827
PTMA,0.12850023795043883,0.07172429618631512,-0.0867448396591619,0.0384844634961022,0.04036086186167005,-0.22565120735872557,-0.3166119142330055,0.06540589909617561,0.0835919610876234,-0.14831134658599926,-0.549906314515418,-0.11744444278296978,-0.3793624812055013,-0.046653085514880954,-0.17473305568372569,-0.11784293846271299,-0.0375141178546525,0.045285836811234347,-0.053070531686307154,-0.046382489082060926,0.02149462088484999,-0.07069970045627146,-0.10564840952648166
FASLG,,,,,,,,,,,,,,,,,,,,,0.021648044133975503,,
CEACAM1,,-0.018248358090798278,-0.021217899214328886,,0.038230118129639785,0.07072689069597704,,-0.10171412326361265,-0.009273428074296134,,,,,,0.11383987418071127,0.05139347783369779,0.04515646424489555,0.08007795228714024,0.009272472558252485,,-0.007647374964054985,,
PDAP1,-0.041537519592477805,-0.0037815649037624497,-0.017600498576440776,0.014079203641428508,-0.016375318894936777,-0.11036336171033889,-0.057599786448260054,-0.296477895507257,-0.04039731992825996,-0.01844603707209392,0.052546139189320454,0.05047095141233069,-0.172170319814707,0.03578307256959036,0.13331731136269342,0.020026589419968734,-0.05726184676139429,-0.021169332768544442,0.04417808516054755,0.07272161412098506,-0.028437868284146982,-0.02018380784920288,0.016085325113893753
QDPR,0.10260447656384086,0.06915519805394467,-0.0016261181416107853,0.012136144761557362,-0.005691342615004521,0.21106089161988473,0.07135432447891171,0.16645606817734418,0.04644430649494221,0.044074576301793136,-0.4145010556891523,0.025207241713614104,0.03866293713417463,0.04549372284230508,0.031870748506837625,0.1014440962631562,0.1271541204623838,-0.02550650795691716,-0.003839800881382158,-0.03051874235964868,0.022759516716204405,0.16350566267013458,0.07010951791622025
POMC,0.09640620595391139,-0.024712440845404183,-0.0015932277608589503,,-0.006378739250560876,0.18197033240222865,0.08253857155752889,-0.014412393274602607,-0.04627458172806128,0.00700034515819762,-0.05295187513014212,-0.00947657359089096,0.05584669352278425,0.00674908035429921,0.10283821620625785,0.08805559806434987,0.07108899404860476,-0.037469330066713366,0.04087963003179406,,0.010398229799228536,0.006862497301032033,0.02356999925971801
CCL18,-0.024012417524225668,-0.050260271221429294,,,,,,,,,-0.1570330644416093,-0.0642425308451346,,,-0.005265859160782974,0.06526821331126534,-0.021989663380417333,,-0.07109010652866934,,,,
CCL17,,,,,-0.015344477703771625,,,,0.03705734252112459,-0.02323840998266796,,,-0.003533904215509162,,,0.038314384803480143,0.013964812187806293,0.015400057306813073,,,-0.029905099376678262,,
VEGFD,0.005481518756086857,-0.01982991505549531,-0.030390383690856445,,0.004002456677540867,0.019441991342072237,,-0.09867882923589144,-0.007437908495362027,-0.030619131477061183,0.10082021627439675,-0.022866367912169804,-0.03599444400823408,,0.028756720382078372,,0.08219713860609747,-0.008374923734839302,,,,,
TNFSF13,,0.05262315263717209,,,-0.032573270048429775,,-0.005133404433339035,,,,,,,,,0.13562605785987422,-0.022815476513916442,-0.02757832468832087,-0.04419046006059875,,-0.012731915163298762,0.04487433257473466,
WNT5A,0.012789134257449554,0.027102992235498842,-0.011313357344687362,0.0511653067245018,0.13892291936390536,-0.13211700365195467,-0.23899332615141142,-0.3430190381597562,0.003375160735896315,-0.02052740685401954,0.06141536880945741,-0.030439519647563074,-0.03181981823459171,0.07939708055397307,0.027407121878965567,0.10297580665215814,0.045465654374145514,-0.035875764971610526,-0.023671957215633737,0.030540053550015007,0.09581482253237111,-0.05721200783419809,-0.07230822765886796
CXCL8,-0.05560597843392775,-0.016936688247119296,0.017165262608550627,0.03889550439462697,-0.043096777660808036,-0.13674535427810786,-0.0338715198260557,-0.11946018460837331,-0.11044159004793863,-0.04229695074660421,-0.16158942532582876,0.002501282986197025,-0.00766326485352552,,-0.1365660214432314,-0.18834056841388652,-0.23538339119556143,-0.009127611632594934,-0.05491388045791226,0.009637485194220596,-0.007379380010704077,-0.17453913249371758,-0.012679729166656353
GRN,-0.030376112523744378,-0.03148454507851949,0.0074726668795695745,0.053295004863365726,0.03022714391053924,-0.10140155240773292,-0.18173963356434383,-0.37626529592564384,0.019061799537059578,-0.03319591739918537,-0.3226152322506387,0.048267596542969304,0.048211326303883126,0.0631465232968633,0.07247260385532443,0.04932978479750854,0.026121120978562364,0.027806810860488283,-0.12110135766314159,-0.012903635790511158,0.08835252458439705,0.1380501872126797,-0.08800580114237791
MIA,0.0896159775561977,-0.001506926095647303,0.04786907457670216,-0.010793287247891775,-0.025677838903508526,-0.08819127887360668,-0.047797095797239814,-0.14064662816936843,-0.05806943893667345,0.032862925323125874,,0.03376146093710513,0.028799992499569382,0.11162821288098748,0.05355911327239535,0.13367420016132306,0.2453240931292199,0.02940227815375632,-0.13322801772594361,,0.11443155121815067,-0.04114178197204521,
COL4A4,-0.0001975303769955315,0.011903742854992058,-0.015244517833476873,-0.03983118104470451,0.009385125279201833,-0.07344802709175782,-0.03188839392083754,-0.05059307135013541,0.03180290519371058,0.029310649475089903,,,-0.059053263963776685,,,0.0600910545301534,0.008597255313184263,-0.01289110818009109,0.00420958532073215,,0.08988966788843837,-0.10590692863870727,
TAC1,0.055780827198847076,0.17559572227633832,0.0735529614042564,0.16436838927094488,0.2043312057856875,0.3446638922939995,0.3300809859216213,0.4625821318465827,0.18539221209623194,0.1771880812195146,0.3602989082669358,,0.43453369746791276,,,,,,0.05346515392426836,0.06278576249967742,0.03874479757711323,0.25221651520364885,0.21374202971676085
RARRES2,-0.07186786762663924,0.06806060814847444,-0.04242251678336509,-0.023853162607381205,0.02238663249219606,-0.21062959933497943,-0.19360608863366296,-0.43379024217353396,0.09858533899336003,-0.03431013440384167,-0.1495223856949153,0.13811726192262,-0.18757205497930257,-0.003569487391433261,0.07027219508473953,-0.10386887676855606,0.01596486524159265,0.08208011720882248,-0.11209093835803176,0.020208815175938626,0.04999026549181831,-0.19056264906929815,0.017388104036667115
FGF7,-0.001506059625573267,,-0.024118589461580887,-0.037648781043284216,-0.01187283124690062,0.18434268579412694,-0.01684190044386928,-0.07225208792619288,-0.025074262451797464,0.0283349457460374,0.0502145669811753,-0.023733836608098472,0.016496363325453994,-0.056020685000425306,0.09327009564657114,0.04936775062156036,0.026179381310937184,-0.011399439052596792,0.016233877433662374,0.046562927209894106,0.026679830877686578,0.0286237961160289,0.0033116007816111977
EFNA2,,,,,,,,,,,,,,,,,0.03662867715258262,,,,,,
HBEGF,-0.0711671262285674,0.0017720981111259489,-0.007223266830965181,0.005245020238785181,-0.015457275294315067,-0.15628043703915573,-0.1290961593644218,-0.17591394085362988,-0.22441907484619364,-0.035245893480509244,-0.17770155608890303,-0.03151837814148871,-0.09754577869260359,0.13568916928640445,-0.10328675001192372,0.06146776954316813,0.08865024197627427,-0.012342082147365818,-0.053703971585537656,-0.06641259077800496,-0.031033378501709265,-0.08288947805779683,-0.03034828712468504
CSF3,0.00598187487241195,,,-0.039667676670158455,-0.05121160994630766,-0.011217370376835555,,-0.018487559398325012,,,,-0.006456152489864569,,,,-0.09227825963691401,-0.09022363011087405,,0.0019801906159894085,-0.04887857316080327,0.023918142475490754,-0.06389895798622727,
PI3,-0.0465772443373996,-0.01923553715588816,,0.013046499951767685,-0.010741614427565752,-0.07420199976358392,,-0.06914882382845292,,,,,,,0.06170221069093773,-0.1904348147399658,-0.21745954024342656,-0.02185091895074229,-0.10461969701410052,,-0.03343996871944231,-0.07781753299296187,
