,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.0686024738960997,,,,,,,,,,-0.030366690310990044,
BMP1,0.018331530449628812,0.022995118413514728,0.026428530296890414,0.0019176598335808928,0.13619414368047159,-0.04399558453592911,-0.012723004629479766,0.06508412097931204,0.026473818227022185,0.051144421741158186,0.04871716694535749,0.02100775615371175,-0.02089505699657231,0.027532017279871902,0.005362260463018503,0.11257637980775331
NDP,-0.0011804213390990115,0.03382109744978354,0.003330751402046501,-0.013055853475068753,0.06108374768960466,0.0033445765217774235,-0.033211522872319384,-0.010722478119325134,0.06111412880351568,0.022381487041491812,0.0424881855258797,0.024327673841335464,0.06842025474543835,-0.04532066960849096,0.022782246260227835,-0.04628635476114066
TNFSF18,-0.004905732424615446,0.014233125232539829,,-0.0004028858440301589,0.1051211791588545,-0.011674763952453069,,,,0.0033845304918778867,,,,,-0.001189994316589444,0.050517402272767756
IL36G,,,,,,,,,-0.017136235218859076,,,,,,,
RTN4,0.07985818773000898,0.005331301519950754,0.014277428406463084,0.010915244194943718,-0.08740576481782807,0.027584050589910845,0.0377172339870674,0.01345025488407524,-0.03400544419075255,-0.003236388681339755,0.024157667875140974,-0.02392293522077022,0.002069211790238526,0.059530696932883057,0.027258769705577224,-0.11687861254579794
HEBP1,-0.04453758161749421,-0.0100063109163141,0.024168022058203155,0.025284863292772304,0.038718045565438446,0.030247849148975808,0.06416568069739337,-0.017711649402049195,0.0253845939842643,0.019754115214566593,-0.01788772882745719,0.05803493998394526,0.04656721730986014,0.005266906831898474,0.04175058030423606,0.05927651924644653
WNT7B,-0.000535678806939681,-0.018628564235715756,0.031734179802053814,0.006267796763517447,-0.002312101666713625,0.02506485313957135,0.03758243665674676,-0.017200280596413608,-0.01883469730925465,-0.027806251664714163,-0.083160468641085,-0.03436729941174859,-0.0015276686424782254,-0.024282379751040542,0.10225107636742796,0.04390214897559023
PTMA,0.05011173659146953,0.046050854472863265,0.029044953290829477,-0.013882363178991632,-0.08981929152329107,0.012330471704698354,0.02654298724575362,0.07111957854242823,0.0677678413400483,-0.07007088248594666,-0.08178087174811435,-0.0295711211999076,-0.012743555049183258,0.054405932016138595,-0.00940389540953285,0.043330015808160045
FASLG,,,,,,,,,,,,,,,0.022147926601407526,
CEACAM1,0.011117112277488876,-0.014296302618219332,0.022157724921141073,,0.05659241678690584,0.10446302603492519,,,,,0.16425918621624727,0.009651807650722955,0.03152590878968339,-0.02324043244485163,-0.03664409533035552,
PDAP1,0.03126587800174552,0.01683455443327098,0.030185432459278305,0.049265601038665924,0.08780852328477005,-0.002354201183923831,0.034917914404732554,-0.008489460181926527,-0.008311890268020502,0.08960364282625244,0.05940095549539852,0.029703603901912647,0.021748713908455335,0.040363667804463335,0.04075190963863969,-0.003204368308577537
QDPR,-0.013668051117518313,-0.005952692998974742,-0.031568734158907964,0.03895303810554285,-0.07168257290441071,0.03473713995167705,0.042348965352535066,0.07039281921943795,-0.031172373290351024,0.015907185428485904,0.0915388399424619,0.032229666460793685,0.09221307133371946,0.012423164188777164,0.08302888756388761,-0.08344428087664121
POMC,0.038510417337385514,0.06556783768943934,-0.024467731281694095,-0.012121807362882734,-0.0265043618343241,-0.013546472871840229,-0.0021995999402531904,-0.01981834415902248,-0.026908694581601278,0.08645035344271988,-0.04910378915984082,0.020792352847538408,-0.00961711140333086,-0.03801829448569214,0.008299562927037759,0.063877818436111
CCL18,-0.014016397615073221,,,,,,,0.12058167854404998,,,-0.030181814425292948,0.02244091105669209,-0.004111879453918406,-0.006782481191099209,,
CCL17,,,0.06299328749750424,,,0.024056298211935265,0.0442858683724187,,-0.015654437369980678,,,-0.01752177190368845,-0.001422467967113076,,0.11765412917535556,
VEGFD,0.056436543726402555,-0.004397253845514345,-0.016966712343486373,,-0.002310156926874793,-0.0155131981836042,-0.010501423398351336,-0.021727876576417136,-0.016777345399568752,,8.233931334229454e-06,,-0.00882179736149555,,,
TNFSF13,0.05289275637823719,,0.016599782385194668,0.09844644385864341,,,,,,,,0.15195618892146529,0.08614885372436999,-0.02609744800286558,0.06999098120368072,-0.03208394593266549
WNT5A,0.04204198721861722,0.0538008463227723,-0.030641351133468532,0.010727775672775271,0.05296694083037696,0.004529009259090504,-0.04865690562854396,-0.0162167859628074,0.07190312111214668,0.03321348896678861,0.04201935231904516,0.01820514385819158,0.04983750818408142,0.033906912748264496,0.08108838812974917,0.09737773743614517
CXCL8,0.062078152448439755,-0.01917306073513222,-0.05317391260182818,0.08585359177470181,0.055105164218086075,0.006692524784865316,0.01867146094147,0.0009673300390272018,-0.002786517026223081,,-0.01197523457570148,-0.12965162143441158,-0.09466989700757923,-0.036795230013388115,0.045363774352066843,0.07550248716660853
GRN,0.027898200339436248,-0.04265729395352139,-0.0013005594011957133,-0.03616349738826638,0.048444234469323486,0.027127924111588746,-5.478797479916696e-05,-0.009997531244924383,-0.05740227193409837,0.12307661241942497,-0.025398875878292242,-0.024542040845889793,0.03266952161467447,-0.013276214262976352,0.008928637296890519,-0.009324602916376918
MIA,-0.002486490288715307,0.0176553390085243,0.041607739313359766,0.02065260150294105,0.024854478944511878,-0.01847752072250284,-0.011943157536449565,0.07587540233805518,0.035562601766962916,0.005107860885806392,0.10208005694996225,0.07853815312070955,0.09160846823511636,0.010483111782904397,0.04555923942416718,0.0724017051037963
COL4A4,-0.008617878246870948,-0.030624541089644863,-0.018966074185621,0.0645863358065738,-0.017442341023153955,0.020884599877926166,-0.005256774367183669,,0.08662110918306849,,,0.12325280037570932,0.043503715163587954,0.03225171210581006,0.06345599617763012,0.0803555519499269
TAC1,0.014119359533522963,0.06102941344008881,0.04118530868243165,0.07991227873286745,-0.0766525228777731,-0.012218381458738511,0.028673036536031933,,-0.0058945034740766926,,,,,-0.0400963667596878,0.010585256189359916,-0.08017773249349079
RARRES2,-0.054914336176116324,0.06385268482840105,-0.010322674683914162,-0.04742642941275699,0.06265376822575514,0.05416799020804524,0.01575355818083166,-0.09644876593427051,0.019785245774274148,0.0665453365188025,0.060955666719908305,-0.09513643099028327,-0.02705718766040326,-0.004455056952057106,0.06487503788835478,0.0613083750815723
