,UKF255,UKF260,UKF266,UKF275,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,,0.17393372520724293,
BMP1,0.05819319445067614,0.020241813964726487,0.1745280484864387,-0.07856615435455551,-0.024245338006941026,0.04396497758164378,-0.04317811737615458,-0.05580704134781636,0.04285860301636891,-0.014478841478545676
NDP,0.0036581432002230877,0.05898086912693206,-0.027220086621129833,-0.038499032998681716,0.05990431747107753,-0.0010876645521379572,0.051564595189542574,0.0973420643062082,0.002135279308684868,0.03139732119797647
TNFSF18,,,-0.02167098543336298,-0.011390332395309278,0.06449417185216898,,,,-0.018788972798261718,
RTN4,-0.0016964086816313373,0.039229590334470946,-0.2693081681192888,-0.026792861688046444,0.025748147242921463,0.007443689951631827,-0.03037219355813338,-0.05185286866549925,-0.03264016503346854,-0.008423239408270585
HEBP1,0.043504650566495766,-0.005755197530396545,0.08805575224238513,-0.006357315029906873,0.06071084863548883,-0.0022271475297903757,0.0772514662325328,0.027932134422865042,0.019761040177256068,0.035796594054124824
WNT7B,-0.0299222590795979,0.02009628051714291,0.020712320078529998,-0.014251203807122907,,0.09159016282705781,0.0639203209408343,0.06582684184331676,-0.03928926210951402,0.10082215494288542
PTMA,0.12796265171044047,-0.03481666988155449,0.3312374646109989,0.014381102829686227,-0.06013782576235999,-0.08830700040960555,0.005264017616047484,0.013591944743995145,-0.028736289614616873,-0.050957852765803
CEACAM1,,0.037255896044096355,,-0.017914279292947408,-0.010542681967653898,-0.026464640785412323,-0.01925525854274071,-0.04512513284501799,-0.026997792315791854,0.03061800059661597
PDAP1,0.04103775843970387,-0.009526064390729358,0.10345441341104976,0.004908756611710073,0.05341806833819959,-0.03646993353420106,-0.09373899234906402,-0.03367788530673795,0.067824708230133,-0.008403020271767222
QDPR,0.08215145930393629,0.03269841086320798,-0.13291777370947178,0.018203179878784673,-0.08744079391850351,-0.11140435348340151,0.08573409931406886,0.13720692351611774,0.025074814378857155,0.04811814234076584
POMC,,0.04347193262748137,0.030891184487707047,-0.013216440985248289,-0.09735264763552631,-0.004436891392464583,0.08101395240869107,0.00992154339963727,0.042219881834321106,0.043838337014002
CCL18,,,,,,-0.01876386543729129,-0.04492119792087021,-0.05777558420566524,,-0.04820721962449697
CCL17,,,,0.0627381500350162,,,-0.029131320341234685,-0.06514096219207782,-0.02402074981117869,
VEGFD,,0.03032201897552002,,-0.015135251089032267,0.023515454289754153,,,-0.04512513284501799,-0.025334477062727158,
TNFSF13,,,0.0028958293287648824,,,,0.0237161065084666,0.01122934008896538,-0.025759147734410577,-0.01800620951706541
WNT5A,0.06017740332151929,0.08403934960112598,0.23032670177748718,0.016656128527714746,0.10612979796738009,0.0054532259755530055,-0.0442334536250497,0.06947478715882321,0.030774052795137747,0.034583442537096026
CXCL8,-0.08068295581012845,-0.11754809202087528,0.01009005982254573,0.024410837687479488,-0.026470769297891397,-0.03303673934599354,-0.14037972900793697,-0.25425864751845817,0.13269910857919856,-0.036524770176487475
GRN,0.003364119823622106,-0.03944427267830756,0.10436107885192604,0.02141902119766879,0.16015566609543425,0.05125485303374691,-0.0881295595506928,-0.08613682264657332,0.043436011611621056,0.07654959324220723
MIA,-0.04639367948937903,-0.002600651480493763,0.1582394868171034,-0.027922006474907266,0.051531888274765285,0.007926780178612442,0.15761815291899864,0.2784499761754049,0.08597660885175293,-0.024118969052988534
COL4A4,0.04099310951544627,0.08583293867588249,0.129202637822327,-0.014831463973715034,-0.01616739985147519,-0.023723388743877697,-0.0108184237814777,0.07620014636709987,0.03423271403415508,-0.0323160299209002
TAC1,-0.0013402152991211233,0.04680089634113388,-0.17512953600728834,0.04822450344631014,,,,,,0.05370338243693571
RARRES2,-0.05893899774895966,-0.08570242251800567,0.08625148059386847,0.0480155418972478,-0.06603865311517315,0.02186709058085076,-0.12721666594055533,-0.11993998051718775,-0.03701709578598774,-0.04082093022885079
FGF7,0.03204106963493045,-0.012995781807945871,0.06602814358364141,0.012596523228126355,0.020863402252415782,0.013291905257613089,0.04947935980994788,0.052448500146177204,-0.004603783526946371,-0.0035416674669255174
EFNA2,,,,,,,,-0.042888418856441575,,
HBEGF,0.054052402342955996,-0.07491729604988284,0.23094966091759397,-0.032034405052418974,-0.04885158553371715,0.011941813814858487,-0.021852086001796486,0.056196378671633886,-0.025344810187600837,0.011568142323373328
CSF3,0.04250850218183774,-0.08673531012668169,,,,,-0.07188732515759755,-0.15869493445040367,,-0.022988336334366272
PI3,-0.03168991229955055,-0.04227689889259703,,,,,-0.2119456952628414,-0.3078608112984883,0.10148906840170357,-0.033908893265878946
PCSK1N,0.07354944625528805,0.02130528312732389,-0.11181690593068995,-0.07203237034720207,0.040893320643937296,-0.02832267954943074,0.03222621547299293,0.028807672239056444,0.034505534537398234,-0.010212081832210115
NTS,,-0.06326124450277981,0.0017625528168529465,-0.016943223542731364,,,-0.018594591950976343,0.07242434358230056,,0.0613207900492495
SFRP1,,-0.020806635365179526,0.1512687754321596,-0.012418773239176017,-0.06250743004595495,0.03118212220778743,0.04212759567862616,0.05804636727691787,-0.0015067353824343988,0.053618564772458514
CXCL13,-0.021916880318684058,0.00020352750598623978,,,,,-0.0005167597650480474,-0.03551701612061526,,-0.03749876033918667
MICA,-0.022765190149270226,-0.016193419941726277,0.05593572559638758,-0.02188770021231704,-0.05152555964161118,0.01901224926809188,0.017559702696142654,0.04524199476786298,0.07696129502894056,-0.025918150319019055
TG,,0.08700901116922435,0.019101017431393745,-0.014311969239267261,0.0032949800845927762,0.1255497824784066,0.005936830583750231,0.07986728613366685,,-0.018919754055311617
ADA,0.043610884977902144,0.04678941397589314,0.11482464493058686,-0.020117087942022393,-0.018710068664375103,0.12145981172827962,0.04973515052677278,0.04953278975431629,0.062295287984279905,0.014692648230495015
LAMC3,0.033810256153718805,0.03577591322193851,0.1591220981375294,-0.013035293023454176,0.046365011399247175,0.11767862073551436,0.14069994307332068,0.07650248475089959,-0.017085032431140516,0.011824432278941633
CCL7,,-0.053435292950584044,,,,,-0.0436611344040565,,,
NGF,,0.028651729798414727,0.01938226985615429,,0.10280955663150353,-0.027884288699443423,0.07477620361590885,0.040584220113283144,,0.04539350823468092
TNFSF15,,-0.01921841158770883,0.007948993437903267,,-0.020433963044520585,0.15336975281372411,-0.012361982461555567,,,-0.014275362202602051
HMGB1,0.07781704789157762,0.09883488263766409,0.15867555120838384,0.02617334015692831,-0.05633736980202243,-0.023179777915909396,-0.054503505545630646,-0.11530365153545244,0.016878901383811564,-0.018541818774944235
ITGB3BP,-0.02003544708566748,-0.0016818738040968015,0.2569607684060584,-0.024785614747487382,0.03344634044856228,-0.003354235130131071,0.0010989532541364607,-0.04550167291487577,0.04425954024426509,-0.0004768870332401919
AANAT,,0.00628797032906703,,0.00885558049999158,,-0.019543352399283436,-0.013298338965308342,0.09131114030943502,0.04137827680252703,
RELN,-0.002266936900549764,0.02698878752478387,-0.05532547919225806,-0.028337429622824532,-0.016879985827537646,,,,-0.03715780966725033,-0.01724309048650884
IL15,,0.05216351965652645,-0.013370449751953348,-0.004437233950112367,-0.02311535855107864,0.010538628983690004,0.03948716255408475,-0.04419797026469587,0.07476368499869727,-0.013689690018874146
UTS2,,,,,,,-0.03261792235200329,,,
BSG,-0.02266988083950322,0.01744968129215511,0.13576854883472964,-0.013542225594129195,-0.07722627222726283,0.10226101697433168,-0.07664365289525973,-0.04414723121188186,0.062278826340257436,0.023899367543873614
ADAMTS3,,0.00159151830257078,-0.016044359061684648,0.0032581896976143494,,0.03865163308330722,0.046616879456910086,0.11899057385759008,0.08254903545864127,0.047124144419127094
CD34,-0.008717620880206063,0.028815076500333006,0.12246552921809514,0.03073346733273113,0.020706057493254923,0.02196184613631947,0.02114100171483656,0.05697966200545066,-0.00734348378108097,0.03160688936367929
