,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.019648799167580184,,,,,,,,,0.07947502075223489
BMP1,-0.021872759738469853,0.028870731166955606,0.043420144505123826,0.0032631165813853326,0.0048457615790332,0.024074421956456447,0.07596790109923042,0.004007689693933663,-0.01717888371819707,0.0705797934045772,0.0652909619453425,0.04345691072082024,0.08077488431902086,0.047864786826108084,0.07530386267819376,0.03317930483785575
NDP,0.03446309115066274,-0.04848916031566419,-0.03304029133328272,0.06613463647453613,0.0015081633787252587,0.011991315221184308,-0.034269973199295124,0.0012453108516731707,-0.00942231499437826,0.03518810124078204,0.09615761443540877,-0.11189051182667831,-0.0497405917321394,0.07881345685716333,0.030496003167245895,0.09022761292295212
TNFSF18,0.00460744753689617,-0.021544820324708076,-0.03972184966322295,,,,0.091615913028466,-0.013506325325882383,,,,0.0018124002775491274,,,,0.030916320181923425
IL36G,,,,,,,,,,,-0.025374541504647956,,,,,
RTN4,-0.01239660702680813,0.10394996579832383,-0.06532353513728531,-0.07977222608184302,0.012548214028528662,0.02673876297111369,-0.11157316266905286,0.05090058374557659,-0.02651123137191099,-0.01225381739071122,-0.07679540388325189,-0.07572937291161282,-0.005075792974736357,0.019330550953374735,0.04754446768664964,-0.0033705459038359353
HEBP1,0.012101329006801548,0.008616501985952586,0.02761130577183273,0.01495886761267216,-0.0025571441319785187,0.00941717060919981,0.06641557433357129,-0.0018291034502442188,-0.06541628769177159,0.08435939904297836,0.0012995194976317928,-0.03419201307386269,0.016459945684788764,-0.04573033464753113,-0.014355800385789656,0.03689945978657313
WNT7B,-0.0169850603396676,0.031428501129559784,0.014842549281629291,-0.0222569738835291,-0.02761213726703645,-0.04569936538315389,-0.06151915687695017,-0.000659685141893124,-0.012182918050168712,0.03822004885229812,-0.01569048971388828,,0.08415420361624336,-0.03673614857804061,-0.021514596818006704,-0.03602963130561956
PTMA,0.012995098753447157,0.04805498649113988,-0.012977248525177567,-0.006746562707676125,-0.042699025211139774,-0.030798144505606258,-0.021354081416559388,0.06949552201600959,-0.005767689938212038,0.05448266418477228,0.03647070186375005,-0.03471163525721306,0.03565325762654018,-0.06461709908215274,-0.05384937087330461,-0.0580848184809345
FASLG,-0.016985065141300645,,,,,,,,,,,,,,,0.04233639672820791
CEACAM1,0.15315401856484642,,0.02901462452920279,,-0.02315661166544858,0.09048598058287154,0.0015903522649809991,-0.021242232071199903,,,,0.03262177168075543,0.024997400382821916,-0.020585075943705504,-0.014279550809962413,0.0196167415474545
PDAP1,0.08870399084982114,-0.015565512423140748,0.010107101711890654,0.021644364641256988,0.0206000901393466,-0.010017000960065206,0.10381009640139596,-0.04648197441019617,0.023057053845955838,0.03002506327325766,0.055435469450497515,-0.029534939380116136,-0.01685496353834846,0.026210406937759907,0.0013527092849645215,-0.023152431879536913
QDPR,-0.07991171303193623,0.041104346036655595,0.03233751971714484,0.017368266734835595,-0.0042042865668552205,-0.07308441363497244,-0.044717838162005065,0.0033271137055722938,-0.013450133954029797,0.021296688262171008,0.016335665102662492,-0.04241618195523842,-0.03818822560007014,0.02578597781613742,0.04482927976648569,0.0596738482990799
POMC,-0.004088710628696964,0.018443347305120216,-0.0054694734400102364,,-0.006495853677029011,-0.015341087287238821,0.04333494710328111,-0.015671671853105917,0.0070134981870162,-0.01140859722048199,-0.006122068849902509,-0.0013527844791993056,0.09194027332869537,0.013538441628322222,-0.023359469282888404,-0.05296541297264234
CCL18,,-0.008674267982858624,-0.02101044824004409,,,,,,,0.017491133865643903,,,0.16513944639889566,0.07519196813749113,-0.041025418828586256,
CCL17,,,,,-0.01834804397168096,,,-0.0007105099275264157,-0.015079037333569283,,0.033806491697609437,,,0.13600136064308435,,0.11316401040982951
VEGFD,,0.004191845039455406,0.024227847532104184,,0.027087458903542774,0.011335666918001891,0.015305671623516067,-0.017946941142961692,-0.011060656241388323,-0.017797181842848887,-0.010936479683601369,-0.06634212816738014,,,,
TNFSF13,,,0.005463886370987672,,0.041894618472861495,,,,,,,,,0.03419171376037839,-0.016034978507890253,0.0584596179127657
WNT5A,0.005480288943603477,0.012881768925369293,0.016943441247701963,0.01892583261750365,0.006359686667906115,-0.01035744508128741,0.07121005887641166,-0.022182360110994805,-0.01656324066730935,0.019830278870627684,0.006362121616481673,-0.05140571883215343,0.040603664646312515,0.03173852609434029,0.023482001656301085,-0.04899947079133221
CXCL8,,0.10454953552401239,0.009369314193097633,-0.00822001944860155,0.016996295349185824,-0.005145047479646619,0.014684170036137522,-0.055200841879145264,-0.010300164025302943,-0.06442816109943877,0.029002680547930485,0.047317996408438485,-0.03410897338563537,0.03348195871974932,-0.0037634075327993162,-0.053913079334504066
GRN,-0.07010125813531302,-0.003613191358720141,0.03827128076206531,-0.0008316294861177796,-0.04291430105225933,0.008994734135179356,0.07079302481592743,-0.023034458311303366,0.059923155172329254,-0.02799965908191903,-0.034470976670852575,0.04653383972264276,0.12417771188199947,0.08969355118190865,0.0005271195751932442,-0.015286695780724596
MIA,0.06055301304875549,-0.012229287423028767,-0.03115233999926782,0.09034745300610725,0.0350232001714485,0.0014302475719241477,-0.014715422530784299,0.004232327595907334,-0.012579167122064017,-0.024136175894576114,0.02611845777501214,0.032571794449624804,0.06905662270369836,0.030897403018569265,0.03876078786678048,-0.03707658243108083
COL4A4,0.0736526248099005,-0.03277167411772499,0.05804585390024721,0.027304714029695996,-0.0025553180313338643,0.06527022598921828,-0.01936243314424813,-0.017586719205015824,0.006082612348730709,,0.04973704770159279,-0.05194719291228396,-0.024493350472861903,-0.03858820256339558,-0.015180808489153628,-0.02778908789572489
