,UKF243,UKF248,UKF259,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,0.026079765704985245,,,,,,,,-0.02242929664998573,,-0.02405655929304434
BMP1,-0.019730076831891832,-0.025745049479925175,-0.07468881044600711,0.18625512104843553,0.11207036412508355,0.03482520215337299,-0.059247594756465786,0.16734746799869626,0.09418664873501176,0.013178290112735903,0.02372177838921665,0.09784281814877664,0.06057620951469706,0.06603893024825973
NDP,-0.07342595624688451,-0.061563104800204355,-0.09145483397673376,0.031339267744754255,-0.031623870668420845,0.11777150217281519,-0.012391262544404036,0.023450960496156255,0.010717532728967343,-0.030873550730838015,0.030432439980680914,0.06608800075718183,0.007071195597920271,-0.10854466331612257
TNFSF18,0.027169429383478317,-0.00961373174194178,,0.10177033944335596,,0.03476651503080338,,-0.045728106318428136,,,,0.019942411015400247,,0.0095993356797212
RTN4,-0.03001083886669642,0.005722914311032929,-0.07107638122370347,-0.217770285757028,0.0017840983954244187,-0.018972881166777828,0.05638748863778144,-0.01760586767041937,-0.06385296354136451,-0.0536202358386235,-0.029168593510527106,-0.13861966080714952,-0.0033185954939314016,0.05136839803591174
HEBP1,0.029349335373985378,-0.06002414386339319,0.031029255750983954,0.09894700127075808,0.07958343079752114,0.12765168898256538,-0.001658069872412083,-0.00961864045784921,-0.04798510575132559,0.02571516487733316,0.044483625683483186,0.03447278363875038,-0.017557082264476817,0.012529027045936534
WNT7B,-0.0717596938664446,0.02935612034259332,-0.0019835950269092802,-0.04430331786093889,-0.013509205055684911,-0.027806289488564614,-0.005249545414531847,,-0.048523021747313586,0.10785165421933683,0.04948293925261819,-0.01732215798936963,-0.019769039522968733,0.10538174598572919
PTMA,0.09136978390008808,-0.11605697088908863,0.06968351467082604,-0.13005840943408886,0.09298759918063765,0.03215132272595391,0.07381408084675188,-0.1124066438127064,-0.04047536887306154,-0.01672077787786291,0.025869661451800193,-0.14062847410277196,-0.025918673625097807,0.09427891970702351
FASLG,,,,,,,,,,,,,,-0.02086424566784356
CEACAM1,,-0.027694773448508524,-0.005220518100883863,0.14060568009166136,,,-0.054168738550529984,-0.04397966305239071,-0.04351622311312735,-0.021620447201336043,-0.02176931246776579,0.13457583899932998,-0.013120999046383296,0.03027533764619783
PDAP1,0.020799117057753974,-0.0648984237803787,0.03746276289900445,0.1876497801079193,-0.004619187630693597,0.02253727939527097,-0.02080305459830868,0.0675310672489593,-0.102043102588093,0.019033567544534863,-0.038828460652347976,-0.0014222270203376915,0.04240640454247441,0.007068541007033517
QDPR,-0.05623515197965824,-0.11607906254017868,-0.029709888418977065,-0.2108975555280418,0.029430537665830148,-0.109118230209843,0.04490827247410541,-0.04827136736173659,-0.08995518662131773,0.012118209731385618,-0.016290327911823044,-0.1460446453629906,-0.02261066940399177,-0.06967834365197334
POMC,0.02056742632569243,0.011462085018514213,0.00780132110990169,0.057462477344468625,0.037197651653868846,0.04570167989712305,-0.04643577340907067,0.00959761504650879,0.06550602888915708,-0.01985454091943044,0.04823639967174393,0.055425349455754065,0.047780162016492864,0.019640423467225818
CCL18,0.0388470516140406,0.02873504872679845,,,0.04118723451975095,,0.028528636826691427,,-0.03085371766254809,0.12131088952963771,-0.021672350515068172,,-0.045185384174250595,
CCL17,,,-0.02375667244361271,,,,,,,-0.02420509322292559,-0.006019306022725831,0.040621106932964154,,-0.018911095233777684
VEGFD,-0.0148999966670735,-0.03456047152457664,0.03944290608319129,0.018933597081334914,0.01700772634140765,,0.015654688626683202,-0.05978938815696173,,,0.015803497054359624,0.03702684688026726,,
TNFSF13,,0.029341171556116253,-0.01638682096157479,,,,,,,0.020467982390453197,0.08662966735199852,0.06440120833283144,-0.014734002526467317,0.022261396987599283
WNT5A,0.03777242945175126,0.0329682062948214,-0.02551672628308467,0.13289817827305347,0.041907357589282164,0.027251852946894948,-0.02752690464359672,0.01839829130171681,0.08629971444210019,0.0021623377419644377,0.001481439765475515,0.08359857608542907,0.03594601866373312,-0.018923744943420803
CXCL8,0.13240818511540553,0.14958909123991884,0.17165634638481359,0.09211323105246925,0.03167764406640223,,-0.02682648475189551,-0.08232476089237982,-0.002134826461684111,0.05054641066032754,-0.03603954750742877,-0.0037077177488763838,0.012546179888029904,0.119353929044984
GRN,-0.010241855111878036,-0.03770977180584249,-0.028612450532041443,0.19034974716643782,-0.004728874974417574,-0.020906455053829334,-0.01393314698919341,0.1031727020928626,0.06302063554861181,0.00788868139923011,0.033709238329640116,0.12765680371034302,0.024729794907550385,0.005449110941221855
MIA,-0.01975296330414738,-0.018827544472392644,0.03250093624197534,0.10101384646720896,0.019357242102358875,0.07425585329446634,-0.016337786048451486,-0.05914914288222445,0.06899859251695768,-0.0034255370761036913,0.09634821102471258,0.10991933700672595,-0.01822654382397856,-0.02604241778926197
COL4A4,0.03409479179043639,0.035312389235894866,0.0008502675514857687,-0.02882708830278805,,,,-0.046816268432948116,0.017900751903623276,0.044622796808831244,-0.010610882169966002,-0.04555286272083502,0.028721953238872465,0.018299469418058177
TAC1,-0.05313632392733789,-0.04787966441457238,-0.0407016143408128,-0.12689600456453154,,,,,,,,,-0.02263746129792196,-0.024860557645901726
RARRES2,-0.0315667369374282,-0.004872428125895537,-0.09810224645469491,0.192854082348736,-0.14680369237911525,-0.0368342574076979,-0.07359804630184165,-0.17716918538071103,0.020884490837560537,0.053461925953653816,0.03745034734966622,0.0029634399216705684,0.014171284083063737,-0.030592602726616618
FGF7,0.024973876482962096,,-0.03433017540731957,0.09089950907650345,0.0031550096648505,-0.032627812587845736,0.019868449253767552,-0.02687144428220781,0.00038749748510749095,-0.028704304268208393,0.05279349665993631,0.01932692488245536,-0.033519447941650994,0.0111791801213173
EFNA2,,,,,,,,,,,-0.020690274631233005,,,
HBEGF,0.038327985830634695,0.009463645071018717,0.04631748826713947,0.11816646959013259,0.02263254631679528,0.07340775880942936,0.10690194376134453,-0.015203980730881798,0.03817435431480386,0.017183917924900746,0.010681193498502455,0.01966394843373428,0.02542741803508983,0.1080956802610693
CSF3,0.07313708732226652,,0.2430139355313085,0.07217700456776142,-0.021291907333800975,,,,,0.07366693476928023,0.03775912258707313,,-0.018810744443955293,-0.019910465900393158
PI3,0.07964865753856973,0.05397064023239496,0.16094296833721045,-0.010307835149429626,,,-0.005154358987957211,,,0.035465449563717326,-0.05004070122646164,0.09701225076148756,0.006757700805091063,0.0548203939963988
PCSK1N,-0.13541938523514566,-0.09052429520501006,-0.09562144876217021,-0.02115039944128834,0.021390848705857175,-0.015639891789354852,-0.0037105670417518517,-0.029604842827541354,0.031805834535416744,-0.08840199058091888,-0.05306004071395058,0.014547586480365615,0.007698833842503498,-0.05038943260635288
NTS,,,,0.0697482162264445,,,,,,-0.056467962831740784,-0.025207173380803454,,-0.024100074799027836,-0.029484684983111378
SFRP1,-0.015008031555977236,-0.015581288027852705,-0.020728614987740104,-0.0024615516310350677,0.030932043941983726,0.01914820616234267,0.018050197019384828,0.047308036344989736,0.04229703436135493,0.04298928434121962,0.026057470491238077,-0.028570744434249968,-0.02577735756296355,0.031003015885115913
CXCL13,,,,,0.07873874779585988,,,,,-0.038107756939720634,-0.02297952320114313,,0.05704478657749644,
MICA,0.06530654623555952,0.009515781727994747,0.08128199669403924,0.19568078216024912,-0.020619995675376677,0.13231139034540135,0.0029726456854287453,-0.004797466496402937,0.10448714857106257,0.011524458143082335,-0.00225167894585498,0.09704310594901111,0.05983559070311574,-0.01638335028463287
TG,0.04776023423593285,-0.04812290180647372,0.05680361148537376,0.11378384402303932,0.01720986378243603,-0.0323689534574498,-0.07338998905231366,-0.06036070988838337,-0.050237065887674896,0.022275060258197223,0.008684317244492895,,-0.015481531734199968,0.005254182003771053
ADA,-0.027762324667556983,-0.035494206303078056,-0.024739414829896784,0.1591767128538095,0.039053016510520594,-0.035055406887229565,0.04634388600531855,0.037502892847165285,0.1761746556160965,0.03800980901663277,0.02124747110757328,0.1113064578688735,0.02914471357691956,0.009597739372177398
