,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.059159755386411404,,,,,,,,,,0.013073329038829516,,,,
BMP1,0.01847017235152444,-0.051341372328762805,0.019691272215166124,0.03512970665146208,0.0019622969054102998,-0.0030037467705717937,0.0052955180741175835,0.07426534562261722,-0.007842375465054353,-0.03935595768930863,-0.04643132696407433,0.029977386208441065,-0.058813049029663174,0.020573095581360168,0.0945235896932455,-0.026622441101709145,-0.0006555000412528291,0.031239538078573388,-0.06365448796034817,-0.0025929925206601753,0.025984518138819936,0.009777145353898762
NDP,-0.03637570703832648,0.021879896768646965,0.012784092268529383,0.04923169487901654,-0.003345912132417529,0.0664602919471468,-0.06666509456395124,0.011392138514906048,-0.03372022584753528,-0.00475704070987631,0.02452774552171804,0.06743105895454699,0.0066331492586316695,0.043265280649063036,0.09173093622992316,0.04015318069995765,0.07755101476335798,0.029799978596206155,-0.014619808693978421,-0.030179955563586804,0.10509184831239672,0.04982723827626097
TNFSF18,0.03264469690313828,0.007824807406932402,0.024136063860601274,,,,0.00292873149057675,-0.011268636385883714,-0.023677543834620104,,,,-0.024507779611121796,,0.0898680370265608,,,0.008466251283089964,,0.09039053439490216,0.024263321011483617,
IL36G,,,,,,,,,,,,-0.03021677394856336,,,,,,,,,,
RTN4,-0.006847796237915849,0.04720924207060898,-0.0166691544777647,-0.017319340291882823,0.006851147085714439,-0.00849064649634749,-0.043837006189934045,-0.04578263070216834,-0.03968992473431669,0.06607821207511688,0.12033285822752735,0.014511932309716636,0.0036134700123728915,-0.08176690573769438,0.004927883450508195,-0.009124167781607202,-0.056447561416646294,-0.07787283302151025,-0.026588893272278154,-0.07658843144822165,0.04858113685370087,-0.008383676314940232
HEBP1,0.021687338733834497,-0.01677887335227447,0.040015645904752886,-0.09451531620650663,0.011172701779025388,0.012516053210657062,0.04444799392405941,0.09041229336542238,0.06037884917484118,-0.007821820551272674,-0.060468302552411854,0.02094928390452613,0.06327118297233533,-0.04107746231680028,-0.036048551179579974,-0.012156203775648772,0.018263688246744222,0.024042946444462632,0.04526650945861268,0.08560746501718053,-0.01876436399688588,0.036400229581072405
WNT7B,0.042580267273420125,-0.032131184390584405,-0.018628564235715756,-0.037838185193512855,0.005859991528643469,0.014787796378066115,-0.009552123581613677,0.007966491822853925,-0.041493417118315994,0.034273101887868036,,-0.011147752135335842,-0.02698067325997131,0.015582405039706046,,0.07117511694418988,-0.01710207323248824,0.03587083467123209,-0.042930457765325634,-0.046572318011715595,0.06610803732377418,0.016954996028163034
PTMA,0.0015974679448746794,0.055729403556992546,-0.007773664602783757,0.10829383926636796,0.015670656118945844,-0.035733179925148816,0.06310784243376084,-0.0303782076850495,0.015289943839544446,-0.09767691500922575,-0.13230118535827065,-0.010068990042899755,-0.129103407424847,0.021037286478914213,0.02875907878032002,-0.02685619852389553,-0.015148469878427964,-0.028611434048224575,0.039998180789407145,-0.028350593580248374,-0.08018547248689352,-0.03834868865869278
CEACAM1,,0.05015104422133981,-0.014296302618219332,,-0.04317229986178603,-0.0236548970886232,,0.08434618087588469,0.05465748948988695,,,,,0.07134223165832959,-0.030603842339149787,0.05984539436861849,-0.03805282453857904,0.027111239465667684,0.05770379844866712,,,
PDAP1,0.010259023440021001,0.05961671894093286,0.02241189535274361,-0.0714420743695448,0.051512837374796866,-0.044132178729275225,0.05695262313883752,0.06577475649270463,-0.034331938657687085,-0.03512597262065764,0.032554772991574894,-0.0028771626377910252,-0.002223422289434237,-0.06064704325916504,-0.02343824719019257,0.003007978443890036,-0.007489468920570049,0.030999298274041735,0.010377455639538187,0.03445478289460215,-0.06630194550000292,-0.0031990062557548213
QDPR,0.0889714481399737,0.008488512705511975,-0.02003939652968665,-0.007374398693849017,-0.017819343724957477,0.03468637877085283,-0.02808126067662574,-0.08319327105897222,0.023296138621674022,0.007333573464380791,-0.1393622746336483,-0.00023498000573243417,0.12058416689048353,-0.013652973018863075,-0.05430171072646792,-0.00720017570316754,0.06142197915670387,-0.016999203950635033,-0.03625909180544849,-0.002456741690753579,0.02090693738769774,0.04552997793938525
POMC,0.01912278896770211,-0.01890023333052393,-0.025402248883320325,,0.006742293617848145,0.09652134528253457,0.10044884879583361,-0.025155659042664827,-0.027473549489631835,0.0059354990330380344,0.016398409844885154,-0.047589013077892754,-0.013165891036734595,-0.06323782746462998,-0.014161658443990345,0.03023075672968253,0.02217620777904685,0.01773137901569642,0.03527006092369821,,-0.024895517784346628,0.013037174422949008
CCL18,-0.022129072259407145,0.008870159687548668,,,,,,,,,-0.04446601220364778,,,0.11919878064671467,,0.024884898543998935,0.01551783639732993,,-0.026894164914489455,,,
CCL17,,,,,-0.0073791081983462375,,,,0.008419080810934385,-0.021313029352465932,,0.010157297633954315,,,,0.0054426918486637985,-0.013574457033148964,0.026126681496864933,,,,
VEGFD,0.012587474493479855,-0.03448855819380452,-0.020476585242467097,,0.026773474951839987,-0.022631666237681064,,0.05110940508701649,0.04114385837760608,-0.01563336477756733,-0.0398570037377181,0.05353396107938455,,0.009181979739450048,-0.04160525301274267,,-0.0046224222049512115,0.027889123859260536,,,,
TNFSF13,,-0.03217089843970566,,,0.02896267453115102,,-0.025246822172047937,,,,,,,,,0.007647544091755219,-0.036976614913353696,0.02423560958974441,0.004096740948603325,,0.03263785799274205,
