,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916bulk
IGFL3,,,,-0.01664925998706911,,,,,,,
BMP1,0.054555146710886036,-0.03782638144946666,-0.03156550872159578,-0.09835872086845125,-0.03633107471691734,-0.06315899510660149,-0.015822882128316642,-0.11320156695825487,-0.07542487805843191,0.13390546837034317,-0.0018718763710524684
NDP,0.023376155385748894,0.08154913279794862,-0.004479569203085549,-0.023033744568308097,0.035207514101373835,0.0288680474087047,-0.029943781219203592,-0.013629911923203616,0.023558934656556205,-0.04560550774544819,0.09720185505220086
TNFSF18,-0.0011986607740521664,,0.008193552592735742,-0.02472365125631611,-0.015129093526897638,,,,,0.0975088971267911,-0.02426007745241119
IL36G,,,,,,,,-0.012722256747266257,,,
RTN4,-0.0035806807794809435,0.08281593210559249,0.09328028153464575,0.16291706318286842,0.09825416510767153,0.09545855163230127,0.20176325022970573,0.1498801223989879,-0.03350047601275662,0.10486352047423682,0.1418717284004634
HEBP1,-0.02598121022255433,-0.0027568383337058023,-0.056569665140591224,-0.05212296011030471,0.010961879673240225,-0.03649056966418228,-0.08558810126190033,0.006535891019293169,0.016520613459070004,0.01252671679683913,-0.007250161016371967
WNT7B,0.04374871491873223,-0.006490677169577548,0.06754030603514964,0.07283782395409948,-0.009089987342929802,-0.020707849751085566,,0.15555577899764736,-0.018838791976760534,-0.012782917735299546,0.09890295977264141
PTMA,-0.07218289837145997,-0.05888832091480961,-0.10401640169955936,0.054953004068795344,0.04650985879311986,0.047043698019470066,-0.19472213253892176,-0.12538875234015465,0.03139952309309108,0.0013458581062810733,-0.06823456268735878
CEACAM1,-0.01690916487261301,0.0116163582234711,,-0.03253491689942791,0.024176412946016402,,,,-0.012503580220723261,,
PDAP1,0.06774833001717037,-0.010815827334562012,-0.04645532976802912,-0.12683570498415944,0.01139398607024265,-0.015573219630830984,0.04726913276586887,-0.07326789199232431,-0.05490377300834905,0.0050540573754123885,-0.008409127003724629
QDPR,0.033698357756595715,0.10163320965183091,0.008047568359756764,0.06429107493865731,0.04932858817622505,0.00961275951192812,-0.12432409982388432,0.04134689786683418,-0.01934409952798729,-0.03118032000072933,0.1237906765774928
POMC,0.019816815023299326,-0.0005092549565771873,0.06668577668254981,0.008370186068885576,0.04603324482342358,0.005691273135594333,-0.08193568319121816,-0.002207399038001905,-0.02045421470039119,,-0.031784026962764264
CCL18,-0.02110104011502782,,,,,,-0.090458598952268,,0.03280046108920104,,
CCL17,,,,,0.03999604278487907,-0.02563051300260847,,-0.011622142723374319,,,
VEGFD,-0.004932263445982228,-0.003156579267110412,,-0.027891976538518447,0.007929685986535097,-0.003283984163435781,-0.011530626706673465,-0.012455810333180705,,,
TNFSF13,-0.015923527055669417,,-0.02256303187043618,,,,,,-0.014040682566226106,,-0.01418313812395562
WNT5A,-0.009923136214443514,-0.021712690477064624,-0.06564856793477926,-0.10025726433094725,0.027571321938867525,-0.004652501121056853,0.07592161431873884,-0.002389790305975311,0.03859045540798802,-0.010981400603718905,-0.04538732821196629
CXCL8,0.014337100428986853,-0.08032334310284635,0.038781629953839235,-0.02044067963310981,-0.060842752373685166,-0.017507648674083977,-0.04528764560182814,-0.018953014030088568,0.0734489095152976,0.10266064753279701,-0.11949075277335842
GRN,-0.02025747556364889,-0.12839851429390522,-0.0970955890140103,-0.1247222504160551,0.022187751492559277,-0.04379804546366757,-0.10832988668506173,0.04508559190862161,-0.00217816733026888,0.0759291991412824,0.08374269086075746
MIA,0.009508599004071456,-0.04591780051232901,0.014130527524951102,-0.04756014776899427,-0.01227620008217871,-0.02138137199025891,,-0.0170588030706895,0.01844699003095071,,-0.05311464609562175
COL4A4,0.029895274907307846,-0.0221615172213101,-0.03177904424861931,-0.016406609923151457,-0.019699741659124335,-0.02807572021940203,,-0.01654767184478265,0.03234327124973819,,-0.0457635395195772
TAC1,0.08376309859201093,0.09904014106352363,0.0667171928279733,0.1756189064405125,0.1316214570116866,0.0423642199846699,0.04336020165563026,0.09101995661436772,0.03194543059008123,0.13914118902816153,0.15261180003866123
RARRES2,0.018134123883803956,-0.08823848717774573,-0.03168837759248595,-0.1142578018758623,0.04985189634670525,0.032417070211211554,-0.07207786884470753,-0.03638260911114253,-0.005876128082942016,0.030571813764445534,-0.023287363995173838
FGF7,,0.08776516858822428,0.0434107952956743,-0.046756340238254895,0.01912495630150779,-0.004891046757162784,0.04082943806086157,-0.015177374683976393,0.00401371843901058,0.13454126167989353,-0.046909518025015425
HBEGF,0.03996961783502922,-0.05541258321157759,-0.014048261770113896,-0.031433489606896334,-0.06119109195038869,0.008853008434657542,-0.06236132795008156,-0.044861982365174406,-0.036604119749548705,-0.002783580607562071,-0.055909911973588286
CSF3,,-0.03247049438899143,,-0.017357877510666895,,,,,-0.017925590218783753,0.02659408454690163,-0.005708695808008869
PI3,0.12877505836945893,0.004479708551534733,,-0.019545199176196234,,,,,-0.031202404056221954,,-0.06489603542411211
PCSK1N,0.004932485369429294,0.056389849728003774,0.06922678183769529,0.06823477168824531,-0.012520129340107435,0.08748394836215609,0.19795153215390562,0.14656018398894777,-0.01718771806172688,0.05141840353649919,0.15931863076171993
NTS,,-0.04693906956562806,0.002129249015132806,0.014734578257290758,-0.022504664897284293,-0.024848274335339978,-0.019528733270955313,,-0.041446449926757556,,
SFRP1,0.017349724321152175,0.09969849397034426,-0.005659670371917206,-0.0548149256708433,0.01739023548581457,-0.025630513260728786,-0.0685178992670084,0.04705929101921728,-0.074143676207967,-0.019481840955667466,0.09744091522730444
CXCL13,,0.1470332640443248,,,,,,,0.06197456681775554,,-0.03904646309651931
MICA,-0.023465260724667286,-0.03508703191541047,0.006891114919579337,-0.04117723398417095,-0.008697013849864163,0.004297574929996996,-0.033321879203957586,-0.06627012286448011,-0.04868772758094531,0.012796624078440956,-0.026040611627251367
TG,-0.03322901906703277,0.023512304943290367,-0.02632465547308141,-0.02094940518121734,-0.0190097280448221,-0.018548690956380447,,-0.01745809828900154,-0.014753036205089852,,0.01961312802162939
ADA,0.0019020391301024404,-0.020095758330219638,0.028286084179273276,-0.06910552390084955,0.021759057391962898,0.03828540096234578,-0.0741405857845934,-0.03433782410898281,0.023859158526351388,0.008341766099556789,-0.0787726202182224
LAMC3,-0.016767407221405215,0.03321389487455258,0.002121178017650998,-0.0823936378796039,-0.02260566273347997,0.03202443864460491,-0.048697505444980145,-0.02381235782119689,0.007340953800664673,0.027220562129808615,0.021983312226239886
CCL7,-0.013422044081870515,-0.03145786287736946,,,,,,,,,-0.049394585954067545
NGF,-0.008586187149314825,-0.03357799444549211,0.032357794085724964,,,,0.10841246264264297,,-0.004444380972856848,,-0.017968224448538024
TNFSF15,,-0.02329129492458185,0.016545227754947142,,,,,,-0.011131483781451859,,0.023990435864253673
