,UKF243,UKF248,UKF255,UKF260,UKF266,UKF269,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.010374175905748184,,,,,,-0.021305649267635555,,
BMP1,0.021582017957259534,-0.05517974920619369,-0.06896998830798517,-0.07118369468841589,0.013703493995027464,-0.02524623337012605,0.025575156923818166,0.00989224150718225,0.02501658095730017,0.004976721110054018,-0.049486174430561324,-0.00528996914149528,-0.011171844983179167,-0.005557213321451802
NDP,-0.005406329335796845,-0.0641305546966304,0.005682898125700157,0.058745677641248106,0.013604241429805214,-0.08605979108091077,0.01789992459658565,0.04988076545585545,0.012583768022376398,0.0669020526825156,-0.04423705360074164,0.034212099817859,0.07353338648879512,-0.06585839659152838
TNFSF18,-0.019581144851321945,0.01662933273095528,,,-0.012941576142801238,-0.02232144448161634,,,,,,-0.03593882125540325,-0.03283796476763148,
IL36G,,,,,,,,0.0534546212193286,,,,,,
RTN4,0.12066239655411772,-0.010527919821568003,-0.15748797805895678,0.033461581718508104,-0.027731569644805262,0.043811355933854455,-0.042223741192067274,-0.006482209206983625,0.04156194569655278,-0.015398660019871618,0.051978813823060244,0.03945093822284162,-0.051343324312907584,-0.022076719748434216
HEBP1,0.03375709985883142,0.09269971925918312,0.045562246067412285,0.014111397793855205,0.046644453745051474,0.01869625573077811,0.05343425815872774,-0.005728981917035649,0.03400668306655688,0.0219120500590233,0.046509218752718684,0.004619900207014739,0.021929834024831583,-0.13676024469703976
WNT7B,0.17137705128811617,0.015597880454848424,0.019684442457263047,-0.029286136110813397,0.03531823060775402,0.07180307372342297,0.014373338479365744,-0.0203739952208398,-0.03890239116202353,-0.02635198855003674,0.11488004818296178,-0.01603414939015946,0.036286196360611415,-0.05021911988717997
PTMA,0.06499263740887591,-0.023023329506466038,-0.1083212058225822,-0.04154576304964944,0.02434590195246787,0.038603033907422105,0.07210501534665636,-0.00790007000477453,0.011784301396703339,0.00024362131910567287,0.053917259166685834,-0.026498508797395803,-0.006957825318568445,-0.10542790542174894
FASLG,,,,,,,,,,,,-0.01847838234129304,,
CEACAM1,,0.03694985908423471,,-0.01859062406116262,,0.012851671562272257,,,-0.02179892850663946,-0.021606669636946397,-0.01923877688467593,0.058220852037821534,,
PDAP1,-0.04925904599769093,-0.04025774702916702,0.06800087261993801,0.0008434300208483267,-0.055967893683027944,-0.05428847865161452,-0.0005418362099895835,0.0027588144318725044,0.036683272860046086,-0.02974846142015375,0.017747915092434435,0.02155501234537848,-0.0029420359416747585,-0.03380638853503369
QDPR,0.04012254030749879,-0.03942569538488016,-0.056664066597598484,-0.003930170478105004,-0.00869232701241258,-0.06619983115247102,0.05930595271858353,-0.003251874577210837,0.0007515088668571394,0.06092676524117584,-0.014064719066428576,0.10058097231725029,-0.058081045499603655,0.008981370044110603
POMC,0.010482063237166472,-0.03856061082942611,,-0.017620897896759028,0.05755233056905793,0.02816162171283317,-0.0022189370028283255,-0.039715128575842154,0.05680288408588374,0.06544992051913988,0.053195877657222695,-0.05131720128149702,0.008603055128249442,-0.020649601572774602
CCL18,-0.026259925290113433,-0.02300763650644933,,,,,0.03505622901532524,,-0.03989177176854127,0.021079728357519534,0.005461126424079379,,,
CCL17,,,,,,,,-0.016933823088529577,-0.015465284677662923,0.009098879632908183,,-0.016748578107519275,,
VEGFD,-0.029587260426157464,0.010710824793713589,,0.06247017733385366,,-0.025181927998116103,-0.019311661923654033,0.020424634915598403,,0.10946893818802146,,,,
TNFSF13,,0.03196184483957031,,,0.19128578400627713,,,,0.07480855315826132,-0.0218236059499857,-0.021603857009889118,-0.027290410079189448,0.07679632725103792,
WNT5A,-0.07559426156665329,-0.0025914439277267697,-0.056868627190933774,-0.09159093653281267,-0.024964170655056434,-0.012776860704831004,0.0023787434241786197,-0.028122838351108653,0.03170050198073254,0.037183338940518264,0.029139378317212628,0.01539615549495131,-0.02286638716600294,-0.05490327878680891
CXCL8,-0.045501944748062996,0.037115093490532054,0.2380764132089428,0.13211143415966267,-0.017852455862213276,-0.00397383595042402,0.06309599368012646,0.01452132477832795,-0.02820584098444633,-0.07225909479298076,-0.002056133154192913,-0.06849982002778314,0.022687176902503884,0.04040815950969851
GRN,0.03955726726244867,0.01712904153857828,-0.09791570822155152,-0.011068162297473084,0.007473388108296105,-0.012521851973644343,-0.026365271049460817,-0.02192060991080873,0.09176241746398094,-0.012296166991760045,-0.06748849008878129,-0.06603869036714047,-0.07484761505087222,0.019672587245844152
MIA,-0.012484745180478067,0.013762095515191542,0.06748183213857624,-0.0006567885404867572,-0.022693957930485616,-0.03285703393184509,0.04669797009610417,-0.011263555013478966,-0.07377843055526925,0.014473433893531432,-0.06959741415210617,0.01929531018615077,0.07630741249483725,
COL4A4,-0.02978474121613202,-0.004368448455200936,0.019492221922132187,-0.06060834437636264,-0.011941369090395589,-0.014812505998182755,,0.07343071770404595,0.11269701830673358,-0.03459565648412212,0.0023897500397777713,-0.04918530876424928,0.00040969945376194997,
TAC1,0.2138921468121163,0.03693253324955338,-0.04910756172458347,-0.02653302222091451,0.06404416830641253,0.028687628378535536,,0.06508025484047343,,,-0.03319237091677511,-0.022017708989438296,-0.03611417765015396,-0.07826768003707585
RARRES2,0.09397260359474917,0.09602471212450385,0.06520885737252743,0.019170313960356348,0.030674050834266976,-0.03239693691649855,-0.05210200539257205,0.055980782677698675,-0.036112759553240885,-0.04222948199342182,-0.028926993494161887,-0.04501131049144791,0.07494061469977019,-0.06520869988395625
FGF7,0.01927805729841306,,0.05574162334191106,0.043191123276644115,0.05222592782689072,-0.03176708803425484,-0.0331646226588216,0.0284050812423493,0.016300918293995995,0.04089587284083154,-0.01665153224999119,0.047938058224036705,-0.026639373240010224,0.040286176617209284
EFNA2,,,,,,,,,,-0.02053569350509789,,,,
HBEGF,0.03677270254504159,0.042601828803668355,0.079056012026811,0.021248226377338975,-0.030383860085125912,0.000831944008925278,0.03321610233348002,-0.01266970508326785,0.012819460824501657,0.07386705963486882,0.034050054749226906,-0.024367671299090846,0.02641919083689906,-0.05792221769084511
CSF3,-0.029784717635463424,,0.11994047450800928,0.07709351265243725,,-0.015671346240740472,-0.0026692258834453675,,0.040898792222100196,-0.00021380100317902403,-0.027581414655438685,0.07684871271578253,0.019419725156632886,
PI3,-0.0014123580864507715,-0.03526951063323374,0.2802052400907282,0.009387940679413792,,-0.017646142706455734,,,0.042405135084090266,-0.06046904045117675,-0.014860268170449305,0.008306361013589844,0.07478382256658493,
PCSK1N,0.0739042009076571,0.026674074301744045,-0.10286368593997965,0.007317831710143177,-0.018323827646171534,0.030472255411387608,-0.02659457067853039,0.007113466679220804,0.013519311480226979,-0.008717623833056055,0.060526087380480466,0.00638723055061112,-0.06206160895082495,0.0030477528829022794
NTS,,,,-0.01759894228584867,-0.014577698482662035,0.02018176499541198,,,-0.03607889927618334,0.009593338677915309,0.03026736630090276,0.02263653859466599,,
SFRP1,0.07011979019248539,-0.012061626908320836,,0.050653293922703534,-0.034463148306450635,0.018164097885449502,-0.039046056166332006,-0.005030662506823726,0.04514189546114463,-0.01812679780996281,0.08694364792290797,-0.025506257862112063,0.025884708060444274,-0.06819080150902054
CXCL13,,,-0.024810953552635608,-0.02010890443508297,,,0.07571040330727183,,-0.034738200213663625,-0.011985141243010151,-0.03640517835759929,,-0.034065647972427976,
MICA,-0.013043358098148468,-0.0764841661568534,0.06382266985488073,-0.023220834810581986,0.018639909876379118,-0.048701007140759804,0.01516339534976484,-0.03983990866106155,-0.010639079130961468,-0.020733492447519878,-0.02277511790645477,-0.03042257203410821,0.013747484672537294,-0.05771403518735148
TG,0.14430098879174724,0.010659957711679689,,-0.04303699799944175,-0.016826506923829154,0.12733378774211163,0.019787482940529507,-0.025436991691174176,-0.020549496793845996,-0.030813443342521306,-0.022699928093463443,-0.009303630039063666,0.07637303807927535,
ADA,-0.035112275438260405,0.022574212691372435,-0.03494449622246337,-0.003589629488527183,0.02479086648218911,-0.06111728780411434,0.03122330664602415,-0.002247739693012977,0.0555373518277485,-0.014367341519019628,-0.06185215743344539,-0.024820495250890612,0.02379920659575814,0.07473667376901774
LAMC3,0.020205700944762785,0.022688346618744946,-0.03728177054828761,-0.004251203786186543,0.047445250331469124,-0.044518629569747926,0.03571747355910687,0.05875913569242011,-0.025790300131200605,0.05937680441802058,-0.06232743630334043,-0.029635642770029544,-0.029642978953917796,0.026327189136714
CCL7,,-0.021324609476456563,,0.08800687216235986,,,,,-0.004517354447227183,,,-0.018478375770600842,0.0002234893546052956,
NGF,-0.01715982250502081,0.020211064744327392,,0.022175209149047023,-0.016057000760940254,,0.08609937100267276,,-0.02676977039405945,0.05895795374329128,-0.047351261628084514,-0.03177022251686212,-0.013521398364748173,
TNFSF15,-0.021228842043011186,,,0.10873864326278311,-0.01949671914915399,,-0.018475677041261625,,0.017189746063424313,,-0.017127584986562618,0.023979293379230708,-0.0013384959932028733,
HMGB1,0.05480859267135636,-0.06155260467097894,-0.07864150669851712,-0.036274551883495175,0.05725974381766963,-0.02440876282144007,0.09499548485884825,-0.021429331418536698,0.055240647968132085,-0.031286231230201564,0.02461341113607379,0.08689273523088213,0.022383411119792695,-0.10809681207588041
ITGB3BP,-0.13859594675105585,-0.010379598736532773,0.02241849060590257,-0.007519756749074709,0.048594484492049984,-0.07386855478849354,-0.04554617725770314,0.03352002028114635,0.003069069521933702,-0.026672985950169613,0.05277356923164087,0.03822313231630082,0.03461354638094125,0.02565036459249433
AANAT,0.02541222345056264,0.09121086467630415,,0.024657917841710602,,0.01331597368836523,,0.02377572151771921,-0.020334432918047308,-0.027635481454929365,,-0.01955089215381485,0.013568042129781813,
RELN,0.15465315002374577,-0.0305991183107425,0.01732968654615167,0.028151730313467765,0.008984502199187849,0.14122345270316347,,0.04199790150909093,,,-0.002095396212894529,,0.025248832917660804,0.0005718397789987071
IL15,-0.03017643252430183,0.0648262646830658,,0.04936136755229365,-0.013873074741183381,0.008339227864589996,0.034044452287578776,-0.02106720902523317,0.011866386743561592,0.03296314785104771,-0.03245221531012158,-0.029151103206400977,0.008948669289400302,
UTS2,,,,,,-0.04662956438078506,,,0.16019207512544123,,,,,
BSG,-0.04455981782737721,0.010145446113804513,0.007952887592665846,-0.027307521004574953,-0.003063442389152549,0.03207930651852367,-0.010183243038186404,0.04451849573100539,0.016315711109587665,-0.022558150156674672,-0.05364467079036821,-0.036890644552752774,0.08875613131672556,-0.013187869274114033
ADAMTS3,-0.05628418869972702,0.026517563736289357,,-0.029507217500919045,-0.02234551010220656,-0.04014182519435963,-0.025222089301954388,0.023081594095773924,0.07514266601935611,0.03218724964937151,-0.03567652408203032,0.015916857733056993,0.111954968267635,
