,MGH258,UKF248,UKF259,UKF313,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.019505713813313695,-0.027584992505982515,
BMP1,0.013918833545903729,0.13016822232521136,0.0020052081433725466,0.034477017767778395,0.04614765511913363,-0.05608809896174591,0.050611867711934086,0.08418821305407036,0.1297125076349301,0.044714136866991626
NDP,-0.013725722987019358,0.06007464942181399,0.016590604119684077,-0.004409715459228117,0.028554760326474023,-0.043479825016047434,-0.012530885555997047,0.04390129155017772,-0.0032224904188077673,0.03360117973462245
TNFSF18,0.08835486592088768,0.06420278168780873,,,,,,-0.020115898359602806,0.06937003262695364,-0.02634856894615112
RTN4,0.04626290609107552,0.009553589515703861,0.02121816429198614,-0.038551469430083786,-0.07195592244103986,-0.02385259232941728,-0.020766298158736398,-0.04703478984548295,-0.024776405361815884,-0.01591616416577461
HEBP1,-0.00654231778431182,0.017268698418415416,0.02586737663263835,0.0125464044366189,-0.005441217054522927,0.06902719811103666,-0.013110370356004323,0.0028808323671781974,0.03450516383223747,-0.1068375675504346
WNT7B,-0.015707257724223024,0.021871188379869743,-0.015490326497849729,0.0699529300671613,0.11161188523731125,-0.027295493048919928,0.03233801744180831,0.13669783169471766,0.06828101442416729,-0.04807116687090261
PTMA,-0.0034388759531417423,0.028888320145976146,-0.0680952925269739,0.102507085261326,-0.06811394934749501,0.013381973091973184,-0.016468962350736582,-0.10382473567386506,0.059800157862076465,0.017651034024801827
FASLG,0.04279932157306653,,,,,,,,0.045510153962157344,
CEACAM1,0.06613821897222806,0.00303841909562872,0.0629222629972995,,-0.020779069329160967,0.07274676089237016,-0.019915044176994474,0.0066580818457525216,-0.0065593110890680316,
PDAP1,0.09122286371297247,0.008835882178278846,0.004062794099840206,0.06657571035404852,0.011850156170352885,0.01778003942040376,-0.06804583614037779,0.0010802548188403535,0.023695971530820776,-0.03851521423327938
QDPR,0.016040683138624775,-0.03210426537546827,-0.009874404631939254,0.05400402048779463,-0.07916107651907536,0.028000887733911885,0.013433921782161958,-0.01751356184157119,-0.009716533787065036,0.03577853385855583
POMC,0.014665096114579149,0.05309812291494156,-0.008223836725764069,-0.02191264435314345,0.06912692819058572,0.04822722272308424,-0.017674457303121765,-0.05466657153100341,0.01710504334545012,-0.025036603936549506
CCL18,,-0.02136672896148612,,0.06513327792496204,0.08022740944644148,-0.022197767445126387,0.014516504328303075,,,
CCL17,,,0.22512972198522305,,,-0.018965784506264047,-0.028748616524690903,-0.025717156914923125,0.03625167986734175,
VEGFD,,-0.021366735746423324,0.03894923326499619,-0.014805068309732883,,,-0.019915044176994474,-0.027123662962280554,,
TNFSF13,,-0.016124024448779216,-0.012324305550691264,,,-0.03639249176298331,0.022523162185595334,0.0453873013684524,0.03776822770888206,-0.028663484661806297
WNT5A,0.05504142850923212,-0.01996437607880757,0.03733553766895943,0.004415378761160092,0.09095014535812738,-0.05410770079695243,-0.018431336392921036,0.004371631162990446,0.05814208920641453,-0.06023903867546432
CXCL8,,-0.0538301640728665,0.016050106664212426,-0.06265351028986926,0.050090366667327704,0.02583096666396054,-0.0871765648674542,-0.008092599344502526,-0.05099523843598833,-0.017777250245504698
GRN,-0.046698459783936705,0.06583223717123612,-0.045516938483000265,-0.0284339791841922,0.14938988012604584,-0.07539780642315082,0.06673470440802089,0.021749924392176982,0.09441493840152324,0.03774140234066494
MIA,0.0018721720639589393,-0.04256990944232429,-0.021333025035518663,-0.02007833240173977,0.010657149522205627,-0.00024448550718164907,0.07439785384510726,0.04200876761212562,-0.03175483773400755,-0.05250716467514307
COL4A4,-0.018190923506335253,-0.02566126788307172,-0.04306205349936146,,-0.03475295215109634,0.0026279494307872684,-0.03188709962202153,-0.03961520138039368,0.0375561951185213,-0.016433883757016942
TAC1,0.014052069693291503,-0.007722330429986467,0.015084213333634355,,,,,,-0.02850691522436585,0.013160633697440527
RARRES2,-0.017634756986676724,-0.04072971344178799,0.056363821175026876,-0.06682727043070708,0.03825990177237081,-0.03705200784613365,-0.0418132176950616,-0.027188763080426066,0.0003983986470282904,-0.04509411131294083
