,UKF266,UKF313,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.020915620831362038,,0.029904167840670556,
BMP1,0.11958847044227254,0.050811118256636235,0.012222650339360066,-0.08554228256572934,0.050278101738810484,-0.008271268040607623,0.014783837991099264,0.06857544668101583,0.07714998722284247,0.024107652664345232
NDP,0.05286080089314351,0.06613312531340045,0.04604199849133598,0.027581916738686305,-0.02354515611636418,0.01607554001249462,0.018391390942489,-0.016847185604306293,0.0584118637319521,-0.010081308693570396
TNFSF18,-0.013633040339103012,,-0.0252577245950281,-0.04478966231467783,,,-0.021569910580995746,,0.013559153902865809,-0.03090682503673645
RTN4,-0.07205044672107468,-0.0016418421779970211,-0.02643294885827303,0.010439947773734427,0.007390881928136056,0.003366881726941881,-0.0474427095941818,0.020717636617550262,0.011746655993205702,-0.0064806400301115836
HEBP1,0.0503166756115645,0.04012697628162821,-0.004046093099526724,-0.11913937079165689,-0.0038624121210605487,-0.043075130669373615,0.056960028025587854,-0.018369129517112014,0.11134713719668737,-0.010413432693305642
WNT7B,0.03899720624695726,-0.00913983361231471,-0.027806289488564614,,0.04520481616166781,0.0010504409504199662,-0.04510442798522364,-0.032415439409908556,-0.01458374565137435,0.06272677624166821
PTMA,0.1000675814905525,0.04790926285875911,0.05186765240264691,-0.013091856184646866,-0.05885495937450545,-0.02317431200567901,-0.021458470749860174,0.00731496441513508,0.012160807065329344,0.011648906529927247
FASLG,,,,,,,,,-0.015403995322657663,
CEACAM1,,,,-0.03149473405663809,-0.030616461638248157,-0.023942736234058057,-0.01518570221032156,0.048588169231747656,0.037857613976782195,
PDAP1,0.030532143690515472,0.03971585424628796,-0.03640892998161054,0.09539417207533443,0.061403068893050576,0.018123871402635366,0.017598214686987995,-0.0325975050649829,0.01636198872348077,4.0078920512357146e-05
QDPR,-0.01433728919817514,0.027616760357722363,-0.026280602506512325,0.025545584400721005,-0.0025147585658208326,0.0469379416050035,-0.10370994800497592,-0.018196509855174143,-0.01871216311918806,0.04731595337880088
POMC,-0.024317887028950994,0.04394120900018172,-0.02879244910020826,-0.0036020891106907076,0.02414366122835329,0.03802031711432185,-0.0065222418697551115,0.02264668526666715,0.005550840874666144,-0.018198810861628126
CCL18,,0.027372883606960236,,,0.019377384931163425,0.040791621692393455,,0.05417559746014152,,
CCL17,,,,,0.019259478001167424,-0.03456284286528942,0.009966542822510768,,-0.013961991589104657,
VEGFD,,0.08293493530274311,,-0.04281640077982033,,-0.023942736234058057,0.04448235875094449,,,
TNFSF13,-0.013221205116284399,,,,-0.04167914006902834,0.027246030113103992,-0.029571734401856134,-0.024159452238801435,0.014284307020528282,0.01317020779480594
WNT5A,0.022650079389026107,0.010391676878777161,0.00972932287770874,-0.08072218057043443,0.030642489088074938,-0.03567498676297681,-0.007321963425404792,0.02205838559169394,0.0135797599729513,-0.004461960199849654
CXCL8,0.021660057980237693,0.007404994422220534,,-0.04846405480646432,0.07967816824211253,-0.06960337835053985,0.1449604258437103,0.04300595647101611,0.0326167245358963,0.020747212777797605
GRN,-0.011617258108542536,0.01274379715238136,-0.027647190226438623,0.012766162556335302,0.07428873726255543,-0.009204716159739838,0.13794978181266293,0.08300728549457712,0.021729694127187907,-0.08911878809704686
MIA,0.17509970390919047,-0.02101020327038118,0.04114376756487842,0.07125909045767179,-0.04847303274394682,0.08054100181777969,-0.023240680444415702,0.10396595974091208,0.03329526469575261,-0.06159081182383574
COL4A4,-0.012579392549804449,,,-0.03352608504670503,-0.05739275515436748,0.008246877514841407,0.041142004870344556,0.08513197189470657,0.0029506016045152935,-0.03757791861314623
TAC1,-0.025667512817936593,,,,,,,-0.03711881167743972,-0.01835445765893878,-0.03128888707043356
RARRES2,-0.0345666219721505,-0.051799531162122076,0.0036924452810039605,0.015198872289473496,0.051760100251654506,0.015628449167442982,0.0068673009146031794,0.0020606888505157353,-0.07601333235186353,0.060689441658010435
FGF7,0.015376270876787007,0.038735295296793065,-0.06513071846432988,0.007307282947766484,0.039651959043386274,0.005749843427071884,0.0541680365745439,-0.014499376686795613,0.027640082840351535,-0.030933276732597572
EFNA2,,,,,,-0.02275596846888735,,,,
HBEGF,0.06762540451562397,-0.01474297072172142,0.05471588188849381,0.024850186757370652,0.06766432326360418,0.030658698944271562,0.024161588217254178,0.08655584019308206,-0.01249748805255003,-0.026632573277582648
CSF3,,0.008908109991597201,,,0.03996974993128724,-0.05188793842144071,,0.08030501189007325,-0.01469982325190338,-0.03952767087019379
PI3,,,,,0.030576356795953757,-0.05566836844674276,0.16788027484065435,0.05572238355753136,0.06881342686584173,0.059752035239051066
PCSK1N,-0.03738771434536674,-0.03667885843692757,-0.0028533977847171473,0.04084507459544175,-0.015138263478838303,-0.025266853272679603,0.04779592364954252,0.017144485088631322,-0.03205218158170186,-0.0991715627095008
NTS,-0.015356580162452678,,,,-0.05067259316452401,-0.027723829328850057,,-0.014098745359321724,-0.021768433750273448,
SFRP1,0.013409956592240486,0.0034366220943186708,0.009113131583774208,-0.030513644105604504,-0.021191840070590766,-0.033979347729912616,-0.04327125874344963,0.01809570037391595,0.018153793771567204,0.041103507518056734
CXCL13,,0.045734493078692595,,,0.058823710891849075,0.0450236711917912,,-0.02505413030376174,,9.411637124839724e-05
MICA,0.052289043653727475,-0.02376613370364215,-0.017893257200648747,0.005258175619520396,0.10679242810250027,0.07674595973655997,-0.016013946113190416,-0.00774969680184268,0.03618200637074093,0.003024013390170275
TG,-0.017725541705857904,-0.033067066293220856,0.06601114180102848,-0.05204392848955825,0.060403853675531506,0.059130418699964465,,0.003914848440244583,0.07514482842903528,0.08381129439022302
ADA,0.08502911748688405,-0.020866085929389763,0.05644112238235273,-0.04139278042631379,0.015937805911239035,-0.020075666481660582,-0.03635877508037371,0.06641206650294532,0.03683457608268159,0.03266317811031293
LAMC3,0.08328105190212338,0.04761013960105135,0.0026904309548559263,0.0024596711842729746,0.06153840478392185,0.04463124218003401,0.021014788468414695,0.047019074065738645,0.009943243900119837,-0.08410165603071218
CCL7,,,,,-0.019527726240989883,,,,-0.015403989845180793,-0.04237996676809312
NGF,-0.016914921079429164,-0.011498469710656977,,-0.03477459839268534,0.0816178857556458,-0.022450089968354518,,0.060674618392600244,-0.004696150041338507,0.013357416507990405
TNFSF15,0.032489342792314725,0.036875230445647285,-0.005092612024087336,0.18805863412780485,0.0781213751237799,,,-0.01915366646147765,0.023478011599785183,-0.017631811182374578
HMGB1,0.06854135937786641,0.05744568143640403,-0.031444888073447134,-0.00841657505918296,-0.05459341209530062,-0.009739215355383425,0.005385713276559573,-0.05282899760351878,0.0024016733575705274,-0.06079004666299549
ITGB3BP,0.08738699394537977,0.022490679294458228,0.028279707776786893,-0.05856424474534466,0.051819092213399635,-0.008639888141024782,0.0651581485144508,0.011449234448583775,0.005039991004822861,-0.07421042332749
AANAT,,,,,0.06384975095807352,0.022410058222104845,-0.018800333321244832,,-0.016298063636130733,0.04022469028282159
RELN,0.025319385700274265,,,0.02777136077221581,,,0.08220175715071246,-0.02313555335804151,,0.021154998845221925
IL15,-0.014614308604068219,0.11335681684922226,-0.050929664586606874,-0.04890753767194154,-0.01792424456969048,0.04900939289134113,0.0428398809055004,0.013311793193653842,-0.005886088618219311,0.028745248917615544
UTS2,,,0.08055932502692072,,-0.024320578154130162,,,,,
BSG,0.02511318565902264,-0.006042352218741905,-0.0933124253351225,0.04473512297347587,0.08259590540818859,-0.04357282442391421,0.10650549277470168,0.04744004200270551,-0.026010095576422285,0.0033928606629907198
ADAMTS3,-0.023539423425690743,-0.02907921642080055,-0.0389533066203117,,-0.025417330230961193,0.0416620561290734,0.04958325674505383,-0.010913671320451677,-0.03330367703719926,0.013428376535178532
CD34,0.049347811308889204,-0.014132943747428349,0.0312722933837248,4.140608014585176e-05,0.04393287487124245,0.06017769521789927,0.03238109350759556,0.05013610701083989,0.052082980790501436,0.005316216642288732
CCL23,,,0.05055298894381265,,,,,,,
PLAT,0.05283595535652374,0.030635938983075893,0.01889087892684152,0.006702067021869842,-0.060376309866960826,0.056777214562304015,0.06681097948013318,-0.025476570178680723,-0.00411996234092274,-0.03524859626023117
NTF3,,0.031327283249059985,,,-0.033111708969915374,0.009097752085962297,,-0.03550311977675149,,
LTA,,,,,,,,,-0.02193473747709355,
CKLF,0.0779375461316671,-0.003136618070350922,0.1093383935863328,-0.0836559201207207,-0.053787349461403754,0.040177491810466,-0.05108686653958076,0.09307542638490388,0.048908956970876986,-0.0017837643738955909
APELA,,-0.027322740537340826,,,,,,,,
CD24,0.08176852465079326,0.08455310969725732,-0.005698751312873699,0.12351593107857543,-0.011308369618441476,0.009432573580727079,-0.03087107795884115,-0.016643977206689618,-0.04614784590384597,0.006912793701813923
HSP90AA1,-0.06610857315732466,0.043088332826372616,-0.0717751643606769,0.008744565717671673,0.026483018624210836,-0.08764658203309342,-0.015189165800997769,0.04235511051116468,0.016655958839421538,0.026722311981095235
BMP4,0.07683775945271482,-0.008017952671033187,-0.03401916046911499,-0.021843646189049767,-0.0237089139387069,-0.016497303025456836,0.017699515443734933,0.003259646617788106,0.13466964479659863,0.009464933525510566
SCGB3A1,-0.018655423406338127,-0.004234045528427865,-0.01312319184699217,-0.04594103170833789,0.04314641081309295,0.06539621929697009,,-0.029645741751354013,0.021737228436689446,0.019528795247209976
IGFBP4,0.034705903802324564,0.003448647064017167,-0.003481548845540567,-0.05179532087965798,0.0653812955924067,-0.0132411943165494,0.051750050564451595,0.11986588101723801,0.01288489550029013,-0.09598442045293688
RSPO4,,,,0.029788963570828414,,,,-0.026787524994634677,0.08674587459374314,0.08665913454733547
LEFTY2,0.07869815311845609,-0.01675858087863057,0.06321370761206821,,0.03364164995157998,-0.026165275239115677,0.07663743055157492,-0.036429264252131416,-0.02549546828410356,0.053173876758072516
PF4,,,,,,-0.020857420570826336,,,0.05209223616348961,0.10328122855793606
ANGPTL2,0.06585612003628542,-0.004282234581628846,0.005161909452755645,-0.027304882397279275,-0.04247820679226568,0.08700161973647143,-0.04831241145678871,-0.026860557071922718,0.023436404482667112,-0.00013338589372453863
LRIG2,-0.012038790590884448,0.016146819058480533,0.013015253164218863,-0.13427840975108385,-0.007357043694587321,0.09033273775898258,-0.01564568402198243,-0.058035976973079634,0.037437288307617486,0.07271343546221837
ICOSLG,0.04635010257397529,-0.028944364412299844,-0.01304704667075105,-0.012137266331820128,-0.02639605373767817,0.041904575221194174,-0.02385835317726461,-0.027621172272321307,0.0275969378162485,-0.043056763916477316
WIF1,-0.020315238989292723,,,,,,,-0.00936297648983731,,-0.043747083295903044
NPPC,0.04886214898858383,,0.00540564842037436,0.08128050543028016,0.01747404510326743,-0.01777138449988552,0.06446586314966427,-0.00026992029994442866,,-0.039399796178622624
LYZ,-0.007163696383245228,0.001151223237482722,0.031815472034963654,-0.007061812467745388,0.04552978751814736,-0.008652761155665604,-0.06444359948276866,-0.05660462335564797,-0.0074498174044114384,-0.07926793916210406
EREG,,0.06097613659525839,,,-0.03550548420059402,-0.040258458756414865,,0.11818132662158581,-0.033126526809053605,-0.02744765048049045
SPTAN1,-0.02971387535904874,0.06132220869776161,-0.020603191186868357,0.03319160732695183,0.018729303016224833,0.02630803656333895,0.06298401072618826,-0.0832709512207379,0.0020028368797316383,-0.040200716906633134
PTH2,,,,,,,,0.0032198725965906557,,
LIPC,-0.02266304534067192,-0.024502961742172993,-0.026376964184020975,-0.049902961869087006,,,0.025037016693607025,,-0.027733804001429323,0.09490206839766403
COL8A1,0.034118378526524835,-0.0007158015938383654,-0.00435071026992203,-0.022479052230059544,0.0032589889754866394,0.03261051056970961,0.08059075665807332,0.05059637725157946,-0.07984307324252395,0.08569112733770692
GSTM2,-0.012358365779555736,-0.012864627996861087,0.08870383875132877,0.048444352117743485,-0.03721431751194867,0.016382766072371047,-0.048061698115148696,-0.042176798777049475,0.06116181292150991,-0.01868176770607143
SPX,-0.05829428221004271,,-0.032976050365927725,,-0.0057230591374647175,0.05191934248727671,0.015480128840150176,-0.033716794231142926,0.04128460931439869,-0.03841896283856114
MFGE8,0.08152496811046404,0.005125815916441195,-0.0831976190131704,0.009139057891580897,-0.04195474736271944,0.016984102471044222,0.0037145248664144205,0.03603831993440277,0.03507401811937739,0.001051574941227404
TGFA,0.021004652656927903,-0.01103145592091923,0.0195788492753495,0.037109448758019734,-0.01894344168757526,0.045511326730256256,-0.004049596417511468,0.009578683176194416,-0.032440856185471,-0.05051335354451008
