,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.07761793183766028,,,,,,,-0.017771222857172076,-0.022889435328539705,,
BMP1,0.10835892468535287,-0.03002931679741862,-0.005572599080314149,0.02661118169068745,-0.06158004617980484,0.03920340964627967,0.049343645418705465,-0.008084204398614023,-0.11029804242112067,-0.10729797163829281,0.0052427084188473244,0.09892935833002603,-0.03995557360605603,0.07126536882016818,0.013002981978270944,-0.008274849744952713
NDP,0.042754141595302386,0.021220168164983497,-0.03836204155789052,0.033409492482157535,0.049679252767832534,0.018474438041532683,0.010126515495136709,0.004223255399122536,0.04665317223042319,-0.02564517102691899,0.08101745073750696,0.03722967074052015,0.014310364183387549,-0.02007226765949879,0.056620961116910284,0.11512337939569121
TNFSF18,-0.022076427549663248,-0.03064713547677755,-0.03516782223956713,,,-0.029177878540675647,0.001398015258804084,,0.0037228509537561333,,,,-0.018327148452097233,-0.01624549517070151,-0.027315555167361276,
RTN4,-0.09887773174591494,0.000649127092394681,-0.02665730565512792,-0.0036974158659497515,0.05801018448731794,-0.09565217491056549,-0.018946838470354457,-0.08862707019096167,-0.04250311040514719,-0.027611371955901593,0.008671932365668041,-0.0495869117786471,0.026674573805312716,-0.045435057337038294,0.012372997489498046,-0.026312946757541995
HEBP1,-0.05129543099860031,0.0011388886879172967,-0.02381029350439516,-0.014824384650662572,0.027724312090504938,0.01614123100699398,-0.01665043868082287,0.03418231985930632,-0.09413413496116423,0.03379505491689141,0.010982544055005594,-0.028009982868897276,0.017508040543896243,0.037334824804414794,0.015246963949891773,-0.01721037450654433
WNT7B,-0.039237824386782215,-0.013991034807581144,0.040170614350189454,0.018466821407282664,-0.020102609980362795,-0.08132577750491574,-0.020352331469619202,,,-0.03139831144058573,0.019614659371205365,-0.030697423767877936,-0.03832355004106661,-0.023484723267726562,0.10984510296065622,-0.03791649887851044
PTMA,-0.07398071004921715,-0.01048937600859784,0.00651282238698914,-0.03652697039435454,-0.03922190061052779,0.03518095510436862,-0.02474885965689915,0.15501740941815734,0.008101370930337734,-0.03317789588122862,-0.037172406675678955,-0.02986826025515125,0.02893061630502607,-0.01107789070193126,-0.02553182698162617,-0.025630472397624827
FASLG,,,,,,,,,,,,,,-0.019851999451598785,,
CEACAM1,,0.05197312060235999,-0.01676484718217231,0.002084183874352575,0.006333488993940136,-0.007481848807351647,0.06353943880691629,,-0.036052785918550996,-0.028158508617605483,-0.02132106969435811,-0.023942730775660812,0.012249283321314745,-0.02762114150890718,,
PDAP1,0.09121527326481231,-0.021530963256783876,-0.04123470809423582,0.0023298944882786245,0.016352829918211645,0.06750189720776471,0.03008593339661056,0.01549194961577555,0.055200368129815366,0.06256324761863642,0.006914806266863674,-0.015070874829911853,0.002623599572869912,0.07739786365640346,-0.006828084130577331,0.06118693141110665
QDPR,-0.03403926620549811,0.020409867810493913,-0.06791150323767181,-0.020089820400617613,0.026023490304566164,-0.0430185242034321,-0.052829952376301316,0.07302514612749388,0.05822395520952397,-0.00782847911532151,0.09787515149612101,0.002800154397565641,-0.0010522856897840199,0.012146765615983986,0.03087364614152777,0.06249050631642141
POMC,-0.04168397947560657,0.10791353519753909,0.013652281275879075,-0.013350458265351079,-0.021434475591564424,-0.04104854983929843,0.010852142874431038,0.018225531874830267,0.1647414314535074,0.01790053010105649,0.02752218618589378,0.088266970064826,-0.017031694536521164,0.03577977443368579,0.09894669138173454,0.10869232421578368
CCL18,-0.029606304561279054,-0.02434172214614807,,,,,,0.03178252119261706,,-0.019964845580174927,0.06449411696761333,0.07599672727133425,,,,
CCL17,,,,-0.015051019635550762,,,-0.020069651837020627,,,,-0.015126266979365963,0.10452943110368652,-0.023430330782153612,0.05013219504752662,,
VEGFD,0.0384502143760331,0.06378051486860166,-0.024012280067798646,-0.03728642562909704,-0.015506871960140032,0.12165433753388033,-0.021382516517838138,-0.0224163764653326,-0.010518563959973927,,,0.009841804788014248,0.015525535647415307,,,
TNFSF13,,0.05730562720215085,,-0.023085092121933718,,,,,,,-0.014185388370099921,0.007444280217712445,-0.02512599968060642,0.05575876784743439,0.02144597585474186,
WNT5A,0.05952260918424409,0.03724879847361096,-0.06319967627549727,0.024219864370306824,0.01880437176589542,0.08657220712361173,0.04447441074580913,0.04565505618613046,0.03733183524559997,0.06283947184936682,0.02118476202198128,0.03136143253789169,-0.044875480121895656,0.028067456914323247,-0.003545239276916901,0.09187977495578377
CXCL8,-0.009786670148010403,-0.03119031841570577,0.03679664835543804,-0.03864976993421984,-0.04667267126748873,0.03655281685396842,-0.007443652475469202,-0.005423838229812701,-0.0801064726897513,0.06477521691865173,-0.02596025301296117,0.06567189205271404,-0.03326596225896609,-0.021006989899487714,-0.06051970952622058,0.07454098517612315
