,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,-0.019648800908286985,,,,,,,,,,
BMP1,-0.008418676975468447,-0.059731633836809725,-0.04363277301371811,0.02602884532085947,-0.036166872956455,0.04499924487139854,0.10313551377790613,0.11095728620526464,0.018691402871318166,0.0040237386139341655,0.0588446675534924,0.06766127181017023,0.04770466023564501,-0.07739478518483744,0.01300992268651525,-0.025396249739908727,-0.012135214212135436,0.03414259098598813
NDP,-0.0565412111680738,-0.0591642866248334,-0.006942593200793368,0.03569493176788541,-0.007314972734083291,0.008754990613569156,0.07190384226457043,0.028226973275792842,-0.011581037062945072,0.0014501546989152605,0.07434747869332645,0.06355384431580113,0.07843297479546144,0.11256166391265514,-0.03094347239268059,0.04448249718137507,0.027817942297149775,-0.010998761915097839
TNFSF18,-0.025285687680230772,0.043320174830428014,-0.003496560636850178,,,,-0.015682682933143892,-0.029177879475638595,-0.01852584310601188,,,,,,0.01703488120832067,,,-0.026018897730282434
IL36G,,,,,,,,,,,,,-0.016310187049293812,,,,,
RTN4,0.06516231312446989,-0.03684089007767902,-0.014305816437592885,0.0183403408996731,-0.021283109048969868,0.017623466301870734,-0.02023439445938411,-0.1136420280367934,0.010283034190185756,-0.020659302180647165,0.006729156644341242,-0.02574737150444687,-0.0006909634621106304,-0.061145350748904065,-0.06665776322232418,-0.042117847469033326,-0.0007118071410527237,-0.028686923061349325
HEBP1,-0.08437169952175617,0.007781844428793804,0.004939879782987682,0.07349055809612565,0.03305100603733451,0.03583802404904583,-0.037707540590903824,0.06781886157920194,0.0349859515944276,-0.007148280694644626,0.056096516402170275,0.11103621764605112,-0.007137925735934289,-0.02737046725180932,0.0011118532076676876,0.00018729897198454403,0.01627912284699184,-0.005922739982380825
WNT7B,0.018308924616928877,0.07636317421161448,-0.01722763696686439,0.0307581628249547,0.008224244522490074,0.03391776567303027,0.06153254288778642,-0.08132578011088273,-0.02400219873357648,-0.014651219107640572,,0.010585917303134584,-0.01792677517595533,-0.037140700173933096,,-0.034870372054643294,-0.020366673885378588,0.0015148729118019879
PTMA,0.033468373114916294,-0.019415936610448367,-0.012636399561727064,0.035987819791781166,0.032761301729091856,0.03699150394915265,0.02879789119940819,-0.08078520355887528,0.01263836449625828,0.06039277822925012,0.04679293732839592,0.10810057388143467,0.02831210134295442,0.09193070463585953,0.024419638637157456,0.03676938061040846,0.010120464198794638,-0.001589594660049362
CEACAM1,,0.015420466640116875,-0.013221175199477332,,0.005427297237231419,-0.013200745274511835,,0.04588686929717665,0.09634486973780983,,,,,-0.04247571444486178,-0.03236424352439233,-0.016893071826819338,-0.01351765766452986,
PDAP1,-0.04546114039283825,-0.0524430116099818,0.03512251677251983,0.041869515184562396,-0.018477284633651225,0.006847235604124407,0.01810452714872417,0.09965172156325497,-0.02824177990294104,-0.014038665883639024,0.022181748843624,0.02426022106939806,0.0032820267447435944,0.05812691502490003,0.06266590120666035,-0.03426657804425934,-0.033910145590577014,0.01003536412727234
QDPR,0.00996668813021263,0.040734681485760836,0.036542690834726034,0.02411407421730482,-0.031966473593612814,0.037867447310870515,-0.020093404370451803,-0.08074631519919734,0.02821505780371812,0.055401220896303706,0.1034081464861129,0.036263828824479476,-0.021229297843415342,-0.019397799448350888,0.031572360142441115,0.07387425666596731,0.05484820147996004,0.017427123023737327
POMC,0.05561336253204456,0.021864368262055792,-0.023491918988836902,,0.002377384270309966,-0.02656302110073245,0.009250355092770918,0.02623314205148297,-0.021495923351052187,-0.007406068949157689,-0.002810298500056051,0.06833297205433796,-0.01552179875150693,-0.05978531376717391,-0.03356261080636616,-0.02844750286568422,-0.02211311218353496,0.016305033972652698
CCL18,0.067710730351657,0.05142984188249028,,,,,,,,,0.05581426807597097,0.084914781153981,,-0.03642070451158462,,-0.03155726276534055,-0.029376982216510486,
CCL17,,,,,-0.020512773156642898,,,,-0.023105333224060772,0.10686792471106309,,,-0.014899818915583231,,,0.061283103813782734,,
VEGFD,-0.038206868501816,0.0010905266911914824,-0.018936680917251696,,0.13007705020221325,-0.012629725676764127,,0.07340941449251256,0.009794649321660907,0.02922296363638927,-0.025978640680234418,-0.0269178215103336,-0.015968597428939493,-0.04103199478840313,0.04983791681382673,0.030440071447434873,,
TNFSF13,,0.10740588041226938,,,-0.01414925183403284,,-0.015208930852939168,,,,,,,,,-0.011165281066492134,-0.015179423569579693,-0.02830484940313995
WNT5A,-0.008839875775599795,-0.05711025460705324,0.03085753443566866,-0.09069980124066865,-0.04896306382719235,0.02151402804282655,0.035338687976247264,0.06358570114804625,0.002184833006285144,-0.0026812562498632203,-0.04054983497441684,0.08956310435478332,0.029861422648294503,0.12853175649337598,-0.002788439064856252,0.012584039142611244,0.0668951407074065,0.03321498914109559
CXCL8,0.018676310635445236,0.04287873661952475,-0.01773118559804074,0.029930328323063873,0.12786369638088468,-0.06216488904707386,0.045498400360828896,0.0015703217436186913,0.03263891447692992,-0.012387012648193972,0.0719995074459766,-0.007798922000993252,0.043177434221246314,-0.006902245565130153,0.03666143650295338,-0.023938775729652282,-0.03822747931744243,0.044498640050891915
GRN,0.013217752112585085,-0.0589589881576818,0.007591927117029838,0.004966290308226683,-0.057039318150859206,-0.037044077942095126,0.03079370614006521,0.09728398685712415,0.033153448070179746,-0.0423705529351901,0.017245524274979024,0.005494098053470294,-0.0036410872527690226,0.0014780588674484204,-0.09793207189402488,-0.03457083656226302,0.046009336429293064,0.019721056569314593
MIA,-0.02152143896232287,0.0018929021636204535,-0.016840959712239822,-0.010553303070049045,0.05696361483508294,-0.038322951645877235,0.039733614913866865,0.12466812244451872,-0.0015701249554629577,-0.015127749603013715,,-0.036505401833227334,0.009307226000877598,-0.07258399005215656,0.029157783373208877,0.11216927000654382,-0.017733309386198298,-0.04071720580139784
COL4A4,0.03488404932112846,0.08056609071060875,-0.02832147821449923,-0.03488265314412936,-0.025646473949851485,-0.05610784779267409,-0.01447062576968181,-0.019362434859585477,-0.02412268273423391,-0.0033520780058422634,,,-0.021214445548485943,,0.11096785949834155,-0.027048449377080324,0.0005450325189754414,-0.015425336194294696
TAC1,0.027252498207406606,0.06376645064942285,-0.02077395064402876,-0.04793343293747795,-0.0224358124517781,0.054325119454969345,-0.019265556385456364,-0.06597868463202561,0.033611301646892154,0.013895635018873526,-0.07543495995569002,,0.0031276293269491035,,,,0.008324724096852844,-0.020348197373304188
RARRES2,0.012930641616640804,-0.04104770165794929,-0.021500428121058308,0.01916245846777193,-0.008464573749800556,0.04223000602770448,0.032701748446203535,0.10532970793999388,0.059433040670774005,-0.005164752785364293,0.029051555934101917,-0.08711521004840582,0.03245555716919272,-0.02040434238326081,-0.004437059357300904,-0.009958339565719006,0.03587715359620243,0.02520752528440772
FGF7,0.08527322232807678,,0.03986282914051517,0.022859962811641814,0.06538274542957459,-0.024182251593483774,0.012551867922862201,0.036744789165174846,0.024843820499894354,-0.005262312294977883,-0.06031155427086604,0.023706716443039472,0.13165662351245452,0.11834010459699192,-0.040701440268659274,0.08641015129348036,0.004049167789741582,0.0340288870921847
