,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.01509085698881456,,
BMP1,-0.05359979061216541,-0.03371873949465635,0.02568773424691716,0.03814413230485655,-0.04745137567580168,-0.06774744293234593,-0.0922926176158983,-0.02019920009679943,0.015139554483331995,-0.045192464105720614,-0.09813979602532176,-0.029996652995709906,0.014012976729140732,0.04231785716028869,-0.04733098483208992
NDP,0.0235325739398437,0.009698265691437197,-0.0016400615756936635,0.01721431102262224,0.04584351739079244,0.14648442884182789,0.024871990086923968,-0.006480970636026897,-0.01673913439152052,-0.03222793409267922,0.002354504547826643,0.034434426449895986,-0.05133176829234171,-0.08289191530224413,-0.027359433429303043
TNFSF18,-0.019279983101517573,-0.018985871754404273,-0.001957226226188647,0.003299613391857879,,,-0.030495688024253485,0.001825253027287172,,,,,0.11310769340826572,,-0.030906812849942303
IL36G,,,,,,,,,,0.030063077995847537,,,,,
RTN4,0.007555009570837048,0.12212272897559188,0.07312635885664025,0.04234567432533542,-0.025714973828535215,0.19100843064507253,0.12626783184597531,0.09290983543978332,-0.020860417379889504,0.05630375606304753,0.0469825411495525,0.021865956162934016,-0.05299351913610946,0.012821928290807026,-0.005244055075559846
HEBP1,-0.023427114353739596,-0.05280292312699504,0.08103555557648078,0.07506184398432157,0.008577490024768653,-0.02439349373551027,0.010730675799816666,-0.006388642087821046,0.010630344835184538,-0.010396616550599294,0.08099491923146278,-0.0014620169011189132,-0.010016278968174419,-0.01560690526075106,-0.03100419653919594
WNT7B,0.09461120929121664,0.02397248379418878,-0.003599355186634724,-0.015248986485478885,0.02027628747533295,0.05966966919619204,0.04884695492137083,0.03563289793699544,-0.012182919158375032,0.1282491465836875,-0.017781389598534682,-0.025682840804724084,-0.03254335492956868,0.02281035181686807,-0.006548448029807142
PTMA,0.018119426700623983,0.030473703785009253,0.06290108651516232,-0.0023897061625069347,-0.016040195940543248,-0.18773793624125346,-0.10696185500010982,0.10374704632158056,0.026800105498417926,-0.05492003626241735,-0.0359428084887668,0.00034854042243848116,0.032608339095823446,0.015460657209066428,-0.07624509201411982
FASLG,-0.016985066048207285,,,,,,,,,,,,,,
