,MGH258,UKF248,UKF259,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,0.12491257089323092,,,,,,,-0.019712703852004198,-0.01497438523013826,
BMP1,-0.011655746137670257,0.09712860690167659,0.014140829518215412,0.112437532131823,0.18475068604570194,0.09612726840708047,0.04939711984445243,0.02364751861648241,0.05991253891353942,0.06743758395275175,0.13828131495536264,0.04126169187374378,-0.019679867362402896
NDP,-0.035765568026342856,0.03037544181661424,0.014476140106233677,-0.02661664840010492,0.12345706241859472,0.04168651927369185,0.10161735531068913,-0.027174774862899327,0.05118596409406805,0.10004153031304037,0.07504874867748598,-0.041319336438780024,-0.027507872192813383
TNFSF18,-0.01927998481725503,0.026629187743798823,,0.1685539575947182,,0.12125889879208059,,0.07207169323724145,,,-0.020329363532915583,-0.02525911073796688,-0.028861143408753336
RTN4,0.010945184095417438,-0.004860499948795979,0.018809576149981112,-0.08478879006326628,-0.06698168732155184,-0.09191185118607982,-0.07593718364925496,0.009213345462774782,-0.027177684400112114,-0.032133342575398405,-0.0991509398643034,-0.012980150830999126,-0.03187140000118042
HEBP1,-0.07059164815761974,0.013945029358769349,0.03224852302286247,0.03720436144626362,0.0018547102918858253,-0.0037986716526948214,0.031600237950113484,0.031021800951599513,0.06013766172508257,0.09056301888360592,-0.016828556762890214,-0.07271368345302284,0.04122208039023108
WNT7B,0.09606903785389541,-0.0030502763749877355,0.004202436448316086,-0.00897741015402277,0.026610326151454013,-0.0006440293479818013,-0.06415464902567594,,-0.03531264830617501,0.045571645239108144,-0.04251034375004318,-0.0319615630202669,-0.03346721670686328
PTMA,0.008641814034162849,0.050651059602158,0.06966094567901512,-0.09947296063960655,0.22224287431820827,0.08116640956615823,-0.06010820156709058,-0.03950919625524357,-0.062339915116576806,-0.05286447057652973,-0.12823848422386014,0.057008949529075426,0.006264844376822465
FASLG,-0.016985067559718677,,,,,,,,,,,-0.012987279201513574,
CEACAM1,0.1378364623963749,-0.016347306558505373,0.036338839728535646,0.024086264114548138,,,-0.048310059512393685,-0.035261425379889265,-0.03166894861596261,-0.028453868772138846,0.022933481365987336,-0.01806989152479568,
PDAP1,0.004270410454871179,0.03011822736791995,-0.006914837116450752,0.07128886676927436,0.12017363256004338,0.05899252910214382,0.02698481059149397,0.07916658804389842,0.0141510049008569,0.020420937847950547,-0.0428818563497155,0.046024933473546276,-0.026527428670363822
QDPR,0.0051610360529045695,-0.07557877981470114,-0.0300153549103691,-0.08335001024799726,0.060723991491430936,-0.01737884574941693,0.025696136734050936,0.030309508553606087,-0.12406065383222212,0.00037072929630451633,-0.11741929832888481,-0.00408393554481861,0.011961595551817111
POMC,-0.025335962678964843,0.05726831610843539,0.058413487469241535,0.008730580821396572,0.01913147586779704,0.047362719064854245,-0.0017019436336967774,-0.026099027081727125,-0.047171302272205215,0.027754080439530305,-0.0065565074534633385,-0.011419037308840207,0.06234545875088263
CCL18,,-0.03523621395363423,,,0.10104321696237989,,-0.014131459609486995,,-0.022453805256180296,0.03128457548630327,,,
CCL17,,,-0.021643795060622393,,,,,,,-0.020186642687871653,-0.02599006132415302,-0.011771509869921308,
VEGFD,,0.005004946203959331,-0.024113577815771836,0.03089194443851906,-0.0007620243375376577,,0.04618228058241882,0.06906825402480626,,,0.06518980581630655,,
TNFSF13,,0.0900162627718531,-0.014929405430380233,,,,,,,0.07254889990940472,0.09770934450973068,-0.01918069280503004,0.03748394339042144
WNT5A,0.04823388110647558,-0.011639896319345287,-0.05879614740627479,0.08014375363452966,0.05413521219699135,0.06709283314202051,0.0017324929531212037,0.006658852744053074,-0.0016819271904103853,0.024616076543139825,0.02769519373696992,0.008811076949654835,0.07436810379141472
CXCL8,,-0.055576608862526265,-0.05347389706898813,0.07902662117821282,-0.06577480755918758,,-0.08336210967100524,0.05554526980342175,0.0810681418447408,-0.0503034421202781,-0.0369002216467223,-0.02426300639886779,0.007592816514805337
GRN,0.033845155304671665,0.08270120864593807,0.015342660760202832,0.09607879344232159,0.06237177130005128,0.034163180018848674,-0.08387680363633179,0.018284337421142993,-0.012359197419708643,0.05036882475354858,0.09023574195630743,0.10742070499025633,-0.04590585623849877
MIA,-0.022231988437019522,-0.013621139189229964,-0.024050063885565305,0.025597199597514015,-0.031424190833386975,0.19587780697912488,-0.030948489014494658,0.028919597566289246,0.12794623621749907,0.04785943490009002,0.05411197262196218,-0.03555877372973951,0.017233800579010156
COL4A4,0.07848330778390501,-0.017858546030534446,-0.05216446904147322,-0.01883182106955752,,,,-0.03753572086140684,0.07043525728399537,0.034494484411381164,0.011676924030523669,-0.034569223957796866,0.020605863160105885
TAC1,-0.016985058318842283,-0.007467987036675183,-0.019269697765728597,-0.05119492612211935,,,,,,,,-0.015474846701516018,-0.05954905803845014
