,ZH8812bulk,ZH916inf
IGFL3,-0.01799641701851111,
BMP1,-0.042315105536135884,0.14116843463591577
NDP,0.0006334235223585588,-0.06376838360072544
TNFSF18,-0.018559387215775804,
RTN4,0.048174198917327486,0.11621274474128823
HEBP1,-0.010995096701775758,0.022338244811749793
WNT7B,-0.011647453285755347,0.13710979080502464
PTMA,-0.0439637942430995,0.06684080632288857
CEACAM1,0.05351703481873895,
PDAP1,0.015684370297604056,0.0028135902772363744
QDPR,0.060105592310720865,-0.014242579157393498
POMC,-0.026141131377560335,0.026016740288194274
CCL17,-0.023727236275534098,
VEGFD,-0.0049409137417937895,
TNFSF13,-0.025444392425515105,
WNT5A,-0.06973593519190778,-0.10477161055079674
CXCL8,0.030893459204141258,-0.08226550712524208
GRN,-0.0051842228294188535,-0.006589464313556243
MIA,0.04086704115800358,
COL4A4,0.02391814516614793,
TAC1,,0.042964132954689746
RARRES2,-0.01837501058811034,0.025787648232871285
FGF7,0.013934177134607791,-0.09617575573123188
HBEGF,-0.09057554171039191,0.05906141298213792
PI3,-0.02016015704087583,
PCSK1N,-0.06474529158092794,-0.016719469536826657
SFRP1,-0.035080362153953465,0.05384665366106955
MICA,-0.05639596436243462,0.025750732227743583
ADA,-0.054292081761184316,0.012609743729967338
LAMC3,-0.022429253963185434,-0.06166021497042012
HMGB1,0.0025689057005140767,0.001848540882469476
ITGB3BP,-0.027285260715864658,0.07991386171293485
AANAT,0.006955816955736225,
RELN,-0.009329241773649844,0.051941419069593674
IL15,-0.007379240284865019,
BSG,-0.06786430438149883,0.0366177449659845
ADAMTS3,-0.045475630123013734,
CD34,-0.04031180259477666,0.04456978904638497
PLAT,-0.09021864121003458,0.04764305628746854
CKLF,0.010597006021354027,-0.0355442654678103
CD24,0.0028661340229495335,0.09406792061697597
HSP90AA1,0.004704761628552472,0.007890097463944238
BMP4,-0.02901086192792566,
IGFBP4,-0.007652067114099708,0.09447932293136109
LEFTY2,-0.060875425151937064,
ANGPTL2,-0.0006704064682470891,0.01479116701766964
LRIG2,-0.07867296794903482,0.04321371120230509
ICOSLG,0.005929533238098838,-0.025372979801817696
WIF1,,0.032024812702656905
