,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.044063899457413534,,,,,,,,,,-0.022429283268468363,,,-0.04277801654957237,,
BMP1,-0.04079413573075625,0.030375014645015432,0.01543714531341428,0.01453939583011992,-0.003998440712504677,-0.08237348144188095,-0.02345585879084218,0.042910388172206965,-0.09999973606770084,-0.17058997763348832,0.13080318134172356,0.17076753245170093,-0.024648784010637814,0.06215989466239207,0.006096848684414604,0.023581050077822758,0.0031152687633630876,0.0013594913648527524,0.1403427699609181,0.0450632538860177,0.10116044665273713
NDP,-0.03748232745126656,-0.04025603147287877,-0.0193106700907431,0.055625492827635174,0.025914208070211057,0.026055611577214886,0.032639681980139564,0.005236536144750955,0.003390455097533117,-0.027607187762595003,0.06522418834124881,0.06807360641196597,0.06265512940424142,0.05269700911300227,0.07987920747773077,-0.009049508468288713,-0.07177521499734589,0.06104863875359029,-0.036811886524260866,0.11174449272378825,-0.012993228552876095
TNFSF18,0.0831519191922509,0.01319394976822988,0.021129274831110975,,-0.013339918274481891,-0.009533439063889971,-0.014339158375271666,,,,0.2293268321203655,,0.056369526226292745,,,0.06421308174141512,,-0.03776030612040666,-0.005942033485127578,-0.04086659606513178,
IL36G,,,,,,,,,,-0.031378654195486584,,,,,,,,,,,
RTN4,0.09304775803008525,-0.0656817453090144,-0.08524889880332119,0.03324983875777142,0.042765485689315964,0.09828407413231799,0.08063526189194656,0.09836241917927678,0.1818368192202011,0.20071482590967232,-0.07024122043395654,0.09740592696456545,0.04122007275807068,0.03217302687535673,-0.05954810606801512,0.062388380806206525,0.08317328391758816,-0.030029995634935035,-0.11127796631023185,0.011907332164860514,-0.014297703761990686
HEBP1,-0.054607115465629685,0.031486145038177704,-0.05702988295429214,-0.05969957606407104,-0.061622464420859016,0.004335774700699288,-0.010129107186126621,0.024857522195724457,0.009989683196013488,-0.02159825336272198,0.03680488216849595,-0.013347854262782375,-0.014415685535626145,0.0367271464853109,0.07535151441994911,0.035763722380358715,0.014513052452306364,-0.025598745038295186,0.0002615740385670727,-0.04253299861010098,-0.05195039028521824
WNT7B,0.12974043471561272,0.006551496694157137,-0.003890529353821428,-0.018803581273251,-0.025730532241444257,0.0916336816446851,0.04996442709727664,-0.011463347223293584,,0.10999758312642068,-0.03020450885165546,-0.031104200869757667,,0.028475105099400117,0.000676804800885034,0.08992430378401899,0.05033686213298581,0.10043881045585058,0.02979001313618723,0.04338836116270855,0.002463120424136512
PTMA,0.005446515677235967,-0.04513615750983217,-0.009356416251502513,-0.009010192136506506,-0.04339636573124759,0.020956928978976042,0.004819478535213976,-0.028557006129039234,-0.16058372419403918,-0.19693760331704163,0.055698419656974654,-0.13007431781735085,-0.05591290673969262,-0.0758396543723804,0.0015281472676993842,-0.010041276009982955,-0.03068439548059926,0.07127904423371133,0.14812154089701413,-0.040913580389948793,-0.13732261551110372
FASLG,,,,,,,,,,,,,,,,,,,0.060231109873389393,,
