,UKF243,UKF248,UKF255,UKF259,UKF260,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,0.012158353746103466,-0.1362055644107132,-0.09791074232757939,-0.13636925460921884,-0.025227916974913774,-0.044354804766578354,-0.06114121093926335,0.07314715114216093,0.0060842875690240526
NDP,-0.1310843176687347,-0.09618739787245625,-0.025602920659122858,-0.17903042891190654,-0.0031186064254023096,-0.03543246808075736,-0.02071469463989205,0.004662651772306332,-0.07925791713253406
TNFSF18,-0.04372060181626416,-0.012152065292698076,,,,,,,0.03948629666395152
RTN4,0.04307706056089979,0.0335086478847112,-0.06089259396130996,-0.04781342297534996,0.009500021701402826,-0.024376189597903882,0.011137860607185461,-0.06675000951447728,0.007669435695977863
HEBP1,-0.0011674644643236902,-0.014549602626035255,-0.024531174673343373,0.046008624313065946,0.081171896076118,0.06324678066503825,-0.02874305376658553,0.11299842704281583,0.07681150807276861
WNT7B,-0.05662448068075199,0.015788420710108955,0.028200765065717625,0.14894751572478143,-0.019194656855547807,0.03992191006873407,-0.0319983641345555,0.016646309635515118,0.10197096150348336
PTMA,0.24375750524331916,-0.2046357872569647,-0.1773375878177107,0.16083030299641665,0.05255203016890491,-0.02510438087965847,-0.0025961262376794003,0.025915447883501242,0.13689974049840697
CEACAM1,,-0.007605671936019543,,0.013945818162694142,-0.01540585320643264,,-0.017930261643647236,-0.023033457331809375,
PDAP1,0.03509400288820925,-0.0927278234968844,0.03503104663712211,0.042397106912563993,0.025162279613029064,-0.021480079722287774,0.048812024447926636,-0.044744462981012846,0.02820864821310375
QDPR,-0.11527979535605036,-0.09916728783276017,-0.049477650774986975,-0.08411004332832157,-0.08434887347907336,0.013847383989229658,-0.023449031357668806,0.016200268844579962,-0.13037589139798397
POMC,-0.05194738112429305,-0.02067105610250612,,-0.01899852486661202,-0.031000219706337,0.0014870394656641623,-0.04305178565614381,-0.006730115147114023,0.012205401016800605
CCL18,0.08468867275153713,0.16745987854904387,,,,-0.027299880517192354,-0.03281215886463182,0.0924606580453348,
CCL17,,,,-0.03910510718815387,,,-0.012720652787109538,0.016868775101476906,
VEGFD,0.006889629662923393,0.0366376127983605,,0.04011062325526675,-0.014739448096875461,0.013411028884788123,,-0.023033457331809375,
TNFSF13,,-0.005371366085928248,,-0.026973827740246443,,,0.010491987139143965,0.022477431927010277,-0.037720144600843164
WNT5A,0.07486117345140858,0.10517570754989077,-0.11580146654563929,-0.08444133471661988,-0.10691567277373736,-0.030357103780894984,0.006055407330927954,0.06248047101639287,0.0988511460657988
CXCL8,0.27795924870121025,0.3242361699331224,0.1846319675695536,0.38331614661665037,0.1754982853874616,-0.01623036638515737,0.1448509787312917,0.1789671684232884,0.25041540057493555
GRN,0.04346358946186246,-0.10214880626613553,-0.12522100297584396,-0.12543478885303244,0.00883671921163101,-0.012845425923058658,-0.10808656300907056,0.006365080166465112,-0.12264050571572897
MIA,0.012570524421302017,0.09285070022984834,0.01907384715627686,0.1676953800904397,-0.02758243272649239,-0.02655192688855726,-0.05040501686518605,-0.0018864933825222586,0.056175335324415855
COL4A4,-0.0002018557883978073,-0.03819433961324134,-0.033346915914393725,0.048151302737084505,-0.07545429540420931,,0.017526336259130224,-0.03688016667457033,0.06832674489321658
