,UKF248,ZH1007inf,ZH8811Abulk,ZH881T1
BMP1,0.013062200973038608,0.1306461075357024,-0.06026027815189281,-0.07348754532443741
NDP,0.046086054335369796,0.00260664936565063,0.012253534477904256,-0.023473000800994303
TNFSF18,0.001259600441083594,0.03315764380602117,,
RTN4,-0.043686762893162555,0.008141935184795899,0.008628986425202852,0.04074928487667842
HEBP1,0.0533809436328199,-0.03816267051480671,-0.04109826508656613,-0.026589896291148846
WNT7B,-0.03881522483539251,-0.027806274525264664,-0.03299707708359167,-0.022338909778263333
PTMA,0.012632633976877162,0.03841243430463654,0.021581572663084397,0.018079264353972873
CEACAM1,-0.01669368781831353,,-0.01848988976737931,-0.014826659310245504
PDAP1,-0.038243520600070455,0.007196090976996746,0.003420452177225821,0.019643475146996978
QDPR,0.0508334927963637,0.05195150428971496,-0.0007595815353082407,-0.030734366368486095
POMC,-0.009055581369025126,-0.04388450889726523,0.009070311844837324,-0.02425446691809789
CCL18,-0.020832145110401924,,-0.03383627146633044,-0.0038774115581768675
CCL17,,,-0.013117681854134866,
VEGFD,-0.02083215172558371,,,
TNFSF13,-0.015720610191953043,,0.07932461665026654,0.0709601352104745
WNT5A,-0.0451586598220203,0.021582175657404324,-0.019566433885238075,0.03820467125623323
CXCL8,0.008593895333560381,,-0.06156545974346734,-0.03606725560096675
GRN,0.04958940212724298,0.03858503938232662,-0.018175867995949228,-0.06153818659125673
MIA,-0.02178052754205073,-0.045698677823553205,0.005569271558529182,-0.04937298599580052
COL4A4,0.033771084238787684,,0.10331314107547086,0.0348098672291435
TAC1,-0.03812928234878678,,,-0.010924129073431817
RARRES2,0.03385960497356128,0.052712660633735475,0.019383528539271135,-0.021495286371900582
FGF7,,0.05582863533389919,-0.05173695821520477,0.012439696600105899
HBEGF,0.0382406005239426,-0.032864692874248605,0.030474447221832048,-0.02363707538540193
CSF3,,,-0.07013430669862976,-0.02125604142311827
PI3,0.13666431041540372,,-0.026157115821358417,0.02250162233297724
PCSK1N,-0.02960865187929245,0.013583975246543005,-0.02183618331690222,0.0733451643190079
NTS,,,-0.030602186265340017,-0.0005443837107453773
SFRP1,0.02657361858343392,-0.07554737864658333,0.0494564961520097,0.01161246367498611
CXCL13,,,0.044938832241780455,-0.012599096806459395
MICA,-0.01659219628215943,0.06517676563839614,0.019111555019179365,0.06446866718498917
TG,-0.032805574668698094,-0.032368936038859666,-0.017430119575721367,-0.01749404872390475
ADA,-0.03297448807181281,-0.026392893963796852,0.02255883601064086,-0.05074503492226074
LAMC3,0.01313180664597089,0.0013500329827013568,0.05383526171467617,-0.006607784820409482
CCL7,-0.013251004143279373,,-0.01966038146552341,
NGF,0.04010629351378947,,0.017155903577664198,-0.01393643067271876
TNFSF15,,-0.0037181597804035477,-0.019166664258452107,0.014710450511006714
HMGB1,-0.03269674859361879,-0.09837256116283723,0.015262764102642027,0.011260976931781772
ITGB3BP,0.026750822194359418,0.129713943702371,0.010936119777258724,-0.07595827718222226
AANAT,-0.019225191012370673,,-0.01724770201536963,
RELN,0.0029204836802402376,,,-0.01594373078211327
IL15,-0.007385437624985908,0.010978692641097965,0.03620434410681228,-0.03219797662558561
UTS2,,0.0027173893868582045,-0.01468768058380147,
BSG,-0.023712307203993064,0.035588509423259584,-0.05414054918739033,-0.05205660490972583
ADAMTS3,-0.03711475179901657,-0.013249439545179492,0.0871808581576376,-0.005797267522587459
CD34,-0.032113598866577935,-0.031129839629664195,-0.020676974219614615,-0.008514775981636758
CCL23,,0.07537630531624091,,
PLAT,0.04431737130171796,-0.002002078587373303,-0.021974599357896096,0.0016994909098306066
NTF3,,,-0.00210633978573259,0.06749790615654601
CKLF,-0.008228862669208987,-0.0175982449320735,0.017418756184009378,-0.04774078208647369
CD24,0.016064342831795593,-0.06761053646583262,0.04103539803032493,0.048827965869979666
HSP90AA1,0.0516459735817392,0.039155268087538456,-0.06689842361495345,0.03505834578246942
BMP4,0.02103496274289945,0.033499546448324875,-0.00041874297340709196,0.009408368900539713
SCGB3A1,-0.013251002818196663,-0.03474368135226489,0.029824143292566337,0.08360067421470642
IGFBP4,0.06905212361081428,0.05063805038708848,0.016739915452150818,-0.051922798729683486
RSPO4,,,,0.06014799669682557
LEFTY2,0.02495389496206667,0.012372683870557852,-0.016689437501843856,0.03297483292077515
PF4,-0.013745788326790902,,,
ANGPTL2,0.02106801091836834,0.04608235238641873,0.016673332537212763,-0.007126186944003344
LRIG2,-0.02431710606467348,0.028098395994674286,-0.00719740274326958,-0.027708162239270508
ICOSLG,-0.022761989352128083,0.055587278872818224,0.023653650856724908,0.028772261387949253
WIF1,-0.024733314969643757,,,-0.017160790888292362
NPPC,0.005524753342167375,-0.024874583927199195,-0.029349404099775607,0.02156028532106834
LYZ,-0.00824431928073204,0.041518010308158465,-0.0188209070616737,0.008046305489088553
EREG,,,0.0022604279467945717,-0.022992821145809302
SPTAN1,0.004234507994071122,-0.005048067687553875,-0.028989806719179886,0.016009872233843748
PTH2,,,,0.02468783435431226
LIPC,0.024584454566096085,0.03297933480780867,,
COL8A1,0.03435707079955335,0.025930222096513068,0.02645258271826512,-0.06478756397285368
GSTM2,0.04683741116080671,-0.05178943722249573,-0.010886977032500973,-0.008107595794014462
SPX,-0.027217371979240054,0.17266038160087177,-0.019822502237301934,0.019722173687978198
MFGE8,0.034126056131204126,-0.0014613504510920237,-0.05624568323137662,-0.027885035700604105
TGFA,-0.029709039829389206,0.029116486997089585,-0.01334429786179493,-0.0022016138644623162
SLIT2,-0.04197176440878059,0.04418245464281171,0.028226885281519638,0.0695050723878082
PLTP,0.009783883784419222,0.05054002807615489,0.012557059074947063,-0.06771703875275407
APOD,-0.031648662160437484,-0.06455195148225126,0.051370153008662385,-0.0541796557861037
B2M,0.01851971095051729,0.0694717233562627,0.037733093513556304,-0.083462218595867
OMG,-0.04569675819944096,0.031217435126913464,0.08353595469508959,0.011067689349369612
CXCL3,0.03327609904296571,-0.025635753226864913,-0.040638470370812335,-0.05178525530314211
CXCL10,0.013341719564664413,0.03454273996441104,0.00048554830457132365,0.005836726300629917
RSPO3,-0.017999803655383576,,-0.025581117434832847,-0.004974989908193259
CORT,-0.02912405908978059,,0.09828462084907257,0.0309152064149926
NCAN,0.0023293582970122543,-0.026595171025267032,0.038884505452930346,-0.040173677905559986
PRG4,-0.0199279277234884,,0.08294125047869287,-0.04402119318169412
ZG16B,-0.018375141500876893,,,
TGM2,0.06356206578729608,0.0724204784486393,-0.050030730720847544,0.006738554991022877
VEGFC,-0.01175242354161066,0.15932587769535902,-0.025301781505495318,-0.03150678523835029
WNT6,-0.02138020224527806,,0.0320593199802807,0.03471346724573016
NRG4,-0.012204640026056876,,,-0.024377523790326885
PMCH,-0.014066504434046487,,-0.01998342442752317,-0.014035571708094231
COL9A1,-0.03686148561612718,0.03996698101507655,0.010659296556191362,-0.05032230146451421
GDF11,-0.04359716539142261,0.017128293324657838,-0.0380290901263864,-0.02693115500896501
IL24,,,-0.014899159713975573,
SORBS1,0.05600618242322617,0.03578567777748594,0.0023753273477026913,0.020840429374230567
DLL1,0.039853435032540685,0.0018694244704146195,0.0021131362705415525,-0.003457691419187071
TLN1,0.012654505191964269,0.026455469771182672,-0.024941797968453215,-0.0956622669095283
COL2A1,-0.061614329094122476,,-0.017710902229670176,0.011534695591274723
SHH,,0.09580532205954284,0.018325007865347392,0.03275188844179165
PON2,0.044679569389816085,0.036398477373687364,0.05644616526412141,-0.03966855439715895
ICAM5,0.005001343571262504,,-0.04164724967598359,0.0020439917659953394
HPX,0.009856019472928551,-0.025635739814789782,0.02975110727826665,-0.010002703964664203
SFRP2,0.021646777220201665,0.025228195092409676,-0.0283176992624444,0.004764097407532199
CD70,0.012442598082215017,,-0.025352913079261918,-0.0354998346689451
HP,-0.011492043086557272,-0.016862339455203563,0.03266613890421924,-0.0232000928326528
CXCL2,0.015380957428083607,-0.04601079646044937,-0.0504169822366253,-0.0038527465390648793
NPPB,-0.01709507612863229,,-0.039253724273886514,-0.0035064880568188117
CCK,-0.044435440691334614,-0.02637697127968835,0.0899155806117379,-0.0036369197127625237
SEMA6A,-0.0037657994864306083,0.015015777360035561,0.04994559245289738,0.00905838815249694
IRAK4,0.057238700459940145,-0.025891065346496014,0.08511721811083059,0.012436782020917449
GSTP1,-0.08050316810427127,0.015821204100691367,0.02298630488762526,0.016691407977704572
VCAM1,-0.014315131000541235,0.04824727182422612,-0.05705125418996923,0.008370248447380543
NXPH3,0.051142937368035095,0.00500348307549143,0.06455188751952201,0.034626147951228245
MTMR4,-0.04302057164484292,0.004249971183380304,0.024010133850354814,0.019757198457195667
LAMC2,0.012033383087045425,,-0.01831715772938013,-0.013623711580506116
IL10,0.12135597166157541,0.03582058600832523,-0.008646643156624154,-0.033925828981722535
SEMA4D,0.01753858808973716,-0.07101324965714138,0.04523223648255692,-0.02056878676164223
TRH,0.05742306632173963,0.03447902003214898,0.054045944912184944,0.011773971091117514
SEMA6D,-0.021185341027277167,0.017916327046837426,0.00914579039968559,0.12813285949938327
CEL,,,-0.022562499984898763,0.031212072916005227
PDCD1LG2,0.12512464553072078,-0.04870782777615218,0.023125786689116336,-0.039690515903723314
SPINT1,-0.010572522966810887,-0.0006086021867350952,0.040289688669625214,-0.01860957352742458
CTHRC1,0.02195857541970031,-0.04014983523531792,0.04820871089185989,-0.005001418216437972
PODXL,0.033889936640450674,-0.002655511603076714,-0.018505278415015466,-0.04248666943472166
JAM3,0.0010434529878606358,0.013131014143436816,-0.028352770232776124,0.03250110445725191
TGFB2,-0.0023012846837407747,-0.026292420231695195,0.0007844170217626327,0.016947165026751417
COL18A1,0.04671647250206296,0.0454193830270088,-0.008663533388948621,-0.029508607744091458
NODAL,-0.02756991860140305,0.04319679603673819,-0.022272757352958476,0.15119952805008144
INHBB,0.01800785975132553,-0.04547048652451116,0.026896852289909078,-0.07038071185785287
LCN1,-0.013417850264790632,-0.033869492592418275,-0.004873921239080765,
ARF4,-0.011750487783747392,0.10860780577458587,0.01207610703158968,0.009716391549350537
CXCL14,-0.002309734790707678,-0.0006736407416415511,2.4781669603318308e-05,-0.0928415339082078
LIF,0.03967500447285967,-0.027702432534743988,-0.027531759972554123,-0.0022568988398024565
IL17B,,0.17614058971527757,-0.02061590150941204,-0.019382639271617094
MMP1,-0.01849872230296548,0.07116155149876899,0.02321330792150123,-0.014035570596562833
MATN1,0.061084897495471135,,-0.029809715525985304,0.01683478371562569
ADAM28,-0.014115173278123661,0.008497792825587717,0.025234465657836345,0.05117565187906544
TCN2,-0.006399760687049832,0.05517806626441474,-0.025595338309518625,-0.07853316241104735
THPO,-0.022956000934607368,,,-0.017328159850256326
CUBN,-0.02437728583663809,0.08953356161376679,-0.0029232173447351064,-0.039525026560813574
TIMP3,-0.020668653529910114,0.03993365873763209,-0.02414873237807861,-0.09973549768728343
PIGF,0.07411440942849243,0.045351509044525964,0.005295937160087896,0.03680795652624928
CRH,0.07164975634520716,,0.009558547295986016,-0.04521488955271772
BDNF,0.12030738726394287,-0.03112457930704262,0.014555163851276882,-0.021253248743313708
CCL5,0.052380003961942534,-0.07016670354393799,-0.038498286748251544,-0.0014089724116945481
GAD1,-0.03858901119107914,0.12627194988872678,0.048451198809022246,-0.02873034996213281
COL14A1,0.01636341909541166,-0.018375474430092187,-0.040830376434856853,-0.0018436224718157165
HLA-A,0.0509690570524228,0.05567596957922373,-0.07167350319646146,-0.005311394310365185
CD5L,0.07057083686372678,,,
FGF18,-0.014224308178672491,,-0.02437293376062962,0.09016269031784972
ADM,0.035823451397103204,-0.036310820534726,-0.10468367812779883,-0.005855567964440166
CCL15,-0.026228440725862785,0.031214093129030715,,
GNAI2,0.03691172062274102,-0.026120515582402297,-0.06388013700318158,-0.041320812059985675
COL11A1,-0.005318815689668131,0.004784556786459557,-0.006233792023711323,0.058402748506816066
NUCB2,-0.012535756414363284,-0.06329737077404547,0.011656749492317363,-0.01205366818241998
CXCL1,0.01836290003603722,0.08385984751441623,-0.06507812550208893,-0.04003677627310317
VCAN,0.0313692206579243,-0.0345493311862994,0.05534616724200138,0.03206649276226236
MMP7,0.045606728811910406,0.12784355730751404,-0.01840289284656721,-0.036463114763699636
PTPN6,0.011667262778055468,0.013714211424274538,-0.0026054513746343695,-0.053157954635152424
PTGS2,0.027489499608136396,-0.03559996056489018,-0.06523945183046875,-0.010620101715546124
XCL1,0.022619775448577455,,,
CD58,0.0006828020542282767,-0.01944394806895934,0.026107576800536433,0.0061189590462315336
TNFSF14,-0.01735795202567349,0.01238331722552773,-0.01949706506173091,-0.020266627338653167
CNTN4,-0.030517365941086286,-0.0304861888310327,0.020386286389598194,0.04258071061111721
INSL3,-0.015432189117082672,,0.11454999290156283,0.14508962923641833
MFNG,-0.015972431191755482,0.03526190117445285,0.1141229228550358,-0.029818446499029004
ICAM1,0.025272658630262037,-0.011409884576129483,-0.021073018300616662,0.00964015772012284
PROS1,0.03441353140166506,0.1087818992298422,0.02029677701718496,0.004750374448741902
CLCF1,-0.018925922290992145,0.03154664043584863,-0.054854272681904695,-0.04422967249900751
PSAP,0.06298348889849507,-0.0031481254449504696,-0.012886951307837348,-0.020041439425210344
EFEMP1,0.04816909065983896,-0.004374220847579879,-0.017327665016794114,0.015043228697722072
C1QTNF1,0.037096201073511775,0.04948505205916883,-0.056672277025144956,-0.04068460217225131
ALB,-0.02385856707682283,-0.03474367840802996,0.02133231147423609,-0.03392582809675461
CCL13,,,-0.01447327567535703,0.011024538308620524
EFNA3,-0.025474035355401402,-0.023404953242435588,-0.03315727903235972,0.021963018798362682
DRAXIN,-0.046492182741762623,0.05258928795857433,0.02204130197874705,0.0800981373521574
RAET1L,-0.01202182519788399,,,0.1296428817203542
NPTX2,-0.027794767128329696,0.025345862672150513,0.0049419460263141575,-0.006995331061624617
FGF11,-0.0045310473515796845,0.14422138678000992,-0.06142197254902848,-0.0019901059710255987
CD59,0.004270110620389177,0.05092038432853778,-0.03317053407014633,-0.0894652944811327
COL9A2,0.022806703633363744,0.0014005061316322285,0.02943074802566026,0.018239449723971485
DLL3,-0.01552693940429773,0.040703846570708635,0.037974644316986474,0.009469113208763542
LIN7C,0.005232286908763379,0.05835134953293472,0.014916729255050385,-0.012221881730885929
GDF7,-0.016458482830382842,,,-0.016475583481975843
PSPN,-0.028061481107661657,0.021134916755262072,-0.04508616575026563,-0.0323326708005295
ANGPT1,0.03835640666364087,0.06515994536862112,-0.007849858953366668,0.009953574813385789
PNOC,-0.07285251615760448,,,-0.019532477133612954
L1CAM,-0.001441388287678046,-0.03991259806613099,-0.004518863432139559,0.13475856630259458
APOA1,-0.004723343088325988,-0.024926268592097536,0.03910169646873579,-0.012884807189849851
PSEN1,-0.020968773432337853,0.041653582523036824,-0.05433596414634047,-0.025535433472768234
CALM2,0.03653947286747425,0.017996893337043948,0.0874552815270743,0.047001596119077366
