,MGH258,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.049006695000369534,,,,,,,,,,,-0.03381916789436528,,,-0.01167712264965085,,
BMP1,0.06738888343891125,0.07834229860889949,0.016155994645397763,-0.03601061692795462,-0.06462946971211794,0.04643447196976795,-0.036900095716501796,0.005111552222875411,-0.018780654792985404,0.02257385101291276,0.09645375342939909,-0.043772599001542845,0.04025758470911917,0.16101159112609356,0.07569233098223856,-0.06406286803932937,-0.08542177872349185,0.0019303180070206444,-0.050504486597260555,-0.043666315833841084,-0.004093285432765366,0.0897220549802807,-0.039045385964715414
NDP,-0.02401120816037222,-0.012166594146377526,0.04241681043761988,-0.019272821136004595,0.08957602944013499,0.031923250285348065,0.05905554124630807,0.006400436766193037,0.03616640106094229,-0.03434755016799698,-0.00368603288327676,0.021256748033855535,0.0014892363951942182,0.0896465106065792,-0.09637847606218998,0.11502530587334601,0.08756344780463987,-0.038615576804225366,-0.027358070776258812,0.03661866392644999,0.05821981188457099,0.09194719660721186,-0.024937534959587893
TNFSF18,-0.037072201649339574,0.009133700245675638,,,,0.03861131852313299,0.05716513120745391,0.08077747317059117,,,,,0.021320541306611297,,,,,0.03848815624484211,,-0.03314012357816541,-0.023578093828084196,-0.04843602314190342,
IL36G,,,,,,,,,,,,-0.026489579482736295,,,,,,,,,,,
RTN4,-0.11100068422782172,0.027863789466075026,-0.041091146702555925,-0.0017707682962652615,0.09911599477469811,0.10571993171186224,0.006801648315343638,0.08050507190607305,0.04546740157074447,0.05504987088688538,0.030926033998984997,0.12505251425369865,-0.09064006095997186,-0.15402201154308745,-0.04479780475115087,-0.016578607067379403,0.01753589216052869,0.027117690645236957,0.14061647227228322,0.017789529795692937,-0.032433643906899436,-0.00654692662227225,-0.02794281643623296
HEBP1,0.0032749481712298517,0.017846694797623373,0.030175384940905537,0.004317622244733689,0.04520285530838348,0.054234171916208114,0.028263474342521185,-0.025717038719752634,-0.014115906847183692,-0.013629684394885967,0.08126761715673284,0.034512482340814485,0.010915787047931204,0.05266824948352551,0.032675594602271055,0.08262623267026932,0.09460966382047094,0.02213302338030778,0.06282020688206183,0.12933057723105562,0.01552424799494114,0.026391627522544488,0.053781453493496834
WNT7B,0.05654613712025764,-0.011132747749203259,0.013479292716662084,0.04648557392463225,-0.006859757641494998,0.06311788751730771,0.1253586025277049,0.025910726124927473,0.038565098134620675,,0.05971319554304775,0.018895852529907803,-0.005411470937380532,-0.10748512171288623,-0.03489714750381011,0.02435922271238174,0.060705172813812276,-0.0574285058383797,0.045680708446593846,0.08736528217043894,-0.030775648970487835,0.03640174819517245,-0.03202782382236372
PTMA,0.016110674171107786,0.005913358769156393,0.03777341664061391,-0.01119961469151233,-0.09783208106643915,-0.06934114449437001,-0.020560255325576586,0.02332045943398111,-0.02548892236339505,-0.09320726628614746,0.028513425276005793,-0.09360387392624771,0.024225834102192915,-0.15886015195089978,-0.004396949514802879,-0.04663294454410636,0.024304853450015602,0.055954140578894834,0.002239059044561836,0.08832902547014163,-0.08618845929975247,-0.09561978506287398,-0.030084169792791285
FASLG,-0.028698766054151684,,,,,,,,,,,,,,,,,,,,-0.03089839216720441,,
CEACAM1,0.02465673066612161,0.1305001482015146,,-0.004589877092491384,-0.02252171299040867,,0.007246654866320513,-0.02751264218294819,,,,,,-0.001050318979398073,-0.03129632084118073,0.033928036025843294,0.026935916249365366,0.04486853321125732,-0.018386431127984378,,0.006377233625385562,,
