,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.05158503572683697,,,,,,,,,,0.10602076346055875,,
BMP1,-0.06239360355531525,-0.05330206859528261,0.005322887612710484,-0.049877076784137685,-0.08081949940360154,-0.3275914845737219,-0.002587989805276292,0.028864599264567515,-0.07990570042136504,-0.15793305928458043,0.03560042778448788,-0.012908667098229078,0.01479073920298585,0.00459966193748538,-0.03238539142271804,-0.02809671477268722,-0.045049664401796516,-0.08293381999808586
NDP,0.025275431395335522,-0.008326739457960145,0.003637855257526029,0.1291035196032177,0.03845992144869778,-0.12169160142801048,0.05192853105463917,-0.007510811474053726,-0.054654465647351186,-0.060230419517501195,0.07480958020260896,0.02037635732516978,0.0562864103123456,-0.00439478138444837,-0.002409982665965206,0.11368173565245925,0.18108933019699014,0.08151026386692063
TNFSF18,0.021658495140434983,0.02513036960889889,,,-0.04209868884997461,-0.05122200824012542,0.025702481570209487,,,,,,,,-0.03505052118113406,0.005074817886143427,-0.06222740573553948,
IL36G,,,,,,,,,,-0.034414439345421335,,,,,,,,
RTN4,0.10920419802942356,0.0729598714476571,0.03864773924462867,0.1568661027182908,0.14460576016372656,0.4429647944789115,0.002823885134366575,-0.002769127500169402,0.22322513947421102,0.24171934743940626,0.04071459349936429,-0.02164779125892457,-0.05037689589495373,0.00486983532967534,0.07632703516558978,-0.037441457967671544,0.06433861822438205,0.01995043379623569
HEBP1,-0.05210575701920229,-0.06989578575853483,0.019575324583001413,-0.04925546174290961,0.0003320895058676308,-0.13959103798599753,-0.04156318821246646,-0.008916824847568342,-0.058058667489568894,-0.03535140592067048,0.03566070262178315,-0.0014009698260864362,0.045548142257340635,-0.013762734732561004,0.09821978818311433,0.097282738477893,0.054706145047543495,0.01866708318311952
WNT7B,0.1443493118031505,-0.028852314437581114,-0.028339110142683407,0.04271841348427516,0.06393405530256459,0.3948254970214147,0.04258577955059303,0.07604224161927099,,0.08771087217444166,0.026036273398652214,0.029263999716195848,0.013783310775281044,0.0035087755988255764,-0.035050484836376586,-0.04878041181129212,0.18001006837773542,0.10083197305735593
PTMA,0.02691197417674792,-0.02145500180134127,-0.010118254391256461,-0.13218673458111202,-0.21363893461852176,0.08646800556705649,0.04745415418686414,-0.042844403797273764,-0.29760716676275745,-0.269260512208204,-0.15165459942585072,-0.029414868579032225,-0.07715016810843602,-0.045817281907126146,0.005603730072276988,-0.130125454254197,-0.2363183800840611,-0.14512872356377896
FASLG,,,,,,,,,,,,,,,,0.01982357728601955,,
