,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,,,-0.03324412730235678,,,,,,-0.015352600506658714,,
BMP1,-0.02468970606231807,-0.07847442473729513,0.0284336151298946,-0.21175672403682078,-0.07175921462662575,0.03692423171224896,0.004547576831127082,-0.007551958234186048,-0.07342546972090806,0.0653758894878826,-0.03311184717147575,-0.010066130011388905
NDP,0.052282754331840035,-0.032500614625940824,0.051251498212941685,-0.06798332572198096,-0.02521849165377195,-0.014833444060697823,-0.04857809663792839,0.06393529429589412,0.046244250900826595,-0.04298556937437167,0.020744532908466343,-0.11215235048559379
TNFSF18,-0.0009235420842499316,,-0.0029607016756746517,-0.04936653102794954,-0.01567068662116559,,,,,-0.015832865913204333,,
RTN4,0.003993593720685543,0.0072748745788300834,0.04975565153398638,0.2969121616772046,-0.039279348014954,0.037478339746557475,0.1083911502459896,0.023004294928493096,-0.05491469299297593,-0.04737011304903321,0.1628676000487679,0.0997189544967288
HEBP1,-0.003568988624800553,0.003217621889404822,0.07453927145019419,-0.04910426942660606,-0.008680262546632725,-0.019913108961526246,-0.03212042004699666,0.0688540069464276,0.05756639684480318,0.021764951994215166,0.007732205319343928,-0.10697901538077538
WNT7B,0.0143065408984629,-0.015541287916512237,0.028368159144527973,0.2502444336830997,0.01382329001507164,0.017420566204407656,,-0.04763731012565859,0.11093841754151318,-0.0331078034700346,0.029675149119678442,0.04588075665477102
PTMA,0.020620659836111176,0.02085238802722695,-0.05837853453459673,0.06418843457281365,0.05359428654771473,-0.022250978718947968,-0.11066434934021431,-0.07554087430524868,0.014197381586651377,-0.008207297013805397,-0.029734811479720034,-0.13597831323626805
CEACAM1,-0.02130226010418618,0.023405732918133616,,-0.06496354312541318,0.009781015686505655,,,0.001784216369280483,0.06245979886779315,-0.022750175343700368,-0.03488666792867887,
PDAP1,0.03924551818581918,-0.007757638289190137,-0.08371776058709046,-0.17115656920646735,-0.019695355828505918,-0.04273450415536107,-0.06663593768412104,-0.08303148881077792,0.004449299627928187,0.025790561575418893,0.018732264256638213,0.054065440758782314
QDPR,0.004520246373734994,0.039886888949497365,0.08423416578551546,0.1044368513606574,0.056716047045884885,0.040431065988339634,-0.08015961450660943,0.08101469249009693,0.082191976926797,-0.0053564350168524375,0.018934593431831945,-0.05766894569282151
POMC,0.06354053609178575,0.005362503814139664,-0.04676654960931359,0.08150737334032045,-0.01818302554649296,0.02276253662824668,-0.011865932697954521,0.07490682450499886,0.011713209833150776,-0.04920398343929487,0.08362848867908029,-0.061807911833446
CCL18,0.0260892140838017,,,,,,-0.06700877633331262,-0.009098015137098016,0.028597230403640348,,-0.0313085303711962,
CCL17,,0.031042219210495683,,,-0.0055477631791835055,0.021173391623279143,,-0.03419878587702482,-0.03647706799027293,-0.020241516924768017,,
VEGFD,-0.026583216328115503,-0.025147139375046805,,-0.05569283076130793,0.033073652325862755,-0.014927994313887312,0.0020765552147204627,,6.580113105821169e-05,0.026807795573568848,,
TNFSF13,-0.0023672273679727902,-0.015569312941142877,0.05356838428137775,,,,,0.05509604073620029,0.13650679011587347,0.0718196670802615,0.0014009547779772116,
WNT5A,0.03944372881606882,0.06813135341504453,-0.04367469124724014,-0.18406720198394855,0.026534177986144648,-0.019735397628076867,0.03483228563673284,-0.0397210457771603,0.05357140116241358,-0.011453835601456632,-0.00462075070545041,-0.062334720174258354
CXCL8,-0.033607371925060844,-0.03457078629150919,0.03581080083836703,-0.08108835419380511,0.004985393039388919,-0.013901597395863833,-0.03797315474726809,-0.12347193837325324,-0.1336363888684322,-0.028738541693847337,-0.07364614214392427,0.05541518589044886
GRN,-0.02863689680967406,-0.0017040758617661972,-0.005633801105886621,-0.24916527060968635,0.03355767845954755,0.010477509439044888,-0.08443083604028158,0.0008488531924837394,-0.0585515337090235,0.03245386857743926,-0.15199355587927604,-0.060178796661233214
MIA,-0.022879651169424083,0.004408576032285383,0.016066891048589285,-0.0949649178509631,-0.02338535675162007,0.00010763478009510272,,0.22411053721435567,0.2214015462154846,0.017245121012333935,-0.166561541544167,
COL4A4,0.042013884519936644,0.08713899736707771,-0.019018786475729372,0.045379162573497174,-0.020404955360293933,0.0025370465601409803,,0.01436974896832995,-0.023144453459760225,-0.03118042059906018,0.04397855650406428,
TAC1,0.015828655362778207,0.0519632584390263,0.09686715130403827,0.30831082108001573,0.007201222687448051,0.051504455839910396,0.12641423546702418,,,,0.08305610106863204,0.13654581413434527
RARRES2,0.0641312649469499,0.0003720706390418868,-0.029257494604537717,-0.26354366340919616,0.1003198011150861,-0.040201762650336294,0.008389279176305244,-0.022751795520762903,-0.01483475845444547,0.02933546610919503,-0.05397509676009703,-0.031101135569606895
FGF7,,-0.0010817846984693907,0.0007210429750331735,-0.028379207306542562,-0.013959090403966225,-0.04864535740532473,0.008134043684446502,0.030645673203677816,0.02352524722653237,0.05636422162897089,-0.014702937527842127,0.021586036835160454
EFNA2,,,,,,,,,0.05730833137680551,,,
HBEGF,-0.030777529969106966,0.05058026273131155,-0.007349219524977558,-0.03373266289953109,-0.05401680819667425,0.03900670928784069,-0.09635701196804594,0.032430185603940745,0.051833572730303465,0.04448488111228953,-0.049871733675498235,-0.0128971386144309
CSF3,,-0.026903255440408325,,-0.03465904731570642,,,,-0.08694472393717531,-0.06448766510246452,,-0.03494948521917527,
PI3,-0.027966655491487247,-0.03301117994441964,,-0.03902654472739535,,,,-0.14475351017900717,-0.13726890247030263,0.15888431684268822,-0.11700039787268504,
PCSK1N,0.027645621033903722,0.037102535661258707,0.030895303260152582,0.1505075158951089,-0.04007139805297089,-0.001387335179132403,0.1362943701247969,0.006659458937420891,-0.03205565054110774,0.07732329899455447,0.08015522671683861,0.18025236465851338
NTS,,,0.05608668857607261,-0.042600138335107327,-0.011045651115331128,-0.03345984139784165,-0.01968531921133513,-0.007111259623403683,-0.011413830424209612,,0.07240120342778857,
SFRP1,0.06045772353419213,-0.01969450293851111,0.0393029359763879,-0.07019981364573778,-0.0020148054063828746,0.020706223486547125,-0.05171390156618143,0.058634588844971636,0.03302254915391348,-0.0039034488041055897,0.1328555281267972,-0.11479549368909238
CXCL13,,,,,,,,-0.02715125906204734,-0.01631243663058465,,-0.016347356989178406,
MICA,-0.013899853012364516,-0.012111380722907525,0.0946987882515575,-0.027135870729044154,0.01643652333939981,-0.004722809318888361,0.06834360573316416,0.02238097857844237,0.009674473268726004,0.029192136524527547,0.04599034121846541,0.08368959115781988
TG,0.10156422149503232,0.006822328810138683,0.04590713412281995,0.015260002978691975,0.05123642598284259,0.1211661839150957,,0.07281774680041231,0.15377336691326943,,-0.002128586206342036,
ADA,-0.01595800120157921,-0.04332167603889459,0.03680048286765521,-0.1622849245318577,-0.022915017279625756,0.025065487840965912,-0.08456079158117219,0.023986569109211316,-0.00706547717258281,0.029839902056923735,0.021408980052340713,0.0038856441787014076
LAMC3,-0.02100064384167715,-0.01454869856660002,0.022501077422605074,-0.11784768575124745,-0.009260267128875798,-0.02299081793944145,-0.009718778796606063,0.04274513874342734,0.08803698060403262,0.06477241509502261,0.008723938469915309,-0.010034588033704826
CCL7,-0.01690916590593718,-0.01536623855665752,,,,,,-0.0161894119882662,,,,
NGF,-0.029032198166766266,0.007124001853275595,-0.025573673052160063,,,,0.14297724045789723,0.0181850957549274,0.06633902140637087,,-0.030820192910737697,
TNFSF15,,-0.017111058185938686,-0.031052045679859315,,,,,0.01587311461366815,,,-0.031058334603504652,
HMGB1,-0.033059816873543854,-0.04040550765375495,-0.03358573013407236,-0.223783251438858,-0.048963965991121704,0.010738703011052848,-0.05526840850847363,-0.03479308647887188,-0.02679103233757551,-0.04799011261663645,-0.056150845837718615,-0.08482895745586404
ITGB3BP,0.020450996990677022,0.0024350701780768216,0.025616819284784507,-0.14052516513553745,-0.03948414021339887,-0.015046118046079696,-0.05663391377625375,-0.023039501815526615,-0.018213243607735352,0.06130408973969097,-0.046544158565014454,-0.01775013417743351
AANAT,0.08994497498816197,0.0028654820906648267,,-0.0067413196220740025,-0.0023594852682926964,-0.01697745067004625,-0.01850710728937342,0.03569451923775155,0.041751377337978304,-0.005301678726651325,,
RELN,-0.011421267072114535,0.016919171179307416,0.06187671978336128,0.16753280732665835,-0.03898630556659539,0.051534112070527376,0.0786699312319463,,,0.08903470129216462,0.0755974104573751,-0.0033099900071410903
IL15,0.026201239534897083,-0.0029580886610823783,0.011091735763064601,-0.03289305072073488,-0.01688536125044773,0.028737948413411242,-0.037925196689456424,-0.01754889974788152,0.008514798097892625,0.002161786182290938,-0.022267519837749924,
UTS2,,,,-0.10312683118333331,,,,-0.01566059384779132,,,,
BSG,0.07134169333531824,0.04591381954773622,0.015998937704917046,0.0831043248133747,-0.08014723861218018,0.03483564675792818,0.05004723729329914,0.0737909416944483,0.030870775856256062,0.04352883947002263,-0.09906339550188388,0.19677302886171252
ADAMTS3,-0.020408090222551196,-0.015048740077410036,0.005288420596758845,-0.22820204162393426,-0.008159067567288025,0.010640502421116884,0.19295413089719776,0.06722040805895688,0.06375964100782684,-0.03879489908180435,0.038970283302041824,
CD34,-0.00817544584768198,-0.00487480361364063,0.03161574056694266,-0.06833774500934157,-0.033315410357506965,-0.0317643492303455,0.01886178458924075,0.09191064262581705,0.0876770468496893,0.03448935090742196,-0.07069254845344665,0.04666859135873257
CCL23,,,,-0.024969817350117194,,,,,,,,
PLAT,0.0235257533564867,0.004220199252629768,-0.006830693588113983,-0.24507035451179018,-0.07772122935334305,0.0048282762462845494,0.02538538151449851,0.10156119451015827,0.03838228034571581,0.015474552608322865,-0.0019519071698502325,0.03327200253834477
NTF3,,,,,,0.016054271381019086,,0.06312137741195259,0.15016452911420847,,0.03828049186161367,
LTA,,-0.019694502017171312,,,0.04679617300240956,,,,,,,
CKLF,-0.004695056157019038,9.078682405496491e-05,0.039700284829401425,-0.23375612621677935,0.06770737522242257,-0.005561181831342337,-0.06399912466827225,0.11560494863845501,0.0707536526500456,0.0865924370277714,0.03318509031757865,0.03163043173664389
CD24,0.032002021796834416,0.034805841659102936,0.08225515241794401,-0.05159628910379081,0.08862991290128625,-0.06916155155343945,-0.025324583388403613,0.08977483024423227,0.0633512099726601,0.013978967833458908,0.14466182895724145,-0.019709422254570286
HSP90AA1,-0.04522244827787997,-0.04909309192530962,0.04766573287500605,0.2839361860070822,0.09423178244976674,0.011609543347109303,0.12381764331041577,-0.1625577716804533,-0.16102791998928004,-0.015995715120427547,-0.07935723852205034,0.0503267541962837
BMP4,-0.005946414227961898,-0.01022620147057364,0.0008215482440890198,0.0119664892406942,0.02395289109004992,-0.023543443115071637,0.024816457539892003,0.044564088921315324,0.07072300751964981,0.0012372478105013903,0.036055222351187126,
SCGB3A1,-0.01690916421504318,,0.03740973298661558,,,-0.014320645691356942,-0.00045813446974846036,0.09363455596899109,0.05011705095550463,,-0.027432496723596513,
IGFBP4,0.0005439907393401688,-0.019482825887698865,0.02283551028775266,-0.13538010784234086,-0.010703205875695803,0.005692054482819672,-0.04075901352608485,-0.0700847943414748,-0.0630070233606128,0.03490707114227662,-0.13887878797856668,0.010173039546376222
RSPO4,,-0.019942694984055653,,,0.03705740330885731,-0.014320643596638552,,,,,0.025294927524937796,
LEFTY2,-0.005497406420381854,0.03530970118945852,0.03650662987357993,-0.12926591035524038,-0.005917142027272613,-0.015702760849033593,0.007281947695917818,0.08331838332014185,0.022171369990417716,0.09394625507443705,-0.02385315809630197,
PF4,-0.017540543555220712,-0.013406740407732841,,,,,,,0.06462800758237949,,,
ANGPTL2,0.004204426180438816,0.0064329900990972395,-0.028983634206531425,-0.15807066719557106,-0.020046778763473053,-0.0028396695966112053,-0.0793955327694715,0.16357186073927785,0.049459439824707574,-0.011521438000061484,0.03130959117663704,-0.038317510112586155
LRIG2,0.09398367565430792,0.028880747280513805,-0.0024408987219392913,-0.10440552693760728,-0.00481379797561189,-0.030834840869726526,-0.03132404615198576,0.09058768745330055,0.034645313658214466,0.01710779195513421,-0.04216095563091046,-0.08082097716629362
ICOSLG,0.02420909218474902,0.032697264547198415,0.033286812447413404,-0.15067392737007324,-0.012386103865104999,-0.006303321627024328,-0.07544008266081949,0.04361120637794887,0.04949392074343936,0.029180388100982512,-0.020743494848016422,-0.028088425316858855
WIF1,-0.03156136106391741,,0.05296385634255894,0.27810570118330885,-0.015306268936005443,0.05869691301546122,0.02656613779505598,,,,-0.04037880689007622,0.18155117549329236
NPPC,0.1008952705916311,-0.020797160560723057,0.06088692493836965,0.03157721569853821,-0.029857667329935222,-0.01990219003369093,0.08616362758975313,-0.022227913384111352,0.06762149353300416,0.12251690716754057,-0.057609645442138833,0.09888287911697782
LYZ,0.015846636049530786,-0.004661253226268346,-0.04345443562371336,-0.1720746040692434,0.014174495637711181,-0.013852567074657702,-0.1130716889253198,0.028311595653233802,0.11193737547669003,0.0012006385508365528,0.007211129614696667,-0.08025039763487356
EREG,,,,,,,-0.020250453996581024,-0.01697567200150172,-0.022230143124205952,,-0.0468859982958937,
SPTAN1,0.010522535608246585,0.015388540050624382,0.07532003061307833,0.17427813825219346,0.0024305487264735756,-0.016950784509845877,0.08583278648834805,0.10130280392322713,0.04488317207858345,-0.012383912538432136,0.1167840602108017,0.09634637111250334
PTH2,,,,,,,,,,,-0.0021876009117149852,
LIPC,-0.02147423575210984,-0.02409291101122986,-0.03426426343859609,-0.05984103188441321,0.0021355265013107113,,-0.036268194019777815,,,0.00476442164933453,,
COL8A1,-0.01635199635237065,0.013273681456866438,-0.036792897079846135,-0.07952286800367041,0.026774467623171653,-0.029709500917510113,0.027890285406320735,0.1267483472102278,0.0438769888417894,0.009644170938426191,-0.06430315773881308,
GSTM2,-0.0329826593811559,0.05688666500491452,-0.018684616051192805,-0.057911814509835305,-0.02947170520258111,-0.02824051105627817,-0.03220859656892394,0.023229755494692386,0.10507381162376281,0.007617733766928945,0.021370382565149622,
SPX,0.10387827611640706,-0.039478943269218136,0.001301059434419763,0.11776836708639617,0.04058142241462686,-0.005301600153192494,0.03440957417065078,0.047739896815416544,0.0630502460467845,-0.09210513176800997,0.04751523333631204,-0.17396940096396168
MFGE8,-0.01718493911900035,0.0039560791886615355,0.01630455096799873,-0.05944634827540922,-0.07432693642274033,-0.012584477179664804,0.038327352672513575,-0.03242973197243612,0.0010850768041780927,0.022263906927094346,-0.048235389432359534,-0.0032794115612626994
TGFA,0.012612845965934996,-0.028988951507699257,-0.07749290238168888,-0.10639783082333408,0.023852499370701313,0.010850907611727861,-0.06962460556657442,0.045295720489852455,0.02497719119049515,0.019444703045010427,0.011468559357211784,0.053245500657797894
SLIT2,0.04739365425263073,-0.017670937744412054,0.14563348488274935,0.14101528126577753,-0.02508742366093845,0.06503985034600249,0.05023042116206896,0.10073442138216634,0.041266880736823115,0.007336861931603221,0.057686048105821015,0.07618144938874506
PLTP,0.0013920436442893657,-0.004693313892483732,-0.02165447528002574,-0.24244677969915,0.07537660622625812,-0.018181554673761584,-0.13998025889293786,-0.09323962544918535,-0.02310697691460903,0.018303454299445986,-0.19760182405487453,-0.008966272999014566
APOD,-0.009799322022819027,0.048137755063374046,0.019473419923306715,-0.2132829330090684,0.033048435527199084,-0.06333018569401588,-0.04854586717644457,0.20198843117761414,0.13526723933543444,-0.019228904339950035,-0.0235722694416542,-0.1414099337264973
B2M,0.017482257831774674,0.0015566101068851292,-0.045219203514375646,-0.297718239673561,0.06940146967973225,-0.0309108275772768,-0.11705608472766581,0.04152539431507185,0.16024784455324376,0.015175349830655216,-0.1858791039190124,-0.12542271851347583
OMG,0.06292459010660557,-0.026750909446209142,-0.035197682824842175,0.030634171764094578,0.012009640044439386,0.029495046646131874,0.010293473433007518,0.1480823952874783,0.13396723551133707,-0.041369617729271974,0.00784716861037699,-0.04672475258598041
CXCL3,-0.04331584422105532,-0.01806560882052589,,-0.04104734791575605,-0.044558602408168245,-0.015320061598191503,0.008213089992556743,-0.06280345711545193,-0.057021118433716135,-0.01763184703955974,-0.10585962452279075,
CXCL10,0.04027431881655496,-0.01827891996971047,0.034627568658190715,-0.21979924058867586,0.0323376924358307,0.07606882429331746,-0.022817178137724606,-0.018683176130450514,-0.0300455884459278,-0.02375385892579051,-0.0321018344152418,
RSPO3,0.03860344532471628,-0.015569313452429942,0.125409560451345,0.12063711338990556,-0.02995790468432367,0.008275298394675203,0.09001694684800644,0.027119715076985497,0.11599781511524669,,0.002251234014170698,0.15196500647643454
CORT,0.01476781445870433,0.08150410595164698,0.007891221377109873,0.09548324497653177,0.029953255717622,0.05980658567110436,0.050179776168175275,0.12010516270812822,0.03228571588000083,,0.05054461646068214,0.10582866202908928
NCAN,0.04739523082976832,-0.01997246539801298,-0.040917819101243647,-0.15335234809687337,-0.030733319219507442,0.02363524172302082,0.04682040380970178,0.13158889330038273,0.12067308855491503,0.01897773188522254,0.17219404816728157,-0.06738674805371599
PRG4,0.028200013310062756,-0.015366240951257696,,-0.026084310890635936,-0.0035838072513921897,,,-0.017038686315017145,0.03583648064394605,,-0.009394836219086619,
ZG16B,-0.02344790725471047,-0.01783440191122417,,-0.03146154529917619,0.006953645925401991,,,,,,,
TGM2,-0.05139628655222586,-0.023506241848085887,0.019583178656203553,-0.10204195233244981,-0.034891414650027625,-0.01628671762466228,-0.02009508302950941,-0.01837859249874088,-0.016075163448981165,0.015195144547043548,-0.016017108234736673,0.056353758564313836
VEGFC,-0.03228763929037034,0.02850816397214373,0.03681627564442648,0.01614707164703222,0.013195782512143229,-0.050500696102350626,0.06924590717354318,-0.011526436460021525,-0.045880314783740446,-0.023256696785387318,-0.04705382616803628,
WNT6,0.09991882836572484,-0.02125348983678487,0.041549793293531506,-0.04373146467934729,-0.02100840847865452,,,0.033052280796624166,0.10934113712406546,,-0.008569576880609643,
NRG4,-0.015573935438508168,0.013308668094861373,0.02812245552193442,-0.055391526906775665,-0.02603389871011962,-0.015942222813272063,-0.025492932311538912,,,0.1400917633369493,-0.017123777015809038,
PMCH,-0.017949798718652345,-0.014669607390340463,,,-0.019835088771451462,,,-0.0070235777381543255,0.01416639559772036,,0.02524920465854398,
COL9A1,-0.006737904506186079,-0.019532266352196553,-0.030595674536275635,-0.03118838809527441,-0.020824331693670036,-0.010549665713903379,0.08562476802593716,0.14588451839649122,0.07618683939797533,0.040541990062114175,-0.028109618013389848,-0.02563094770430097
GDF11,0.016143751658555215,0.02342275426945521,-0.006939257881733306,-0.1305989298271713,-0.0063573252070864405,-0.02884288811106467,0.041974787704824164,-0.01596859314792312,-0.011941581749577547,0.037891593498974134,-0.06884668381839994,0.03583101059308687
IL24,,,,,,,,-0.03884323300959106,-0.03477578514794271,,,
SORBS1,0.03329856588107632,0.01941278550594053,-0.04342298505442789,-0.05185109534342609,0.024922465431566277,0.001068145290306775,-0.06568925544181076,0.046797793622541696,0.014801365206156481,0.05404904551679402,0.05115949653403744,0.02048791122226606
DLL1,-0.02552788595296492,0.017985522530452974,-0.020834903905301985,-0.0847855517423149,0.032600526751796415,-0.044998235787300306,0.022731320210647752,0.13951101570913524,0.10795057696346663,-0.052538637703852344,0.1387521476622763,-0.002471836031216857
TLN1,-0.07125861335514032,-0.007835550951786011,-0.01995159506219675,-0.2320977010460887,-0.08451658731347314,-0.0004813427127867909,-0.09436508236732566,-0.10868733552862754,-0.051987030799456636,-0.014639420980825692,0.011977366729697358,-0.024097883917624713
COL2A1,0.04448035695459192,,-0.0245525922949411,-0.04104736188462347,,,,0.046663865723417276,-0.017500143427147008,,-0.02659123378326982,
SHH,,0.019679699219494813,0.016138724779596252,-0.0072416098497730475,-0.019338865459447997,-0.016442655232228667,,0.04105278859333819,0.0809213001396038,-0.02375103609186202,-0.007951871323699445,
PON2,0.019643476925952225,0.01473955158068143,-0.0611892256946123,-0.28759129107860787,-0.008132834506550054,-0.043153846615996146,-0.05356208441515748,0.1472233602022326,0.157294343551003,0.019137731062960083,-0.07043343628502813,-0.09094565156777074
ICAM5,0.004119088835645262,-0.013079478366971316,0.056589941983874105,0.14684455886065284,-0.023193244486733103,0.06434655358132112,0.02382187877259468,0.009444873127970373,0.11340063984426363,,-0.014533271045324668,0.15323155789683368
HPX,-0.007882845804566004,-0.022912258378199744,0.009774319373350321,-0.03261645599990605,0.026255356119255228,-0.014320644231401603,,0.006871517235065525,0.05934907335114824,-0.025038096792508114,-0.009701872932325946,
SFRP2,-0.022480778885808534,0.014077297610439372,-0.04673553061781147,0.0048036535048454065,-0.009089633123247245,-0.028497519894335226,-0.06463260632065118,0.023720554348610635,0.01922797226950415,-0.026257665778349364,-0.06711895404756216,-0.014052274665966046
CFC1,,,0.1573508044471281,,0.06491612049975017,,0.031025726965962095,,,,,
CD70,-0.006253093342339874,-0.0019117647620752307,,,0.02248284092748458,,,-0.06245908562256028,0.0026209065523931183,,-0.026505053485232997,
HP,0.034066014523683755,0.0382425808164155,,-0.06775970110701617,0.015157989330956556,-0.006138438851141184,-0.04693815155813647,0.043307257098410545,0.021516172052451446,-0.023917599758913693,-0.06451088812270658,
CXCL2,0.016256735793794767,-0.01879601700109988,-0.012955573826958486,-0.06075216382152968,0.021593823370968625,-0.01990218847608409,-0.033505669325952836,-0.05026600690152767,-0.0034348455885700162,0.028393500220324087,-0.09901622287641097,0.02905815830920089
NPPB,0.009069834863301809,-0.008480398645263771,,,-0.014933364714609713,,,0.014460553932706711,0.12017419181226875,,0.006951258038627465,
CCK,0.06221958531834556,0.05975534499749571,0.04333306861316679,0.3163623872297751,0.04951117756909801,0.06111480567314334,0.12278863080403857,0.135295913284465,0.09748955428646049,0.05418755573543034,0.13178284167052445,0.12675290511545378
SEMA6A,0.040601583841149695,-0.025215353214057133,-0.03592798565257154,-0.23620397683157002,-0.044067987372706584,-0.020880348577199243,-0.05077158062354192,0.07072043314186291,-0.007659943540532929,0.03470407085889127,0.03646905060850393,-0.1544935188110908
IRAK4,-0.0025088688799593147,-0.0032856797502676775,-0.03132916367433789,-0.1280853968240248,0.004919751736387476,0.030175285043861633,-0.0014615826906107935,0.0003655740517434779,0.03263614937018686,0.04531990409348303,-0.023711723919199765,-0.023973605234297448
GSTP1,0.0516931382371024,-0.012881441966148707,-0.0470317895204504,-0.2832214707011193,0.059967025578019126,-0.07058832138072545,-0.06624921485777258,0.06960267237700347,0.12390768326165033,-0.011673910791062165,0.12754872869632852,-0.008109163321521572
VCAM1,0.01316530418607129,0.033933278167569546,-0.047966925011160594,-0.227915867273563,0.008940516205957129,-0.0326234307221009,-0.03207267718966797,0.008682079689340325,-0.034602947797309935,-0.015509175728264433,0.02474541998896207,0.0019346795707791398
NXPH3,0.004912849756519374,0.031570128212124376,0.014027578175038982,-0.09881266044875826,0.010101944998226876,0.03376965868326346,0.16046561654796612,0.13223098667879055,0.0728082999066005,-0.039116901865303116,0.016092472643468386,0.03476563426192563
MTMR4,0.05226388986338361,0.0010015171142477707,0.04054113178416025,-0.03371060682403698,0.022594142072399858,-0.011736915382927994,0.03141553681934787,0.04632912661270363,0.03106556389449305,0.05066871174650327,0.09387248768872287,0.07264677866052287
LAMC2,-0.017122068842871728,-0.01832523259287655,0.03125583004072501,,-0.01879944014702644,,,-0.04775421160754133,0.019774326435749653,-0.01805563674488895,-0.03205616935817646,
IL10,-0.036177049454236325,-0.03242733635364046,,-0.007678579202782495,0.0433192297814245,,-0.01877175183200694,0.0239200242598324,0.02260632555255964,-0.017416395609188586,-0.04947777211271227,
SEMA4D,-0.06060596591491485,0.0004688060000603591,0.06878963533970388,0.0027991010302867276,-0.006590630949456049,-0.03396021551889103,-0.0663195303635155,0.1524328003288818,0.09121297274066233,-0.04427794270048288,0.10063646931757253,-0.12554267808617117
