,UKF248,UKF251,UKF259,UKF266,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.044924183842681854,
BMP1,-0.11823774538271979,0.06607653391760542,0.0402923349318301,-0.06755938764770729,0.01548096146392539,0.11631698613040128,-0.08557033389821621,-0.03628600764372693,-0.03630993434440537,-0.014614543738432227,-0.1387770174786047
NDP,-0.06284281282542768,-0.01596899208669917,-0.1026414809955293,-0.01512861468337625,0.013377554320304672,0.07032919152692112,-0.040057866786790026,-0.006374992250679564,0.020601361407049795,0.023310731430670917,0.09808525254470463
TNFSF18,-0.050540332165622134,0.007828365930506512,,-0.01492545901342722,-0.023304516627115805,,,,-0.025987967272497657,-0.04188373437961313,-0.010653665179756666
IL36G,,,,,,,,-0.02067688139728591,,,
RTN4,0.008538347611784357,-0.07958314618404351,-0.05441616335870563,0.0005722313595593326,-0.019281995012613778,-0.11937178428203257,-0.011064102868423447,0.06217089256569437,0.09563978457170931,-0.16045949110401753,0.2817287637273154
HEBP1,0.010037691965082654,0.035641938056240476,0.018588459270517207,-0.0007074818002332243,0.03411160692320364,0.04174489018828398,-0.01579244137436635,0.04099810964660877,-0.1076335070692892,-0.0996571405097891,-0.07649651871173654
WNT7B,-0.028476495976422555,0.010852707940131242,-0.060704829573229355,-0.06021318264824753,-0.03678517725648501,,0.05226389989643855,-0.022726275488366428,-0.028610215400822765,-0.15152964200127497,-0.042851021203580364
PTMA,0.004075266306352627,0.1323648536668137,-0.0343939791276898,-0.032543811659468055,-0.10698410683117056,0.12989487041733558,-0.06843218220097495,0.03791786133120042,-0.0365262648571253,0.016855665713921573,-0.1997361635957992
FASLG,,,,,,,,,,-0.00662334045357876,
CEACAM1,-0.032167536330386284,0.002044582043502243,-0.03239924855388637,,-0.020882835293085423,,,,,-0.04244794370802489,
PDAP1,0.0027783509581105178,-0.024975820027380895,-0.03587779826222416,0.08242600416303247,0.04047543547001573,-0.05066156675957773,-0.08094385977590969,-0.021649080885981026,-0.0744166501807193,-0.09493417993476405,-0.21570065941217878
QDPR,0.06346334070865264,0.056559387370254524,-0.023734552399763412,-0.07773979870146497,0.009318762468667814,0.059533400829470486,0.03642085986031765,0.04393903921120342,-0.0013410678916102553,-0.09191617057911913,0.43065922239875687
