,UKF248,UKF251,UKF259,UKF275,ZH1019T1,ZH8811Abulk
BMP1,0.012980422218729228,-0.010332902237604386,0.015674607353156025,-0.0009274278840081665,-0.04117155096712445,0.07244152361867452
NDP,-0.001607664824875217,0.015749065433458782,-0.025164600761429515,-0.01399117197558273,-0.066385455586863,0.03673605591090384
TNFSF18,-0.017553196438271204,0.026210609268322867,,-0.011814521790334504,0.010919262291750418,
RTN4,0.000960740255804187,-0.057160008704771545,0.02015849178765464,-0.07065692499238833,-0.06638896370759727,-0.024814439730158327
HEBP1,-0.03984211573834617,0.015143470050258963,0.05496535650177385,-0.009219397016165483,-0.024312856645336285,0.015398513328559226
WNT7B,-0.00685633400091294,-0.015709237236456175,0.019558233649417174,0.06088233689472457,,0.010653016709291266
PTMA,0.043816873510537736,-0.04098049483917906,0.0044534036555930355,0.07122058759565064,0.03598940183274927,-0.07273999565456137
CEACAM1,-0.018547731333466894,-0.012055894731983244,0.02866037129895339,-0.01858142815496988,-0.03908443705587209,0.06553562001008122
PDAP1,-0.028414827165137078,-0.029233259517481958,0.01860505339064967,-0.00752687217271498,-0.03036600958105042,-0.01423376052384329
QDPR,-0.04738177896611792,-0.08636184008977424,0.027794799113749467,-0.06231051826770098,-0.015106393477677584,-0.024457998965809274
POMC,0.04615383380329594,-0.0214214015099726,-0.031599851014953016,-0.01370863681512836,-0.06960191790885772,0.01700902107486547
CCL18,-0.02314581623981546,,,,,0.012508525988161974
CCL17,,,0.010111542973897207,0.05956398206049534,,0.1971953979387515
VEGFD,0.00710879032071855,0.06017076435493147,-0.021912353707630387,0.0017825673511737744,0.16343732845130612,
TNFSF13,0.062176868733092715,,-0.013566564652265743,,,-0.02768163735210975
WNT5A,0.00775718527031186,0.044474916291121984,0.04999615285372452,-0.019036401898617133,-0.003812742974721332,0.04645170638958871
CXCL8,0.041520070612373644,-0.01616840438296947,0.04712609128303643,0.030730828153173472,-0.03384348804296948,0.05319667729697681
GRN,-0.03937495375869015,-0.03306897277802602,-0.048915745773639954,-0.003128195198539926,-0.05011039921614784,0.029482499605675522
MIA,0.051055882011787485,-0.015356640723160564,-0.012151250594228918,0.010776557664240061,0.08915283015423407,0.06552743929878925
COL4A4,-0.0025537387194938172,-0.012851481355946234,-0.006497587471085624,-0.015383805162014288,0.006973776013673771,0.19090920084665272
TAC1,0.058740989602246545,0.06820549943871614,0.03699122143570294,-0.014981409181157963,,
RARRES2,0.015277178142577154,0.0035147703913147484,0.03660893508157859,-0.022844101028917988,-0.060491634942280034,0.08129649009062233
FGF7,,-0.019489736443743726,0.006082473322175402,0.09006990562596669,-0.015007301016489711,-0.03244624632143149
