,MGH258,UKF248,UKF255,UKF259,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,-0.019085613749655807,,0.04651058755986968,,
BMP1,-0.01410605892016061,-0.007490005552454838,0.06431645355183227,0.07150004965658695,-0.009679090058060771,0.08702455573383078,0.055677993478586325,0.09317826286591013,0.013398309380443923,-0.00040654179590730025,0.002059477881112649,-0.08968215305108056,0.026922757705990574,0.05653432454389148,0.10763040054033414,-0.0711614798164318
NDP,-0.0009366358701485408,0.019925381743604545,0.011008424919880685,0.05837105998955733,-0.007985098909854589,0.03541061234733328,0.0739706464204187,-0.07359784573101764,-0.03647913608609798,0.05676990832028937,0.03616924645301753,-0.04958371489632547,-0.017681933699365014,0.11620376958923621,-0.01254757548855047,-0.0007694005959891283
TNFSF18,-0.002183556417090107,-0.030940062673732432,,,-0.016604480461687346,,,0.15120949939885586,,,,-0.01968265657915401,,0.07974791341539927,-0.02763098040665297,
IL36G,,,,,,,-0.013752911436744552,,,,,,,,,
RTN4,0.016312139016901376,0.039929522649400466,-0.019026966374796984,0.046671527299531,0.04464368226242633,-0.06128794246761273,-0.04882361606084795,0.009984083350372968,-0.10361652466300644,-0.028918292408491045,-0.014429602152399733,-0.04449857839396189,-0.016604681110266816,-0.07743979316777758,-0.006633844310447799,0.1299827173052738
HEBP1,0.020658596720716123,-0.009112264431100447,-0.0027972425405785365,0.02451588778936095,0.010941736615307897,0.0339888698203317,-0.031951102118624834,-0.02043833564333874,0.0414746684618695,0.02487739405252638,0.04909307757829304,0.053805585982945055,0.10296287493601923,0.1176590269673309,0.03390184319567962,0.010653519842980625
WNT7B,-0.019736368806044485,0.07208501943009317,0.14732168835347223,-0.0297007820745022,-0.024116739995290952,0.07388608297549852,-0.015116034573743229,,-0.030467328148536567,-0.027022301398426648,-0.024686208667455342,-0.014472612969683185,-0.02465652127816713,0.05472288243604227,-0.06007832989196398,0.0859757501086878
PTMA,0.03882136547524704,0.010049844638631332,0.02248397372015987,-0.01878307112455839,0.03829079512385941,0.13742048086028527,0.0603263144900345,0.022999670038757615,-0.024471850160846652,-0.05190698388063252,-0.006774881277831637,-0.033569596853537206,-0.09077199172328919,-0.0704557194931946,0.030620427345695166,-0.016437463570063426
FASLG,-0.019736374385465386,,,,,,,,,,,,,0.1080445028932454,,
