,UKF248,UKF259,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01660306175040737,,-0.025175759837295683,
BMP1,-0.011539474961472713,0.00696937043409646,0.06992544259122913,-0.027284579783782403,-0.017929584453818308,-0.014363503905380728,0.031209353038766464,0.09197338979019476,0.14961716854079146
NDP,0.007840099965905905,-0.018002355534178224,-0.0698547305051937,0.017787188931902093,0.019338501573762126,-0.0166936683208448,0.025817823385893376,-0.03842051104962636,-0.0003092310753379447
TNFSF18,-0.032922723944922565,,-0.0015956242773612,,,-0.017122444521945192,,-0.004239900532664464,-0.0038477355456973507
RTN4,-0.010903939717679478,0.02087012328954521,0.07714528787294649,0.07411072907085274,-0.016646731378509985,0.030947454090196405,0.027026438993091977,0.025803890884265747,-0.10003011110637533
HEBP1,0.018217951080121288,-0.06368087083968303,0.06403017553110225,0.01880246776594448,0.013865147076795408,0.022196623823727044,0.051369354207889024,-0.03827805421049479,0.032313567747323434
WNT7B,0.024901748840889238,0.02582495115906542,,-0.036288506286053325,-0.022263140882890504,-0.035804416665106635,-0.005235353735512572,0.009210477664245206,0.005729923331578126
PTMA,-0.14195140401061676,-0.00015171279991138442,0.06039938327918884,-0.020134754556677507,-0.0003610569788749047,-0.0053619619379133366,0.025168312292060162,0.02713705314312995,0.010657866563580545
FASLG,,,,,,,,0.03459188836167741,
CEACAM1,-0.020954411520744683,-0.015787833302333687,0.09952911027092302,0.06504051746015664,-0.016687431916601842,-0.02460316517063197,0.016960823619177733,-0.0019377670055932314,
PDAP1,-0.03219077958197746,-0.0018178703804134632,0.03117684011306759,-0.003537240945825179,0.014911700850819987,0.029231840601002968,-0.004596635937085461,-0.013620949508344053,0.013885934530578594
QDPR,-0.032459588872801697,-0.032712313032409776,0.015902345210717074,0.08052966507942216,0.020511042822990433,0.028407459709976674,-0.03654201779882764,0.03492909982566591,-0.03572752067794283
POMC,-0.02749086237540241,0.11590262664193737,0.07321946735785893,0.060550163894892615,-0.015038465236102515,0.015300099864199179,-0.009478021147032526,0.024107387831449324,0.03298497850034591
CCL18,-0.026149125720701945,,,0.05638862247972018,-0.04074960370481946,,0.03454783864331074,,
CCL17,,-0.015447133600490909,,-0.014426158996335158,-0.007490348055873815,-0.021890177841732993,,-0.019790909666931165,
VEGFD,-0.026149134024274108,0.06668237055594793,0.002260145588298362,,-0.016687431916601842,-0.023087381234548975,,,
TNFSF13,-0.019732975655505948,-0.01065508704056017,,-0.012030090653000147,0.035242467475279295,-0.023474384829373977,-0.022687219363226124,-0.019611068101006775,0.011799509379548682
WNT5A,0.01061239419957705,0.0014752535238884003,0.07473488919057435,0.007940735210552356,-0.008405167471079151,-0.0580258898393219,-0.06752639761070012,0.05823006369890551,0.04016444457312555
CXCL8,0.07792802664355811,0.0066290513542159295,0.12666620008692892,-0.06621765242226677,-0.0464431138725499,-0.013327035026722138,-0.05307114828224763,0.0021050812668353303,-0.011146731975306532
GRN,-0.05835528230827923,-0.06288987885702658,0.09377047747070989,0.005432798678784694,0.032028856266575007,0.07377772322782264,-0.06791387427873448,0.08737265880762744,-0.019492033831853935
MIA,0.0596536117289597,0.0031903664891753483,0.10504681163276038,0.05684721869915332,0.01228544874780349,0.049609604759197214,-0.043004210564295035,0.01606495668827416,0.012923673492658036
