,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.0820931023648121,,,,,,,0.025444522793996293,,-0.01880731261593079,,
BMP1,-0.004561295952424954,0.003994884000960657,-0.03383837989628095,0.023962454882086585,0.0698190688679924,0.13843127655110138,-0.09776488153059278,0.022759376076493486,-0.009209168120799449,-0.0745966880468008,0.06676720271462931,0.12009154739900467,-0.1023503643507717,0.03605614578492234,0.03798600169986996,-0.07902776749672609,0.014268774224446
NDP,0.039934533151005494,0.04316008608809584,0.02907679828729887,-0.024403312790261165,0.02960404135731824,0.019746684516655354,0.019197760364991417,0.04722799234799809,0.14866181411301432,0.004607783721014422,0.07384427180228899,0.06302916771251171,-0.07723792554895698,0.04156277488535938,0.12167527553164674,0.1443251449928794,-0.017555599338407092
TNFSF18,-0.029826078605422683,0.04702493901286468,,,-0.021520626988716058,0.08016236104584394,-0.008178136234441602,,,,0.060010782456200104,,-0.08841054978142644,-0.057828728401976615,0.0503825258609642,-0.029941935836594546,
IL36G,,,,,,,,,,-0.016478483118649447,,,,,,,
RTN4,0.04230972930963265,0.0311353243599315,0.014580278057676081,0.07093235081696181,-0.040922182187780036,-0.19338133705117658,0.012253801350853903,-0.11784574190373301,0.053681362943630635,0.07103049788904744,0.15630287363346484,-0.0800469279705823,0.1333767164126478,0.12733581125044546,-0.05658832746592835,0.10383425425799447,-0.023714261510284537
HEBP1,0.027232614880751217,0.02973617176653037,0.021185745394369692,0.07446850587684542,0.05072471256547834,0.09190982638480391,0.09590226450997286,0.0737804265132446,0.08897856696128004,0.00621529619290938,0.036553984696080316,-0.009672377407648208,-0.0032375599598333097,-0.07290238261613828,0.1456644150032996,0.05136522562479394,0.0472123596516048
WNT7B,0.06173873447842132,0.008226337079990141,0.05188759372289412,-0.0010624368535700926,-0.024467991761192753,-0.045104226400484455,-0.04692276124804144,-0.0694623871230789,,0.05459798872090639,,-0.03225152175656187,0.025325890409150956,0.013148814277781438,-0.028718826992020333,0.050524861541808706,-0.045645798946437964
PTMA,-0.10603591430425637,-0.06669889028411674,-0.02747154211485725,-0.03805508184539012,0.02239108104331073,0.026007680022604406,0.08395528215553164,0.031144414193879696,0.021625458645601472,-0.08089126001699372,-0.11768263528472793,-0.2146511204194075,0.13654787691901885,0.06071254697779499,-0.08594076717180633,-0.13520295054658923,0.060310814493462366
FASLG,,,,,,,,,,,,,,,-0.016311575815589358,,
CEACAM1,,-0.02805996759789485,-0.02638320485490573,0.02387334322979965,,0.08611696855549311,0.05829161512209227,,,,0.01995620736313327,0.05313922984805103,-0.04423438333562131,,0.07005174765672235,,
PDAP1,-0.057272425533115366,0.0027513790744418446,-0.00877484036810708,0.03310536248093754,-0.004082405559904297,0.17283392865120942,0.04029102747298973,0.0682796921607186,0.04386731154919282,-0.06975568679255185,-0.029380588544807264,0.01666329790189723,0.027804456439706346,-0.061482916900477524,0.02937283083828886,-0.04477675728247828,0.002656121264890303
QDPR,0.03555305195012635,-0.0006183066590984788,0.010882661457034124,0.007472501979580001,0.012503663348512589,-0.15204742181306358,0.1382000991303179,-0.03557886084441667,0.14360199383700778,0.016895978378207974,-0.03484448141532203,-0.1771242943241478,0.17512754294379657,0.012681741270723404,0.03182716579096657,0.13346368987976331,0.14426787733756252
POMC,0.019830876484906775,-0.029519260925916817,0.04538723478497477,0.030947436685696564,-0.015009160485319537,0.010822675627072467,-0.025920498178339347,0.00643137448591239,-0.06416469284107362,0.08682523257881355,-0.015554093203667449,0.01219351049183139,0.04913586031864312,,-0.008653977963053254,-0.01588679396143829,-0.005357663582340581
CCL18,-0.0399992238361167,,,,,,,,-0.01602384847572048,,,-0.0615174212119354,,,,,
CCL17,,,-0.011865574649660962,,,,0.089089465992278,-0.017049764319186336,,-0.015053562152863392,,,-0.04208971435628753,,-0.014784611366852133,,
VEGFD,0.1305895606909268,-0.022319943472162432,0.02018657786506228,-0.016595313239471228,,0.11197109655830907,0.03557374987899646,-0.02467521554760535,-0.012070401762663403,-0.0161333688182737,-0.0927682160742599,,0.05709995434822931,,,,
TNFSF13,,,-0.026007735385394627,,0.06648099667118786,,,,,,,,0.005464022141883282,,0.04847376098801456,0.09434732821828809,
WNT5A,0.006686500153180597,-0.034881299232459334,-0.0058596287953610274,0.03672152690909251,0.01176690939242436,0.09493762410270612,0.029972582260321963,0.07557899053278366,-0.021486565222574274,-0.025991244201478227,0.012447885764650243,0.0529036314572817,0.002467665916689373,0.017128537558379803,0.01034214423635683,-0.05196297908448532,0.061311973219244524
CXCL8,-0.10166587424584701,-0.03763179035498689,-0.05970673698961318,-0.030017561755445253,0.01020970460580984,0.030972555635370623,0.0027039153906542124,-0.009185999045968247,-0.08364957898969345,-0.0187131961186777,-0.049985915301054895,-0.037499410411782584,-0.009040102437717093,-0.08561606890360919,-0.06730201543500633,-0.09982440053056969,-0.04219768619347024
GRN,-0.04324369433916079,-0.004417737813913472,0.04350895123308803,0.03048345491468655,0.0017698990373408822,0.1551618684426395,0.028250164237352993,0.05537667266024407,-0.05152683887138331,-0.011562466077126202,0.044792865039415826,0.06404536375087033,-0.15979299469856847,-0.008594430339213054,-0.07327952513037177,0.05390097148469584,-0.015404331505208202
MIA,-0.03997728924394309,-0.016178426846747543,-0.05917845441682755,-0.016546142146008858,-0.02799699619361758,0.07387749139347632,-0.06592022587533901,-0.01667664037260733,,-0.005978042301316213,-0.1113176506623522,0.14371020997687545,-0.08158057900596524,,0.0889518671012522,-0.07734351285602152,
COL4A4,-0.045368237633692396,-0.0024751970353201736,0.02780405141237254,0.04926051345937028,-0.01985737649675195,0.02793970717849254,0.0043952617390171,-0.032368656339142564,,0.009944717769822716,-0.0024783056082811573,-0.036439091645547955,-0.019106958554960717,,0.03973133845620237,0.025029308387962208,
TAC1,0.030870786936143053,0.061555393275872006,0.0783548260959226,-0.012956485057058183,-0.022642882691405693,-0.14431381156034254,0.12885606633912214,0.011247382092548134,0.01206679543117224,0.049359122794336074,,,,0.015422755327289647,-0.01943587500428757,0.05666564419197274,-0.07611296656383415
RARRES2,0.03540369896177804,0.05019103090146629,0.10008519832858892,-0.0053620068941951995,0.0818942895608454,0.17615986774143227,0.21275402943649124,-0.0058921450074116664,-0.009504863843253122,-0.01658287721427443,-0.15068108746961625,0.1096430780775868,0.05919463743686765,0.0382549270171111,0.04208118305297701,-0.09042148378997851,0.011128238490603692
FGF7,0.004149396076779871,0.03340963867896646,-0.03893140223198458,-0.008349766481798497,0.10077416384150305,0.041829070080636056,0.05563408356734686,-0.019213578727742285,0.0865235084849855,-0.014804138333853587,0.0004063717746615548,0.14514254780978947,0.08283804836881874,-0.05427403545010638,0.1004290454162373,0.004945570513947899,0.0778821351732589
HBEGF,0.02587794138291047,-0.0012020324571620719,-0.04488239678320146,-0.0016891665854665157,0.01739997151595053,0.06371624998775663,-0.10566550011611117,-0.0407209799789238,-0.019139985991003788,0.001835801307499093,-0.005814909731636079,0.08678649112518365,-0.04220847263108363,0.041266774209208164,-0.058393341153622075,-0.1496981480708706,0.05810066375977769
CSF3,-0.04536820171552314,,-0.0066202593716782705,-0.025075443081715377,,-0.03998339882126273,,,,,,,,-0.012955872901084584,-0.015565914973792418,-0.056537040437848574,
PI3,-0.01996162740462309,,-0.08167240885167927,-0.028294899346019496,,-0.0007363958117986564,,,,,,,-0.06395844063507074,,-0.03381956196976183,-0.10060830416731968,
PCSK1N,0.12182459580159266,-0.003438943589704479,0.017748504726768456,0.031900548286695946,-0.07051916788641341,-0.02068658163577471,-0.06853368078306295,-0.08971406754339505,0.0012289513628285357,0.07902202804513257,0.08497740923643138,0.12539986193784214,-0.02627320577208822,-0.004514589381008087,0.0673135780933489,0.12737569177165148,-0.04099270834967477
NTS,,,,0.10998558232405418,-0.00809759374692089,-0.0048268446916489545,0.03598286634044267,0.006819273299972753,-0.0426983231335604,,,,,,-0.023050997489069462,,
SFRP1,0.049972667763199335,0.022438373845582702,-0.008034242924961098,-0.018932378482531435,0.014028026981677476,0.03682973434789857,-0.02356618541847929,-0.017733789647889228,0.03004132264220697,0.06221857212628995,0.06967455422141312,0.030037747643182074,0.0429132803305494,-0.04301757638905787,-0.022515350705785853,-0.01842884183783099,0.04011372997017931
CXCL13,,0.028429560147542676,,0.058331441012443065,,,,,,,,,,,,-0.042723159437163254,
MICA,0.01129677725036295,-0.03752540153123967,0.006967619783921435,-0.05082132527895597,0.015557695665391941,0.05443489389209578,0.01309507458260247,0.09177827230425153,0.01533926538303368,-0.024548771926630897,0.0687932847456281,0.10170317501503341,0.042972980867207876,0.05052772003897047,0.014187717619100818,0.009259598671599036,0.0017889690077045428
TG,-0.03616569806678667,-8.642607748525552e-05,0.015564203041081213,0.010781808549229518,-0.0008363642958139608,0.04224280802390456,-0.003874798053321396,0.021580314845579658,,-0.02261257445545985,-0.009359428591576454,0.11646526097167058,,,-0.030356503278556355,-0.020135723149957745,
ADA,-0.029586692030421583,0.03504738123271765,-0.027534529946372465,-0.03978871712736017,0.029191337398502076,0.15270657438091445,-0.08707437279089511,-0.0442444470772516,-0.025894812803567462,0.005429328958681379,-0.057055454227814516,0.08159980543386157,-0.03509419367545162,-0.041271142052549566,-0.013777127982403993,0.01418270918893043,-0.02982082455110342
LAMC3,0.0903022987936422,-0.04654441540335747,-0.04327507389741193,0.0245338639242592,0.0586888378328098,0.10853385850731628,-0.011508768731132758,-0.0004416201547271351,-0.05371885651573624,-0.0069624118202163965,-0.01835985688810355,0.10210224385649491,-0.10244209463237701,-0.027348295579732264,-0.03867797361436908,-0.07597408497195264,-0.048380236085440925
CCL7,,,-0.05147214655398521,-0.024875251443978095,,,,,,,,,,,-0.0163115700153877,-0.07213491204570904,
NGF,-0.026137910667429595,,-0.022993877778158783,0.0018351413817627785,0.0865165444741089,,,,0.028319359896530897,,0.15700162181169344,0.019266336073399747,,,-0.012773414497579605,-0.03627573745601625,
