,MGH258,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,0.1187550331508453,,,,,,,-0.010390886096691972,,,,
BMP1,-0.03242725268976715,0.02016693996351707,0.04484820196599139,-0.010778850456657134,0.0013344584030672785,0.00019856707073457743,0.06751707882233791,0.06625951838074781,0.003934836994616222,-0.0338514993069097,0.0142532062410404,-0.019752404159219587,-0.018516460762862397,0.0056337380307737535,0.08665348964667997
NDP,0.05142819967221349,-0.008191439801178878,-0.018827735047728802,-0.003316698709912998,-0.0021491672339595423,0.0036262887443067964,0.09651024671754631,0.015193201522307272,0.0009294549286079852,0.01500355786215614,-0.03893105479040773,0.0007130435390878058,0.06120065200357095,-0.0015154425028888554,0.016556751363866317
TNFSF18,0.13745243088830444,-0.018543572434521212,-0.01855280038295706,-0.02917786704613852,-0.01017685462938687,,,,-0.027738313876587317,,-0.052641122205594144,,0.03787067126768345,-0.02763097996207666,
IL36G,,,,,,,,-0.023130660226890563,,,,,,,
RTN4,0.06738478503703355,0.05116429264496222,-0.024835567293624867,-0.0009734147591221413,-0.05080128801561106,-0.029088250521975504,-0.1766691386489566,-0.04231315435041926,0.056426333103405876,0.058544552527947484,0.04221541571279181,-0.05237444894534673,-0.015227071773036865,0.029454581840471217,0.07310554423695552
HEBP1,0.08886061236572632,0.050365949950361706,0.05330324995295382,-0.005845721330149765,0.056668695319364096,0.06083809719177354,0.15237420814469183,0.03841888100148435,0.002758086155827636,0.06720143939748152,0.021397243071617472,-0.0030668560152795525,-0.0007885473158798065,-0.014645178359323774,0.09246139318405507
WNT7B,0.1176615179867776,-0.0065221781069809285,0.059888540088394164,-0.014878210201765248,-0.02917100645551432,-0.015148170073996454,,-0.011642149606226077,0.019008138149523356,-0.052546380650262486,0.03723183978151581,-0.0141894342651395,-0.02755324994271798,0.11047724763551507,-0.07266915880739618
PTMA,0.08530584270408499,-0.02028002340727923,0.042499644577683085,0.036187664446199225,-0.04318864053085501,0.058796219531356636,0.2948690290610419,0.042368287796321846,0.012046985158495843,-0.05634919073105562,0.0864307500985861,0.05441569252482288,0.10574808436474631,-0.08861998625960332,0.03068640315626409
FASLG,0.06653329122772891,,,,,,,,,,,,,,
CEACAM1,0.03000175009182403,-0.022330700617482203,,-0.028109634854003914,-0.016005767858858957,,,,,0.08430502144440198,-0.046587372023404086,0.02198344911291747,,,
PDAP1,-0.0548548122591626,0.015418686460979509,0.004136483077563598,-0.018683759890714007,-0.008434865124375716,0.043785910215667447,-0.051628960122776124,0.005659684373817154,0.02579793384468091,0.08811356025052967,0.036565797619345475,0.07448439164739212,-0.01408783491134578,0.01660786000731121,0.10080019516386084
