,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.020120866457803373,,-0.023728294794915072,
BMP1,-0.027581468599452482,-0.013957344936390972,0.061143975644515285,0.024254284701912505,0.023271842915930093,0.0028714222926573343,-0.011143003967465625,-0.025494944093159756,-0.057674323844122424,0.031216909711065038,-0.03812293917964237,-0.05552862976805966,0.007092350089100384
NDP,-0.003114367710556993,0.03230043345537062,-0.06633181126385577,-0.018880405940217743,-0.030777298064772626,0.007073164343340238,0.0412783024703735,0.020370352924018804,0.023789557359405723,0.03834235705114869,0.02742026755841161,0.07809071031948606,0.03396757049468744
TNFSF18,-0.029043202737849872,,,-0.017104133636739443,-0.011674764661574738,,-0.01521841248192158,,,-0.020750294423783195,,-0.02862106770495938,-0.02763097240428272
RTN4,-0.000845419641284992,0.014323162182878204,-0.0001732051595242301,-0.007082455353190061,-0.015488315249344254,-0.0006957462147799608,-0.02247170834131028,-0.020085788370441976,0.023499966429723695,-0.06319108620559773,0.058478165076105905,-0.0214955750702409,-0.05365221591172607
HEBP1,-0.020089128717983244,-0.05940593762826573,-0.024377890493640746,-0.0019609905975779014,-0.04098726319003692,-0.036012963619335696,0.03344990082616666,-0.02881101417623443,-0.031456600036533125,0.0487439724531125,0.01583239184727514,0.024742307049993636,0.05564956069789596
WNT7B,-0.018040737237582854,-0.024648097234404826,-0.07324567663122282,0.03990663861857392,-0.025032925951827413,0.01089008129291888,,-0.038478170191909716,-0.03132425208332638,-0.04339054429527037,-0.005343505486260465,0.03409202451818151,-0.06007831249232659
PTMA,0.03163679607117261,-0.004600621186685053,0.03240850153815854,0.0783957945708734,0.015232859628234377,0.010521798580106202,-0.06767275734514445,0.008777301466234453,0.003196058124675887,-0.011856629948783223,0.03940291059522153,-0.11066034409190331,-0.09629693611317786
FASLG,,,,,,,,,,,,-0.020579541980605097,
CEACAM1,-0.01384518075256555,-0.02846148580480345,-0.018066805137830926,,-0.01836162348633581,,-0.03644313295653913,-0.021561216573714483,0.039321993291587615,0.05340574065422574,0.1599856605933315,-0.028633410081472202,
PDAP1,0.022509549342746477,0.02140841969799748,0.010503618361217486,-0.016528571109604807,-0.01208333687501972,0.01084372031693193,-0.018905700652722422,0.03344928406063701,-0.016604861498469275,-0.018644657944461938,0.013313574182051013,-0.05597364155230387,0.0414115566039825
QDPR,-0.010532095688742475,-0.02536323650226285,-0.010858231842985495,-0.027808112925090184,0.0035223072029604697,-0.02498299312243373,0.049668131977087436,-0.010269060973428326,-0.02780953632125547,-0.03503779373124719,-0.03097729863393309,0.0308940618372642,0.010824402027650783
POMC,-0.010967313454361256,0.007430442188442734,-0.03635468423329389,-0.027917107054160433,-0.013546473694648937,0.08503867744069663,0.0991591550272722,-0.051769957007076574,0.022251353870246703,0.11867484485650122,0.006906486543439978,0.050717726544490686,0.06893758299338916
CCL18,,,,,,,,-0.02722773775896226,-0.037056691370554465,,-0.008831549862030596,,
CCL17,,0.07151340276536373,,,-0.01456070453984554,0.05965810074318194,,-0.015296639566833619,-0.021906269867538037,-0.00758322838853074,,0.07330993920960067,
