,UKF248,UKF266,UKF275,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01818616572819082,
BMP1,0.0453489893844855,0.06806995603053516,0.025193866924360337,0.09910468782799545,0.06658982110114708,0.12771621360230717,0.11694483089358029,0.06608719052732391,0.041070829232888045
NDP,-0.009053977212438934,0.0885267518855483,-0.033564572411215,0.07539954671734424,0.04337811291634031,-0.08043410440520199,-0.06292133720552551,0.022390468348811678,-0.07103691691292015
TNFSF18,0.02004642989698278,-0.014612397081512293,-0.011533387234191048,0.08735859404126038,,0.05846727967408404,,-0.002418049057546965,-0.0005719553865398084
RTN4,-0.0062411978598340525,-0.029388410670456108,-0.0008613730117881794,0.03657713381488528,-0.06393184330995236,-0.00629052058037916,-0.07676486612064627,-0.006029692850259308,0.0160810786659061
HEBP1,-0.005638247558614826,-0.01120888831217622,0.009641933409728609,0.08699832523510949,0.03864983245262925,0.01254129547730091,-0.012400128398433666,0.06462161606107299,-0.04902566896182921
WNT7B,-0.025679684207197375,-0.0059612681086818435,0.005217973381210835,0.04658053895058654,-0.05820450977490288,,0.08521000447623518,0.051405084295891516,-0.0442521781315378
PTMA,-0.04462698085251418,0.006992028904220218,0.0046240374438392155,0.04810211093826635,-0.040858022085033474,0.05355538544584758,-0.050206093699630014,0.049036365483403586,0.051685061668114714
FASLG,,,,,,,,0.009820089518073238,
CEACAM1,-0.018350454533423637,,-0.018139270473976593,,-0.04382945544585389,-0.047233449171629305,0.012744189124327152,-0.021945611583369877,
PDAP1,-0.016715924550915338,0.06136319094872752,-0.005578358076087256,-0.046552716908557765,0.12258674159985533,-0.03362890630657317,0.01480014010148874,-0.058055736285722366,-0.026180651268398608
QDPR,0.003867089135702899,-0.014616139537287662,-0.014741401753962042,-0.09133018253681316,-0.005197951269430468,0.06695405831839264,-0.19211207748843548,0.030388698756764334,-0.03978185701409004
POMC,-0.02514161373193295,0.07217553762238005,0.007035790627059321,0.08405806817239231,-0.061690727991786015,0.055587601845495396,0.10278057236073192,0.04550627174689596,-0.022986274619462035
CCL18,-0.022899633432868015,,,,-0.03758146664653005,,0.0751371329502848,,
CCL17,,,-0.014384379362558437,,,,,-0.014296321757140094,
VEGFD,-0.022899640704574186,,0.055535315430302136,,-0.016242913513613448,-0.001127516719691084,,,
TNFSF13,-0.01728080372083142,-0.014170976851080068,,,,,,-0.023294663037767515,-0.034536441701320336
WNT5A,0.00869433496033742,0.03685364710295023,0.0007680341766462665,-0.04762103852770636,-0.06277998018361493,-0.018628604196036947,0.051125125756107885,0.06473228878547381,0.044924660591403646
CXCL8,-0.045456101644752125,0.07210663853187677,-0.03304028610481237,,-0.07963037242740066,-0.051944950343391576,-0.039533463573772694,-0.011189297673023076,0.021519147108823126
GRN,0.037654294565373114,-0.047148264505624746,-0.01876543794025605,0.07732411825352016,0.024474100735836356,0.10027333867127608,0.1733074048316706,0.0038616645970547467,0.097832736040834
MIA,0.015104537159994087,-0.0256238591785322,0.014432080066738186,0.017433865034004237,-4.620515664722694e-05,-0.012836182642166235,-0.011577133686527534,0.056565375287051106,0.014329171732213692
COL4A4,-0.027502273698711235,-0.01348305839415232,-0.015017737088098802,,,-0.050279917624625914,-0.028388628639474858,0.09524438199363386,0.00034112286679818137
TAC1,-0.03670758275444932,0.002782804903779861,0.008758744756313046,,,,,-0.018793968660943745,-0.04123324441534264
RARRES2,0.017705114870363636,0.033639532673621485,0.009889467232017201,-0.05236702508625716,0.04810540070226178,-0.07719811599821581,-0.006354045897223169,0.027945025051122337,-0.07555564675668508
FGF7,,0.029319495951325995,-0.010189848567299768,0.0344146024310875,-0.07617235031970371,0.04155810446974587,-0.014758870285595282,-0.007829080476650388,-0.023551986659214465
HBEGF,0.02032839507311066,-0.017823278267942867,0.04688701503129601,0.07465746061173816,0.030117971804302607,0.0807661004272023,0.11748251393164966,0.027726235130833096,0.07088571245842769
CSF3,,,,,,,,-0.015051821342328763,-0.028491342745780367
PI3,-0.024091379860093267,,,,-0.06015810342513751,,,-0.019530182000786444,-0.05764834924264468
PCSK1N,-0.013615393862713512,-0.03932079466752051,-0.005978851416850859,-0.02690166933564643,-0.052632350306273966,0.044115950397863396,-0.02889016186478886,0.005363977514613809,0.03658996468695503
NTS,,-0.01645975083813163,-0.01715601892305244,,,,,-0.022289694923305278,
